"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"DM-19242",17,1.0,17,1.0,0,0.0
"DM-19236",32,0.5,21,0.5,11,0.0
"DM-19233",0,-1.0,0,"6.0",0,-7.0
"DM-19232",33,-1.0,33,0.041,0,-1.041
"DM-19231",32,-1.0,32,0.187,0,-1.187
"DM-19223",37,-1.0,37,0.5,0,-1.5
"DM-19220",17,1.0,17,1.0,0,0.0
"DM-19206",37,-1.0,37,1.0,0,-2.0
"DM-19205",14,-1.0,14,0.5,0,-1.5
"DM-19188",73,4.0,73,4.0,0,0.0
"DM-19166",31,1.0,31,1.0,0,0.0
"DM-19165",0,-1.0,0,3.0,0,-4.0
"DM-19162",20,-1.0,20,"1.0",0,-2.0
"DM-19159",19,-1.0,19,1.0,0,-2.0
"DM-19152",19,0.0,17,"1.0",2,-1.0
"DM-19139",24,1.0,24,1.0,0,0.0
"DM-19127",18,-1.0,18,2.0,0,-3.0
"DM-19105",8,-1.0,8,1.0,0,-2.0
"DM-19075",33,1.0,33,1.0,0,0.0
"DM-18951",0,-1.0,0,3.0,0,-4.0
"DM-18950",0,-1.0,0,1.0,0,-2.0
"DM-18949",0,-1.0,0,1.0,0,-2.0
"DM-18916",0,-1.0,0,0.25,0,-1.25
"DM-18913",10,-1.0,10,4.0,0,-5.0
"DM-18908",29,1.0,29,1.0,0,0.0
"DM-18899",21,-1.0,21,"1.4",0,-2.4
"DM-18897",11,4.0,11,4.0,0,0.0
"DM-18893",0,-1.0,0,0.5,0,-1.5
"DM-18891",0,-1.0,0,0.25,0,-1.25
"DM-18890",0,-1.0,0,0.25,0,-1.25
"DM-18889",17,-1.0,17,8.0,0,-9.0
"DM-18887",36,-1.0,36,"0.25",0,-1.25
"DM-18885",35,0.5,35,0.5,0,0.0
"DM-18884",14,-1.0,14,0.5,0,-1.5
"DM-18882",43,-1.0,43,6.0,0,-7.0
"DM-18881",9,-1.0,9,1.0,0,-2.0
"DM-18880",13,-1.0,13,2.0,0,-3.0
"DM-18879",13,-1.0,13,2.0,0,-3.0
"DM-18873",22,3.0,22,3.0,0,0.0
"DM-18864",21,1.0,21,1.0,0,0.0
"DM-18863",22,2.0,22,2.0,0,0.0
"DM-18862",0,-1.0,0,4.0,0,-5.0
"DM-18861",14,2.0,14,"2.0",0,0.0
"DM-18855",38,1.0,38,1.0,0,0.0
"DM-18848",30,-1.0,30,0.7,0,-1.7
"DM-18843",0,1.0,0,1.0,0,0.0
"DM-18839",61,8.0,61,8.0,0,0.0
"DM-18838",10,1.0,10,1.0,0,0.0
"DM-18836",25,0.0,25,"0.0",0,0.0
"DM-18826",0,-1.0,0,5.25,0,-6.25
"DM-18781",48,-1.0,48,1.0,0,-2.0
"DM-18779",37,2.0,37,"2.0",0,0.0
"DM-18758",39,-1.0,39,4.0,0,-5.0
"DM-18754",40,-1.0,40,1.0,0,-2.0
"DM-18752",54,-1.0,54,6.0,0,-7.0
"DM-18750",48,1.0,48,1.0,0,0.0
"DM-18748",493,3.0,493,3.0,0,0.0
"DM-18743",121,2.0,121,2.0,0,0.0
"DM-18740",0,-1.0,0,0.5,0,-1.5
"DM-18733",23,-1.0,23,0.042,0,-1.042
"DM-18730",13,3.0,13,3.0,0,0.0
"DM-18729",20,1.0,20,1.0,0,0.0
"DM-18728",59,4.0,59,4.0,0,0.0
"DM-18727",12,-1.0,12,0.5,0,-1.5
"DM-18726",30,0.5,30,0.5,0,0.0
"DM-18716",48,-1.0,48,0.4,0,-1.4
"DM-18712",12,-1.0,12,0.5,0,-1.5
"DM-18708",18,1.0,18,1.0,0,0.0
"DM-18705",14,-1.0,14,6.0,0,-7.0
"DM-18704",0,2.0,0,2.0,0,0.0
"DM-18696",57,-1.0,57,"3.0",0,-4.0
"DM-18690",232,8.0,229,8.0,3,0.0
"DM-18689",32,0.5,32,0.5,0,0.0
"DM-18686",53,-1.0,53,1.0,0,-2.0
"DM-18679",23,-1.0,23,0.25,0,-1.25
"DM-18678",38,1.0,38,"1.0",0,0.0
"DM-18672",15,-1.0,15,1.0,0,-2.0
"DM-18671",29,1.0,32,1.0,-3,0.0
"DM-18668",10,4.0,10,4.0,0,0.0
"DM-18663",15,-1.0,15,10.0,0,-11.0
"DM-18662",15,-1.0,15,5.0,0,-6.0
"DM-18660",17,-1.0,17,10.0,0,-11.0
"DM-18659",13,-1.0,13,5.0,0,-6.0
"DM-18658",19,-1.0,19,10.0,0,-11.0
"DM-18656",577,-1.0,577,1.0,0,-2.0
"DM-18651",21,-1.0,21,15.0,0,-16.0
"DM-18650",21,-1.0,21,15.0,0,-16.0
"DM-18649",19,-1.0,19,10.0,0,-11.0
"DM-18648",13,-1.0,13,10.0,0,-11.0
"DM-18647",150,-1.0,150,18.0,0,-19.0
"DM-18646",15,-1.0,15,10.0,0,-11.0
"DM-18645",15,-1.0,15,0.5,0,-1.5
"DM-18643",32,1.0,32,"1.0",0,0.0
"DM-18641",23,-1.0,23,8.0,0,-9.0
"DM-18640",25,-1.0,25,4.0,0,-5.0
"DM-18638",69,1.0,57,1.0,12,0.0
"DM-18635",108,3.0,108,3.0,0,0.0
"DM-18628",7,-1.0,7,0.5,0,-1.5
"DM-18627",18,-1.0,18,"0.5",0,-1.5
"DM-18626",41,-1.0,41,8.0,0,-9.0
"DM-18622",41,-1.0,41,0.25,0,-1.25
"DM-18621",109,-1.0,109,5.0,0,-6.0
"DM-18619",7,-1.0,7,0.125,0,-1.125
"DM-18618",6,-1.0,6,"0.75",0,-1.75
"DM-18616",24,-1.0,24,1.0,0,-2.0
"DM-18605",14,-1.0,14,2.0,0,-3.0
"DM-18603",28,-1.0,28,1.4,0,-2.4
"DM-18596",33,2.0,33,2.0,0,0.0
"DM-18595",27,4.0,27,4.0,0,0.0
"DM-18591",49,4.0,49,"4.0",0,0.0
"DM-18589",59,2.0,59,2.0,0,0.0
"DM-18588",31,-1.0,31,2.0,0,-3.0
