"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"MULE-16282",5,8.0,5,8.0,0,0.0
"MULE-16281",9,8.0,9,"16.0",0,-8.0
"MULE-16279",38,2.0,38,2.0,0,0.0
"MULE-16277",16,8.0,16,"8.0",0,0.0
"MULE-16274",163,4.0,101,4.0,62,0.0
"MULE-16259",22,2.0,22,2.0,0,0.0
"MULE-16251",19,1.0,19,1.0,0,0.0
"MULE-16246",24,2.0,24,2.0,0,0.0
"MULE-16243",54,13.0,54,13.0,0,0.0
"MULE-16240",23,2.0,23,2.0,0,0.0
"MULE-16238",6,5.0,4,"5.0",2,0.0
"MULE-16235",8,13.0,8,13.0,0,0.0
"MULE-16231",14,2.0,14,2.0,0,0.0
"MULE-16230",82,4.0,41,"4.0",41,0.0
"MULE-16229",16,8.0,16,8.0,0,0.0
"MULE-16228",9,2.0,9,2.0,0,0.0
"MULE-16221",184,8.0,184,8.0,0,0.0
"MULE-16212",12,2.0,12,2.0,0,0.0
"MULE-16211",16,2.0,16,"1.0",0,1.0
"MULE-16209",20,2.0,20,2.0,0,0.0
"MULE-16208",26,4.0,26,4.0,0,0.0
"MULE-16207",16,3.0,16,3.0,0,0.0
"MULE-16204",13,1.0,13,1.0,0,0.0
"MULE-16203",27,2.0,27,2.0,0,0.0
"MULE-16189",12,2.0,12,"2.0",0,0.0
"MULE-16179",19,5.0,19,"8.0",0,-3.0
"MULE-16177",160,8.0,160,"8.0",0,0.0
"MULE-16176",11,8.0,11,8.0,0,0.0
"MULE-16175",10,4.0,10,"16.0",0,-12.0
"MULE-16174",25,8.0,25,8.0,0,0.0
"MULE-16173",17,4.0,17,4.0,0,0.0
"MULE-16172",559,8.0,558,8.0,1,0.0
"MULE-16168",53,16.0,53,16.0,0,0.0
"MULE-16167",16,8.0,16,8.0,0,0.0
"MULE-16166",21,2.0,21,2.0,0,0.0
"MULE-16165",15,1.0,15,1.0,0,0.0
"MULE-16159",95,8.0,95,8.0,0,0.0
"MULE-16157",9,1.0,9,1.0,0,0.0
"MULE-16155",10,1.0,10,1.0,0,0.0
"MULE-16148",9,4.0,9,4.0,0,0.0
"MULE-16144",53,4.0,42,4.0,11,0.0
"MULE-16141",59,3.0,59,3.0,0,0.0
"MULE-16138",10,4.0,10,4.0,0,0.0
"MULE-16132",121,8.0,79,"8.0",42,0.0
"MULE-16127",100,8.0,100,8.0,0,0.0
"MULE-16126",86,16.0,86,16.0,0,0.0
"MULE-16103",53,3.0,53,3.0,0,0.0
"MULE-16100",55,5.0,55,"5.0",0,0.0
"MULE-16099",57,8.0,57,8.0,0,0.0
"MULE-16094",44,8.0,44,8.0,0,0.0
"MULE-16088",20,4.0,20,"8.0",0,-4.0
"MULE-16087",102,5.0,102,5.0,0,0.0
"MULE-16085",31,16.0,31,16.0,0,0.0
"MULE-16084",40,2.0,40,2.0,0,0.0
"MULE-16083",49,4.0,49,"8.0",0,-4.0
"MULE-16082",43,4.0,43,4.0,0,0.0
"MULE-16081",44,4.0,44,4.0,0,0.0
"MULE-16079",6,8.0,6,8.0,0,0.0
"MULE-16077",21,5.0,21,"5.0",0,0.0
"MULE-16074",64,13.0,64,13.0,0,0.0
"MULE-16073",10,3.0,10,3.0,0,0.0
"MULE-16072",61,8.0,61,8.0,0,0.0
"MULE-16071",10,4.0,10,4.0,0,0.0
"MULE-16059",13,3.0,13,"3.0",0,0.0
"MULE-16058",10,1.0,10,"1.0",0,0.0
"MULE-16057",10,1.0,10,"1.0",0,0.0
"MULE-16056",11,1.0,11,1.0,0,0.0
"MULE-16054",10,1.0,10,1.0,0,0.0
"MULE-16053",10,1.0,10,1.0,0,0.0
"MULE-16052",9,2.0,9,2.0,0,0.0
"MULE-16051",10,2.0,10,2.0,0,0.0
"MULE-16050",10,1.0,10,1.0,0,0.0
"MULE-16049",10,1.0,10,"1.0",0,0.0
"MULE-16048",10,1.0,10,1.0,0,0.0
"MULE-16047",10,1.0,10,1.0,0,0.0
"MULE-16046",11,1.0,11,1.0,0,0.0
"MULE-16045",11,1.0,11,1.0,0,0.0
"MULE-16043",13,1.0,13,1.0,0,0.0
"MULE-16042",46,8.0,46,8.0,0,0.0
"MULE-16033",272,8.0,98,8.0,174,0.0
"MULE-16031",51,4.0,41,4.0,10,0.0
"MULE-16029",33,8.0,33,8.0,0,0.0
"MULE-16024",32,4.0,32,4.0,0,0.0
"MULE-16022",11,2.0,11,2.0,0,0.0
"MULE-16018",12,13.0,12,13.0,0,0.0
"MULE-16017",10,8.0,10,8.0,0,0.0
"MULE-16013",42,2.0,42,"2.0",0,0.0
"MULE-16010",51,8.0,48,"4.0",3,4.0
"MULE-16009",45,8.0,47,"8.0",-2,0.0
"MULE-16006",50,5.0,44,5.0,6,0.0
"MULE-16005",22,4.0,22,4.0,0,0.0
"MULE-16004",45,8.0,45,8.0,0,0.0
"MULE-16002",30,16.0,30,16.0,0,0.0
"MULE-16000",12,8.0,12,"8.0",0,0.0
"MULE-15998",12,5.0,12,"5.0",0,0.0
"MULE-15995",14,5.0,14,5.0,0,0.0
"MULE-15994",69,0.0,69,"0.0",0,0.0
"MULE-15990",14,1.0,15,"1.0",-1,0.0
"MULE-15988",14,3.0,14,3.0,0,0.0
"MULE-15986",36,8.0,36,"8.0",0,0.0
"MULE-15984",13,3.0,13,3.0,0,0.0
"MULE-15983",16,2.0,16,2.0,0,0.0
"MULE-15981",10,1.0,10,1.0,0,0.0
"MULE-15980",12,1.0,12,1.0,0,0.0
"MULE-15976",50,8.0,50,8.0,0,0.0
"MULE-15974",10,4.0,10,4.0,0,0.0
"MULE-15969",10,2.0,10,2.0,0,0.0
"MULE-15965",28,4.0,28,4.0,0,0.0
"MULE-15961",12,2.0,12,"2.0",0,0.0
"MULE-15960",11,2.0,11,2.0,0,0.0
"MULE-15952",41,1.0,41,1.0,0,0.0
"MULE-15948",33,8.0,33,8.0,0,0.0
"MULE-15947",22,4.0,22,"4.0",0,0.0
"MULE-15946",21,8.0,21,8.0,0,0.0
"MULE-15933",647,8.0,647,8.0,0,0.0
"MULE-15931",17,1.0,17,1.0,0,0.0
"MULE-15929",21,2.0,21,2.0,0,0.0
"MULE-15922",17,3.0,17,3.0,0,0.0
"MULE-15921",28,1.0,28,1.0,0,0.0
"MULE-15918",10,8.0,10,8.0,0,0.0
"MULE-15917",22,8.0,22,8.0,0,0.0
"MULE-15916",20,4.0,20,4.0,0,0.0
"MULE-15915",10,8.0,10,8.0,0,0.0
"MULE-15914",10,8.0,10,8.0,0,0.0
"MULE-15912",50,8.0,50,8.0,0,0.0
"MULE-15911",50,4.0,50,4.0,0,0.0
"MULE-15909",79,8.0,79,8.0,0,0.0
"MULE-15908",31,3.0,31,"1.0",0,2.0
"MULE-15905",11,1.0,11,1.0,0,0.0
"MULE-15902",38,2.0,38,2.0,0,0.0
"MULE-15901",36,2.0,36,2.0,0,0.0
"MULE-15900",42,2.0,42,2.0,0,0.0
"MULE-15899",37,2.0,37,2.0,0,0.0
"MULE-15897",40,4.0,40,4.0,0,0.0
"MULE-15896",46,4.0,46,"4.0",0,0.0
"MULE-15895",37,2.0,39,2.0,-2,0.0
"MULE-15894",35,1.0,31,"2.0",4,-1.0
"MULE-15892",10,1.0,10,1.0,0,0.0
"MULE-15889",28,8.0,28,8.0,0,0.0
"MULE-15883",204,1.0,204,1.0,0,0.0
"MULE-15881",11,4.0,11,4.0,0,0.0
"MULE-15877",8,4.0,8,4.0,0,0.0
"MULE-15867",31,8.0,31,8.0,0,0.0
"MULE-15864",24,2.0,24,2.0,0,0.0
"MULE-15863",21,8.0,19,"8.0",2,0.0
"MULE-15860",29,4.0,29,4.0,0,0.0
"MULE-15857",7,4.0,7,"4.0",0,0.0
"MULE-15850",8,2.0,8,2.0,0,0.0
"MULE-15848",20,1.0,20,1.0,0,0.0
"MULE-15843",20,5.0,20,5.0,0,0.0
"MULE-15840",21,1.0,21,1.0,0,0.0
"MULE-15837",33,8.0,33,8.0,0,0.0
"MULE-15835",99,5.0,99,5.0,0,0.0
"MULE-15834",50,4.0,50,4.0,0,0.0
"MULE-15833",12,4.0,12,4.0,0,0.0
"MULE-15831",7,1.0,5,1.0,2,0.0
"MULE-15827",39,2.0,38,"2.0",1,0.0
"MULE-15826",37,2.0,39,"2.0",-2,0.0
"MULE-15825",41,2.0,41,2.0,0,0.0
"MULE-15824",39,2.0,39,"2.0",0,0.0
"MULE-15823",40,2.0,40,2.0,0,0.0
