"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"USERGRID-754",28,5.0,28,"5.0",0,0.0
"USERGRID-752",72,8.0,0,"8.0",72,0.0
"USERGRID-751",59,3.0,0,3.0,59,0.0
"USERGRID-748",23,1.0,23,1.0,0,0.0
"USERGRID-746",0,3.0,0,3.0,0,0.0
"USERGRID-745",0,1.0,0,1.0,0,0.0
"USERGRID-744",0,2.0,0,2.0,0,0.0
"USERGRID-740",91,5.0,0,5.0,91,0.0
"USERGRID-739",44,3.0,44,3.0,0,0.0
"USERGRID-738",16,-1.0,16,3.0,0,-4.0
"USERGRID-729",17,1.0,17,1.0,0,0.0
"USERGRID-726",31,2.0,31,2.0,0,0.0
"USERGRID-725",131,1.0,131,1.0,0,0.0
"USERGRID-724",13,3.0,13,"3.0",0,0.0
"USERGRID-720",20,2.0,20,2.0,0,0.0
"USERGRID-719",15,3.0,15,3.0,0,0.0
"USERGRID-716",0,3.0,0,3.0,0,0.0
"USERGRID-715",0,1.0,0,1.0,0,0.0
"USERGRID-714",0,2.0,0,2.0,0,0.0
"USERGRID-713",0,2.0,0,2.0,0,0.0
"USERGRID-709",0,2.0,0,2.0,0,0.0
"USERGRID-708",0,1.0,0,1.0,0,0.0
"USERGRID-707",34,2.0,34,2.0,0,0.0
"USERGRID-706",16,3.0,16,"3.0",0,0.0
"USERGRID-705",8,2.0,8,"2.0",0,0.0
"USERGRID-704",7,1.0,7,1.0,0,0.0
"USERGRID-703",5,2.0,5,2.0,0,0.0
"USERGRID-702",202,5.0,0,5.0,202,0.0
"USERGRID-700",23,1.0,23,1.0,0,0.0
"USERGRID-699",0,2.0,0,2.0,0,0.0
"USERGRID-698",0,2.0,0,2.0,0,0.0
"USERGRID-697",7,2.0,0,2.0,7,0.0
"USERGRID-695",35,2.0,35,2.0,0,0.0
"USERGRID-693",12,2.0,12,2.0,0,0.0
"USERGRID-692",11,2.0,11,2.0,0,0.0
"USERGRID-690",0,2.0,0,2.0,0,0.0
"USERGRID-689",5,2.0,5,2.0,0,0.0
"USERGRID-688",16,3.0,16,"3.0",0,0.0
"USERGRID-687",6,1.0,6,1.0,0,0.0
"USERGRID-686",252,2.0,252,2.0,0,0.0
"USERGRID-685",0,3.0,0,3.0,0,0.0
"USERGRID-680",0,3.0,0,"3.0",0,0.0
"USERGRID-679",15,2.0,15,2.0,0,0.0
"USERGRID-678",10,1.0,10,1.0,0,0.0
"USERGRID-677",29,3.0,29,"3.0",0,0.0
"USERGRID-676",16,1.0,16,1.0,0,0.0
"USERGRID-675",30,5.0,30,5.0,0,0.0
"USERGRID-672",19,3.0,19,3.0,0,0.0
"USERGRID-671",12,2.0,12,2.0,0,0.0
"USERGRID-670",17,5.0,17,5.0,0,0.0
"USERGRID-669",0,1.0,0,1.0,0,0.0
"USERGRID-667",0,2.0,0,2.0,0,0.0
"USERGRID-666",0,2.0,0,2.0,0,0.0
"USERGRID-664",0,1.0,0,1.0,0,0.0
"USERGRID-663",0,1.0,0,1.0,0,0.0
"USERGRID-662",0,3.0,0,"3.0",0,0.0
"USERGRID-661",0,3.0,0,"3.0",0,0.0
"USERGRID-660",0,3.0,0,"3.0",0,0.0
"USERGRID-659",0,3.0,0,3.0,0,0.0
"USERGRID-654",114,3.0,112,3.0,2,0.0
"USERGRID-652",129,5.0,70,5.0,59,0.0
"USERGRID-647",280,3.0,273,3.0,7,0.0
"USERGRID-645",13,3.0,13,3.0,0,0.0
"USERGRID-644",827,2.0,824,2.0,3,0.0
"USERGRID-643",7,3.0,7,3.0,0,0.0
"USERGRID-642",153,3.0,153,3.0,0,0.0
"USERGRID-641",13,3.0,13,3.0,0,0.0
"USERGRID-640",29,3.0,29,3.0,0,0.0
"USERGRID-639",19,3.0,7,3.0,12,0.0
"USERGRID-637",0,2.0,0,2.0,0,0.0
"USERGRID-636",0,2.0,0,2.0,0,0.0
"USERGRID-635",0,2.0,0,2.0,0,0.0
"USERGRID-634",0,2.0,0,"2.0",0,0.0
"USERGRID-632",0,2.0,0,"2.0",0,0.0
"USERGRID-631",0,2.0,0,2.0,0,0.0
"USERGRID-630",0,2.0,0,2.0,0,0.0
"USERGRID-629",0,2.0,0,2.0,0,0.0
"USERGRID-628",0,2.0,0,"2.0",0,0.0
"USERGRID-626",0,2.0,0,2.0,0,0.0
"USERGRID-625",0,2.0,0,2.0,0,0.0
"USERGRID-624",0,2.0,0,2.0,0,0.0
"USERGRID-623",0,2.0,0,2.0,0,0.0
"USERGRID-622",0,2.0,0,2.0,0,0.0
"USERGRID-621",0,2.0,0,2.0,0,0.0
"USERGRID-618",0,3.0,0,3.0,0,0.0
"USERGRID-614",56,3.0,56,3.0,0,0.0
"USERGRID-613",10,1.0,10,1.0,0,0.0
"USERGRID-612",0,3.0,0,3.0,0,0.0
"USERGRID-609",0,2.0,0,2.0,0,0.0
"USERGRID-608",0,5.0,0,"5.0",0,0.0
"USERGRID-607",0,3.0,0,"3.0",0,0.0
"USERGRID-606",0,3.0,0,"3.0",0,0.0
"USERGRID-602",0,2.0,0,"3.0",0,-1.0
"USERGRID-601",0,3.0,0,3.0,0,0.0
"USERGRID-598",0,3.0,0,3.0,0,0.0
"USERGRID-596",28,1.0,28,1.0,0,0.0
"USERGRID-593",30,5.0,13,5.0,17,0.0
"USERGRID-592",31,5.0,31,"5.0",0,0.0
"USERGRID-589",12,2.0,12,"2.0",0,0.0
"USERGRID-588",0,3.0,0,3.0,0,0.0
"USERGRID-587",0,3.0,0,"3.0",0,0.0
"USERGRID-586",0,3.0,0,3.0,0,0.0
"USERGRID-585",12,3.0,12,3.0,0,0.0
"USERGRID-584",8,3.0,8,"3.0",0,0.0
"USERGRID-582",0,3.0,0,3.0,0,0.0
"USERGRID-581",11,3.0,11,3.0,0,0.0
"USERGRID-579",1109,3.0,1109,3.0,0,0.0
"USERGRID-578",0,3.0,0,3.0,0,0.0
"USERGRID-576",26,3.0,26,3.0,0,0.0
"USERGRID-575",29,3.0,29,3.0,0,0.0
"USERGRID-572",19,1.0,19,1.0,0,0.0
"USERGRID-568",0,8.0,0,"8.0",0,0.0
"USERGRID-567",49,5.0,49,5.0,0,0.0
"USERGRID-563",10,3.0,9,3.0,1,0.0
"USERGRID-561",17,3.0,17,"3.0",0,0.0
"USERGRID-560",11,3.0,11,3.0,0,0.0
"USERGRID-559",30,3.0,30,3.0,0,0.0
"USERGRID-556",13,5.0,13,"5.0",0,0.0
"USERGRID-555",9,3.0,9,3.0,0,0.0
"USERGRID-550",0,3.0,0,"3.0",0,0.0
"USERGRID-549",0,3.0,0,"3.0",0,0.0
"USERGRID-548",0,5.0,0,5.0,0,0.0
"USERGRID-546",34,3.0,21,3.0,13,0.0
"USERGRID-545",38,3.0,23,3.0,15,0.0
"USERGRID-544",18,3.0,18,3.0,0,0.0
"USERGRID-543",14,3.0,14,3.0,0,0.0
"USERGRID-542",21,5.0,21,5.0,0,0.0
"USERGRID-541",31,5.0,13,5.0,18,0.0
"USERGRID-539",24,3.0,24,3.0,0,0.0
"USERGRID-538",36,1.0,36,1.0,0,0.0
"USERGRID-536",22,8.0,22,"8.0",0,0.0
"USERGRID-535",17,3.0,17,3.0,0,0.0
"USERGRID-533",10,2.0,10,2.0,0,0.0
"USERGRID-532",0,2.0,0,2.0,0,0.0
"USERGRID-530",27,1.0,26,1.0,1,0.0
"USERGRID-529",422,5.0,422,"5.0",0,0.0
"USERGRID-527",40,3.0,40,3.0,0,0.0
"USERGRID-521",22,1.0,22,1.0,0,0.0
"USERGRID-519",73,3.0,73,3.0,0,0.0
"USERGRID-518",0,1.0,0,1.0,0,0.0
"USERGRID-515",55,3.0,55,"3.0",0,0.0
"USERGRID-511",29,3.0,29,3.0,0,0.0
"USERGRID-509",52,3.0,52,"3.0",0,0.0
"USERGRID-507",408,3.0,408,3.0,0,0.0
"USERGRID-505",304,5.0,304,5.0,0,0.0
"USERGRID-504",54,3.0,54,3.0,0,0.0
"USERGRID-502",7,2.0,7,2.0,0,0.0
"USERGRID-501",0,5.0,0,"5.0",0,0.0
"USERGRID-494",26,5.0,26,"5.0",0,0.0
"USERGRID-493",0,5.0,0,"5.0",0,0.0
"USERGRID-491",19,3.0,19,3.0,0,0.0
"USERGRID-490",49,1.0,49,1.0,0,0.0
"USERGRID-486",50,5.0,50,5.0,0,0.0
"USERGRID-479",265,3.0,265,3.0,0,0.0
"USERGRID-478",0,3.0,0,3.0,0,0.0
"USERGRID-474",22,1.0,22,1.0,0,0.0
"USERGRID-473",0,3.0,0,3.0,0,0.0
"USERGRID-466",29,5.0,29,5.0,0,0.0
"USERGRID-465",14,1.0,14,1.0,0,0.0
"USERGRID-462",14,3.0,13,3.0,1,0.0
"USERGRID-461",55,5.0,55,5.0,0,0.0
"USERGRID-457",0,3.0,0,3.0,0,0.0
"USERGRID-456",60,5.0,0,"5.0",60,0.0
"USERGRID-454",13,5.0,13,5.0,0,0.0
"USERGRID-451",0,3.0,0,3.0,0,0.0
"USERGRID-448",53,5.0,52,"5.0",1,0.0
"USERGRID-447",57,1.0,0,1.0,57,0.0
"USERGRID-443",22,3.0,22,"3.0",0,0.0
"USERGRID-442",377,3.0,376,3.0,1,0.0
"USERGRID-439",85,-1.0,85,3.0,0,-4.0
"USERGRID-432",0,3.0,0,3.0,0,0.0
"USERGRID-423",33,5.0,33,5.0,0,0.0
"USERGRID-419",38,3.0,38,3.0,0,0.0
"USERGRID-418",22,5.0,22,5.0,0,0.0
"USERGRID-416",0,3.0,0,3.0,0,0.0
"USERGRID-415",581,3.0,581,"3.0",0,0.0
"USERGRID-414",31,8.0,0,"8.0",31,0.0
"USERGRID-412",0,5.0,0,5.0,0,0.0
"USERGRID-409",42,8.0,0,"8.0",42,0.0
"USERGRID-405",62,5.0,0,"5.0",62,0.0
"USERGRID-396",88,3.0,11,3.0,77,0.0
"USERGRID-395",35,5.0,26,5.0,9,0.0
"USERGRID-393",0,5.0,0,"5.0",0,0.0
"USERGRID-388",23,3.0,0,3.0,23,0.0
"USERGRID-387",35,3.0,35,3.0,0,0.0
"USERGRID-386",0,5.0,0,"5.0",0,0.0
