"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TISTUD-8850",1067,3.0,1070,3.0,-3,0.0
"TISTUD-8848",25,3.0,25,"3.0",0,0.0
"TISTUD-8847",113,5.0,113,5.0,0,0.0
"TISTUD-8846",322,3.0,322,3.0,0,0.0
"TISTUD-8840",6,1.0,5,"1.0",1,0.0
"TISTUD-8838",86,3.0,86,3.0,0,0.0
"TISTUD-8836",15,8.0,14,8.0,1,0.0
"TISTUD-8835",34,5.0,21,5.0,13,0.0
"TISTUD-8829",101,8.0,101,8.0,0,0.0
"TISTUD-8827",22,13.0,14,13.0,8,0.0
"TISTUD-8820",29,5.0,27,5.0,2,0.0
"TISTUD-8819",92,5.0,92,5.0,0,0.0
"TISTUD-8817",40,13.0,21,13.0,19,0.0
"TISTUD-8806",21,3.0,21,3.0,0,0.0
"TISTUD-8803",20,13.0,20,13.0,0,0.0
"TISTUD-8800",22,13.0,22,13.0,0,0.0
"TISTUD-8799",19,5.0,19,5.0,0,0.0
"TISTUD-8798",27,3.0,27,3.0,0,0.0
"TISTUD-8797",24,8.0,24,8.0,0,0.0
"TISTUD-8795",68,3.0,37,3.0,31,0.0
"TISTUD-8794",137,3.0,95,"5.0",42,-2.0
"TISTUD-8792",42,5.0,42,5.0,0,0.0
"TISTUD-8791",80,8.0,80,8.0,0,0.0
"TISTUD-8788",152,2.0,152,2.0,0,0.0
"TISTUD-8787",33,3.0,33,3.0,0,0.0
"TISTUD-8781",94,8.0,95,8.0,-1,0.0
"TISTUD-8779",177,3.0,177,3.0,0,0.0
"TISTUD-8777",48,8.0,48,"8.0",0,0.0
"TISTUD-8776",38,8.0,38,8.0,0,0.0
"TISTUD-8775",67,5.0,67,5.0,0,0.0
"TISTUD-8772",90,5.0,75,5.0,15,0.0
"TISTUD-8770",124,5.0,124,5.0,0,0.0
"TISTUD-8769",60,5.0,60,5.0,0,0.0
"TISTUD-8764",38,21.0,38,21.0,0,0.0
"TISTUD-8760",114,5.0,114,5.0,0,0.0
"TISTUD-8753",304,5.0,304,5.0,0,0.0
"TISTUD-8750",33,13.0,33,13.0,0,0.0
"TISTUD-8749",38,5.0,38,5.0,0,0.0
"TISTUD-8747",19,5.0,33,5.0,-14,0.0
"TISTUD-8746",174,5.0,145,5.0,29,0.0
"TISTUD-8745",30,5.0,13,5.0,17,0.0
"TISTUD-8741",20,5.0,20,5.0,0,0.0
"TISTUD-8740",51,8.0,51,8.0,0,0.0
"TISTUD-8736",58,5.0,58,"5.0",0,0.0
