"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"MESOS-9321",64,3.0,64,"3.0",0,0.0
"MESOS-9318",57,5.0,57,"5.0",0,0.0
"MESOS-9317",2744,5.0,2744,5.0,0,0.0
"MESOS-9315",57,5.0,45,5.0,12,0.0
"MESOS-9308",9,1.0,9,1.0,0,0.0
"MESOS-9305",78,3.0,78,3.0,0,0.0
"MESOS-9302",155,2.0,155,2.0,0,0.0
"MESOS-9295",28,5.0,28,5.0,0,0.0
"MESOS-9293",126,3.0,126,3.0,0,0.0
"MESOS-9292",43,1.0,41,1.0,2,0.0
"MESOS-9283",104,3.0,104,3.0,0,0.0
"MESOS-9281",73,3.0,73,"3.0",0,0.0
"MESOS-9278",0,3.0,0,3.0,0,0.0
"MESOS-9275",93,3.0,93,"3.0",0,0.0
"MESOS-9274",36,3.0,36,3.0,0,0.0
"MESOS-9270",33,3.0,33,3.0,0,0.0
"MESOS-9266",89,-1.0,89,2.0,0,-3.0
"MESOS-9265",49,8.0,49,8.0,0,0.0
"MESOS-9258",42,5.0,42,5.0,0,0.0
"MESOS-9231",72,3.0,72,3.0,0,0.0
"MESOS-9229",0,-1.0,0,2.0,0,-3.0
"MESOS-9228",0,2.0,0,"2.0",0,0.0
"MESOS-9225",18,2.0,18,"1.0",0,1.0
"MESOS-9224",20,5.0,20,5.0,0,0.0
"MESOS-9223",70,3.0,70,3.0,0,0.0
"MESOS-9222",40,1.0,40,1.0,0,0.0
"MESOS-9217",13436,3.0,13436,"3.0",0,0.0
"MESOS-9213",31,-1.0,31,"3.0",0,-4.0
"MESOS-9210",57,3.0,57,3.0,0,0.0
"MESOS-9196",113,5.0,19,5.0,94,0.0
"MESOS-9194",18,3.0,18,3.0,0,0.0
"MESOS-9193",23,2.0,23,"2.0",0,0.0
"MESOS-9190",188,2.0,188,2.0,0,0.0
"MESOS-9187",22,5.0,0,5.0,22,0.0
"MESOS-9186",140,2.0,137,2.0,3,0.0
"MESOS-9185",46,3.0,46,3.0,0,0.0
"MESOS-9179",54,1.0,54,1.0,0,0.0
"MESOS-9177",78,3.0,78,3.0,0,0.0
"MESOS-9170",9,2.0,0,2.0,9,0.0
"MESOS-9164",34,3.0,34,3.0,0,0.0
"MESOS-9163",34,1.0,34,1.0,0,0.0
"MESOS-9160",49,1.0,49,1.0,0,0.0
"MESOS-9158",15,5.0,15,5.0,0,0.0
"MESOS-9156",39,1.0,0,1.0,39,0.0
"MESOS-9154",62,1.0,62,1.0,0,0.0
"MESOS-9152",24,3.0,24,"3.0",0,0.0
"MESOS-9151",475,8.0,475,8.0,0,0.0
"MESOS-9149",48,2.0,48,2.0,0,0.0
"MESOS-9147",64,3.0,64,3.0,0,0.0
"MESOS-9146",25,2.0,25,2.0,0,0.0
"MESOS-9144",143,3.0,134,3.0,9,0.0
"MESOS-9143",21,3.0,21,"3.0",0,0.0
"MESOS-9137",461,2.0,461,2.0,0,0.0
"MESOS-9131",555,5.0,555,"5.0",0,0.0
"MESOS-9130",69,1.0,69,1.0,0,0.0
"MESOS-9129",26,1.0,26,1.0,0,0.0
"MESOS-9125",67,1.0,67,1.0,0,0.0
"MESOS-9124",50,1.0,50,"1.0",0,0.0
"MESOS-9122",28,5.0,28,5.0,0,0.0
"MESOS-9116",213,5.0,125,"5.0",88,0.0
"MESOS-9112",126,2.0,126,2.0,0,0.0
"MESOS-9110",48,2.0,48,"2.0",0,0.0
"MESOS-9106",21,3.0,21,3.0,0,0.0
"MESOS-9105",13,5.0,13,5.0,0,0.0
"MESOS-9104",86,3.0,86,3.0,0,0.0
"MESOS-9099",31,3.0,31,3.0,0,0.0
"MESOS-9094",196,2.0,196,2.0,0,0.0
"MESOS-9089",34,1.0,34,1.0,0,0.0
"MESOS-9088",31,-1.0,31,3.0,0,-4.0
"MESOS-9086",39,3.0,39,3.0,0,0.0
"MESOS-9075",13,-1.0,13,2.0,0,-3.0
"MESOS-9074",52,-1.0,52,1.0,0,-2.0
"MESOS-9073",0,-1.0,0,1.0,0,-2.0
"MESOS-9070",1711,3.0,1711,3.0,0,0.0
"MESOS-9066",77,3.0,77,3.0,0,0.0
"MESOS-9056",85,1.0,172,1.0,-87,0.0
"MESOS-9055",22,3.0,22,3.0,0,0.0
"MESOS-9049",255,2.0,255,2.0,0,0.0
"MESOS-9039",42,2.0,42,2.0,0,0.0
"MESOS-9038",50,2.0,50,2.0,0,0.0
"MESOS-9037",102,1.0,102,1.0,0,0.0
"MESOS-9035",29,5.0,30,5.0,-1,0.0
"MESOS-9034",20,5.0,20,5.0,0,0.0
"MESOS-9033",13,3.0,13,3.0,0,0.0
"MESOS-9032",32,5.0,32,5.0,0,0.0
"MESOS-9027",22,2.0,20,2.0,2,0.0
"MESOS-9025",318,3.0,317,3.0,1,0.0
"MESOS-9015",53,2.0,53,"2.0",0,0.0
"MESOS-9014",9,1.0,9,1.0,0,0.0
"MESOS-9010",53,2.0,53,2.0,0,0.0
"MESOS-9009",76,5.0,76,5.0,0,0.0
"MESOS-9008",354,1.0,354,1.0,0,0.0
"MESOS-9000",140,3.0,82,3.0,58,0.0
"MESOS-8999",37,3.0,37,3.0,0,0.0
"MESOS-8998",39,-1.0,39,2.0,0,-3.0
"MESOS-8995",47,3.0,47,"3.0",0,0.0
"MESOS-8989",69,2.0,69,2.0,0,0.0
"MESOS-8987",52,5.0,52,5.0,0,0.0
"MESOS-8985",793,2.0,793,2.0,0,0.0
"MESOS-8975",17,5.0,17,5.0,0,0.0
"MESOS-8963",112,3.0,112,3.0,0,0.0
"MESOS-8961",67,1.0,67,1.0,0,0.0
"MESOS-8957",0,3.0,0,"5.0",0,-2.0
"MESOS-8954",90,1.0,90,1.0,0,0.0
"MESOS-8947",16,2.0,16,2.0,0,0.0
"MESOS-8945",242,2.0,242,2.0,0,0.0
"MESOS-8943",13,3.0,13,"3.0",0,0.0
"MESOS-8942",50,2.0,50,2.0,0,0.0
"MESOS-8936",37,5.0,37,5.0,0,0.0
"MESOS-8935",129,3.0,129,3.0,0,0.0
"MESOS-8932",27,2.0,27,2.0,0,0.0
"MESOS-8924",17,3.0,17,"3.0",0,0.0
"MESOS-8921",131,3.0,113,"2.0",18,1.0
"MESOS-8917",76,3.0,76,3.0,0,0.0
"MESOS-8911",10,3.0,10,3.0,0,0.0
"MESOS-8907",175,3.0,175,3.0,0,0.0
"MESOS-8906",41,2.0,41,2.0,0,0.0
"MESOS-8903",0,-1.0,0,5.0,0,-6.0
"MESOS-8892",474,1.0,474,1.0,0,0.0
"MESOS-8880",34,3.0,34,3.0,0,0.0
"MESOS-8876",64,2.0,64,2.0,0,0.0
"MESOS-8874",64,1.0,62,1.0,2,0.0
"MESOS-8873",24,2.0,24,2.0,0,0.0
"MESOS-8872",87,1.0,87,1.0,0,0.0
"MESOS-8871",49,3.0,49,3.0,0,0.0
"MESOS-8870",23,2.0,23,2.0,0,0.0
"MESOS-8866",22,1.0,22,1.0,0,0.0
"MESOS-8865",892,1.0,892,1.0,0,0.0
"MESOS-8851",82,3.0,82,3.0,0,0.0
"MESOS-8849",34,8.0,21,8.0,13,0.0
"MESOS-8848",15,2.0,15,2.0,0,0.0
"MESOS-8847",16,3.0,39,3.0,-23,0.0
"MESOS-8845",12,2.0,12,2.0,0,0.0
"MESOS-8844",10,2.0,10,2.0,0,0.0
"MESOS-8843",12,2.0,12,2.0,0,0.0
"MESOS-8838",34,2.0,34,2.0,0,0.0
