"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"XD-3765",6,-1.0,6,8.0,0,-9.0
"XD-3748",279,-1.0,279,1.0,0,-2.0
"XD-3747",6,-1.0,6,1.0,0,-2.0
"XD-3746",0,-1.0,0,1.0,0,-2.0
"XD-3745",10,-1.0,10,1.0,0,-2.0
"XD-3744",34,1.0,11,1.0,23,0.0
"XD-3743",10,1.0,10,1.0,0,0.0
"XD-3742",58,3.0,58,3.0,0,0.0
"XD-3741",75,1.0,75,1.0,0,0.0
"XD-3740",16,1.0,16,1.0,0,0.0
"XD-3739",109,5.0,106,5.0,3,0.0
"XD-3738",47,2.0,47,2.0,0,0.0
"XD-3737",23,1.0,23,1.0,0,0.0
"XD-3736",15,2.0,26,2.0,-11,0.0
"XD-3734",8,1.0,8,1.0,0,0.0
"XD-3733",17,1.0,17,1.0,0,0.0
"XD-3731",414,1.0,414,1.0,0,0.0
"XD-3730",25,-1.0,25,3.0,0,-4.0
"XD-3725",5,1.0,5,1.0,0,0.0
"XD-3721",73,1.0,73,1.0,0,0.0
"XD-3718",21,1.0,21,1.0,0,0.0
"XD-3716",7,2.0,7,2.0,0,0.0
"XD-3715",0,5.0,0,5.0,0,0.0
"XD-3714",15,3.0,15,3.0,0,0.0
"XD-3709",42,3.0,25,"3.0",17,0.0
"XD-3708",16,1.0,16,1.0,0,0.0
"XD-3705",16,5.0,16,5.0,0,0.0
"XD-3702",25,3.0,25,3.0,0,0.0
"XD-3701",33,1.0,33,1.0,0,0.0
"XD-3699",22,1.0,22,1.0,0,0.0
"XD-3698",30,1.0,30,1.0,0,0.0
"XD-3697",90,1.0,90,"3.0",0,-2.0
"XD-3696",13,1.0,13,1.0,0,0.0
"XD-3695",13,1.0,13,1.0,0,0.0
"XD-3693",18,1.0,18,1.0,0,0.0
"XD-3692",15,5.0,15,5.0,0,0.0
"XD-3691",19,2.0,19,2.0,0,0.0
"XD-3690",13,1.0,13,1.0,0,0.0
"XD-3689",25,3.0,25,3.0,0,0.0
"XD-3685",472,3.0,472,3.0,0,0.0
"XD-3684",20,3.0,20,3.0,0,0.0
"XD-3683",61,1.0,61,1.0,0,0.0
"XD-3673",17,5.0,17,5.0,0,0.0
"XD-3672",0,1.0,0,"3.0",0,-2.0
"XD-3670",16,5.0,16,5.0,0,0.0
"XD-3669",18,1.0,18,1.0,0,0.0
"XD-3654",16,3.0,16,3.0,0,0.0
"XD-3652",34,5.0,34,5.0,0,0.0
"XD-3651",22,1.0,22,1.0,0,0.0
"XD-3645",413,2.0,413,2.0,0,0.0
"XD-3644",19,5.0,19,5.0,0,0.0
"XD-3641",12,3.0,12,"2.0",0,1.0
"XD-3637",14,1.0,14,1.0,0,0.0
"XD-3636",17,1.0,17,1.0,0,0.0
"XD-3633",31,1.0,31,1.0,0,0.0
"XD-3629",19,3.0,19,3.0,0,0.0
"XD-3627",10,1.0,10,1.0,0,0.0
"XD-3622",19,3.0,19,3.0,0,0.0
"XD-3621",23,3.0,21,3.0,2,0.0
"XD-3619",24,3.0,24,"3.0",0,0.0
"XD-3617",0,2.0,0,2.0,0,0.0
"XD-3616",23,3.0,23,3.0,0,0.0
"XD-3610",28,3.0,27,"3.0",1,0.0
"XD-3602",19,2.0,20,2.0,-1,0.0
"XD-3601",34,3.0,34,3.0,0,0.0
"XD-3598",6,1.0,6,1.0,0,0.0
"XD-3597",19,3.0,19,3.0,0,0.0
"XD-3596",17,1.0,18,"2.0",-1,-1.0
"XD-3595",17,3.0,17,3.0,0,0.0
"XD-3594",19,3.0,19,3.0,0,0.0
"XD-3593",16,2.0,16,2.0,0,0.0
"XD-3589",76,8.0,76,8.0,0,0.0
"XD-3582",0,8.0,0,8.0,0,0.0
"XD-3581",0,3.0,0,3.0,0,0.0
"XD-3576",22,5.0,22,5.0,0,0.0
"XD-3575",19,5.0,19,5.0,0,0.0
"XD-3574",21,2.0,21,"2.0",0,0.0
"XD-3573",23,2.0,21,2.0,2,0.0
"XD-3571",20,2.0,20,"2.0",0,0.0
"XD-3570",21,1.0,21,1.0,0,0.0
"XD-3569",39,3.0,21,3.0,18,0.0
"XD-3568",217,3.0,217,3.0,0,0.0
"XD-3567",46,3.0,46,3.0,0,0.0
"XD-3566",18,3.0,18,3.0,0,0.0
"XD-3560",24,5.0,24,5.0,0,0.0
"XD-3556",23,5.0,23,5.0,0,0.0
"XD-3552",35,3.0,35,3.0,0,0.0
"XD-3508",20,3.0,20,3.0,0,0.0
"XD-3506",0,1.0,0,1.0,0,0.0
"XD-3505",28,3.0,19,3.0,9,0.0
"XD-3503",58,2.0,55,2.0,3,0.0
"XD-3502",0,1.0,0,1.0,0,0.0
"XD-3501",52,2.0,50,2.0,2,0.0
"XD-3493",22,3.0,0,3.0,22,0.0
"XD-3492",0,1.0,0,1.0,0,0.0
"XD-3491",0,3.0,0,3.0,0,0.0
"XD-3488",0,8.0,0,"2.0",0,6.0
"XD-3486",26,5.0,26,"5.0",0,0.0
"XD-3482",19,5.0,19,5.0,0,0.0
"XD-3469",27,3.0,27,3.0,0,0.0
"XD-3468",167,2.0,167,2.0,0,0.0
"XD-3466",21,1.0,21,1.0,0,0.0
"XD-3464",37,2.0,37,2.0,0,0.0
"XD-3463",21,2.0,21,2.0,0,0.0
"XD-3462",22,1.0,17,1.0,5,0.0
"XD-3461",26,1.0,26,1.0,0,0.0
"XD-3458",0,3.0,0,3.0,0,0.0
"XD-3456",19,3.0,19,3.0,0,0.0
"XD-3454",15,3.0,15,3.0,0,0.0
"XD-3451",30,2.0,30,2.0,0,0.0
"XD-3450",20,2.0,20,2.0,0,0.0
"XD-3447",18,8.0,18,8.0,0,0.0
"XD-3446",103,1.0,103,1.0,0,0.0
"XD-3445",21,3.0,21,3.0,0,0.0
"XD-3444",20,5.0,20,5.0,0,0.0
"XD-3436",18,3.0,18,3.0,0,0.0
"XD-3432",20,1.0,20,1.0,0,0.0
"XD-3430",32,8.0,32,8.0,0,0.0
"XD-3425",21,8.0,21,8.0,0,0.0
"XD-3424",67,3.0,67,"5.0",0,-2.0
"XD-3423",33,5.0,33,"4.0",0,1.0
"XD-3419",19,8.0,19,8.0,0,0.0
"XD-3417",14,1.0,14,"2.0",0,-1.0
"XD-3416",24,5.0,24,5.0,0,0.0
"XD-3412",22,3.0,22,"3.0",0,0.0
"XD-3404",24,2.0,24,2.0,0,0.0
"XD-3402",35,2.0,35,"2.0",0,0.0
"XD-3401",25,2.0,25,"2.0",0,0.0
"XD-3400",25,2.0,25,"2.0",0,0.0
"XD-3399",20,5.0,20,5.0,0,0.0
"XD-3398",23,1.0,13,1.0,10,0.0
"XD-3397",20,2.0,20,2.0,0,0.0
"XD-3396",27,3.0,27,3.0,0,0.0
"XD-3395",19,3.0,19,3.0,0,0.0
"XD-3394",53,1.0,53,1.0,0,0.0
"XD-3393",22,3.0,22,3.0,0,0.0
"XD-3387",39,2.0,39,2.0,0,0.0
"XD-3385",559,-1.0,559,3.0,0,-4.0
"XD-3384",26,8.0,26,8.0,0,0.0
"XD-3381",60,5.0,60,5.0,0,0.0
"XD-3380",38,5.0,38,5.0,0,0.0
"XD-3378",22,8.0,22,"8.0",0,0.0
"XD-3377",29,5.0,29,"5.0",0,0.0
"XD-3376",20,2.0,20,"2.0",0,0.0
"XD-3374",20,2.0,20,2.0,0,0.0
"XD-3373",44,5.0,44,5.0,0,0.0
"XD-3370",24,2.0,24,"2.0",0,0.0
"XD-3369",21,2.0,21,"2.0",0,0.0
"XD-3367",21,2.0,21,2.0,0,0.0
"XD-3366",21,2.0,21,2.0,0,0.0
"XD-3364",21,2.0,21,"2.0",0,0.0
"XD-3362",20,2.0,20,2.0,0,0.0
"XD-3359",46,5.0,46,5.0,0,0.0
"XD-3358",18,1.0,18,"1.0",0,0.0
"XD-3354",11,3.0,11,3.0,0,0.0
"XD-3353",21,5.0,15,5.0,6,0.0
"XD-3352",19,3.0,19,3.0,0,0.0
