"issue_key","concatSprintCount","sp_sprint","concatCreateCount","firststorypoints","wordsDiff","sp_diff"
"TIMOB-26484",57,5.0,57,5.0,0,0.0
"TIMOB-26481",76,1.0,76,1.0,0,0.0
"TIMOB-26479",27,3.0,27,3.0,0,0.0
"TIMOB-26477",549,3.0,255,3.0,294,0.0
"TIMOB-26467",11,-1.0,11,8.0,0,-9.0
"TIMOB-26466",10,-1.0,10,8.0,0,-9.0
"TIMOB-26464",54,5.0,56,5.0,-2,0.0
"TIMOB-26460",139,13.0,139,13.0,0,0.0
"TIMOB-26459",126,5.0,96,5.0,30,0.0
"TIMOB-26457",39,5.0,39,5.0,0,0.0
"TIMOB-26455",18,3.0,18,3.0,0,0.0
"TIMOB-26451",37,8.0,36,8.0,1,0.0
"TIMOB-26447",245,-1.0,245,2.0,0,-3.0
"TIMOB-26444",68,3.0,68,3.0,0,0.0
"TIMOB-26436",23,5.0,23,5.0,0,0.0
"TIMOB-26433",203,3.0,203,3.0,0,0.0
"TIMOB-26427",156,13.0,156,13.0,0,0.0
"TIMOB-26424",26,5.0,26,5.0,0,0.0
"TIMOB-26415",42,11.0,42,11.0,0,0.0
"TIMOB-26411",39,13.0,39,13.0,0,0.0
"TIMOB-26404",83,1.0,83,1.0,0,0.0
"TIMOB-26403",365,13.0,191,13.0,174,0.0
"TIMOB-26402",27,8.0,27,8.0,0,0.0
"TIMOB-26389",136,2.0,139,2.0,-3,0.0
"TIMOB-26388",46,8.0,44,8.0,2,0.0
"TIMOB-26378",7,-1.0,7,3.0,0,-4.0
"TIMOB-26376",66,-1.0,66,7.0,0,-8.0
"TIMOB-26372",88,3.0,88,3.0,0,0.0
"TIMOB-26371",356,1.0,356,1.0,0,0.0
"TIMOB-26360",20,5.0,20,5.0,0,0.0
"TIMOB-26357",11,13.0,11,13.0,0,0.0
"TIMOB-26356",11,13.0,11,13.0,0,0.0
"TIMOB-26355",11,13.0,11,13.0,0,0.0
"TIMOB-26354",15,-1.0,15,"3.0",0,-4.0
"TIMOB-26344",114,5.0,116,5.0,-2,0.0
"TIMOB-26341",171,-1.0,171,3.0,0,-4.0
"TIMOB-26340",41,13.0,41,13.0,0,0.0
"TIMOB-26333",19,5.0,19,5.0,0,0.0
"TIMOB-26331",52,13.0,50,13.0,2,0.0
"TIMOB-26329",40,7.0,37,7.0,3,0.0
"TIMOB-26325",24,5.0,24,5.0,0,0.0
"TIMOB-26318",362,2.0,360,2.0,2,0.0
"TIMOB-26314",116,3.0,118,3.0,-2,0.0
"TIMOB-26313",43,2.0,43,2.0,0,0.0
"TIMOB-26311",101,8.0,101,8.0,0,0.0
"TIMOB-26306",55,13.0,55,13.0,0,0.0
"TIMOB-26295",96,1.0,96,1.0,0,0.0
"TIMOB-26285",29,-1.0,29,1.0,0,-2.0
"TIMOB-26278",26,2.0,25,2.0,1,0.0
"TIMOB-26275",14,3.0,14,3.0,0,0.0
"TIMOB-26274",144,3.0,106,3.0,38,0.0
"TIMOB-26253",306,-1.0,306,3.0,0,-4.0
"TIMOB-26250",147,1.0,147,1.0,0,0.0
"TIMOB-26249",156,7.0,156,7.0,0,0.0
"TIMOB-26242",113,5.0,100,5.0,13,0.0
"TIMOB-26240",269,-1.0,269,1.0,0,-2.0
"TIMOB-26235",21,13.0,21,13.0,0,0.0
"TIMOB-26227",16,8.0,13,8.0,3,0.0
"TIMOB-26225",265,8.0,265,8.0,0,0.0
"TIMOB-26222",68,3.0,29,3.0,39,0.0
"TIMOB-26221",190,1.0,187,1.0,3,0.0
"TIMOB-26218",89,1.0,89,1.0,0,0.0
"TIMOB-26217",98,1.0,98,1.0,0,0.0
"TIMOB-26213",156,7.0,152,7.0,4,0.0
"TIMOB-26211",119,5.0,120,5.0,-1,0.0
"TIMOB-26210",181,8.0,181,8.0,0,0.0
"TIMOB-26209",85,5.0,85,5.0,0,0.0
"TIMOB-26207",62,1.0,62,1.0,0,0.0
"TIMOB-26206",59,1.0,59,1.0,0,0.0
"TIMOB-26205",192,1.0,190,1.0,2,0.0
"TIMOB-26204",99,1.0,98,1.0,1,0.0
"TIMOB-26184",22,1.0,22,1.0,0,0.0
"TIMOB-26182",193,3.0,193,3.0,0,0.0
"TIMOB-26181",16,3.0,16,3.0,0,0.0
"TIMOB-26179",112,3.0,112,3.0,0,0.0
"TIMOB-26177",254,8.0,259,"3.0",-5,5.0
"TIMOB-26173",67,3.0,67,3.0,0,0.0
"TIMOB-26172",259,3.0,259,3.0,0,0.0
"TIMOB-26167",171,3.0,22,3.0,149,0.0
"TIMOB-26161",85,5.0,85,5.0,0,0.0
"TIMOB-26159",95,8.0,95,8.0,0,0.0
"TIMOB-26158",47,8.0,47,8.0,0,0.0
"TIMOB-26152",86,8.0,86,8.0,0,0.0
"TIMOB-26151",51,2.0,51,2.0,0,0.0
"TIMOB-26150",195,13.0,195,13.0,0,0.0
"TIMOB-26149",24,3.0,24,3.0,0,0.0
"TIMOB-26144",131,5.0,131,5.0,0,0.0
"TIMOB-26141",109,3.0,122,3.0,-13,0.0
"TIMOB-26140",27,13.0,27,13.0,0,0.0
"TIMOB-26139",33,13.0,33,13.0,0,0.0
"TIMOB-26137",27,8.0,26,8.0,1,0.0
"TIMOB-26131",103,-1.0,103,3.0,0,-4.0
"TIMOB-26130",21,3.0,21,3.0,0,0.0
"TIMOB-26128",67,3.0,67,3.0,0,0.0
"TIMOB-26127",116,5.0,115,5.0,1,0.0
"TIMOB-26126",46,2.0,46,2.0,0,0.0
"TIMOB-26124",78,1.0,78,1.0,0,0.0
"TIMOB-26123",46,21.0,24,21.0,22,0.0
"TIMOB-26121",28,5.0,28,5.0,0,0.0
"TIMOB-26120",52,13.0,52,13.0,0,0.0
"TIMOB-26117",146,5.0,147,5.0,-1,0.0
"TIMOB-26115",38,5.0,19,"8.0",19,-3.0
"TIMOB-26113",21,3.0,18,"5.0",3,-2.0
"TIMOB-26109",24,3.0,24,3.0,0,0.0
