"EB","LINK","OB","STEP","TASK","created","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype"
0,0,0,0,0,"2016-06-21T13:17:27.000+0000",False,False,False,False,"CLOV-1956","Bug"
0,2,0,0,0,"2016-06-21T04:33:35.000+0000",False,False,False,False,"CLOV-1953","Bug"
0,0,0,0,1,"2016-06-15T10:14:15.000+0000",False,True,True,False,"CLOV-1951","Improvement"
0,0,0,0,0,"2016-02-18T11:45:43.000+0000",False,False,False,False,"CLOV-1892","New Feature"
0,0,0,0,0,"2016-02-18T11:38:24.000+0000",False,False,False,False,"CLOV-1890","New Feature"
0,0,0,0,0,"2016-02-18T10:58:23.000+0000",False,False,False,False,"CLOV-1888","New Feature"
0,0,0,0,0,"2016-02-18T10:53:04.000+0000",False,False,False,False,"CLOV-1887","New Feature"
0,0,0,0,0,"2016-02-12T06:07:02.000+0000",False,False,False,False,"CLOV-1884","Bug"
0,0,0,0,2,"2015-12-08T14:29:12.000+0000",False,False,False,False,"CLOV-1861","Task"
0,0,0,0,0,"2015-12-08T12:35:05.000+0000",False,False,False,False,"CLOV-1859","Improvement"
0,0,0,0,0,"2015-12-04T11:35:15.000+0000",False,False,False,False,"CLOV-1852","Task"
0,0,0,0,0,"2015-12-03T13:19:10.000+0000",False,False,False,False,"CLOV-1848","Task"
0,0,0,0,0,"2015-11-03T23:04:34.000+0000",False,False,False,False,"CLOV-1834","Bug"
0,0,0,0,0,"2015-10-28T15:32:20.000+0000",False,False,False,False,"CLOV-1827","Improvement"
0,0,0,0,0,"2015-10-26T10:40:38.000+0000",False,False,False,False,"CLOV-1825","Improvement"
0,0,0,0,0,"2015-10-23T12:37:35.000+0000",False,False,False,False,"CLOV-1824","Task"
0,0,0,0,0,"2015-10-22T13:09:41.000+0000",True,False,False,False,"CLOV-1817","Improvement"
0,0,0,0,2,"2015-10-07T06:36:42.000+0000",False,False,False,False,"CLOV-1804","Improvement"
0,1,0,0,0,"2015-09-25T12:04:53.000+0000",False,False,False,False,"CLOV-1797","Improvement"
0,0,0,0,4,"2015-09-21T11:42:48.000+0000",False,False,False,False,"CLOV-1794","Improvement"
0,0,0,0,0,"2015-09-21T11:42:04.000+0000",False,False,False,False,"CLOV-1793","Improvement"
0,0,0,0,0,"2015-09-21T11:39:52.000+0000",False,False,False,False,"CLOV-1792","Improvement"
0,0,0,0,5,"2015-08-13T07:32:59.000+0000",False,False,False,False,"CLOV-1780","Improvement"
0,0,0,0,0,"2015-08-05T15:40:06.000+0000",False,True,True,False,"CLOV-1779","Bug"
0,0,0,0,0,"2015-07-27T05:46:26.000+0000",True,True,False,False,"CLOV-1776","Bug"
0,2,0,0,0,"2015-07-24T14:08:06.000+0000",False,True,False,False,"CLOV-1775","Improvement"
0,0,0,0,0,"2015-07-17T10:10:57.000+0000",False,False,False,False,"CLOV-1771","Task"
0,0,0,0,0,"2015-07-08T12:57:36.000+0000",True,False,False,False,"CLOV-1766","Bug"
0,1,0,0,0,"2015-07-02T06:32:23.000+0000",False,False,False,False,"CLOV-1761","New Feature"
0,0,0,0,0,"2015-06-22T08:03:39.000+0000",False,False,False,False,"CLOV-1757","Improvement"
