"EB","LINK","OB","STEP","TASK","created","has_ATTACHMENT","has_CODE","has_STACK","has_TESTCASE","issue_key","issuetype"
0,0,0,0,22,"2018-11-14T22:12:34.000+0000",False,True,False,False,"TIMOB-26560","Improvement"
0,0,0,0,0,"2018-11-14T03:41:30.000+0000",False,True,False,False,"TIMOB-26556","Improvement"
0,2,0,4,0,"2018-11-13T23:44:39.000+0000",False,True,False,False,"TIMOB-26555","Bug"
1,0,1,2,0,"2018-11-13T13:19:02.000+0000",False,True,False,False,"TIMOB-26551","Bug"
0,0,0,0,0,"2018-11-13T13:02:30.000+0000",False,True,False,True,"TIMOB-26550","Bug"
1,0,1,0,0,"2018-11-13T12:03:35.000+0000",False,True,False,True,"TIMOB-26549","Bug"
0,0,0,0,0,"2018-11-10T20:19:20.000+0000",False,True,False,False,"TIMOB-26545","Bug"
1,0,1,0,0,"2018-11-09T17:16:25.000+0000",False,True,False,True,"TIMOB-26540","Bug"
0,0,0,5,0,"2018-11-09T04:02:33.000+0000",True,True,False,False,"TIMOB-26539","Bug"
0,2,0,5,0,"2018-11-09T02:48:38.000+0000",True,True,False,False,"TIMOB-26538","Bug"
0,0,0,0,2,"2018-11-08T22:16:24.000+0000",False,True,False,True,"TIMOB-26535","Bug"
0,0,0,0,0,"2018-11-08T19:23:21.000+0000",False,True,False,False,"TIMOB-26534","Bug"
1,0,1,0,0,"2018-11-08T15:16:19.000+0000",False,True,False,True,"TIMOB-26533","Bug"
0,0,0,0,1,"2018-11-07T17:33:21.000+0000",False,True,False,False,"TIMOB-26529","Bug"
0,0,0,0,0,"2018-11-07T07:07:42.000+0000",True,True,False,False,"TIMOB-26525","Bug"
0,1,0,1,0,"2018-11-07T01:59:42.000+0000",False,True,False,False,"TIMOB-26524","Bug"
0,0,0,0,6,"2018-11-05T19:37:16.000+0000",True,False,False,False,"TIMOB-26521","Bug"
0,0,0,0,0,"2018-11-05T12:40:30.000+0000",True,True,False,False,"TIMOB-26518","Story"
0,0,0,0,0,"2018-11-05T10:39:59.000+0000",False,False,False,False,"TIMOB-26517","Story"
0,0,0,0,0,"2018-11-02T19:02:45.000+0000",False,True,False,False,"TIMOB-26513","Bug"
1,1,1,1,3,"2018-11-01T15:07:47.000+0000",False,True,False,False,"TIMOB-26510","Bug"
0,0,0,0,0,"2018-11-01T08:52:47.000+0000",False,True,False,False,"TIMOB-26508","Improvement"
0,1,0,0,2,"2018-10-31T21:34:45.000+0000",False,True,False,False,"TIMOB-26506","Bug"
0,0,0,13,0,"2018-10-31T02:25:59.000+0000",False,True,False,False,"TIMOB-26503","Improvement"
0,1,0,0,0,"2018-10-30T07:06:26.000+0000",False,True,False,False,"TIMOB-26498","New Feature"
0,0,0,0,1,"2018-10-29T19:03:55.000+0000",False,False,False,False,"TIMOB-26496","Bug"
0,0,0,0,0,"2018-10-25T01:49:10.000+0000",True,True,False,False,"TIMOB-26484","New Feature"
0,0,0,0,0,"2018-10-23T18:56:26.000+0000",False,True,False,False,"TIMOB-26481","Improvement"
0,0,0,0,0,"2018-10-18T13:23:12.000+0000",True,False,False,False,"TIMOB-26479","Bug"
0,0,0,0,0,"2018-10-12T09:30:58.000+0000",True,True,False,False,"TIMOB-26477","Bug"
0,1,0,0,0,"2018-10-18T23:56:08.000+0000",False,True,False,False,"TIMOB-26464","New Feature"
0,0,0,10,0,"2018-10-18T01:23:25.000+0000",False,True,False,False,"TIMOB-26460","Bug"
0,2,0,0,2,"2018-10-18T00:52:15.000+0000",True,True,False,False,"TIMOB-26459","New Feature"
0,0,0,0,0,"2018-10-17T01:02:10.000+0000",False,True,False,False,"TIMOB-26457","Bug"
0,0,0,0,1,"2018-10-16T20:32:56.000+0000",False,True,False,False,"TIMOB-26455","Bug"
0,1,0,0,2,"2018-10-12T00:56:43.000+0000",False,True,False,True,"TIMOB-26451","Bug"
0,0,0,0,0,"2018-10-01T11:48:50.000+0000",False,False,False,False,"TIMOB-26436","Bug"
0,0,0,0,1,"2018-09-27T21:27:48.000+0000",True,False,True,False,"TIMOB-26433","Bug"
0,1,0,0,2,"2018-10-02T01:55:53.000+0000",False,True,False,False,"TIMOB-26427","New Feature"
0,0,0,0,1,"2018-10-01T17:23:01.000+0000",False,True,False,False,"TIMOB-26424","Bug"
0,2,0,0,0,"2018-09-27T00:52:21.000+0000",True,False,False,False,"TIMOB-26415","New Feature"
0,0,0,0,0,"2018-09-25T18:59:50.000+0000",False,False,False,False,"TIMOB-26411","Improvement"
0,0,0,0,1,"2018-09-21T06:14:03.000+0000",False,True,True,False,"TIMOB-26404","Bug"
1,1,1,0,3,"2018-09-20T13:26:14.000+0000",False,True,False,False,"TIMOB-26403","Bug"
0,0,0,0,2,"2018-09-20T12:36:20.000+0000",False,True,False,False,"TIMOB-26402","Improvement"
1,0,1,2,0,"2018-09-13T14:02:36.000+0000",True,True,False,False,"TIMOB-26389","Bug"
