"issue_key","issuetype","created","STEP","OB","EB","has_CODE","has_STACK","has_TESTCASE","TASK","has_ATTACHMENT","LINK"
"TISTUD-8929","Bug","2017-11-26T02:53:26.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8928","Bug","2017-11-26T01:18:14.000+0000",0,0,0,True,False,False,0,False,0
"TISTUD-8927","Improvement","2017-11-26T01:05:16.000+0000",0,0,0,True,True,False,0,False,0
"TISTUD-8926","Improvement","2017-11-24T03:53:14.000+0000",0,0,0,False,False,False,0,True,0
"TISTUD-8925","Bug","2017-11-23T13:33:11.000+0000",0,0,0,True,True,False,0,False,0
"TISTUD-8922","Bug","2017-11-22T18:19:27.000+0000",0,2,1,True,False,False,2,False,1
"TISTUD-8919","Bug","2017-11-22T05:50:09.000+0000",0,0,0,True,True,False,0,True,0
"TISTUD-8918","Bug","2017-11-18T04:51:55.000+0000",2,1,1,True,True,False,0,False,0
"TISTUD-8916","Bug","2017-11-16T10:29:54.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8913","Bug","2017-11-17T18:52:08.000+0000",0,0,0,True,True,False,0,False,0
"TISTUD-8912","Bug","2017-11-16T18:32:20.000+0000",0,0,0,False,False,False,1,False,0
"TISTUD-8911","Improvement","2017-11-16T17:35:53.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8905","Bug","2017-11-06T02:31:12.000+0000",0,0,0,False,False,False,1,True,1
"TISTUD-8902","Bug","2017-10-31T01:20:19.000+0000",0,0,0,False,False,False,2,True,0
"TISTUD-8898","Bug","2017-10-21T04:05:21.000+0000",0,0,0,False,False,False,0,True,0
"TISTUD-8890","Improvement","2017-10-13T03:58:17.000+0000",0,0,0,False,False,False,4,False,0
"TISTUD-8889","Bug","2017-10-12T07:30:56.000+0000",0,0,0,True,True,False,0,False,0
"TISTUD-8885","Bug","2017-10-10T21:04:48.000+0000",2,1,1,False,False,False,0,True,0
"TISTUD-8883","Bug","2017-10-10T12:23:52.000+0000",0,1,1,True,True,False,4,True,0
"TISTUD-8882","Bug","2017-10-10T09:04:52.000+0000",3,1,1,True,True,False,0,False,0
"TISTUD-8881","Bug","2017-10-06T21:03:09.000+0000",1,0,0,False,False,False,0,False,0
"TISTUD-8880","New Feature","2017-10-09T10:03:15.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8878","Improvement","2017-10-02T04:05:54.000+0000",0,0,0,True,False,False,3,True,1
"TISTUD-8875","Bug","2017-09-26T20:32:49.000+0000",0,0,0,True,False,False,0,False,0
"TISTUD-8873","Improvement","2017-09-27T02:58:28.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8866","Improvement","2017-09-19T04:36:54.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8865","Improvement","2017-09-19T04:23:33.000+0000",0,0,0,False,False,False,0,False,0
"TISTUD-8864","Improvement","2017-09-19T04:06:18.000+0000",0,0,0,False,False,False,0,False,1
"TISTUD-8859","Bug","2017-09-11T10:57:08.000+0000",0,0,0,True,True,False,1,False,0
"TISTUD-8852","Improvement","2017-08-23T12:27:24.000+0000",0,0,0,False,False,False,0,True,0
"TISTUD-8848","Improvement","2017-08-21T09:04:40.000+0000",0,0,0,False,False,False,0,False,0
