"issue_key","issuetype","created","STEP","OB","EB","has_CODE","has_STACK","has_TESTCASE","TASK","has_ATTACHMENT","LINK"
"XD-3576","Story","2015-10-02T22:48:56.000+0000",0,0,0,False,False,False,0,False,0
"XD-3575","Story","2015-10-02T22:45:11.000+0000",0,0,0,False,False,False,0,False,0
"XD-3574","Story","2015-10-02T22:43:06.000+0000",0,0,0,False,False,False,0,False,0
"XD-3573","Story","2015-10-02T22:42:00.000+0000",0,0,0,True,False,False,0,False,0
"XD-3571","Story","2015-10-02T17:55:14.000+0000",0,0,0,True,False,False,0,False,0
"XD-3570","Story","2015-10-02T16:16:37.000+0000",0,0,0,False,False,False,0,False,1
"XD-3569","Story","2015-10-02T15:05:53.000+0000",0,0,0,False,False,False,0,False,1
"XD-3568","Bug","2015-10-02T03:02:25.000+0000",0,0,0,True,True,False,0,False,1
"XD-3567","Bug","2015-10-01T21:44:39.000+0000",0,0,0,False,False,False,4,False,0
"XD-3566","Story","2015-10-01T13:39:32.000+0000",0,0,0,False,False,False,0,False,0
"XD-3560","Story","2015-09-30T08:09:36.000+0000",0,0,0,False,False,False,0,False,0
"XD-3556","Story","2015-09-29T22:02:52.000+0000",0,0,0,True,False,False,0,False,0
"XD-3552","Story","2015-09-29T20:59:49.000+0000",0,0,0,True,False,False,0,False,0
"XD-3508","Bug","2015-09-25T21:51:55.000+0000",0,0,0,True,False,False,0,False,0
"XD-3506","Bug","2015-09-25T16:55:49.000+0000",0,0,0,False,False,False,0,False,0
"XD-3505","Bug","2015-09-25T16:37:33.000+0000",0,0,0,False,False,False,0,False,1
"XD-3503","Story","2015-09-24T13:40:46.000+0000",0,0,0,True,False,False,0,False,0
"XD-3502","Story","2015-09-22T13:16:13.000+0000",0,0,0,False,False,False,0,False,0
"XD-3501","Story","2015-09-21T17:48:25.000+0000",0,0,0,True,False,False,0,False,1
"XD-3493","Story","2015-09-21T15:59:52.000+0000",0,0,0,False,False,False,0,False,0
"XD-3492","Story","2015-09-21T15:57:46.000+0000",0,0,0,False,False,False,0,False,0
"XD-3491","Story","2015-09-21T15:57:15.000+0000",0,0,0,False,False,False,0,False,0
"XD-3488","Story","2015-09-21T14:55:33.000+0000",0,0,0,False,False,False,0,False,0
"XD-3486","Story","2015-09-21T02:37:02.000+0000",0,0,0,True,False,False,0,False,0
"XD-3482","Story","2015-09-21T01:57:10.000+0000",0,0,0,True,False,False,0,False,0
"XD-3469","Improvement","2015-09-10T20:42:50.000+0000",0,0,0,False,False,False,0,False,0
"XD-3468","Bug","2015-09-09T18:35:27.000+0000",0,0,0,False,True,False,0,False,0
"XD-3466","Story","2015-09-09T17:45:55.000+0000",0,0,0,False,False,False,0,False,0
"XD-3464","Bug","2015-09-08T15:05:39.000+0000",0,0,0,False,False,False,0,False,0
"XD-3463","Story","2015-09-07T16:10:23.000+0000",0,0,0,False,False,False,0,False,1
"XD-3462","Story","2015-09-07T15:14:53.000+0000",0,0,0,False,False,False,0,False,1
"XD-3461","Story","2015-09-03T12:38:29.000+0000",0,0,0,False,False,False,0,False,0
"XD-3458","Story","2015-09-02T16:05:09.000+0000",0,0,0,False,False,False,0,False,0
"XD-3456","Story","2015-09-02T16:02:56.000+0000",0,0,0,False,False,False,0,False,0
"XD-3454","Story","2015-09-02T13:49:14.000+0000",0,0,0,False,False,False,0,False,0
"XD-3451","Story","2015-09-02T10:51:05.000+0000",0,0,0,False,False,False,0,False,0
"XD-3450","Story","2015-09-02T10:45:14.000+0000",0,0,0,False,False,False,0,False,0
"XD-3447","Story","2015-09-02T00:24:32.000+0000",0,0,0,False,False,False,0,False,0
"XD-3446","Story","2015-09-02T00:07:53.000+0000",0,0,0,True,False,True,0,True,1
"XD-3445","Story","2015-08-31T22:48:09.000+0000",0,0,0,True,False,False,0,False,0
"XD-3444","Story","2015-08-31T22:05:56.000+0000",0,0,0,True,False,False,0,False,0
"XD-3432","Story","2015-08-25T18:42:18.000+0000",0,0,0,False,False,False,0,False,0
"XD-3430","Story","2015-08-25T09:00:53.000+0000",0,0,0,True,False,False,0,False,0
"XD-3425","Story","2015-08-24T10:49:14.000+0000",0,0,0,True,False,False,0,False,0
"XD-3424","Bug","2015-08-21T17:18:13.000+0000",0,0,0,False,False,False,2,False,0
"XD-3423","Story","2015-08-21T08:02:37.000+0000",0,0,0,False,False,False,0,False,0
"XD-3419","Story","2015-08-20T09:22:32.000+0000",0,0,0,True,False,False,0,False,0
"XD-3416","Story","2015-08-19T11:03:26.000+0000",0,0,0,True,False,False,0,False,0
"XD-3412","Story","2015-08-19T08:44:19.000+0000",0,0,0,False,False,False,0,False,0
"XD-3404","Story","2015-08-18T09:53:31.000+0000",0,0,0,False,False,False,0,False,0
"XD-3402","Story","2015-08-18T09:46:34.000+0000",0,0,0,True,False,False,0,False,0
"XD-3401","Story","2015-08-18T09:42:17.000+0000",0,0,0,True,False,False,0,False,0
"XD-3400","Story","2015-08-18T09:38:37.000+0000",0,0,0,False,False,False,0,False,0
"XD-3398","Story","2015-08-17T14:30:51.000+0000",0,0,0,True,False,False,0,False,0
"XD-3395","Story","2015-08-17T07:48:57.000+0000",0,0,0,False,False,False,2,False,0
"XD-3394","Story","2015-08-14T11:11:42.000+0000",0,0,0,True,False,False,0,False,0
"XD-3387","Story","2015-08-11T14:20:45.000+0000",0,0,0,False,False,False,0,True,0
"XD-3384","Story","2015-08-10T08:19:08.000+0000",0,0,0,True,False,False,0,False,0
"XD-3381","Story","2015-08-10T03:48:19.000+0000",0,0,0,False,False,False,5,False,0
"XD-3380","Story","2015-08-10T03:43:52.000+0000",0,0,0,False,False,False,0,False,0
"XD-3378","Story","2015-08-09T18:43:05.000+0000",0,0,0,True,False,False,0,False,0
"XD-3377","Story","2015-08-07T20:10:47.000+0000",0,0,0,False,False,False,0,False,0
"XD-3376","Story","2015-08-07T16:52:25.000+0000",0,0,0,True,False,False,0,False,0
"XD-3374","Story","2015-08-07T16:51:23.000+0000",0,0,0,True,False,False,0,False,0
"XD-3373","Bug","2015-08-07T16:13:19.000+0000",0,0,0,False,False,False,0,True,0
"XD-3370","Story","2015-08-06T15:08:47.000+0000",0,0,0,True,False,False,0,False,0
"XD-3369","Story","2015-08-06T15:08:09.000+0000",0,0,0,True,False,False,0,False,0
"XD-3367","Story","2015-08-06T15:07:06.000+0000",0,0,0,True,False,False,0,False,0
"XD-3366","Story","2015-08-06T15:06:25.000+0000",0,0,0,True,False,False,0,False,0
"XD-3364","Story","2015-08-06T15:04:29.000+0000",0,0,0,True,False,False,0,False,0
"XD-3362","Story","2015-08-06T14:59:09.000+0000",0,0,0,True,False,False,0,False,0
"XD-3359","Story","2015-08-06T12:54:07.000+0000",0,0,0,False,False,False,3,False,0
"XD-3358","Bug","2015-08-06T11:27:36.000+0000",0,0,0,False,False,False,0,False,1
"XD-3354","Story","2015-08-05T12:15:13.000+0000",0,0,0,False,False,False,0,False,0
"XD-3353","Story","2015-08-05T12:14:17.000+0000",0,0,0,False,False,False,0,False,0
"XD-3352","Story","2015-08-05T10:54:27.000+0000",0,0,0,False,False,False,0,False,0
"XD-3351","Story","2015-08-05T10:52:02.000+0000",0,0,0,False,False,False,0,False,0
"XD-3350","Story","2015-08-05T10:39:34.000+0000",0,0,0,True,False,False,0,False,0
