"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6"
"USERGRID-419",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9773713946342468
"USERGRID-714",False,"train",0.017896397039294243,0.8927038908004761,0.01787000522017479,0.017912227660417557,0.017876092344522476,0.017876237630844116,0.01786516048014164
"USERGRID-519",False,"train",0.0,0.0,0.0,0.9883918166160583,0.0,0.0,0.0
"USERGRID-561",True,"train",0.0,0.0,0.9495338797569275,0.0,0.0,0.0,0.0
"USERGRID-543",False,"train",0.010219795629382133,0.9386889338493347,0.010234333574771881,0.010219266638159752,0.010213485918939114,0.010212556459009647,0.010211672633886337
"USERGRID-539",False,"train",0.0,0.0,0.0,0.0,0.9656752347946167,0.0,0.0
"USERGRID-877",False,"train",0.0,0.0,0.0,0.954822301864624,0.0,0.0,0.0
"USERGRID-687",False,"train",0.023835565894842148,0.023813260719180107,0.023836323991417885,0.02381950244307518,0.8570127487182617,0.02383783645927906,0.023844724521040916
"USERGRID-1073",False,"train",0.035717010498046875,0.7854810357093811,0.03571704775094986,0.03580377623438835,0.035741548985242844,0.03571702167391777,0.0358225516974926
"USERGRID-1052",False,"train",0.0,0.0,0.12017212808132172,0.8522810935974121,0.0,0.0,0.0
"USERGRID-663",False,"train",0.07144740968942642,0.07144768536090851,0.0714477002620697,0.07186046242713928,0.5709018111228943,0.07144748419523239,0.07144743204116821
"USERGRID-654",False,"train",0.9925350546836853,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-593",False,"train",0.0,0.0,0.0,0.9722594618797302,0.0,0.0,0.0
"USERGRID-876",False,"train",0.01589887961745262,0.015892567113041878,0.9046429991722107,0.01588052324950695,0.015894237905740738,0.015912050381302834,0.015878770500421524
"USERGRID-860",False,"train",0.011920440010726452,0.011907590553164482,0.9285202026367188,0.011918643489480019,0.011907007545232773,0.011917304247617722,0.011908826418220997
"USERGRID-659",False,"train",0.7140602469444275,0.04767228662967682,0.04763217642903328,0.04765128344297409,0.047667790204286575,0.04766962304711342,0.04764658957719803
"USERGRID-689",False,"train",0.028728488832712173,0.028606286272406578,0.028641352429986,0.8281001448631287,0.028652656823396683,0.02864416502416134,0.0286269411444664
"USERGRID-589",True,"train",0.011924251914024353,0.011951575987040997,0.01193586178123951,0.011915882118046284,0.011941928416490555,0.9284046292304993,0.011925849132239819
"USERGRID-29",False,"train",0.0,0.0,0.0,0.9882321357727051,0.0,0.0,0.0
