"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6"
"MULE-7005",False,"train",0.0,0.0,0.0,0.7212517261505127,0.0,0.0,0.26122400164604187
"MULE-8724",False,"train",0.0,0.6010460257530212,0.0,0.0,0.0,0.38659900426864624,0.0
"MULE-14052",False,"train",0.952244758605957,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-8580",True,"train",0.0,0.0,0.0,0.0,0.0,0.9426662921905518,0.0
"MULE-15530",True,"train",0.0,0.1753072291612625,0.0,0.8172096610069275,0.0,0.0,0.0
"MULE-11105",False,"train",0.01435322966426611,0.01435836497694254,0.014417753554880619,0.01432902179658413,0.6031280755996704,0.014361852779984474,0.3250516355037689
"MULE-9958",False,"train",0.0,0.0,0.4036109745502472,0.5542323589324951,0.0,0.0,0.0
"MULE-10481",False,"train",0.011011213064193726,0.011028219945728779,0.011020486243069172,0.011010258458554745,0.39876335859298706,0.5461516976356506,0.011014738120138645
"MULE-8364",False,"train",0.0,0.0,0.0,0.2976287305355072,0.6844474077224731,0.0,0.0
"MULE-9842",False,"train",0.015925701707601547,0.015938522294163704,0.015967074781656265,0.015928072854876518,0.01591288298368454,0.015950022265315056,0.9043776988983154
"MULE-7719",False,"train",0.0,0.9703255891799927,0.0,0.0,0.0,0.0,0.0
"MULE-13783",False,"train",0.35559114813804626,0.011974743567407131,0.01199105940759182,0.011943260207772255,0.18800964951515198,0.011991052888333797,0.4084991216659546
"MULE-9870",True,"train",0.0,0.7512157559394836,0.23086236417293549,0.0,0.0,0.0,0.0
"MULE-9433",True,"train",0.0,0.0,0.0,0.03864738345146179,0.0,0.9408445954322815,0.0
"MULE-9877",False,"train",0.0,0.025438643991947174,0.0,0.0,0.0,0.9489867091178894,0.0
"MULE-11495",False,"train",0.7686054110527039,0.0,0.0,0.0,0.0,0.21428443491458893,0.0
"MULE-11729",False,"train",0.014313428662717342,0.0143818911164999,0.014327272772789001,0.014328625053167343,0.014333565719425678,0.9139947295188904,0.01432051695883274
"MULE-13985",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.962580680847168
"MULE-9739",False,"train",0.010243058204650879,0.010266418568789959,0.010254941880702972,0.01025507040321827,0.7985438704490662,0.15015819668769836,0.010278499685227871
"MULE-16077",True,"train",0.0,0.0,0.0,0.0,0.0,0.959091305732727,0.0
"MULE-9559",False,"train",0.0,0.0,0.0,0.0,0.0,0.969305157661438,0.0
"MULE-13245",False,"train",0.0,0.0,0.0,0.0,0.4456462264060974,0.5144140124320984,0.0
"MULE-10545",False,"train",0.0,0.9493366479873657,0.0,0.0,0.0,0.0,0.0
"MULE-8253",True,"train",0.0,0.9547544121742249,0.0,0.0,0.0,0.0,0.0
"MULE-16393",False,"train",0.0,0.7386928200721741,0.0,0.0,0.0,0.08218420296907425,0.17266637086868286
"MULE-10040",True,"train",0.09968186169862747,0.0,0.22766079008579254,0.6535660624504089,0.0,0.0,0.0
"MULE-13880",False,"train",0.01023300364613533,0.01024717278778553,0.01022445596754551,0.010235653258860111,0.23786777257919312,0.7109594941139221,0.010232459753751755
"MULE-14395",True,"train",0.0,0.0,0.19534209370613098,0.0,0.0,0.0,0.7747506499290466
"MULE-9469",True,"train",0.0,0.0,0.0,0.0,0.0,0.9521593451499939,0.0
"MULE-15395",False,"train",0.0,0.9799931645393372,0.0,0.0,0.0,0.0,0.0
"MULE-12310",False,"train",0.0,0.20040567219257355,0.0,0.0,0.061904773116111755,0.7127596139907837,0.0
"MULE-12476",False,"train",0.010213471949100494,0.010219798423349857,0.01022710744291544,0.010213998146355152,0.010217078030109406,0.9386778473854065,0.010230670683085918
"MULE-11720",True,"train",0.023833004757761955,0.02388313040137291,0.023847060278058052,0.02383353002369404,0.8568695187568665,0.023895172402262688,0.023838574066758156
"MULE-16174",False,"train",0.0,0.0,0.9664103388786316,0.0,0.0,0.0,0.0
"MULE-15960",False,"train",0.01302418764680624,0.013026608154177666,0.01301123108714819,0.013018292374908924,0.01301229652017355,0.9218953251838684,0.013012067414820194
"MULE-13896",False,"train",0.4060969054698944,0.010260614566504955,0.010277368128299713,0.010241859592497349,0.01024244911968708,0.5426286458969116,0.010252122767269611
"MULE-12473",False,"train",0.0,0.0,0.0,0.0,0.4784623682498932,0.47670814394950867,0.0
"MULE-9518",False,"train",0.0,0.4473719000816345,0.5326619148254395,0.0,0.0,0.0,0.0
"MULE-13492",False,"train",0.0,0.9462537169456482,0.0,0.0,0.0,0.0,0.0
"MULE-11403",False,"train",0.011026276275515556,0.011031296104192734,0.010998275130987167,0.01099622156471014,0.7802591323852539,0.1646701842546463,0.011018629185855389
"MULE-7203",False,"train",0.0,0.0,0.0,0.0,0.0,0.9889801144599915,0.0
"MULE-12077",False,"train",0.0,0.0,0.0,0.0,0.0,0.6682825088500977,0.3240908980369568
"MULE-8163",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9773233532905579
"MULE-11418",False,"train",0.0,0.25168436765670776,0.4603087902069092,0.0,0.0,0.28478601574897766,0.0
"MULE-15773",False,"train",0.0,0.23754695057868958,0.0,0.0,0.0,0.7226887941360474,0.0
"MULE-7142",False,"train",0.0,0.16851718723773956,0.0,0.0,0.8135601282119751,0.0,0.0
"MULE-12949",False,"train",0.014363441616296768,0.014402557164430618,0.01435073558241129,0.014356824569404125,0.014343015849590302,0.16857680678367615,0.7596065998077393
"MULE-15059",False,"train",0.0,0.5760091543197632,0.0,0.0,0.0,0.3983708322048187,0.0
"MULE-15077",False,"train",0.011948858387768269,0.011941489763557911,0.011932226829230785,0.011938102543354034,0.011931135319173336,0.9283732771873474,0.011934882961213589
"MULE-16281",False,"train",0.014336742460727692,0.014348508790135384,0.9139668345451355,0.014326275326311588,0.014316932298243046,0.014375701546669006,0.014328955672681332
"MULE-11263",False,"train",0.9385837316513062,0.01026882790029049,0.010217386297881603,0.010213388130068779,0.010231003165245056,0.01026309933513403,0.010222531855106354
"MULE-12972",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9547629952430725
"MULE-12562",False,"train",0.01024749968200922,0.9384479522705078,0.010243316181004047,0.01022947859019041,0.010289979167282581,0.010270624421536922,0.010271149687469006
"MULE-7809",False,"train",0.8914307355880737,0.0,0.0,0.0,0.0,0.10221917927265167,0.0
"MULE-10446",False,"train",0.9044181108474731,0.015931522473692894,0.015937168151140213,0.01590239442884922,0.015923134982585907,0.015963351354002953,0.01592426374554634
"MULE-13028",False,"train",0.0,0.6730861663818359,0.27919748425483704,0.0,0.0,0.0,0.0
"MULE-11997",False,"train",0.0,0.9767283201217651,0.0,0.0,0.0,0.0,0.0
"MULE-9465",True,"train",0.0,0.0,0.0,0.347892701625824,0.0,0.6432570815086365,0.0
"MULE-10808",True,"train",0.011927624233067036,0.011949144303798676,0.01191940251737833,0.011914501897990704,0.011938397772610188,0.9284023642539978,0.011948583647608757
"MULE-16274",False,"train",0.0,0.0,0.9127030968666077,0.0,0.0,0.08292815834283829,0.0
"MULE-14847",False,"train",0.0,0.6251842975616455,0.0,0.0,0.0,0.3448319733142853,0.0
"MULE-9252",False,"train",0.0,0.0,0.9703632593154907,0.0,0.0,0.0,0.0
"MULE-11379",False,"train",0.0,0.0,0.0,0.0,0.9494284391403198,0.0,0.0
"MULE-16400",False,"train",0.013017646968364716,0.013030332513153553,0.013015867210924625,0.013019906356930733,0.013014600612223148,0.9218795299530029,0.01302206888794899
"MULE-14131",False,"train",0.0,0.19029884040355682,0.0,0.0,0.7997502684593201,0.0,0.0
"MULE-13355",False,"train",0.0,0.8680070638656616,0.0,0.10543567687273026,0.0,0.0,0.0
"MULE-9372",False,"train",0.4732567369937897,0.4925763010978699,0.0,0.0,0.0,0.0,0.0
"MULE-6986",False,"train",0.0,0.0,0.9923893213272095,0.0,0.0,0.0,0.0
"MULE-9252",False,"train",0.0,0.0,0.9703632593154907,0.0,0.0,0.0,0.0
"MULE-13760",False,"train",0.023854143917560577,0.02387913689017296,0.8567538857460022,0.0238934513181448,0.023844173178076744,0.023902714252471924,0.023872502148151398
"MULE-9754",True,"train",0.0,0.0,0.0,0.0,0.0,0.48823797702789307,0.4776497483253479
"MULE-10125",False,"train",0.017921404913067818,0.01792101189494133,0.017968596890568733,0.01791488006711006,0.892440676689148,0.017927657812833786,0.017905719578266144
"MULE-6512",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9547227025032043
"MULE-10807",False,"train",0.013033279217779636,0.013011788949370384,0.013026023283600807,0.012995298951864243,0.013011427596211433,0.9218982458114624,0.013023976236581802
"MULE-15362",False,"train",0.0,0.0,0.9779155850410461,0.0,0.0,0.0,0.0
"MULE-14568",False,"train",0.0,0.0,0.0,0.0,0.0,0.1165187656879425,0.8456995487213135
"MULE-12121",False,"train",0.01432960294187069,0.9139630198478699,0.014326969161629677,0.014331810176372528,0.01432730257511139,0.014355281367897987,0.014365953393280506
"MULE-7947",False,"train",0.2218194156885147,0.7550625801086426,0.0,0.0,0.0,0.0,0.0
"MULE-12047",False,"train",0.0,0.0,0.7131367325782776,0.0,0.0,0.26746103167533875,0.0
"MULE-7207",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9703139066696167
"MULE-15201",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9703287482261658
"MULE-10181",False,"train",0.011931353248655796,0.011943640187382698,0.011941257864236832,0.01193759310990572,0.9283334612846375,0.011979576200246811,0.011933136731386185
"MULE-13388",True,"train",0.0,0.027554519474506378,0.0,0.0,0.0,0.941309928894043,0.0
"MULE-15117",True,"train",0.0,0.12770986557006836,0.0,0.0,0.0,0.8559634685516357,0.0
"MULE-11212",False,"train",0.0,0.0,0.0,0.0,0.0,0.9930143356323242,0.0
"MULE-12706",False,"train",0.0,0.0,0.4009527564048767,0.0,0.0,0.0,0.5649104118347168
"MULE-9387",False,"train",0.0,0.15493008494377136,0.8266960382461548,0.0,0.0,0.0,0.0
"MULE-12476",False,"train",0.010213471949100494,0.010219798423349857,0.01022710744291544,0.010213998146355152,0.010217078030109406,0.9386778473854065,0.010230670683085918
"MULE-8023",False,"train",0.0,0.9548014998435974,0.0,0.0,0.0,0.0,0.0
"MULE-13760",False,"train",0.023854143917560577,0.02387913689017296,0.8567538857460022,0.0238934513181448,0.023844173178076744,0.023902714252471924,0.023872502148151398
"MULE-14896",False,"train",0.0,0.9795206189155579,0.0,0.0,0.0,0.0,0.0
