"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6"
"MESOS-6840",False,"train",0.013046009466052055,0.9217334389686584,0.013057027943432331,0.013050361536443233,0.013041218742728233,0.013037791475653648,0.013034185394644737
"MESOS-3759",False,"train",0.9282982349395752,0.011952390894293785,0.011963481083512306,0.011946606449782848,0.01194259338080883,0.011955499649047852,0.011941174045205116
"MESOS-2808",False,"train",0.5589553713798523,0.4263661801815033,0.0,0.0,0.0,0.0,0.0
"MESOS-2775",False,"train",0.0,0.0,0.0,0.0,0.0,0.9426455497741699,0.0
"MESOS-1594",False,"train",0.0,0.0,0.0,0.0,0.0,0.9998470544815063,0.0
"MESOS-3430",False,"train",0.0,0.0,0.9918834567070007,0.0,0.0,0.0,0.0
"MESOS-1903",False,"train",0.0,0.9521982669830322,0.0,0.0,0.0,0.0,0.0
"MESOS-3583",True,"train",0.9878701567649841,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-8653",False,"train",0.0,0.1837610900402069,0.0,0.0,0.0,0.7906494140625,0.0
"MESOS-8388",False,"train",0.0,0.0,0.0,0.0,0.9494092464447021,0.0,0.0
"MESOS-4178",False,"train",0.2590671479701996,0.0,0.0,0.0,0.7298879027366638,0.0,0.0
"MESOS-9170",False,"train",0.9042013883590698,0.01597927138209343,0.015965988859534264,0.015954190865159035,0.0159576665610075,0.015975510701537132,0.015965981408953667
"MESOS-3470",False,"train",0.0,0.0,0.0,0.09343433380126953,0.0,0.8706924915313721,0.0
"MESOS-7373",False,"train",0.0,0.9845917820930481,0.0,0.0,0.0,0.0,0.0
"MESOS-7809",True,"train",0.9703184366226196,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-6765",False,"train",0.9936251044273376,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-6017",False,"train",0.0,0.0,0.0,0.0,0.0,0.9655342102050781,0.0
"MESOS-2849",False,"train",0.0,0.0,0.0,0.0,0.0,0.9767388701438904,0.0
"MESOS-3994",False,"train",0.0,0.0,0.18324916064739227,0.7988014817237854,0.0,0.0,0.0
"MESOS-5005",False,"train",0.0,0.9880446791648865,0.0,0.0,0.0,0.0,0.0
"MESOS-2552",False,"train",0.9569751024246216,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3145",False,"train",0.49769848585128784,0.0,0.0,0.0,0.0,0.4958864748477936,0.0
"MESOS-2302",False,"train",0.0,0.0,0.0,0.0,0.0,0.9926580786705017,0.0
"MESOS-3929",False,"train",0.0,0.12016735970973969,0.0,0.0,0.0,0.8497936129570007,0.0
"MESOS-5907",False,"train",0.011993748135864735,0.019393324851989746,0.012008572928607464,0.011975529603660107,0.01197571400552988,0.012002034112811089,0.9206510782241821
"MESOS-8473",False,"train",0.933847963809967,0.011017950251698494,0.011025347746908665,0.011028208769857883,0.011029074899852276,0.01102827861905098,0.011023134924471378
"MESOS-4864",False,"train",0.6275424361228943,0.3437292277812958,0.0,0.0,0.0,0.0,0.0
"MESOS-5109",False,"train",0.0,0.0,0.0,0.0,0.0,0.9641423225402832,0.0
"MESOS-8206",False,"train",0.0,0.9834767580032349,0.0,0.0,0.0,0.0,0.0
"MESOS-3093",False,"train",0.0,0.0,0.0,0.0,0.0,0.9692679047584534,0.0
"MESOS-5064",True,"train",0.0,0.0,0.0,0.0,0.9569264650344849,0.0,0.0
"MESOS-7883",False,"train",0.9991099834442139,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-9655",True,"train",0.0,0.0,0.2374097853899002,0.0,0.7349640130996704,0.0,0.0
"MESOS-7274",False,"train",0.0,0.973125159740448,0.0,0.0,0.0,0.0,0.0
"MESOS-5286",False,"train",0.0,0.0,0.9721411466598511,0.0,0.0,0.0,0.0
"MESOS-8849",False,"train",0.9746549129486084,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3862",True,"train",0.0,0.0,0.0,0.0,0.0,0.9608851075172424,0.0
"MESOS-4347",False,"train",0.9799449443817139,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-7968",False,"train",0.0,0.5506710410118103,0.42881813645362854,0.0,0.0,0.0,0.0
"MESOS-7027",False,"train",0.0,0.9939359426498413,0.0,0.0,0.0,0.0,0.0
"MESOS-8719",False,"train",0.0,0.0,0.0,0.9712457656860352,0.0,0.0,0.0
"MESOS-2319",False,"train",0.0,0.764717161655426,0.0,0.23406445980072021,0.0,0.0,0.0
"MESOS-6748",False,"train",0.0,0.95904141664505,0.0,0.0,0.0,0.0,0.0
"MESOS-7208",False,"train",0.9977353811264038,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4284",False,"train",0.0,0.0,0.946105420589447,0.0,0.0,0.0,0.0
"MESOS-1393",False,"train",0.0,0.0,0.9493511319160461,0.0,0.0,0.0,0.0
"MESOS-5559",False,"train",0.03581462800502777,0.7850438952445984,0.03581465780735016,0.03581462800502777,0.03586883842945099,0.03582870587706566,0.035814642906188965
