"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13"
"USERGRID-752",True,"train",0.0,0.0,0.0,0.0,0.0,0.9872792363166809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-676",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419614672660828,0.0
"USERGRID-1079",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867339134216309,0.0,0.0,0.0,0.0
"USERGRID-892",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6921197175979614,0.0,0.0,0.22215867042541504,0.0
"USERGRID-748",False,"train",0.0,0.0,0.0,0.0,0.9596258997917175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-612",False,"train",0.02381153404712677,0.023811418563127518,0.023811418563127518,0.023811418563127518,0.6904513239860535,0.023811418563127518,0.023811418563127518,0.023811446502804756,0.023811474442481995,0.023811418563127518,0.023811448365449905,0.023811418563127518,0.023811455816030502,0.023811418563127518
"USERGRID-582",False,"train",0.767848551273346,0.017857741564512253,0.017857732251286507,0.017857758328318596,0.01785784587264061,0.0178577471524477,0.017857801169157028,0.017857884988188744,0.01785786636173725,0.01785777136683464,0.017857816070318222,0.017857788130640984,0.017857909202575684,0.01785774901509285
"USERGRID-745",False,"train",0.02381107211112976,0.02381081134080887,0.02381082810461521,0.02381083182990551,0.023811552673578262,0.023811116814613342,0.6904574632644653,0.02381083555519581,0.02381081134080887,0.02381081134080887,0.023811182007193565,0.02381081134080887,0.02381083555519581,0.023811008781194687
"USERGRID-779",False,"train",0.01190570555627346,0.011905722320079803,0.01190570741891861,0.01190570741891861,0.011905760504305363,0.011905753053724766,0.01190571952611208,0.011905786581337452,0.011905723251402378,0.011905748397111893,0.011905722320079803,0.011905748397111893,0.011905737221240997,0.84522545337677
"USERGRID-752",True,"train",0.0,0.0,0.0,0.0,0.0,0.9872792363166809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-409",True,"train",0.0,0.0,0.0,0.0,0.0,0.16775727272033691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8118311762809753
"USERGRID-461",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831159710884094,0.0,0.0,0.0,0.0,0.0
"USERGRID-1091",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9557791948318481,0.0,0.0,0.0,0.0
