"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13"
"XD-1938",False,"train",0.0,0.0,0.0,0.0,0.0,0.20109175145626068,0.0,0.0,0.12692324817180634,0.0,0.0,0.0,0.0,0.6684865355491638
"XD-2956",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.8124881386756897,0.0,0.0,0.0,0.0,0.0,0.14851334691047668,0.0
"XD-1475",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831129312515259,0.0,0.0,0.0,0.0,0.0
"XD-2814",False,"train",0.0,0.0,0.8104821443557739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17235885560512543,0.0,0.0
"XD-1041",False,"train",0.0,0.0,0.0,0.0,0.0,0.6322928667068481,0.0,0.0,0.0,0.0,0.0,0.3171907067298889,0.0,0.0
"XD-2916",False,"train",0.7656445503234863,0.0,0.0,0.0,0.0,0.0,0.0,0.19340136647224426,0.0,0.0,0.0,0.0,0.0,0.0
"XD-2651",True,"train",0.0,0.9336371421813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-2282",True,"train",0.0,0.9251127243041992,0.067164346575737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-2025",False,"train",0.011927088722586632,0.4919305741786957,0.011927105486392975,0.011927099898457527,0.01192708220332861,0.36494380235671997,0.011927111074328423,0.01192711666226387,0.011927112005650997,0.011927368119359016,0.011927108280360699,0.011927230283617973,0.011927145533263683,0.011927090585231781
"XD-119",False,"train",0.0,0.0,0.0,0.0,0.0,0.47662797570228577,0.0,0.24584096670150757,0.0,0.0,0.0,0.0,0.2361341416835785,0.0
"XD-3041",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.8323195576667786,0.13910014927387238,0.0,0.0,0.0,0.0,0.0,0.0
"XD-1890",False,"train",0.0,0.0,0.0,0.0,0.7206810116767883,0.22887097299098969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-1929",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8312392830848694,0.11511264741420746,0.0
