"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5"
"TIMOB-19268",False,"train",0.0,0.0,0.9889576435089111,0.0,0.0,0.0
"TIMOB-19700",False,"train",0.0,0.0,0.38968363404273987,0.1980033963918686,0.39597228169441223,0.0
"TIMOB-25506",False,"train",0.0,0.9977034330368042,0.0,0.0,0.0,0.0
"TIMOB-23299",False,"train",0.010660886764526367,0.0,0.0,0.0,0.0,0.9724137187004089
"TIMOB-24848",False,"train",0.0,0.0,0.0,0.9878159761428833,0.0,0.0
"TIMOB-20522",False,"train",0.9872449040412903,0.0,0.0,0.0,0.0,0.0
"TIMOB-19153",False,"train",0.0,0.7295636534690857,0.0,0.0,0.2688886821269989,0.0
"TIMOB-24984",False,"train",0.17436519265174866,0.0,0.7498775720596313,0.06564226001501083,0.0,0.0
"TIMOB-23589",False,"train",0.0,0.0,0.0,0.0,0.0,0.9817352890968323
"TIMOB-25518",False,"train",0.0,0.0,0.9861974120140076,0.0,0.0,0.0
"TIMOB-26719",False,"train",0.0,0.0844220295548439,0.09378783404827118,0.41129401326179504,0.40795937180519104,0.0
"TIMOB-24141",False,"train",0.0,0.0,0.9895009398460388,0.0,0.0,0.0
"TIMOB-25119",False,"train",0.0,0.0,0.0,0.0,0.9664486646652222,0.0
"TIMOB-23572",False,"train",0.9616912007331848,0.0,0.0,0.0,0.0,0.0
"TIMOB-12235",False,"train",0.028072772547602654,0.0279648806899786,0.0280483216047287,0.02798084169626236,0.8599024415016174,0.028030777350068092
"TIMOB-26000",False,"train",0.01211608201265335,0.0120133301243186,0.01200902834534645,0.012099141255021095,0.011997494846582413,0.9397649168968201
"TIMOB-24527",False,"train",0.9616795182228088,0.0,0.0,0.0,0.0,0.0
"TIMOB-26008",False,"train",0.0,0.8946322798728943,0.09968376159667969,0.0,0.0,0.0
"TIMOB-25038",False,"train",0.0,0.0,0.9911573529243469,0.0,0.0,0.0
"TIMOB-23602",False,"train",0.0,0.0,0.0,0.0,0.0,0.9817410111427307
"TIMOB-24443",False,"train",0.0,0.0,0.0,0.9908573031425476,0.0,0.0
"TIMOB-19675",False,"train",0.9474843740463257,0.010476676747202873,0.01051331963390112,0.010510326363146305,0.010529311373829842,0.010486023500561714
"TIMOB-26714",False,"train",0.0,0.9910589456558228,0.0,0.0,0.0,0.0
"TIMOB-23682",False,"train",0.0,0.9759970307350159,0.0,0.0,0.0,0.0
"TIMOB-25385",False,"train",0.0,0.0,0.0,0.0,0.9944310188293457,0.0
"TIMOB-20145",False,"train",0.0,0.0,0.6562902927398682,0.331893652677536,0.0,0.0
"TIMOB-8867",False,"train",0.012901206500828266,0.012896239757537842,0.012936567887663841,0.012890815734863281,0.012921427376568317,0.9354537725448608
"TIMOB-16078",False,"train",0.7366743683815002,0.0,0.0,0.0,0.2571365237236023,0.0
"TIMOB-23903",False,"train",0.13779917359352112,0.0,0.0,0.0,0.0,0.8397738337516785
"TIMOB-18556",False,"train",0.8797078728675842,0.02392514795064926,0.023953363299369812,0.02403932996094227,0.024068983271718025,0.02430531196296215
"TIMOB-26776",False,"train",0.0,0.0,0.7579523921012878,0.0,0.22909073531627655,0.0
"TIMOB-26218",False,"train",0.0,0.0,0.0,0.9906672835350037,0.0,0.0
"TIMOB-26725",False,"train",0.0,0.0,0.0,0.0,0.9841061234474182,0.015309730544686317
"TIMOB-24776",False,"train",0.0,0.0,0.7007358074188232,0.292909175157547,0.0,0.0
"TIMOB-23999",False,"train",0.0,0.0,0.0,0.0,0.7663823962211609,0.22673971951007843
"TIMOB-17556",False,"train",0.43113794922828674,0.0,0.0,0.5419057011604309,0.0,0.0
"TIMOB-24125",False,"train",0.0,0.13440729677677155,0.0,0.8591392040252686,0.0,0.0
"TIMOB-23741",False,"train",0.0,0.0,0.9649437069892883,0.0,0.0,0.0
"TIMOB-19853",False,"train",0.028041711077094078,0.028019502758979797,0.02806439809501171,0.028022542595863342,0.028071865439414978,0.859779953956604
"TIMOB-18196",False,"train",0.0,0.0,0.0,0.0,0.0,0.9841100573539734
"TIMOB-24245",False,"train",0.0,0.0,0.9728531241416931,0.0,0.0,0.0
"TIMOB-17912",False,"train",0.033688273280858994,0.03393605351448059,0.03368690609931946,0.03363073989748955,0.03344589099287987,0.8316121101379395
"TIMOB-24770",False,"train",0.0,0.0,0.0,0.0,0.0,0.959865927696228
"TIMOB-23422",False,"train",0.0,0.0,0.0,0.9892679452896118,0.0,0.0
"TIMOB-24336",False,"train",0.0,0.0,0.0,0.9896426200866699,0.0,0.0
"TIMOB-19044",False,"train",0.0,0.0,0.9905580282211304,0.0,0.0,0.0
"TIMOB-18214",False,"train",0.9968979358673096,0.0,0.0,0.0,0.0,0.0
"TIMOB-18454",False,"train",0.0,0.0,0.967747688293457,0.0,0.0,0.0
"TIMOB-19678",True,"train",0.0,0.0,0.0,0.0,0.0,0.9688925743103027
"TIMOB-25749",False,"train",0.0,0.0,0.0,0.05707850679755211,0.8594750165939331,0.07621841877698898
"TIMOB-26360",False,"train",0.0,0.0,0.0,0.7392852306365967,0.0,0.2270546406507492
"TIMOB-25179",False,"train",0.0,0.0,0.0,0.0,0.9799885749816895,0.0
"TIMOB-20192",False,"train",0.8289931416511536,0.0,0.0,0.0,0.0,0.16391955316066742
"TIMOB-23414",False,"train",0.0,0.0,0.0,0.0,0.9965012073516846,0.0
"TIMOB-24651",False,"train",0.11770503222942352,0.0,0.0,0.0,0.0,0.8563326001167297
"TIMOB-23281",False,"train",0.6745502948760986,0.3067759871482849,0.0,0.0,0.0,0.0
"TIMOB-20078",False,"train",0.9236686825752258,0.01525622047483921,0.015319479629397392,0.015254290774464607,0.015248047187924385,0.01525325421243906
