"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5"
"TISTUD-8997",False,"train",0.012030829675495625,0.012079757638275623,0.012015968561172485,0.011990207247436047,0.9398593306541443,0.012023952789604664
"TISTUD-6603",False,"train",0.0,0.0,0.8100873231887817,0.17424902319908142,0.0,0.0
"TISTUD-5914",False,"train",0.0,0.986716091632843,0.0,0.0,0.0,0.0
"TISTUD-5075",False,"train",0.0,0.0,0.0,0.0,0.9912734031677246,0.0
"TISTUD-7796",False,"train",0.8134198784828186,0.0,0.056785471737384796,0.0,0.1276739239692688,0.0
"TISTUD-8741",False,"train",0.0,0.7016956210136414,0.0,0.0,0.0,0.2647339999675751
"TISTUD-4031",False,"train",0.0,0.0,0.0,0.9618224501609802,0.0,0.0
"TISTUD-8928",False,"train",0.0,0.0,0.6396371126174927,0.0,0.0,0.3335259258747101
"TISTUD-8983",False,"train",0.0,0.0,0.0,0.0,0.9824826121330261,0.0
"TISTUD-8866",False,"train",0.0,0.0,0.0,0.0,0.0,0.9506808519363403
"TISTUD-5629",False,"train",0.9772565364837646,0.0,0.0,0.0,0.0,0.0
"TISTUD-5502",False,"train",0.0,0.0,0.0,0.0,0.0,0.9619180560112
"TISTUD-6755",False,"train",0.0,0.9789860844612122,0.0,0.0,0.0,0.0
"TISTUD-7208",False,"train",0.01194449421018362,0.011976023204624653,0.9400802254676819,0.011964192613959312,0.011966480873525143,0.012068553827702999
"TISTUD-7132",False,"train",0.0,0.0,0.9737492799758911,0.0,0.0,0.0
"TISTUD-5693",False,"train",0.0,0.0,0.0,0.0,0.0,0.9795129895210266
"TISTUD-7946",True,"train",0.0,0.0,0.9905536770820618,0.0,0.0,0.0
"TISTUD-6144",False,"train",0.0,0.0,0.0,0.0,0.0,0.985810399055481
"TISTUD-5295",False,"train",0.0,0.0,0.08384966850280762,0.8486925363540649,0.06406202167272568,0.0
"TISTUD-1335",False,"train",0.9876469969749451,0.0,0.0,0.0,0.0,0.0
"TISTUD-4357",False,"train",0.0,0.0,0.0,0.0,0.9677402377128601,0.0
"TISTUD-3804",False,"train",0.0,0.9737986922264099,0.0,0.0,0.0,0.0
"TISTUD-273",False,"train",0.0,0.0,0.9821056723594666,0.0,0.0,0.0
"TISTUD-5545",False,"train",0.0,0.0,0.44819095730781555,0.0,0.5301240682601929,0.0
"TISTUD-8495",False,"train",0.0,0.0,0.0,0.9835024476051331,0.0,0.0
"TISTUD-9118",False,"train",0.0,0.2584032714366913,0.0,0.0,0.0,0.7381696701049805
"TISTUD-7474",False,"train",0.0,0.9899927377700806,0.0,0.0,0.0,0.0
"TISTUD-5833",False,"train",0.0,0.898917019367218,0.0752454549074173,0.0,0.0,0.0
"TISTUD-5046",False,"train",0.0,0.469242662191391,0.0,0.0,0.5121338963508606,0.0
"TISTUD-6455",False,"train",0.0,0.0,0.0,0.0,0.9737504720687866,0.0
"TISTUD-6709",False,"train",0.0,0.9634749889373779,0.0,0.0,0.0,0.0
"TISTUD-8852",False,"train",0.0,0.0,0.5992032885551453,0.0,0.0,0.37393319606781006
"TISTUD-7621",False,"train",0.0,0.0,0.0,0.0,0.996802568435669,0.0
"TISTUD-8685",False,"train",0.0,0.0,0.0,0.0,0.9982728362083435,0.0
"TISTUD-8875",False,"train",0.0,0.0,0.0,0.0,0.0,0.9719731211662292
"TISTUD-4360",False,"train",0.7405799031257629,0.011252764612436295,0.011184769682586193,0.011164290830492973,0.21464672684669495,0.011171539314091206
"TISTUD-5235",False,"train",0.0,0.27023038268089294,0.0,0.0,0.0,0.7200324535369873
"TISTUD-6235",False,"train",0.0,0.0,0.0,0.0,0.0,0.9881951212882996
"TISTUD-6511",False,"train",0.0,0.0,0.0,0.018857626244425774,0.0,0.9776915311813354
"TISTUD-4335",False,"train",0.0,0.9790219664573669,0.0,0.0,0.0,0.0
"TISTUD-7208",False,"train",0.01194449421018362,0.011976023204624653,0.9400802254676819,0.011964192613959312,0.011966480873525143,0.012068553827702999
"TISTUD-2948",False,"train",0.0,0.9581665992736816,0.0,0.0,0.0,0.0
"TISTUD-6399",False,"train",0.0,0.9926455616950989,0.0,0.0,0.0,0.0
"TISTUD-7032",False,"train",0.0,0.0,0.0,0.0,0.9785098433494568,0.0
"TISTUD-8665",False,"train",0.0,0.0,0.0,0.9772920608520508,0.0,0.0
"TISTUD-6940",True,"train",0.0,0.9857668876647949,0.0,0.0,0.0,0.0
"TISTUD-4675",False,"train",0.0,0.0,0.0,0.9572365283966064,0.0,0.035357143729925156
"TISTUD-7488",False,"train",0.012910772114992142,0.012956246733665466,0.5977453589439392,0.012919625267386436,0.3504815101623535,0.012986422516405582
"TISTUD-6144",False,"train",0.0,0.0,0.0,0.0,0.0,0.985810399055481
"TISTUD-7971",False,"train",0.0,0.0,0.0,0.985523521900177,0.0,0.0
"TISTUD-7805",False,"train",0.0,0.0,0.9579837322235107,0.0,0.0,0.0
"TISTUD-5541",False,"train",0.0,0.0,0.0,0.0,0.963507890701294,0.0
"TISTUD-5046",False,"train",0.0,0.469242662191391,0.0,0.0,0.5121338963508606,0.0
"TISTUD-6755",False,"train",0.0,0.9789860844612122,0.0,0.0,0.0,0.0
"TISTUD-9138",False,"train",0.0,0.0,0.0,0.0,0.9689352512359619,0.0
"TISTUD-8760",False,"train",0.0,0.0,0.0,0.9926409721374512,0.0,0.0
"TISTUD-8836",False,"train",0.010460255667567253,0.9475602507591248,0.010494337417185307,0.010465259663760662,0.010482057929039001,0.010537826456129551
"TISTUD-7705",False,"train",0.0,0.0,0.9808739423751831,0.0,0.0,0.0
"TISTUD-2467",False,"train",0.0,0.0,0.0,0.9866486191749573,0.0,0.0
"TISTUD-7595",False,"train",0.0,0.0,0.0,0.0,0.9955942034721375,0.0
"TISTUD-5663",False,"train",0.0,0.36884790658950806,0.617665708065033,0.0,0.0,0.0
"TISTUD-5943",False,"train",0.0,0.6581910848617554,0.3168689012527466,0.0,0.0,0.0
"TISTUD-8495",False,"train",0.0,0.0,0.0,0.9835024476051331,0.0,0.0
"TISTUD-7689",False,"train",0.0,0.0,0.987059473991394,0.0,0.0,0.0
"TISTUD-5422",False,"train",0.0,0.0,0.0,0.0,0.27638307213783264,0.7089976072311401
"TISTUD-7683",False,"train",0.0,0.5841239094734192,0.0,0.0,0.0,0.4060068726539612
"TISTUD-8939",False,"train",0.0,0.0,0.98578280210495,0.0,0.0,0.0
"TISTUD-5045",False,"train",0.30909547209739685,0.0,0.6830554604530334,0.0,0.0,0.0
"TISTUD-8927",False,"train",0.0,0.0,0.0,0.0,0.0,0.9891172051429749
"TISTUD-5681",False,"train",0.5783787369728088,0.0,0.0,0.40958932042121887,0.0,0.0
"TISTUD-9075",False,"train",0.0,0.0,0.0,0.0,0.23032742738723755,0.760688066482544
"TISTUD-5953",False,"train",0.0,0.9850460290908813,0.0,0.0,0.0,0.0
"TISTUD-6580",False,"train",0.0,0.0,0.9825132489204407,0.0,0.0,0.0
"TISTUD-9063",False,"train",0.6821132898330688,0.0,0.0,0.0,0.0,0.3054371774196625
"TISTUD-6507",False,"train",0.0,0.0,0.0,0.0,0.0,0.9766861796379089
"TISTUD-7447",False,"train",0.0,0.0,0.0,0.0,0.84085613489151,0.14568936824798584
"TISTUD-7632",False,"train",0.0,0.0,0.0,0.0,0.0,0.9883118867874146
