"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5"
"USERGRID-680",True,"train",0.020979400724172592,0.021360447630286217,0.021017488092184067,0.25266534090042114,0.021232374012470245,0.66274493932724
"USERGRID-643",False,"train",0.8806282877922058,0.02382504940032959,0.023831861093640327,0.023863589391112328,0.02384067513048649,0.024010540917515755
"USERGRID-1203",False,"train",0.020893529057502747,0.02097748965024948,0.0208963043987751,0.8952877521514893,0.020899543538689613,0.021045375615358353
"USERGRID-900",False,"train",0.0,0.0,0.9790369868278503,0.0,0.0,0.0
"USERGRID-720",False,"train",0.0,0.9582464098930359,0.0,0.0,0.0,0.0
"USERGRID-578",False,"train",0.03339886665344238,0.03349662572145462,0.03345745801925659,0.8325814604759216,0.03370386362075806,0.03336169570684433
"USERGRID-544",False,"train",0.0,0.0,0.0,0.9559938311576843,0.0,0.0
"USERGRID-708",False,"train",0.8955247402191162,0.020872391760349274,0.020944030955433846,0.020900912582874298,0.020860016345977783,0.020897923037409782
"USERGRID-851",False,"train",0.0,0.0,0.9779729843139648,0.0,0.0,0.0
"USERGRID-752",True,"train",0.9494192004203796,0.0,0.0,0.04138953238725662,0.0,0.0
"USERGRID-448",True,"train",0.0,0.0,0.0,0.0,0.0,0.984507143497467
"USERGRID-443",False,"train",0.961945652961731,0.0,0.0,0.0,0.0,0.0
"USERGRID-1211",False,"train",0.015156061388552189,0.015211892314255238,0.015171702951192856,0.015193133614957333,0.015162655152380466,0.9241045713424683
"USERGRID-698",False,"train",0.03337845206260681,0.03334823623299599,0.03338272124528885,0.033358752727508545,0.033356983214616776,0.8331748247146606
"USERGRID-533",False,"train",0.9159731268882751,0.016893265768885612,0.016767306253314018,0.01679435931146145,0.01671983301639557,0.016852108761668205
"USERGRID-511",False,"train",0.0,0.0,0.0,0.0,0.0,0.9711706042289734
"USERGRID-544",False,"train",0.0,0.0,0.0,0.9559938311576843,0.0,0.0
"USERGRID-511",False,"train",0.0,0.0,0.0,0.0,0.0,0.9711706042289734
"USERGRID-720",False,"train",0.0,0.9582464098930359,0.0,0.0,0.0,0.0
"USERGRID-877",False,"train",0.0,0.0,0.9558922052383423,0.0,0.0,0.0
"USERGRID-709",False,"train",0.8957310914993286,0.020835164934396744,0.020835785195231438,0.020839473232626915,0.020848557353019714,0.020909948274493217
"USERGRID-395",False,"train",0.0,0.0,0.0,0.0,0.0,0.9760293960571289
"USERGRID-689",False,"train",0.033530473709106445,0.03359827399253845,0.03362778574228287,0.033580232411623,0.03336979076266289,0.8322934508323669
"USERGRID-584",True,"train",0.01856113038957119,0.9070555567741394,0.018554281443357468,0.01858905330300331,0.01859266683459282,0.01864723674952984
"USERGRID-639",False,"train",0.0,0.0,0.0,0.0,0.0,0.9559624195098877
"USERGRID-504",False,"train",0.0,0.9848118424415588,0.0,0.0,0.0,0.0
"USERGRID-575",False,"train",0.0,0.0,0.9720847606658936,0.0,0.0,0.0
"USERGRID-760",False,"train",0.0,0.0,0.0,0.9619784355163574,0.0,0.0
"USERGRID-675",False,"train",0.9729470014572144,0.0,0.0,0.0,0.0,0.0
"USERGRID-418",False,"train",0.0,0.0,0.0,0.0,0.0,0.9636117815971375
"USERGRID-880",False,"train",0.018759096041321754,0.2820419371128082,0.6433542966842651,0.018534988164901733,0.018573099747300148,0.018736543133854866
"USERGRID-535",False,"train",0.0,0.0,0.0,0.0,0.0,0.9535277485847473
"USERGRID-907",False,"train",0.0,0.0,0.0,0.0,0.0,0.960181474685669
"USERGRID-388",False,"train",0.0,0.0,0.0,0.0,0.0,0.9651997685432434
