"issue_key","issuetype","sprint_name","created","reporter","assignee","priority","SP_CHANGER","summary","description","storypoints","Tinprogress_proportion","Tassignee_proportion","Tsprint_proportion","isValid_inprogress","isValid_sprint","isValid_assignee","T1","T2","T3","T4","T5","T_sp_first","T_sp_second","T_sprint","T_sprint_plus_1hr","T_assignee","T_assignee_plus_1hr","T_inprogress","T_inprogress_plus_1hr","sp_estimator","T_infochange_start","T_sp","T_sp_year","T_sp_last","T_sp_after_sprint","last_summary","last_description","firststorypoints","sp_change","sp_sprint","sp_change_count","sp_diff_percent","count_comment_before","count_summ_before","info_change"
"USERGRID-1124","Bug","Usergrid 34","2015-11-19T23:51:00.000+0000","mrusso","","Minor","","Internal ""size"" within entity metadata is not displayed when doing a GET by entity name ","This request does not come back with size in metadata object. 

GET /org/app/collection/entityName
{code}
{
  ""action"" : ""get"",
  ""application"" : ""ec2df3b3-6e0e-11e5-9798-0223e9015bf9"",
  ""params"" : { },
  ""path"" : ""/regions"",
  ""uri"" : ""https://testing"",
  ""entities"" : [ {
    ""uuid"" : ""2dcf254c-8ef5-11e5-87c2-069a7df27e87"",
    ""type"" : ""region"",
    ""name"" : ""region6"",
    ""created"" : 1447961939135,
    ""modified"" : 1447961939135,
    ""metadata"" : {
      ""path"" : ""/regions/2dcf254c-8ef5-11e5-87c2-069a7df27e87""
    }
  } ],
  ""timestamp"" : 1447976782774,
  ""duration"" : 77,
  ""organization"" : ""org"",
  ""applicationName"" : ""app""
}
{code}

However, get with the entity's UUID does return the metadata size.

GET /org/app/collection/2dcf254c-8ef5-11e5-87c2-069a7df27e87
{code}
{
  ""action"" : ""get"",
  ""application"" : ""ec2df3b3-6e0e-11e5-9798-0223e9015bf9"",
  ""params"" : { },
  ""path"" : ""/regions"",
  ""uri"" : ""https://testing"",
  ""entities"" : [ {
    ""uuid"" : ""2dcf254c-8ef5-11e5-87c2-069a7df27e87"",
    ""type"" : ""region"",
    ""name"" : ""region6"",
    ""created"" : 1447961939135,
    ""modified"" : 1447961939135,
    ""metadata"" : {
      ""path"" : ""/regions/2dcf254c-8ef5-11e5-87c2-069a7df27e87"",
      ""size"" : 334
    }
  } ],
  ""timestamp"" : 1447977010952,
  ""duration"" : 36,
  ""organization"" : ""org"",
  ""applicationName"" : ""app""
}
{code}",1.0,0.999478891701669,0.9994783766452832,0.8345127695354448,True,False,True,1447977060000.0,1455739153000.0,1455742753000.0,1455742300000.0,1455743200000.0,1455739198000.0,-1.0,1454458003000.0,1454461603000.0,1455739149000.0,1455742749000.0,1455739153000.0,1455742753000.0,"mrusso",1454461603000.0,1447977060000.0,45,1455739198000.0,-1.0,"Internal ""size"" within entity metadata is not displayed when doing a GET by entity name ","This request does not come back with size in metadata object. 

GET /org/app/collection/entityName
{code}
{
  ""action"" : ""get"",
  ""application"" : ""ec2df3b3-6e0e-11e5-9798-0223e9015bf9"",
  ""params"" : { },
  ""path"" : ""/regions"",
  ""uri"" : ""https://testing"",
  ""entities"" : [ {
    ""uuid"" : ""2dcf254c-8ef5-11e5-87c2-069a7df27e87"",
    ""type"" : ""region"",
    ""name"" : ""region6"",
    ""created"" : 1447961939135,
    ""modified"" : 1447961939135,
    ""metadata"" : {
      ""path"" : ""/regions/2dcf254c-8ef5-11e5-87c2-069a7df27e87""
    }
  } ],
  ""timestamp"" : 1447976782774,
  ""duration"" : 77,
  ""organization"" : ""org"",
  ""applicationName"" : ""app""
}
{code}

However, get with the entity's UUID does return the metadata size.

GET /org/app/collection/2dcf254c-8ef5-11e5-87c2-069a7df27e87
{code}
{
  ""action"" : ""get"",
  ""application"" : ""ec2df3b3-6e0e-11e5-9798-0223e9015bf9"",
  ""params"" : { },
  ""path"" : ""/regions"",
  ""uri"" : ""https://testing"",
  ""entities"" : [ {
    ""uuid"" : ""2dcf254c-8ef5-11e5-87c2-069a7df27e87"",
    ""type"" : ""region"",
    ""name"" : ""region6"",
    ""created"" : 1447961939135,
    ""modified"" : 1447961939135,
    ""metadata"" : {
      ""path"" : ""/regions/2dcf254c-8ef5-11e5-87c2-069a7df27e87"",
      ""size"" : 334
    }
  } ],
  ""timestamp"" : 1447977010952,
  ""duration"" : 36,
  ""organization"" : ""org"",
  ""applicationName"" : ""app""
}
{code}",1.0,False,1.0,0,0.0,-1,1,False
"USERGRID-1119","Story","On Deck","2015-11-17T15:48:14.000+0000","djohnson","","Major","","Fix GroupResourceIT.postGroupActivity() test","",3.0,0.1656646401592763,0.1656571553674377,0.0182310817208284,False,False,False,1447775294000.0,1447863828000.0,1447867428000.0,1448308811000.0,1448309711000.0,1447956015000.0,-1.0,1447785037000.0,1447788637000.0,1447863824000.0,1447867424000.0,1447863828000.0,1447867428000.0,"djohnson",1447788637000.0,1447775294000.0,45,1447956015000.0,-1.0,"Fix GroupResourceIT.postGroupActivity() test","",3.0,False,3.0,0,0.0,0,0,False
"USERGRID-1118","Story","On Deck","2015-11-17T15:47:38.000+0000","djohnson","","Major","","Fix EventsResource and IT","The EventsResource was broken during two-dot-o development and the tests in EventsResourceIT were marked ignore.

Fix the EventsResource and re-enable the tests.",3.0,0.0496258814812977,0.5838714428638752,0.0004318441258098,False,False,True,1447775258000.0,1448899598000.0,1448903198000.0,1470430681000.0,1470431581000.0,1455032983000.0,-1.0,1447785042000.0,1447788642000.0,1461003638000.0,1461007238000.0,1448899598000.0,1448903198000.0,"djohnson",1447788642000.0,1447775258000.0,45,1455032983000.0,-1.0,"Fix EventsResource and IT","The EventsResource was broken during two-dot-o development and the tests in EventsResourceIT were marked ignore.

Fix the EventsResource and re-enable the tests.",3.0,False,3.0,0,0.0,0,0,False
"USERGRID-1115","Story","On Deck","2015-11-17T15:03:29.000+0000","djohnson","","Major","","Fix AdminUsersIT tests","Six of the AdminUsersIT tests are ignored because they interfere with other tests and other reasons.  Figure out how to run those tests serially or some other way to test admin user features.",5.0,0.4821890721411468,0.4821388008624317,0.0231024454184246,True,False,True,1447772609000.0,1448031586000.0,1448035186000.0,1448308795000.0,1448309695000.0,1448031551000.0,-1.0,1447785017000.0,1447788617000.0,1448031559000.0,1448035159000.0,1448031586000.0,1448035186000.0,"djohnson",1447788617000.0,1447772609000.0,45,1448031551000.0,-1.0,"Fix AdminUsersIT tests","Six of the AdminUsersIT tests are ignored because they interfere with other tests and other reasons.  Figure out how to run those tests serially or some other way to test admin user features.",5.0,False,5.0,0,0.0,0,0,False
"USERGRID-1113","Story","On Deck","2015-11-17T14:20:13.000+0000","djohnson","","Major","","Improve NotificationsService test coverage","Currently many of the NotificationsServiceIT and NotifiersServiceIT test are either broken or incomplete because we were unable to create the mocks we need to test the code. We should revisit this and figure out how to get better test coverage for notifications in general.

Search the code for USERGRID-1113 to find the tests that should be unignored, fixed, replace or deleted.",2.0,0.8853950328088905,0.8612725516833664,0.0030436041391234,True,False,True,1447770013000.0,1452143165000.0,1452146765000.0,1452708323000.0,1452709223000.0,1452024035000.0,-1.0,1447785046000.0,1447788646000.0,1452024019000.0,1452027619000.0,1452143165000.0,1452146765000.0,"djohnson",1447788646000.0,1447770013000.0,45,1452024035000.0,-1.0,"Improve NotificationsService test coverage","Currently many of the NotificationsServiceIT and NotifiersServiceIT test are either broken or incomplete because we were unable to create the mocks we need to test the code. We should revisit this and figure out how to get better test coverage for notifications in general.

Search the code for USERGRID-1113 to find the tests that should be unignored, fixed, replace or deleted.",2.0,False,2.0,0,0.0,0,1,False
"USERGRID-1106","Story","On Deck","2015-11-12T17:16:50.000+0000","djohnson","","Major","","Fix test: clientCredentialsFlowWithHeaderAuthorization()","Currently this test is ignored in Usergrid master branch:
ApplicationResourceIT.clientCredentialsFlowWithHeaderAuthorization()

If it is still relevant we should fix it and un-ignore it.",3.0,0.710099373750805,0.6323431333685007,0.4540676024508931,True,False,True,1447348610000.0,1448031100000.0,1448034700000.0,1448308829000.0,1448309729000.0,1447956028000.0,-1.0,1447785023000.0,1447788623000.0,1447956367000.0,1447959967000.0,1448031100000.0,1448034700000.0,"djohnson",1447788623000.0,1447348610000.0,45,1447956028000.0,-1.0,"Fix test: clientCredentialsFlowWithHeaderAuthorization()","Currently this test is ignored in Usergrid master branch:
ApplicationResourceIT.clientCredentialsFlowWithHeaderAuthorization()

If it is still relevant we should fix it and un-ignore it.",3.0,False,3.0,0,0.0,0,0,False
"USERGRID-1101","Story","On Deck","2015-11-09T18:12:26.000+0000","jeffreyawest","","Major","","Unique Value Cleanup in 2.1 - cleaning up old columns for old versions","Ensure code makes it in to prevent wide rows in unique_values CF due to old versions not getting cleaned up
",3.0,-1.0,-1.0,0.0,False,False,False,1447092746000.0,-1.0,-1.0,1447977410000.0,1447978310000.0,1447263474000.0,-1.0,1447092746000.0,1447096346000.0,-1.0,-1.0,-1.0,-1.0,"jeffreyawest",1447096346000.0,1447092746000.0,45,1447263474000.0,-1.0,"Unique Value Cleanup in 2.1 - cleaning up old columns for old versions","Ensure code makes it in to prevent wide rows in unique_values CF due to old versions not getting cleaned up
",3.0,False,3.0,0,0.0,0,0,False
"USERGRID-1100","Story","Critical","2015-11-09T17:52:07.000+0000","jeffreyawest","","Major","","POST /devices/*/notifications does not work.","",1.0,0.8854176482339328,0.8854117588303362,0.0,False,False,False,1447091527000.0,1450850047000.0,1450853647000.0,1451335539000.0,1451336439000.0,1450856325000.0,-1.0,1447091527000.0,1447095127000.0,1450850022000.0,1450853622000.0,1450850047000.0,1450853647000.0,"jeffreyawest",1447095127000.0,1447091527000.0,45,1450856325000.0,-1.0,"POST /users/{user}/devices/notifications does not work.","",1.0,False,1.0,0,0.0,0,0,True
"USERGRID-1099","Bug","On Deck","2015-11-05T18:56:04.000+0000","djohnson","djohnson","Major","","Order of operations error in Query Execution","
I have a test that shows that queries of this form work:
C = c and ( A > a or B = false )

But the very same query formed like this will not work properly:
( A > a or B = false ) and C = c

",5.0,-1.0,0.0,0.5701521524761693,False,False,False,1446749764000.0,-1.0,-1.0,1447348197000.0,1447349097000.0,1447098433000.0,-1.0,1447091475000.0,1447095075000.0,1446749764000.0,1446753364000.0,-1.0,-1.0,"djohnson",1447095075000.0,1446749764000.0,45,1447098433000.0,-1.0,"Order of operations error in Query Execution","
I have a test that shows that queries of this form work:
C = c and ( A > a or B = false )

But the very same query formed like this will not work properly:
( A > a or B = false ) and C = c

",5.0,False,5.0,0,0.0,0,0,False
"USERGRID-1091","Story","Usergrid 31","2015-11-04T21:23:48.000+0000","mrusso","mrusso","Major","","AbstractReadGraphFilter produces and queues empty queue operations","When read repair is triggered, it is possible that there are now deIndexRequests to be queued.  Currently we're queueing empty operations and need to filter this properly.",1.0,3.8321058619244354e-05,0.0,2.6345727800730496e-05,True,True,True,1446672228000.0,1446672244000.0,1446675844000.0,1447088853000.0,1447089753000.0,1446672609000.0,-1.0,1446672239000.0,1446675839000.0,1446672228000.0,1446675828000.0,1446672244000.0,1446675844000.0,"mrusso",1446675839000.0,1446672609000.0,45,1446672609000.0,-1.0,"AbstractReadGraphFilter produces and queues empty queue operations","When read repair is triggered, it is possible that there are now deIndexRequests to be queued.  Currently we're queueing empty operations and need to filter this properly.",1.0,False,1.0,0,0.0,-1,0,False
