issue_key,issuetype,created,sp_change,text_multinomial,text_gaussian,text_bernoulli,text_complement,GROUP
TISTUD-5913,Improvement,2013-12-13T21:43:29.000+0000,FALSE,0.007004785,0,8.11E-24,0.214670071,A
TISTUD-6580,Improvement,2014-05-30T15:29:07.000+0000,FALSE,0.005494666,0,9.69E-30,0.176341019,A
TISTUD-4244,Improvement,2013-04-12T00:30:14.000+0000,FALSE,0.001140849,0,4.33E-27,0.0423826,A
TISTUD-4525,Bug,2013-05-03T22:04:18.000+0000,FALSE,0.008534481,0,6.27E-25,0.250126297,A
TISTUD-8490,Bug,2016-05-12T23:52:12.000+0000,FALSE,0.00920272,0,1,0.264661345,A
TISTUD-8882,Bug,2017-10-10T09:04:52.000+0000,FALSE,0.005442467,0,3.35E-15,0.1749513,A
TISTUD-8898,Bug,2017-10-21T04:05:21.000+0000,FALSE,0.01252293,0,9.27E-29,0.329496955,A
TISTUD-7960,Story,2016-01-19T03:36:49.000+0000,FALSE,0.005523408,0,7.14E-17,0.177104278,A
TISTUD-7867,Bug,2015-11-18T21:11:03.000+0000,FALSE,0.002211329,0,9.71E-32,0.07908699,A
TISTUD-8010,New Feature,2016-03-03T05:42:53.000+0000,FALSE,0.004235006,0,6.01E-26,0.141486792,A
TISTUD-8540,Bug,2016-07-26T07:44:10.000+0000,FALSE,0.003411466,0,2.73E-26,0.117112245,A
TISTUD-4035,Improvement,2013-03-31T00:05:41.000+0000,FALSE,0.006092388,0,1.09E-30,0.191936922,A
TISTUD-7510,Bug,2015-05-16T00:02:22.000+0000,FALSE,0.000370596,0,1.07E-32,0.014162464,A
TISTUD-7467,Bug,2015-05-01T11:58:51.000+0000,FALSE,0.008217856,0,3.25E-29,0.243043866,A
TISTUD-8944,Bug,2017-12-04T04:15:04.000+0000,FALSE,0.003077612,0,7.36E-35,0.106844317,A
TISTUD-5225,Bug,2013-08-08T22:26:40.000+0000,FALSE,0.00457349,0,1,0.151130207,A
TISTUD-8788,Story,2017-06-06T12:04:31.000+0000,FALSE,0.002207374,0,3.37E-11,0.078956425,A
TISTUD-5470,Story,2013-10-04T21:51:58.000+0000,FALSE,0.007914966,0,1.49E-31,0.236146669,A
TISTUD-5151,Bug,2013-07-25T10:15:48.000+0000,FALSE,0.011348617,0,5.45E-19,0.307865953,A
TISTUD-6871,Bug,2014-09-02T20:24:20.000+0000,FALSE,0.000764317,0,8.27E-33,0.028786712,A
TISTUD-5370,Story,2013-09-08T00:18:20.000+0000,FALSE,0.001720068,0,3.94E-33,0.06258861,A
TISTUD-5364,Story,2013-09-07T00:06:05.000+0000,FALSE,0.003455118,0,1.12E-31,0.118437891,A
TISTUD-7529,Bug,2015-05-20T23:43:57.000+0000,FALSE,0.001288922,1,2.64E-31,0.047628289,A
TISTUD-7052,Bug,2014-11-14T23:47:39.000+0000,FALSE,0.004052465,0,3.65E-31,0.136197459,A
TISTUD-6772,Bug,2014-08-06T21:25:34.000+0000,FALSE,0.002464488,0,1.03E-27,0.087370466,A
TISTUD-6273,Story,2014-03-25T01:10:08.000+0000,FALSE,0.003545597,0,6.73E-34,0.121173275,A
TISTUD-4363,Story,2013-04-22T22:17:35.000+0000,FALSE,0.00325983,0,4.71E-34,0.112477136,A
TISTUD-9092,Bug,2018-06-27T03:26:42.000+0000,FALSE,0.003185126,0,4.10E-26,0.110176202,A
TISTUD-6909,Bug,2014-09-10T17:20:08.000+0000,FALSE,0.003620984,0,1,0.123439869,A
TISTUD-7171,Bug,2015-02-04T00:54:26.000+0000,FALSE,0.001891076,0,8.12E-27,0.068396489,A
TISTUD-4022,Improvement,2013-03-30T18:50:44.000+0000,FALSE,0.009984106,0,4.61E-31,0.280981985,A
TISTUD-7622,Bug,2015-06-27T21:13:19.000+0000,FALSE,0.001618192,0,1.03E-21,0.059095028,A
TISTUD-5071,Improvement,2013-07-03T14:14:13.000+0000,FALSE,0.00169039,0,6.29E-21,0.061573456,A
TISTUD-7530,Story,2015-05-21T02:33:12.000+0000,FALSE,0.003819175,0,3.19E-32,0.129344869,A
TISTUD-9101,Bug,2018-07-12T23:42:43.000+0000,FALSE,0.001598603,0,2.19E-36,0.058420348,A
TISTUD-5833,Improvement,2013-12-03T22:32:42.000+0000,FALSE,0.007348708,0,4.53E-31,0.222921075,A
TISTUD-5079,Story,2013-07-03T18:39:38.000+0000,FALSE,0.014891427,0,4.22E-19,0.369389807,A
TISTUD-8490,Bug,2016-05-12T23:52:12.000+0000,FALSE,0.00920272,0,1,0.264661345,A
TISTUD-8983,Bug,2018-01-09T15:52:51.000+0000,FALSE,0.001796052,0,4.52E-29,0.065177901,A
TISTUD-5472,Story,2013-10-04T21:57:38.000+0000,FALSE,0.004558748,0,9.61E-32,0.1507146,A
TISTUD-8944,Bug,2017-12-04T04:15:04.000+0000,FALSE,0.003077612,0,7.36E-35,0.106844317,A
TISTUD-6523,Bug,2014-05-20T17:25:36.000+0000,FALSE,0.00537041,0,6.36E-28,0.173025438,A
TISTUD-7783,Bug,2015-10-15T23:01:53.000+0000,FALSE,0.005201648,0,4.04E-28,0.168480631,A
TISTUD-8885,Bug,2017-10-10T21:04:48.000+0000,FALSE,0.004101165,0,2.30E-30,0.137614774,A
TISTUD-7180,Bug,2015-02-04T22:26:03.000+0000,FALSE,0.001036446,0,1.41E-24,0.038650075,A
TISTUD-8967,Bug,2017-12-20T07:31:25.000+0000,FALSE,0.002595363,0,1,0.091596172,A
TISTUD-8864,Improvement,2017-09-19T04:06:18.000+0000,FALSE,0.002492909,0,2.51E-33,0.08829136,A
TISTUD-7522,Bug,2015-05-19T22:56:51.000+0000,FALSE,0.003849308,0,8.29E-32,0.130235922,A
TISTUD-8998,Bug,2018-01-30T02:24:08.000+0000,FALSE,0.00441441,0,1.81E-35,0.146624327,A
TISTUD-5327,Improvement,2013-08-27T07:46:23.000+0000,FALSE,0.003795355,0,8.79E-24,0.128639255,A
TISTUD-9140,Bug,2018-10-12T10:29:04.000+0000,FALSE,0.002779225,0,1.19E-18,0.097468948,A
TISTUD-4251,Improvement,2013-04-12T20:21:46.000+0000,FALSE,0.006902659,0,5.82E-33,0.212187264,A
TISTUD-6273,Story,2014-03-25T01:10:08.000+0000,FALSE,0.003545597,0,6.73E-34,0.121173275,A
TISTUD-5059,Story,2013-07-02T13:28:53.000+0000,FALSE,0.01656173,0,3.98E-30,0.394883674,A
TISTUD-6299,Story,2014-04-02T16:54:59.000+0000,FALSE,0.002234887,0,2.03E-32,0.079864002,A
TISTUD-8912,Bug,2017-11-16T18:32:20.000+0000,FALSE,0.010634653,0,1.49E-32,0.294045749,A
TISTUD-8564,Bug,2016-08-19T04:44:02.000+0000,FALSE,0.003617131,0,1.33E-32,0.123324308,A
TISTUD-7466,Story,2015-04-30T08:27:52.000+0000,FALSE,0.004808413,0,3.77E-25,0.15770057,A
TISTUD-6940,Bug,2014-09-17T17:52:07.000+0000,TRUE,0.016324903,1,2.29E-11,0.391389997,A
TISTUD-7991,Bug,2016-02-12T00:47:54.000+0000,FALSE,0.007642393,0,1.50E-22,0.229835187,A
TISTUD-4518,Story,2013-05-04T01:23:30.000+0000,FALSE,0.010422486,0,1.14E-25,0.289835776,A
TISTUD-6116,Improvement,2014-01-30T02:19:52.000+0000,FALSE,0.005821346,0,4.72E-30,0.18493632,A
TISTUD-9137,Bug,2018-10-10T11:57:49.000+0000,FALSE,0.003361899,0,1.10E-25,0.115602312,A
TISTUD-8864,Improvement,2017-09-19T04:06:18.000+0000,FALSE,0.002492909,0,2.51E-33,0.08829136,A
TISTUD-5693,Bug,2013-11-12T18:52:12.000+0000,FALSE,0.00644313,0,4.38E-30,0.200824982,A
TISTUD-4389,Bug,2013-04-23T20:58:51.000+0000,FALSE,0.0035995,0,3.52E-26,0.122795104,A
TISTUD-7732,Bug,2015-09-28T02:48:56.000+0000,FALSE,0.00292278,0,1.22E-31,0.102003197,A
TISTUD-6125,Improvement,2014-02-03T05:47:37.000+0000,FALSE,0.007153026,0,1.01E-24,0.218247181,A
TISTUD-8925,Bug,2017-11-23T13:33:11.000+0000,FALSE,0.004482885,0,1.28E-16,0.148569545,A
TISTUD-9137,Bug,2018-10-10T11:57:49.000+0000,FALSE,0.003361899,0,1.10E-25,0.115602312,A
TISTUD-9126,Bug,2018-09-17T21:57:48.000+0000,FALSE,0.002925248,0,6.25E-30,0.102080774,A
TISTUD-4978,Bug,2013-06-17T11:14:05.000+0000,FALSE,0.004986099,0,7.36E-27,0.162604964,A
TISTUD-9053,Bug,2018-04-02T08:30:37.000+0000,FALSE,0.002357615,0,6.05E-25,0.083891258,A
TISTUD-5545,Story,2013-10-18T17:27:35.000+0000,FALSE,0.011012415,0,3.05E-28,0.301423654,A
