"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7"
"XD-2093",True,"train",0.0,0.0,0.0,0.837412416934967,0.14227458834648132,0.0,0.0,0.0
"XD-1013",False,"train",0.013898597098886967,0.013934512622654438,0.6056615114212036,0.013931593857705593,0.013914062641561031,0.013903297483921051,0.3108592629432678,0.013897179625928402
"XD-1164",False,"train",0.8749561905860901,0.01786338910460472,0.01786428689956665,0.017863061279058456,0.017863109707832336,0.017862040549516678,0.017862936481833458,0.017864981666207314
"XD-1509",False,"train",0.2453784942626953,0.010483793914318085,0.010459437035024166,0.010467165149748325,0.6918279528617859,0.01047162152826786,0.010459823533892632,0.0104517275467515
"XD-2865",False,"train",0.0,0.5351203083992004,0.0,0.0,0.0,0.0,0.0,0.45670923590660095
"XD-1368",False,"train",0.0,0.0,0.23703718185424805,0.3969194293022156,0.324159175157547,0.0,0.0,0.0
"XD-88",False,"train",0.012509826570749283,0.012519661337137222,0.012556471861898899,0.012536527588963509,0.012510301545262337,0.012528695166110992,0.012556818313896656,0.9122816920280457
"XD-1908",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9324026703834534,0.0
"XD-2333",False,"train",0.543253481388092,0.0,0.0,0.0,0.0,0.0,0.40297049283981323,0.0
"XD-2508",False,"train",0.36107856035232544,0.010468930006027222,0.010460898280143738,0.010470270179212093,0.5761241316795349,0.010463187471032143,0.01046326756477356,0.010470782406628132
"XD-1982",True,"train",0.020859260112047195,0.020879464223980904,0.020840425044298172,0.020856192335486412,0.5159722566604614,0.020856600254774094,0.3588894009590149,0.020846426486968994
"XD-2178",False,"train",0.24428457021713257,0.0,0.0,0.44309288263320923,0.2777811288833618,0.0,0.0,0.0
"XD-3718",False,"train",0.2513850927352905,0.0,0.0,0.14573733508586884,0.0,0.5730631947517395,0.0,0.0
"XD-1756",False,"train",0.0,0.0,0.1644783318042755,0.0,0.7853790521621704,0.0,0.0,0.0
"XD-1324",False,"train",0.020903455093503,0.020899612456560135,0.02090948075056076,0.02091989852488041,0.6084827184677124,0.020898178219795227,0.2660845220088959,0.02090214379131794
"XD-2109",False,"train",0.0,0.0,0.0,0.0,0.0,0.9749337434768677,0.0,0.0
"XD-3673",False,"train",0.9483622312545776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-1186",False,"train",0.6735233068466187,0.1147313117980957,0.0,0.0,0.0,0.0,0.14388012886047363,0.059787023812532425
"XD-2598",True,"train",0.982778787612915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-1775",False,"train",0.03140135109424591,0.031428951770067215,0.031406644731760025,0.031404752284288406,0.03140197694301605,0.4586198925971985,0.35292860865592957,0.03140779957175255
"XD-614",False,"train",0.0,0.0,0.0,0.11344525218009949,0.8744319081306458,0.0,0.0,0.0
"XD-160",False,"train",0.0,0.0,0.0,0.0,0.04613371938467026,0.0,0.9345325827598572,0.0
