"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7"
"MESOS-3426",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9837241172790527,0.0
"MESOS-2914",False,"train",0.0,0.0,0.0,0.0,0.0,0.9993493556976318,0.0,0.0
"MESOS-2455",False,"train",0.28277865052223206,0.6913062930107117,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4657",False,"train",0.253755122423172,0.0,0.7149205803871155,0.0,0.0,0.0,0.0,0.0
"MESOS-9625",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9600479602813721,0.0
"MESOS-9396",False,"train",0.9662721157073975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-5112",False,"train",0.9662808775901794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-7625",False,"train",0.0,0.0,0.0,0.0,0.9697610139846802,0.0,0.0,0.0
"MESOS-7274",False,"train",0.0,0.15836840867996216,0.0,0.0,0.0,0.0,0.0,0.818145751953125
"MESOS-9648",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769082069396973
"MESOS-3551",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9733778238296509
"MESOS-6467",False,"train",0.0,0.0,0.0,0.0,0.0,0.9175218939781189,0.07615666091442108,0.0
"MESOS-2956",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9968434572219849,0.0
"MESOS-9147",False,"train",0.0,0.0,0.0,0.8072046637535095,0.0,0.0,0.18105612695217133,0.0
"MESOS-5362",False,"train",0.0,0.0,0.0,0.9634733200073242,0.0,0.0,0.0,0.0
"MESOS-5554",False,"train",0.0,0.3661476671695709,0.0,0.0,0.0,0.0,0.6145409941673279,0.0
"MESOS-8128",False,"train",0.9634867906570435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3491",False,"train",0.0,0.0,0.7886440753936768,0.0,0.0,0.0,0.20736677944660187,0.0
"MESOS-2633",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9582491517066956,0.0
"MESOS-4824",False,"train",0.0,0.0,0.0,0.9876283407211304,0.0,0.0,0.0,0.0
"MESOS-3368",False,"train",0.514032244682312,0.0,0.4570402503013611,0.0,0.0,0.0,0.0,0.0
"MESOS-3289",False,"train",0.9618257880210876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-9626",False,"train",0.0,0.9697567820549011,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-8569",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.11184616386890411,0.8747289776802063
"MESOS-9639",True,"train",0.0,0.9921010136604309,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-7263",True,"train",0.0,0.0,0.03435487672686577,0.9519786238670349,0.0,0.0,0.0,0.0
"MESOS-2275",False,"train",0.9538576006889343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3550",False,"train",0.7467020750045776,0.0,0.0,0.0,0.0,0.0,0.0,0.221959188580513
"MESOS-9009",False,"train",0.0,0.0,0.0,0.9885846376419067,0.0,0.0,0.0,0.0
"MESOS-4493",False,"train",0.8539376258850098,0.020867345854640007,0.02088051661849022,0.020873576402664185,0.020859720185399055,0.020863953977823257,0.02085898257791996,0.02085830084979534
"MESOS-5558",False,"train",0.0,0.0,0.9451273679733276,0.0,0.0,0.0,0.0,0.0
"MESOS-2123",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9415189027786255,0.0
"MESOS-3200",False,"train",0.0,0.0,0.0,0.9560987949371338,0.0,0.0,0.0,0.0
"MESOS-8647",False,"train",0.0,0.0,0.9780617952346802,0.0,0.0,0.0,0.0,0.0
"MESOS-9356",False,"train",0.01392451487481594,0.013911156915128231,0.9025883674621582,0.013911951333284378,0.013909894041717052,0.0139164375141263,0.013925306499004364,0.013912391848862171
"MESOS-8657",False,"train",0.4807557463645935,0.015688186511397362,0.015671025961637497,0.01567993499338627,0.4251753091812134,0.015682540833950043,0.01567748375236988,0.01566975936293602
"MESOS-8546",False,"train",0.0,0.9978141188621521,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4746",False,"train",0.01566948927938938,0.890330970287323,0.01566017046570778,0.015660103410482407,0.015665488317608833,0.015673086047172546,0.015678459778428078,0.01566222682595253
"MESOS-4984",False,"train",0.0,0.0,0.0,0.0,0.0,0.978056788444519,0.0,0.0
"MESOS-4178",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9865112900733948,0.0
"MESOS-3148",False,"train",0.0,0.0,0.0,0.0,0.0,0.9762508273124695,0.0,0.0
"MESOS-2838",False,"train",0.0,0.0,0.9742125868797302,0.0,0.0,0.0,0.0,0.0
"MESOS-4704",False,"train",0.7808074951171875,0.03134000301361084,0.031302813440561295,0.03131019324064255,0.031310152262449265,0.03130824491381645,0.031304869800806046,0.031316276639699936
