"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7"
"DM-10850",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9769527912139893
"DM-11310",False,"train",0.7481556534767151,0.0,0.0,0.0,0.0,0.0,0.0,0.2176344245672226
"DM-15588",True,"train",0.0,0.0,0.16667912900447845,0.0,0.7973046898841858,0.0,0.0,0.0
"DM-6463",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9768045544624329,0.0
"DM-5187",False,"train",0.8168047666549683,0.0,0.0,0.0,0.0,0.0,0.12142979353666306,0.04490093141794205
"DM-12764",False,"train",0.0,0.3684091866016388,0.18908102810382843,0.0,0.0,0.0,0.43011897802352905,0.0
"DM-10005",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9644391536712646,0.0
"DM-10434",False,"train",0.0,0.0,0.0,0.0,0.40813562273979187,0.3846864700317383,0.18603083491325378,0.0
"DM-10453",False,"train",0.0,0.0,0.0,0.0,0.974183201789856,0.0,0.0,0.0
"DM-17045",True,"train",0.0,0.793420672416687,0.0,0.0,0.0,0.0,0.0,0.1876010149717331
"DM-9964",False,"train",0.0,0.0,0.0,0.0,0.1495518684387207,0.8268683552742004,0.0,0.0
"DM-3204",False,"train",0.02090381272137165,0.020878152921795845,0.02085067890584469,0.02085883915424347,0.853927493095398,0.020856019109487534,0.020863167941570282,0.02086188830435276
"DM-6283",False,"train",0.0,0.0,0.0,0.0,0.26926517486572266,0.0,0.0,0.7106926441192627
"DM-4917",False,"train",0.3543078303337097,0.0,0.0,0.0,0.0,0.0,0.0,0.6253482103347778
"DM-1696",False,"train",0.01790275238454342,0.017889605835080147,0.14255739748477936,0.017870072275400162,0.3454635739326477,0.01788073033094406,0.017877614125609398,0.4225582480430603
"DM-6561",False,"train",0.0,0.0,0.685842752456665,0.0,0.0,0.0,0.25628262758255005,0.0
"DM-5760",False,"train",0.020886607468128204,0.8537406921386719,0.020885873585939407,0.02088562212884426,0.020894726738333702,0.020908033475279808,0.020896483212709427,0.020901907235383987
"DM-14260",False,"train",0.0,0.27606770396232605,0.0,0.0,0.6894300580024719,0.0,0.0,0.0
"DM-15686",True,"train",0.0,0.9848863482475281,0.0,0.0,0.0,0.0,0.0,0.0
"DM-8007",False,"train",0.0,0.0,0.0,0.3733869194984436,0.0,0.19783636927604675,0.25083738565444946,0.1497279852628708
"DM-5276",True,"train",0.13651004433631897,0.4152139723300934,0.0,0.04263173043727875,0.0,0.13080506026744843,0.22090213000774384,0.05007847025990486
"DM-15452",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9560613036155701,0.0
"DM-2157",True,"train",0.438507080078125,0.0,0.07659541070461273,0.0,0.47994959354400635,0.0,0.0,0.0
"DM-241",False,"train",0.0,0.0,0.0,0.0,0.4272501766681671,0.0,0.0,0.5615075826644897
"DM-10813",False,"train",0.0,0.3736612796783447,0.0,0.247650146484375,0.1815297156572342,0.17781758308410645,0.0,0.0
"DM-8088",True,"train",0.0,0.16822479665279388,0.023963836953043938,0.0,0.14189712703227997,0.0,0.661885678768158,0.0
"DM-9873",False,"train",0.0,0.0,0.517092227935791,0.0,0.0,0.0,0.47421857714653015,0.0
"DM-7415",False,"train",0.013910537585616112,0.0139105673879385,0.013906536623835564,0.013919857330620289,0.013905017636716366,0.902637779712677,0.013905756175518036,0.013903944753110409
"DM-7942",False,"train",0.0,0.0,0.0,0.0,0.0,0.3868698179721832,0.5998420119285583,0.0
"DM-16441",False,"train",0.0,0.0,0.8984965085983276,0.0,0.08312378823757172,0.0,0.0,0.0
"DM-17445",True,"train",0.01996424049139023,0.019972683861851692,0.019968237727880478,0.02000446245074272,0.019976653158664703,0.01997196301817894,0.8601610064506531,0.019980696961283684
"DM-7456",False,"train",0.0,0.9452769756317139,0.0,0.0,0.0,0.0,0.0,0.0
"DM-17835",False,"train",0.0,0.0,0.0,0.0,0.0,0.07149988412857056,0.8955246806144714,0.0
"DM-278",False,"train",0.556846559047699,0.0,0.0,0.0,0.0,0.10653536021709442,0.3004298210144043,0.0
"DM-10965",False,"train",0.0,0.0,0.22596335411071777,0.0,0.0,0.0,0.7643078565597534,0.0
"DM-17343",True,"train",0.0,0.7446253895759583,0.0,0.0,0.0,0.1975507140159607,0.0,0.0
"DM-7149",False,"train",0.0,0.0,0.9558250308036804,0.0,0.0,0.0,0.0,0.0
"DM-8464",True,"train",0.02501591108739376,0.621845543384552,0.22802384197711945,0.02503341995179653,0.025011422112584114,0.02502940595149994,0.025024665519595146,0.02501576580107212
"DM-14543",False,"train",0.012524598278105259,0.9123250842094421,0.012534504756331444,0.012519030831754208,0.012526627629995346,0.01252486277371645,0.012523391284048557,0.012521849945187569
"DM-8565",True,"train",0.0,0.10614866763353348,0.0,0.25894132256507874,0.0,0.0,0.0,0.6231737732887268
"DM-13162",False,"train",0.0,0.0,0.0,0.0,0.0,0.38786545395851135,0.0,0.5866366624832153
"DM-1210",False,"train",0.0,0.0,0.6779246926307678,0.0,0.0,0.0,0.3085964024066925,0.0
"DM-15358",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9480816125869751,0.0
"DM-17252",False,"train",0.0,0.3623000979423523,0.0,0.0,0.5963919758796692,0.0,0.0,0.0
"DM-10887",False,"train",0.017935313284397125,0.01793425716459751,0.01795300841331482,0.017930645495653152,0.8744189739227295,0.017955835908651352,0.017935896292328835,0.017936095595359802
"DM-13084",False,"train",0.0,0.6333138942718506,0.0,0.0,0.0,0.0,0.0,0.36002546548843384
"DM-16814",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.31553372740745544,0.6554229259490967
"DM-10295",False,"train",0.9451583027839661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
