"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7"
"TIMOB-24297",True,"train",0.0,0.5168992877006531,0.47755831480026245,0.0,0.0,0.0,0.0,0.0
"TIMOB-24655",False,"train",0.0,0.0,0.0,0.38097062706947327,0.0,0.604565441608429,0.0,0.0
"TIMOB-24900",False,"train",0.0,0.0,0.9994851350784302,0.0,0.0,0.0,0.0,0.0
"TIMOB-23666",False,"train",0.21807493269443512,0.0,0.0,0.0,0.0,0.0,0.7735752463340759,0.0
"TIMOB-18378",False,"train",0.9878267049789429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-25778",False,"train",0.0,0.0,0.0,0.0,0.937361478805542,0.0,0.0,0.0
"TIMOB-17836",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9452260732650757,0.0
"TIMOB-23237",False,"train",0.0,0.30210691690444946,0.0,0.0,0.6941550374031067,0.0,0.0,0.0
"TIMOB-23124",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9971540570259094,0.0
"TIMOB-23628",False,"train",0.0,0.5359388589859009,0.45267415046691895,0.0,0.0,0.0,0.0,0.0
"TIMOB-24222",False,"train",0.16711409389972687,0.0,0.0,0.7542482614517212,0.0,0.06702259182929993,0.0,0.0
"TIMOB-23341",False,"train",0.0,0.0,0.0,0.1488099992275238,0.8358525633811951,0.0,0.0,0.0
"TIMOB-23594",False,"train",0.0,0.0,0.9809562563896179,0.0,0.0,0.0,0.0,0.0
"TIMOB-18713",False,"train",0.94842928647995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-23492",False,"train",0.0,0.0,0.0,0.0,0.9935045838356018,0.0,0.0,0.0
"TIMOB-23509",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9618897438049316,0.0
"TIMOB-19033",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9686920642852783
"TIMOB-19663",False,"train",0.7963773012161255,0.0,0.0,0.18216444551944733,0.0,0.0,0.0,0.0
"TIMOB-26479",False,"train",0.0,0.0,0.968695342540741,0.0,0.0,0.0,0.0,0.0
"TIMOB-24232",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9662962555885315
"TIMOB-23832",False,"train",0.8601492643356323,0.0,0.0,0.0,0.0,0.12732726335525513,0.0,0.0
"TIMOB-18190",False,"train",0.0,0.0,0.9373287558555603,0.0,0.0,0.0,0.0,0.0
"TIMOB-20619",False,"train",0.146742045879364,0.0,0.0,0.0,0.8524198532104492,0.0,0.0,0.0
"TIMOB-20246",False,"train",0.010429888032376766,0.010430760681629181,0.010442351922392845,0.010435259900987148,0.9269548058509827,0.010438469238579273,0.010434502735733986,0.010433982126414776
"TIMOB-26141",False,"train",0.0,0.0,0.0,0.0,0.0,0.09351485222578049,0.8996531367301941,0.0
"TIMOB-26560",False,"train",0.0,0.0,0.0,0.0,0.0,0.988761305809021,0.0,0.0
"TIMOB-24810",False,"train",0.9675371646881104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-26703",False,"train",0.9884647130966187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-26538",False,"train",0.0,0.0,0.0,0.0,0.9974793791770935,0.0,0.0,0.0
"TIMOB-26746",False,"train",0.9955717325210571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24183",False,"train",0.0,0.0,0.9756545424461365,0.0,0.0,0.0,0.0,0.0
"TIMOB-25733",False,"train",0.6689591407775879,0.0,0.0,0.0,0.0,0.307554692029953,0.0,0.0
"TIMOB-25178",False,"train",0.9872974157333374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-20145",False,"train",0.0,0.6528877019882202,0.33393460512161255,0.0,0.0,0.0,0.0,0.0
"TIMOB-24966",False,"train",0.0,0.0,0.9791276454925537,0.0,0.0,0.0,0.0,0.0
"TIMOB-24225",False,"train",0.0,0.0,0.0,0.0,0.9840664267539978,0.0,0.0,0.0
"TIMOB-23938",False,"train",0.0,0.0,0.0,0.0,0.28673040866851807,0.7104597687721252,0.0,0.0
"TIMOB-19042",False,"train",0.9900357127189636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-17965",False,"train",0.0,0.0,0.0,0.9662684202194214,0.0,0.0,0.0,0.0
"TIMOB-19090",False,"train",0.0,0.0,0.989183783531189,0.0,0.0,0.0,0.0,0.0
"TIMOB-16789",False,"train",0.0,0.0,0.0,0.9796173572540283,0.0,0.0,0.0,0.0
"TIMOB-23591",False,"train",0.0,0.0,0.9809589982032776,0.0,0.0,0.0,0.0,0.0
"TIMOB-17972",False,"train",0.031290844082832336,0.7808851003646851,0.03133310750126839,0.03131439536809921,0.031292274594306946,0.03129742667078972,0.03129195421934128,0.031294867396354675
"TIMOB-24863",False,"train",0.3337157070636749,0.0,0.0,0.0,0.0,0.0,0.6591953039169312,0.0
"TIMOB-25617",False,"train",0.0,0.0,0.0,0.0,0.0,0.984046995639801,0.0,0.0
"TIMOB-23373",False,"train",0.9828183054924011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19704",False,"train",0.0,0.0,0.9618967175483704,0.0,0.0,0.0,0.0,0.0
"TIMOB-19187",False,"train",0.0,0.0,0.0,0.0,0.9687195420265198,0.0,0.0,0.0
