"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7"
"TISTUD-7683",False,"train",0.0,0.0,0.0,0.7085452675819397,0.0,0.28040382266044617,0.0,0.0
"TISTUD-5247",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9936979413032532,0.0
"TISTUD-6250",False,"train",0.0,0.0,0.0,0.7078291177749634,0.0,0.0,0.27965235710144043,0.0
"TISTUD-7965",False,"train",0.0,0.0,0.0,0.0,0.0,0.9734588265419006,0.0,0.0
"TISTUD-4525",False,"train",0.0,0.0,0.9872943758964539,0.0,0.0,0.0,0.0,0.0
"TISTUD-6084",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.981752872467041,0.0
"TISTUD-8506",False,"train",0.0,0.0,0.9966302514076233,0.0,0.0,0.0,0.0,0.0
"TISTUD-8693",False,"train",0.0,0.9824737310409546,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7905",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9416303634643555
"TISTUD-4619",False,"train",0.9726177453994751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9045",False,"train",0.0,0.0,0.0,0.0,0.9840584993362427,0.0,0.0,0.0
"TISTUD-9108",False,"train",0.01042394433170557,0.010425745509564877,0.010424422100186348,0.010424140840768814,0.01042944472283125,0.927021324634552,0.010423138737678528,0.010427811183035374
"TISTUD-5825",False,"train",0.0,0.0,0.9978466629981995,0.0,0.0,0.0,0.0,0.0
"TISTUD-8541",False,"train",0.0,0.0,0.0,0.0,0.9800812602043152,0.0,0.0,0.0
"TISTUD-9017",False,"train",0.0,0.0,0.0,0.0,0.932588517665863,0.0,0.0,0.0
"TISTUD-8530",False,"train",0.0,0.0,0.0,0.0,0.4529716372489929,0.5277657508850098,0.0,0.0
"TISTUD-8584",False,"train",0.0,0.28872960805892944,0.0,0.0,0.7039758563041687,0.0,0.0,0.0
"TISTUD-5503",False,"train",0.0,0.0,0.0,0.0,0.9717434644699097,0.0,0.0,0.0
"TISTUD-6594",False,"train",0.0,0.0,0.0,0.0,0.0,0.15373985469341278,0.8323544263839722,0.0
"TISTUD-5151",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945896863937378
"TISTUD-8573",False,"train",0.0,0.0,0.9967175126075745,0.0,0.0,0.0,0.0,0.0
"TISTUD-5372",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9717370867729187
"TISTUD-7726",False,"train",0.9561761021614075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5060",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840735793113708
"TISTUD-4364",False,"train",0.0,0.0,0.0,0.0,0.0,0.9513265490531921,0.0,0.0
