"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7"
"MULE-7783",False,"train",0.9270015358924866,0.010424427688121796,0.010426667518913746,0.010426852852106094,0.01042985264211893,0.010430584661662579,0.010432686656713486,0.010427434928715229
"MULE-8453",False,"train",0.0,0.5032984018325806,0.0,0.0,0.0,0.0,0.0,0.46254611015319824
"MULE-7384",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9742093682289124,0.0
"MULE-9414",False,"train",0.0,0.0,0.8148972392082214,0.13145728409290314,0.0,0.0,0.0,0.0
"MULE-10572",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9374422430992126
"MULE-14011",False,"train",0.0,0.9750728011131287,0.018755771219730377,0.0,0.0,0.0,0.0,0.0
"MULE-15795",False,"train",0.012504666112363338,0.9124496579170227,0.012507371604442596,0.012507160194218159,0.012506869621574879,0.012504858896136284,0.012508331798017025,0.012511050328612328
"MULE-12191",False,"train",0.010495126247406006,0.4786565601825714,0.4583657383918762,0.010494090616703033,0.010498709976673126,0.01049635000526905,0.010496214032173157,0.010497162118554115
"MULE-14126",False,"train",0.8246545791625977,0.02504993975162506,0.025046266615390778,0.025043196976184845,0.02508692257106304,0.025051984935998917,0.025033434852957726,0.02503371052443981
"MULE-7256",False,"train",0.0,0.0,0.8056936860084534,0.10142788290977478,0.0,0.07204074412584305,0.0,0.0
"MULE-9635",False,"train",0.8874368667602539,0.07073070108890533,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-12197",False,"train",0.0,0.0,0.0,0.7872938513755798,0.20794615149497986,0.0,0.0,0.0
"MULE-13831",True,"train",0.0,0.0,0.6779440641403198,0.0,0.0,0.28030359745025635,0.0,0.0
"MULE-14715",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9734188318252563,0.0
"MULE-11184",False,"train",0.6590076684951782,0.3167226314544678,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-9414",False,"train",0.0,0.0,0.8148972392082214,0.13145728409290314,0.0,0.0,0.0,0.0
"MULE-13503",True,"train",0.015643352642655373,0.015638623386621475,0.01564837619662285,0.015638332813978195,0.8905057311058044,0.015638599172234535,0.01563744992017746,0.015649553388357162
"MULE-12121",False,"train",0.012684855610132217,0.012682279571890831,0.9112189412117004,0.01268121600151062,0.012681428343057632,0.012681310996413231,0.012683846987783909,0.012686164118349552
"MULE-10680",False,"train",0.5835285186767578,0.0,0.0,0.0,0.0,0.0,0.0,0.3896287679672241
"MULE-8383",False,"train",0.0,0.0,0.0,0.03968227282166481,0.953661322593689,0.0,0.0,0.0
"MULE-14245",False,"train",0.013906378298997879,0.0139090521261096,0.01389954425394535,0.01390492357313633,0.9026519656181335,0.01390502043068409,0.0139091107994318,0.013913989067077637
"MULE-9963",False,"train",0.0,0.0,0.0,0.8938669562339783,0.09869813174009323,0.0,0.0,0.0
"MULE-12369",False,"train",0.9025986790657043,0.013912981376051903,0.01396571658551693,0.01391609851270914,0.01389685645699501,0.013899212703108788,0.013901670463383198,0.0139087475836277
"MULE-11092",False,"train",0.0,0.0,0.0,0.6771988868713379,0.0,0.0,0.0,0.2959339916706085
"MULE-10475",False,"train",0.0,0.0,0.13643956184387207,0.0,0.0,0.0,0.8376647233963013,0.0
"MULE-12226",False,"train",0.956158459186554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-7501",False,"train",0.0,0.0,0.0,0.9634613990783691,0.0,0.0,0.0,0.0
"MULE-13803",False,"train",0.01787668466567993,0.017879873514175415,0.017872396856546402,0.01789083145558834,0.8748542666435242,0.01787102036178112,0.01787000149488449,0.01788497157394886
"MULE-11680",True,"train",0.0,0.0,0.24998223781585693,0.0,0.0,0.0,0.0,0.7142729163169861
"MULE-13113",False,"train",0.01045062206685543,0.010456280782818794,0.01044539362192154,0.010443663224577904,0.010452915914356709,0.01045022439211607,0.9268405437469482,0.010460386984050274
"MULE-12026",False,"train",0.011398264206945896,0.011407073587179184,0.011395271867513657,0.011408518999814987,0.42412105202674866,0.01139002200216055,0.01139872707426548,0.507481038570404
"MULE-8102",False,"train",0.013899444602429867,0.9026938080787659,0.013896511867642403,0.013901020400226116,0.013899287208914757,0.01389902550727129,0.013901149854063988,0.013909779489040375
"MULE-12866",False,"train",0.0,0.0,0.5027216672897339,0.2909666895866394,0.0,0.0,0.0,0.18126246333122253
"MULE-14661",False,"train",0.9582631587982178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-11839",False,"train",0.0,0.0,0.31269097328186035,0.0,0.6356520056724548,0.0,0.0,0.020351331681013107
"MULE-15786",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9484598636627197,0.0
"MULE-9465",True,"train",0.0,0.0,0.9891719818115234,0.0,0.0,0.0,0.0,0.0
"MULE-11786",False,"train",0.0,0.0,0.7018609046936035,0.0,0.27783793210983276,0.0,0.0,0.0
"MULE-10792",False,"train",0.0,0.0,0.7513828873634338,0.09341567009687424,0.0,0.0,0.1455373615026474,0.0
"MULE-10381",False,"train",0.0,0.0,0.0,0.39469853043556213,0.0,0.0,0.0,0.5740017890930176
"MULE-10674",False,"train",0.08621380478143692,0.0,0.0,0.0,0.0,0.0,0.8667678236961365,0.0
"MULE-7758",False,"train",0.010445216670632362,0.010455377399921417,0.010458020493388176,0.010443063452839851,0.010441499762237072,0.010446369647979736,0.010443905368447304,0.9268665909767151
"MULE-14585",False,"train",0.012532870285212994,0.012557060457766056,0.012532931752502918,0.012538249604403973,0.012549511156976223,0.012531825341284275,0.9122176766395569,0.012539842166006565
"MULE-13009",False,"train",0.0,0.0,0.23109838366508484,0.7583009004592896,0.0,0.0,0.0,0.0
"MULE-13097",False,"train",0.9675559401512146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-11227",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9374229311943054,0.0
"MULE-8497",False,"train",0.017911724746227264,0.8747593760490417,0.01787547580897808,0.017881514504551888,0.01790226250886917,0.017877480015158653,0.017898455262184143,0.017893675714731216
"MULE-12094",False,"train",0.817840039730072,0.0,0.0,0.0,0.16507013142108917,0.0,0.0,0.0
"MULE-11834",False,"train",0.012520139105618,0.01251651905477047,0.012518205679953098,0.01252234261482954,0.012519286014139652,0.01251148246228695,0.9123799800872803,0.012512056156992912
"MULE-14127",False,"train",0.0,0.0,0.0,0.0,0.9662911295890808,0.0,0.0,0.0
"MULE-13124",False,"train",0.0,0.0,0.05853438749909401,0.0,0.4766963720321655,0.4349375069141388,0.0,0.0
"MULE-10219",False,"train",0.013917407020926476,0.013918126001954079,0.9025125503540039,0.013948879204690456,0.013935876078903675,0.013912394642829895,0.01392571534961462,0.013929118402302265
"MULE-16510",False,"train",0.0,0.0,0.0,0.9649165272712708,0.0,0.0,0.0,0.0
"MULE-10421",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707722067832947
"MULE-7987",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9483907222747803,0.0
"MULE-13017",False,"train",0.5762096047401428,0.0,0.18185286223888397,0.0,0.0,0.21785058081150055,0.0,0.0
"MULE-7145",False,"train",0.04071671888232231,0.0,0.30441439151763916,0.0,0.0,0.0,0.0,0.6387606859207153
"MULE-10977",False,"train",0.0,0.0,0.98174649477005,0.0,0.0,0.0,0.0,0.0
"MULE-9620",False,"train",0.0,0.0,0.1549486517906189,0.0,0.0,0.7332499623298645,0.0,0.09440329670906067
"MULE-12404",False,"train",0.0,0.0,0.15728621184825897,0.8349405527114868,0.0,0.0,0.0,0.0
"MULE-13920",False,"train",0.0,0.0,0.9373553991317749,0.0,0.0,0.0,0.0,0.0
"MULE-10126",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840572476387024
"MULE-14367",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9484461545944214
"MULE-15048",True,"train",0.6205577254295349,0.29592883586883545,0.013924377039074898,0.013928857631981373,0.013910741545259953,0.013907362706959248,0.013914463110268116,0.01392763014882803
"MULE-13045",False,"train",0.0,0.0,0.0,0.0,0.9415780901908875,0.0,0.0,0.0
"MULE-10791",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9483070373535156,0.0
"MULE-11238",False,"train",0.0,0.3317294716835022,0.07912789285182953,0.0,0.0,0.0,0.5797724723815918,0.0
"MULE-12309",False,"train",0.012513948604464531,0.012511733919382095,0.012534365989267826,0.012513425201177597,0.012510735541582108,0.9123859405517578,0.012511481530964375,0.01251834537833929
