"issue_key","sp_change","type","t0","t1","t2","t3","t4"
"TIMOB-23748",False,"train",0.06971795111894608,0.7310999631881714,0.1924673169851303,0.0,0.0
"TIMOB-23148",False,"train",0.8195816874504089,0.0,0.1523675173521042,0.0,0.0
"TIMOB-25897",False,"train",0.0,0.0,0.0,0.0,0.9871417284011841
"TIMOB-15258",False,"train",0.0,0.0,0.6672604084014893,0.33022332191467285,0.0
"TIMOB-24703",False,"train",0.0,0.6285433769226074,0.36508989334106445,0.0,0.0
"TIMOB-26785",False,"train",0.01362414751201868,0.013542242348194122,0.9454672932624817,0.013674966990947723,0.013691396452486515
"TIMOB-19442",False,"train",0.99139404296875,0.0,0.0,0.0,0.0
"TIMOB-19093",False,"train",0.9840474724769592,0.0,0.0,0.0,0.0
"TIMOB-24246",False,"train",0.014436556957662106,0.9422757625579834,0.014462171122431755,0.014412816613912582,0.014412706717848778
"TIMOB-20189",False,"train",0.0,0.0,0.0,0.0,0.9873339533805847
"TIMOB-19921",False,"train",0.011923999525606632,0.01198500208556652,0.952087938785553,0.01196898054331541,0.012034072540700436
"TIMOB-26847",False,"train",0.0,0.0,0.9897351264953613,0.0,0.0
"TIMOB-18672",False,"train",0.0,0.0,0.0,0.9643871188163757,0.0
"TIMOB-19481",False,"train",0.022533638402819633,0.02248198352754116,0.02256348915398121,0.9096723198890686,0.02274860069155693
"TIMOB-24058",False,"train",0.04964476451277733,0.35698285698890686,0.0,0.0843224748969078,0.5073581337928772
"TIMOB-23560",False,"train",0.9961835741996765,0.0,0.0,0.0,0.0
"TIMOB-16078",False,"train",0.0,0.0,0.0,0.9925059080123901,0.0
"TIMOB-25580",False,"train",0.0,0.5953035354614258,0.041445180773735046,0.357791930437088,0.0
"TIMOB-26667",False,"train",0.0,0.0,0.0,0.9848195910453796,0.0
"TIMOB-24964",False,"train",0.0,0.9711158871650696,0.0,0.023669537156820297,0.0
"TIMOB-18724",False,"train",0.5507233142852783,0.44234851002693176,0.0,0.0,0.0
"TIMOB-23998",False,"train",0.0,0.9671465158462524,0.0,0.0,0.0
"TIMOB-25989",False,"train",0.0,0.9951911568641663,0.0,0.0,0.0
"TIMOB-25440",False,"train",0.0,0.0,0.0,0.899653971195221,0.09986573457717896
"TIMOB-19518",False,"train",0.0,0.0,0.0,0.9877691268920898,0.0
"TIMOB-17894",False,"train",0.0,0.0,0.9914112687110901,0.0,0.0
"TIMOB-24206",True,"train",0.0,0.45574307441711426,0.0,0.538049578666687,0.0
"TIMOB-23661",False,"train",0.0,0.0,0.5375891327857971,0.4538608491420746,0.0
"TIMOB-25401",False,"train",0.9475780725479126,0.0,0.0,0.042735785245895386,0.0
"TIMOB-19567",True,"train",0.0,0.9894471764564514,0.0,0.0,0.0
"TIMOB-26981",False,"train",0.9890909194946289,0.0,0.0,0.0,0.0
"TIMOB-18773",False,"train",0.07300134003162384,0.0,0.9136034250259399,0.0,0.0
"TIMOB-24665",False,"train",0.0,0.0,0.0,0.991973876953125,0.0
"TIMOB-9606",False,"train",0.0,0.9928596019744873,0.0,0.0,0.0
"TIMOB-23749",False,"train",0.0,0.3377732038497925,0.6494438648223877,0.0,0.0
"TIMOB-23878",False,"train",0.1107412651181221,0.17123137414455414,0.0,0.0,0.7177896499633789
"TIMOB-23373",False,"train",0.0,0.5189434885978699,0.46907588839530945,0.0,0.0
"TIMOB-18581",False,"train",0.0,0.0,0.0,0.9679210782051086,0.0
"TIMOB-24304",False,"train",0.0,0.11077587306499481,0.3925527036190033,0.4894751310348511,0.0
"TIMOB-18704",False,"train",0.0,0.0,0.0,0.9609754085540771,0.0
"TIMOB-19399",False,"train",0.011338045820593834,0.011525856330990791,0.9544565677642822,0.011418457143008709,0.011261063627898693
"TIMOB-19368",False,"train",0.020318569615483284,0.9184452891349792,0.02047910913825035,0.02032409980893135,0.020432930439710617
"TIMOB-9742",False,"train",0.0,0.0,0.0,0.0,0.9860562682151794
"TIMOB-25919",False,"train",0.542269229888916,0.0,0.0,0.09591379016637802,0.35743919014930725
"TIMOB-23275",False,"train",0.0,0.9946959614753723,0.0,0.0,0.0
"TIMOB-25175",False,"train",0.7084000110626221,0.2777630388736725,0.0,0.0,0.0
"TIMOB-23187",False,"train",0.0,0.0,0.9817801713943481,0.0,0.0
"TIMOB-20608",False,"train",0.0,0.0,0.22725160419940948,0.2136303335428238,0.547722578048706
"TIMOB-18319",False,"train",0.0,0.0,0.9752787351608276,0.0,0.0
"TIMOB-18457",False,"train",0.0,0.0,0.9842846989631653,0.0,0.0
"TIMOB-23427",False,"train",0.0,0.9921919107437134,0.0,0.0,0.0
"TIMOB-24730",False,"train",0.06577760726213455,0.0,0.0,0.9180750250816345,0.0
"TIMOB-24132",False,"train",0.0,0.0,0.0,0.9914580583572388,0.0
"TIMOB-25409",False,"train",0.09795784950256348,0.2883695662021637,0.05956682935357094,0.17525459825992584,0.37885114550590515
"TIMOB-19768",False,"train",0.9705842733383179,0.0,0.0,0.0,0.0
"TIMOB-17902",False,"train",0.04027252644300461,0.04075731709599495,0.040394049137830734,0.8383748531341553,0.040201254189014435
"TIMOB-19055",False,"train",0.0,0.0,0.0,0.9808892607688904,0.0
"TIMOB-24211",False,"train",0.010826564393937588,0.010818211361765862,0.9567072987556458,0.010841697454452515,0.010806238278746605
"TIMOB-23714",False,"train",0.0,0.8983796238899231,0.09566309303045273,0.0,0.0
"TIMOB-15596",False,"train",0.0,0.0,0.9892363548278809,0.0,0.0
"TIMOB-23869",False,"train",0.0,0.7772430181503296,0.2190362811088562,0.0,0.0
"TIMOB-24756",False,"train",0.03662615269422531,0.0,0.0,0.0,0.9600358009338379
"TIMOB-18729",False,"train",0.8272975087165833,0.0,0.16194139420986176,0.0,0.0
"TIMOB-23748",False,"train",0.06971795111894608,0.7310999631881714,0.1924673169851303,0.0,0.0
"TIMOB-24127",False,"train",0.0,0.0,0.15712039172649384,0.0,0.8414192795753479
"TIMOB-20299",False,"train",0.0,0.7624517679214478,0.07615320384502411,0.0,0.16031618416309357
"TIMOB-23560",False,"train",0.9961835741996765,0.0,0.0,0.0,0.0
"TIMOB-25955",True,"train",0.0,0.0,0.0,0.0,0.9794366359710693
"TIMOB-24629",False,"train",0.0,0.8165380358695984,0.0,0.0,0.178676038980484
"TIMOB-20289",False,"train",0.0,0.0,0.9727572202682495,0.0,0.0
"TIMOB-26459",False,"train",0.0,0.9456841945648193,0.04947536438703537,0.0,0.0
"TIMOB-18733",True,"train",0.9673668146133423,0.0,0.0,0.0,0.0
"TIMOB-19085",False,"train",0.0,0.0,0.9814321994781494,0.0,0.0
"TIMOB-19843",False,"train",0.012020369060337543,0.9520063996315002,0.012017384171485901,0.01200848538428545,0.011947396211326122
"TIMOB-23657",False,"train",0.5357804894447327,0.11676915735006332,0.3346661329269409,0.0,0.0
"TIMOB-25955",True,"train",0.0,0.0,0.0,0.0,0.9794366359710693
"TIMOB-25933",False,"train",0.9089800715446472,0.02282380685210228,0.022920647636055946,0.02271314524114132,0.022562269121408463
"TIMOB-19264",False,"train",0.0,0.0,0.09754419326782227,0.9000488519668579,0.0
"TIMOB-20192",False,"train",0.0,0.0,0.991399347782135,0.0,0.0
"TIMOB-24277",False,"train",0.19291286170482635,0.8019804954528809,0.0,0.0,0.0
"TIMOB-20246",False,"train",0.01694558560848236,0.9322773218154907,0.016966531053185463,0.01687127910554409,0.01693933829665184
"TIMOB-23745",False,"train",0.0,0.0,0.04298635199666023,0.9503236413002014,0.0
"TIMOB-23924",False,"train",0.0,0.0,0.9909234642982483,0.0,0.0
"TIMOB-20534",False,"train",0.9961601495742798,0.0,0.0,0.0,0.0
"TIMOB-16078",False,"train",0.0,0.0,0.0,0.9925059080123901,0.0
"TIMOB-19140",False,"train",0.9370624423027039,0.015740161761641502,0.01587919145822525,0.01561841182410717,0.015699783340096474
"TIMOB-23393",False,"train",0.0,0.6847782731056213,0.0,0.16527459025382996,0.14540092647075653
"TIMOB-18395",False,"train",0.23993150889873505,0.01722550205886364,0.017078103497624397,0.7088643312454224,0.016900571063160896
"TIMOB-25876",False,"train",0.013703996315598488,0.0135938860476017,0.9453074932098389,0.01369103230535984,0.013703577220439911
"TIMOB-23687",False,"train",0.0,0.9801631569862366,0.0,0.0,0.0
"TIMOB-26372",False,"train",0.0,0.21909427642822266,0.12467334419488907,0.0,0.6515713334083557
"TIMOB-26177",False,"train",0.0,0.996807336807251,0.0,0.0,0.0
"TIMOB-24102",False,"train",0.0,0.21010547876358032,0.0,0.0,0.7822049856185913
"TIMOB-25327",False,"train",0.0,0.9905310273170471,0.0,0.0,0.0
"TIMOB-25890",True,"train",0.504119336605072,0.13359735906124115,0.0,0.3578246533870697,0.0
"TIMOB-19065",False,"train",0.0,0.9799996018409729,0.0,0.0,0.0
"TIMOB-25616",False,"train",0.059910207986831665,0.0,0.11720281839370728,0.0,0.8158098459243774
"TIMOB-24858",False,"train",0.0,0.34155604243278503,0.0,0.6536368131637573,0.0
"TIMOB-23824",False,"train",0.0,0.7149260640144348,0.0,0.2768594026565552,0.0
"TIMOB-11049",False,"train",0.0,0.0,0.0,0.9956110715866089,0.0
"TIMOB-23262",False,"train",0.0,0.9790643453598022,0.0,0.0,0.0
"TIMOB-26427",False,"train",0.0,0.8767592906951904,0.11932311207056046,0.0,0.0
"TIMOB-24718",False,"train",0.0,0.0,0.0,0.977122962474823,0.0
"TIMOB-20589",False,"train",0.9628103971481323,0.0,0.0,0.0,0.0
"TIMOB-25650",False,"train",0.07058245688676834,0.0,0.0,0.0,0.9227278828620911
"TIMOB-19065",False,"train",0.0,0.9799996018409729,0.0,0.0,0.0
"TIMOB-10835",False,"train",0.0,0.6522061824798584,0.0,0.3388189673423767,0.0
"TIMOB-24690",False,"train",0.982533872127533,0.0,0.0,0.0,0.0
"TIMOB-17626",False,"train",0.023019669577479362,0.6598122715950012,0.0,0.3090877830982208,0.0
"TIMOB-26242",False,"train",0.0,0.0,0.9886544346809387,0.0,0.0
"TIMOB-19193",False,"train",0.0,0.12643080949783325,0.8618109822273254,0.0,0.0
"TIMOB-23569",False,"train",0.0,0.0,0.9785081148147583,0.0,0.0
"TIMOB-17716",False,"train",0.0,0.0,0.0590391680598259,0.9389677047729492,0.0
"TIMOB-19687",False,"train",0.20614291727542877,0.26239049434661865,0.014719082042574883,0.0,0.5108892917633057
"TIMOB-23460",False,"train",0.0,0.08756222575902939,0.9123038053512573,0.0,0.0
"TIMOB-19347",False,"train",0.0,0.9881328344345093,0.0,0.0,0.0
"TIMOB-24231",False,"train",0.9630380868911743,0.0,0.0,0.0,0.0
"TIMOB-26464",False,"train",0.0,0.0,0.614165723323822,0.3744238615036011,0.0
"TIMOB-24058",False,"train",0.04964476451277733,0.35698285698890686,0.0,0.0843224748969078,0.5073581337928772
"TIMOB-24268",False,"train",0.0,0.9707738161087036,0.0,0.0,0.0
"TIMOB-23158",False,"train",0.40633171796798706,0.012586371973156929,0.20612451434135437,0.0,0.3733505606651306
"TIMOB-26027",False,"train",0.0,0.0,0.0,0.0,0.9900457262992859
"TIMOB-20192",False,"train",0.0,0.0,0.991399347782135,0.0,0.0
"TIMOB-26689",False,"train",0.0,0.9900315999984741,0.0,0.0,0.0
"TIMOB-15275",False,"train",0.0,0.0,0.09617815911769867,0.0,0.8833397030830383
"TIMOB-20000",False,"train",0.0,0.0,0.9727762341499329,0.0,0.0
"TIMOB-24139",False,"train",0.9805090427398682,0.0,0.0,0.0,0.0
"TIMOB-23606",False,"train",0.9789620637893677,0.0,0.0,0.0,0.0
"TIMOB-20627",False,"train",0.0,0.0,0.9839075207710266,0.0,0.0
"TIMOB-25352",False,"train",0.0,0.0,0.9910922050476074,0.0,0.0
"TIMOB-23439",False,"train",0.9832501411437988,0.0,0.0,0.0,0.0
"TIMOB-19269",False,"train",0.9611401557922363,0.0,0.0,0.0,0.0
"TIMOB-23790",False,"train",0.0,0.06038295850157738,0.9329198002815247,0.0,0.0
"TIMOB-23984",False,"train",0.973376452922821,0.0,0.0,0.0,0.0
"TIMOB-26513",False,"train",0.9718132615089417,0.0,0.0,0.0,0.0
"TIMOB-19759",False,"train",0.01461569219827652,0.015129869803786278,0.014727259054780006,0.014707455411553383,0.9408197402954102
"TIMOB-18581",False,"train",0.0,0.0,0.0,0.9679210782051086,0.0
"TIMOB-26714",False,"train",0.0,0.9912961721420288,0.0,0.0,0.0
"TIMOB-18162",False,"train",0.0,0.9758606553077698,0.0,0.0,0.0
"TIMOB-25965",False,"train",0.0,0.0,0.0,0.9628339409828186,0.0
"TIMOB-24438",False,"train",0.025381557643413544,0.02521880529820919,0.02547621913254261,0.8984842300415039,0.025439143180847168
"TIMOB-25641",False,"train",0.0,0.0,0.9779276251792908,0.0,0.0
"TIMOB-20288",False,"train",0.0,0.1661321222782135,0.8180080056190491,0.0,0.0
"TIMOB-24728",False,"train",0.0,0.994481086730957,0.0,0.0,0.0
"TIMOB-26372",False,"train",0.0,0.21909427642822266,0.12467334419488907,0.0,0.6515713334083557
"TIMOB-26637",False,"train",0.0,0.0,0.05808022990822792,0.0,0.9315491318702698
"TIMOB-25617",False,"train",0.0,0.4173423945903778,0.24890661239624023,0.0,0.32626739144325256
"TIMOB-19517",False,"train",0.0,0.0,0.9826207160949707,0.0,0.0
"TIMOB-24277",False,"train",0.19291286170482635,0.8019804954528809,0.0,0.0,0.0
"TIMOB-23600",False,"train",0.9824264645576477,0.0,0.0,0.0,0.0
"TIMOB-25935",False,"train",0.0,0.0,0.0,0.0,0.9791540503501892
"TIMOB-23709",False,"train",0.9797305464744568,0.0,0.0,0.0,0.0
"TIMOB-23748",False,"train",0.06971795111894608,0.7310999631881714,0.1924673169851303,0.0,0.0
"TIMOB-14963",False,"train",0.0,0.0,0.995157778263092,0.0,0.0
"TIMOB-19218",False,"train",0.9778444766998291,0.0,0.0,0.0,0.0
"TIMOB-19021",False,"train",0.0,0.9912996888160706,0.0,0.0,0.0
"TIMOB-24011",False,"train",0.7887729406356812,0.0,0.0,0.20007988810539246,0.0
"TIMOB-19188",False,"train",0.0,0.6564728021621704,0.3260076344013214,0.0,0.0
"TIMOB-23130",False,"train",0.0,0.0,0.9985784888267517,0.0,0.0
"TIMOB-19766",False,"train",0.0,0.0,0.9854026436805725,0.0,0.0
"TIMOB-23860",False,"train",0.010230282321572304,0.010148119181394577,0.9592661261558533,0.010152824223041534,0.010202663019299507
"TIMOB-23377",True,"train",0.0,0.9901881814002991,0.0,0.0,0.0
"TIMOB-17965",False,"train",0.0,0.0,0.0,0.9688341617584229,0.0
"TIMOB-26961",False,"train",0.0,0.9915430545806885,0.0,0.0,0.0
"TIMOB-26427",False,"train",0.0,0.8767592906951904,0.11932311207056046,0.0,0.0
"TIMOB-19269",False,"train",0.9611401557922363,0.0,0.0,0.0,0.0
"TIMOB-25462",False,"train",0.0,0.4160432815551758,0.0,0.5764009952545166,0.0
"TIMOB-24130",False,"train",0.9656000137329102,0.03048432059586048,0.0,0.0,0.0
"TIMOB-17334",False,"train",0.015665821731090546,0.9367724061012268,0.015856372192502022,0.0159288439899683,0.015776552259922028
"TIMOB-25291",False,"train",0.0,0.3008909523487091,0.5870364904403687,0.10825201869010925,0.0
"TIMOB-24099",False,"train",0.0,0.0,0.0,0.43549737334251404,0.554451048374176
"TIMOB-19265",False,"train",0.8394409418106079,0.0,0.15166079998016357,0.0,0.0
"TIMOB-26869",False,"train",0.0,0.0,0.9731413722038269,0.023373981937766075,0.0
"TIMOB-24657",False,"train",0.0,0.0,0.9961288571357727,0.0,0.0
"TIMOB-26651",False,"train",0.0,0.0,0.0,0.9873837232589722,0.0
"TIMOB-23468",False,"train",0.9914085865020752,0.0,0.0,0.0,0.0
"TIMOB-26205",False,"train",0.9957606196403503,0.0,0.0,0.0,0.0
"TIMOB-19083",False,"train",0.0,0.0,0.987610399723053,0.0,0.0
"TIMOB-25225",False,"train",0.0,0.0,0.0,0.9900292754173279,0.0
"TIMOB-25635",False,"train",0.0,0.23234981298446655,0.0,0.0,0.7518720030784607
"TIMOB-25327",False,"train",0.0,0.9905310273170471,0.0,0.0,0.0
"TIMOB-20238",False,"train",0.3451364040374756,0.0,0.0,0.6502894163131714,0.0
"TIMOB-23569",False,"train",0.0,0.0,0.9785081148147583,0.0,0.0
"TIMOB-23661",False,"train",0.0,0.0,0.5375891327857971,0.4538608491420746,0.0
"TIMOB-19028",False,"train",0.0,0.3278244137763977,0.6635409593582153,0.0,0.0
"TIMOB-23903",False,"train",0.0,0.0,0.9728518128395081,0.0,0.0
"TIMOB-18395",False,"train",0.23993150889873505,0.01722550205886364,0.017078103497624397,0.7088643312454224,0.016900571063160896
"TIMOB-26484",False,"train",0.0,0.0,0.0,0.0,0.9858371019363403
"TIMOB-20600",False,"train",0.0,0.9944989681243896,0.0,0.0,0.0
"TIMOB-20246",False,"train",0.01694558560848236,0.9322773218154907,0.016966531053185463,0.01687127910554409,0.01693933829665184
"TIMOB-19897",True,"train",0.0,0.9814294576644897,0.0,0.0,0.0
"TIMOB-23281",False,"train",0.0,0.9773561954498291,0.0,0.0,0.0
"TIMOB-24838",False,"train",0.0,0.6066703200340271,0.3850381374359131,0.0,0.0
"TIMOB-24665",False,"train",0.0,0.0,0.0,0.991973876953125,0.0
"TIMOB-23771",False,"train",0.0,0.0,0.9752479195594788,0.0,0.0
"TIMOB-19648",False,"train",0.7476436495780945,0.0,0.24861201643943787,0.0,0.0
"TIMOB-23132",False,"train",0.022585636004805565,0.020420722663402557,0.02066049352288246,0.02046750672161579,0.9158656597137451
"TIMOB-24441",False,"train",0.0,0.9627942442893982,0.0,0.0,0.0
"TIMOB-23252",False,"train",0.011534543707966805,0.6759359836578369,0.011399276554584503,0.2897719144821167,0.011358261108398438
"TIMOB-23363",False,"train",0.11507757753133774,0.8810751438140869,0.0,0.0,0.0
"TIMOB-20496",False,"train",0.09453421831130981,0.8201985359191895,0.0,0.08066238462924957,0.0
"TIMOB-17822",False,"train",0.012812687084078789,0.012698549777269363,0.012788421474397182,0.9489864706993103,0.012713865377008915
"TIMOB-26360",False,"train",0.010244070552289486,0.010198201984167099,0.010334265418350697,0.9590144157409668,0.010209031403064728
"TIMOB-17965",False,"train",0.0,0.0,0.0,0.9688341617584229,0.0
"TIMOB-26151",False,"train",0.0,0.0,0.0,0.9842697978019714,0.0
"TIMOB-24776",False,"train",0.0,0.9922873973846436,0.0,0.0,0.0
"TIMOB-26172",False,"train",0.0,0.996868371963501,0.0,0.0,0.0
"TIMOB-24473",False,"train",0.0,0.0,0.9629478454589844,0.0,0.0
"TIMOB-18712",False,"train",0.0,0.0,0.0,0.9919707179069519,0.0
"TIMOB-19689",False,"train",0.0,0.0,0.9644922614097595,0.0,0.0
"TIMOB-23143",False,"train",0.0,0.0,0.0,0.9643940329551697,0.0
"TIMOB-19491",False,"train",0.9839842915534973,0.0,0.0,0.0,0.0
"TIMOB-26549",False,"train",0.0,0.0,0.0,0.9906216859817505,0.0
"TIMOB-7368",False,"train",0.5228672027587891,0.0,0.0,0.0,0.47225773334503174
"TIMOB-26159",False,"train",0.0,0.0,0.0,0.9914409518241882,0.0
"TIMOB-24831",False,"train",0.0,0.0,0.993522584438324,0.0,0.0
"TIMOB-6995",False,"train",0.0,0.0,0.8782981634140015,0.0,0.11697964370250702
"TIMOB-20547",False,"train",0.0,0.0,0.9708830118179321,0.0,0.0
"TIMOB-24838",False,"train",0.0,0.6066703200340271,0.3850381374359131,0.0,0.0
"TIMOB-17568",False,"train",0.9842699766159058,0.0,0.0,0.0,0.0
"TIMOB-23776",False,"train",0.9718750715255737,0.0,0.0,0.0,0.0
"TIMOB-23261",False,"train",0.0,0.0,0.0,0.99519282579422,0.0
"TIMOB-23992",True,"train",0.0,0.0,0.9877996444702148,0.0,0.0
"TIMOB-20143",False,"train",0.0,0.0,0.0,0.9825350046157837,0.0
"TIMOB-25298",False,"train",0.3284490704536438,0.6595021486282349,0.0,0.0,0.0
"TIMOB-20204",False,"train",0.0,0.9836388826370239,0.0,0.0,0.0
"TIMOB-25081",False,"train",0.0,0.979214608669281,0.01658262126147747,0.0,0.0
"TIMOB-23687",False,"train",0.0,0.9801631569862366,0.0,0.0,0.0
"TIMOB-25778",False,"train",0.014704708941280842,0.01465707179158926,0.014634904451668262,0.9414753913879395,0.014527921564877033
