"issue_key","sp_change","type","t0","t1","t2","t3","t4"
"XD-3229",False,"train",0.9758546948432922,0.0,0.0,0.0,0.0
"XD-2354",False,"train",0.4183479845523834,0.0,0.5661872625350952,0.0,0.0
"XD-2298",True,"train",0.11354795098304749,0.0,0.8744451999664307,0.0,0.0
"XD-1943",False,"train",0.8651459217071533,0.03348586708307266,0.03406970575451851,0.03375610336661339,0.03354243189096451
"XD-2072",False,"train",0.9859387278556824,0.0,0.0,0.0,0.0
"XD-1127",False,"train",0.0,0.0,0.9608026742935181,0.0,0.0
"XD-2727",True,"train",0.3656398355960846,0.0,0.12642140686511993,0.49747681617736816,0.0
"XD-2508",False,"train",0.9321044683456421,0.01712605729699135,0.017038414254784584,0.016845906153321266,0.01688513159751892
"XD-901",False,"train",0.0,0.0,0.20090650022029877,0.7770658135414124,0.0
"XD-2934",False,"train",0.7500171065330505,0.014553445391356945,0.014584393240511417,0.20643062889575958,0.014414451085031033
"XD-2929",False,"train",0.010815081186592579,0.011044193990528584,0.3782580494880676,0.5890505909919739,0.010832112282514572
"XD-1469",False,"train",0.011938074603676796,0.011819320730865002,0.011849400587379932,0.9525609612464905,0.011832287535071373
"XD-1421",False,"train",0.02069154381752014,0.020610280334949493,0.9182378649711609,0.020311156287789345,0.02014915458858013
"XD-1331",False,"train",0.018909437581896782,0.1872386783361435,0.75693279504776,0.018479779362678528,0.01843929849565029
"XD-611",False,"train",0.5421096682548523,0.015680722892284393,0.18049661815166473,0.24607275426387787,0.015640225261449814
"XD-3049",False,"train",0.0,0.0,0.0,0.9695758819580078,0.0
"XD-2322",False,"train",0.011633627116680145,0.011362751945853233,0.011344472877681255,0.9543296694755554,0.011329492554068565
"XD-2995",True,"train",0.0,0.0,0.0,0.7762150764465332,0.2227965146303177
"XD-3737",False,"train",0.0,0.5107452273368835,0.08183268457651138,0.0,0.3895964026451111
"XD-35",False,"train",0.029393071308732033,0.5388116836547852,0.029249658808112144,0.3736737370491028,0.02887186035513878
"XD-1096",False,"train",0.014482762664556503,0.014376032166182995,0.9423057436943054,0.014454207383096218,0.014381267130374908
"XD-874",False,"train",0.9836854338645935,0.0,0.0,0.0,0.0
"XD-170",False,"train",0.07715235650539398,0.01850045472383499,0.19382084906101227,0.6922067999839783,0.018319547176361084
"XD-1309",False,"train",0.9613970518112183,0.0,0.0,0.0,0.0
"XD-1505",False,"train",0.583633542060852,0.013808567076921463,0.013416159898042679,0.3757692277431488,0.013372517190873623
"XD-198",False,"train",0.0,0.0,0.0,0.0,0.9977006316184998
"XD-752",False,"train",0.0,0.0,0.980650007724762,0.0,0.0
"XD-360",False,"train",0.020518284291028976,0.02020668424665928,0.9185599088668823,0.02046126499772072,0.020253850147128105
"XD-244",False,"train",0.20390422642230988,0.0,0.4034813940525055,0.38713130354881287,0.0
"XD-539",False,"train",0.97014981508255,0.0,0.0,0.0,0.0
"XD-1765",False,"train",0.018517524003982544,0.018304964527487755,0.7130079865455627,0.2317301481962204,0.018439361825585365
"XD-1342",False,"train",0.9632861614227295,0.0,0.0,0.0,0.0
"XD-686",False,"train",0.23764163255691528,0.0,0.0,0.0,0.7330670356750488
"XD-2079",False,"train",0.37804073095321655,0.011933324858546257,0.011905048042535782,0.012116772122681141,0.5860041379928589
"XD-332",True,"train",0.04064833000302315,0.04044155403971672,0.8372846841812134,0.04121825844049454,0.04040718451142311
"XD-1519",False,"train",0.015608817338943481,0.015466856770217419,0.015815824270248413,0.9373301863670349,0.01577829010784626
"XD-935",False,"train",0.5954313278198242,0.0,0.3765803277492523,0.0,0.0
"XD-2777",False,"train",0.05116802453994751,0.05075915902853012,0.45717090368270874,0.05042648687958717,0.39047542214393616
"XD-2425",False,"train",0.22580142319202423,0.0,0.07308487594127655,0.0,0.6969357132911682
"XD-2719",False,"train",0.010346299037337303,0.010351891629397869,0.010326428338885307,0.9263483881950378,0.04262697324156761
"XD-2656",True,"train",0.0,0.2144283503293991,0.20944064855575562,0.5566627979278564,0.0
"XD-3096",False,"train",0.3194638192653656,0.01562708243727684,0.6332923769950867,0.015847399830818176,0.015769341960549355
"XD-2098",True,"train",0.01158012356609106,0.011347748339176178,0.011458830907940865,0.9542391896247864,0.011374130845069885
"XD-1518",False,"train",0.5683004260063171,0.04036542773246765,0.041054703295230865,0.3093186318874359,0.040960852056741714
"XD-87",False,"train",0.016987638548016548,0.01672476902604103,0.017287449911236763,0.932212233543396,0.016787931323051453
"XD-690",False,"train",0.0,0.0,0.0,0.0,0.9659909605979919
"XD-3014",False,"train",0.8821845650672913,0.028804048895835876,0.030297208577394485,0.02986018732190132,0.0288540031760931
"XD-2750",False,"train",0.040651921182870865,0.04027606174349785,0.8387379050254822,0.04007843881845474,0.04025568440556526
"XD-503",False,"train",0.015674825757741928,0.015653185546398163,0.9370447397232056,0.01568477228283882,0.015942493453621864
"XD-2024",False,"train",0.02580799162387848,0.0,0.0,0.0,0.9687974452972412
"XD-3023",False,"train",0.7456791400909424,0.033738765865564346,0.15288837254047394,0.03395083174109459,0.03374288231134415
"XD-186",False,"train",0.15124252438545227,0.02033555880188942,0.787483274936676,0.02064736932516098,0.020291298627853394
"XD-1404",False,"train",0.03432976454496384,0.034503184258937836,0.33509618043899536,0.562458336353302,0.03361247479915619
"XD-624",False,"train",0.223469078540802,0.0,0.7496454119682312,0.0,0.0
"XD-1215",False,"train",0.977894127368927,0.0,0.0,0.0,0.0
"XD-3123",False,"train",0.02901824563741684,0.029044421389698982,0.8837251663208008,0.029332639649510384,0.02887951210141182
