"issue_key","sp_change","type","t0","t1","t2","t3","t4"
"USERGRID-1073",False,"train",0.05008517950773239,0.05000576749444008,0.05000453069806099,0.7991586327552795,0.05074585601687431
"USERGRID-502",False,"train",0.8843689560890198,0.0287917573004961,0.029087480157613754,0.028988778591156006,0.028763053938746452
"USERGRID-779",False,"train",0.0335346944630146,0.03448032960295677,0.033563386648893356,0.03378231078386307,0.8646392226219177
"USERGRID-702",False,"train",0.0,0.0,0.0,0.9959749579429626,0.0
"USERGRID-889",False,"train",0.02240113727748394,0.022312398999929428,0.02246732823550701,0.02295888587832451,0.9098603129386902
"USERGRID-443",False,"train",0.0,0.0,0.0,0.9633621573448181,0.0
"USERGRID-572",False,"train",0.01071411743760109,0.010714806616306305,0.22015075385570526,0.7478121519088745,0.010608186945319176
"USERGRID-1058",False,"train",0.011839576996862888,0.011782452464103699,0.011853707022964954,0.011827239766716957,0.9526970386505127
"USERGRID-578",False,"train",0.04100501537322998,0.8383904695510864,0.04004305973649025,0.04005702584981918,0.04050447419285774
"USERGRID-744",False,"train",0.06696730107069016,0.06668029725551605,0.06667737662792206,0.06716131418943405,0.7325136661529541
"USERGRID-1005",False,"train",0.03392180800437927,0.03387443348765373,0.3984765410423279,0.5000728964805603,0.03365430608391762
"USERGRID-1068",False,"train",0.0,0.0,0.9927610754966736,0.0,0.0
"USERGRID-1016",False,"train",0.0,0.0,0.0,0.0,0.9880162477493286
"USERGRID-890",False,"train",0.0201443899422884,0.02015814557671547,0.020276818424463272,0.9189229607582092,0.020497703924775124
"USERGRID-509",True,"train",0.0,0.0,0.9844828248023987,0.0,0.0
"USERGRID-860",False,"train",0.01688564382493496,0.01694866642355919,0.016731038689613342,0.016707001253962517,0.9327276349067688
"USERGRID-892",False,"train",0.020116349682211876,0.020291699096560478,0.02018430270254612,0.02060706727206707,0.9188005924224854
"USERGRID-474",False,"train",0.0,0.0,0.9623728394508362,0.0,0.0
"USERGRID-1203",False,"train",0.025617284700274467,0.8969183564186096,0.026203058660030365,0.02553432434797287,0.025726959109306335
"USERGRID-1267",False,"train",0.0,0.6699122786521912,0.0,0.31326496601104736,0.0
"USERGRID-851",False,"train",0.0,0.0,0.1292256861925125,0.0,0.8546494841575623
"USERGRID-409",True,"train",0.0,0.0,0.9806397557258606,0.0,0.0
"USERGRID-29",False,"train",0.0,0.0,0.9889268279075623,0.0,0.0
"USERGRID-29",False,"train",0.0,0.0,0.9889268279075623,0.0,0.0
"USERGRID-1073",False,"train",0.05008517950773239,0.05000576749444008,0.05000453069806099,0.7991586327552795,0.05074585601687431
"USERGRID-533",False,"train",0.020503854379057884,0.020153440535068512,0.9190141558647156,0.02017303928732872,0.020155567675828934
"USERGRID-882",False,"train",0.033949028700590134,0.8636305332183838,0.03371329605579376,0.034381475299596786,0.03432570397853851
"USERGRID-1071",False,"train",0.04013575240969658,0.040074095129966736,0.040313348174095154,0.8387559056282043,0.04072091355919838
