"issue_key","sp_change","type","t0","t1","t2","t3","t4"
"TISTUD-7591",False,"train",0.01021078322082758,0.010161432437598705,0.9592512845993042,0.010164806619286537,0.010211675427854061
"TISTUD-8875",False,"train",0.0,0.0,0.0,0.9726688265800476,0.0
"TISTUD-9108",False,"train",0.0169900581240654,0.01679476723074913,0.9325096011161804,0.016768166795372963,0.016937386244535446
"TISTUD-5892",False,"train",0.0,0.0,0.9830266833305359,0.0,0.0
"TISTUD-5292",False,"train",0.3560699224472046,0.0,0.0,0.0,0.6305172443389893
"TISTUD-9097",False,"train",0.979665219783783,0.0,0.0,0.0,0.0
"TISTUD-5471",False,"train",0.0,0.0,0.0,0.9696143269538879,0.0
"TISTUD-7799",False,"train",0.02971533127129078,0.9699015021324158,0.0,0.0,0.0
"TISTUD-5168",False,"train",0.9647332429885864,0.0,0.0,0.0,0.0
"TISTUD-7132",False,"train",0.4886721968650818,0.0,0.4923175275325775,0.0,0.0
"TISTUD-6122",False,"train",0.9664071202278137,0.0,0.0,0.0,0.0
"TISTUD-5759",False,"train",0.8102911114692688,0.0,0.17690862715244293,0.0,0.0
"TISTUD-5823",False,"train",0.0,0.0,0.9870370030403137,0.0,0.0
"TISTUD-5206",False,"train",0.1012033075094223,0.0,0.2184961587190628,0.6717526912689209,0.0
"TISTUD-6909",False,"train",0.0,0.0,0.0,0.9997657537460327,0.0
"TISTUD-5353",False,"train",0.0,0.0,0.16432389616966248,0.8191590309143066,0.0
"TISTUD-8524",False,"train",0.9627629518508911,0.0,0.0,0.0,0.0
"TISTUD-9126",False,"train",0.0,0.0,0.9805546402931213,0.0,0.0
"TISTUD-7474",False,"train",0.32233038544654846,0.0,0.6703959107398987,0.0,0.0
"TISTUD-8530",False,"train",0.0,0.0,0.979132890701294,0.0,0.0
"TISTUD-5665",False,"train",0.0,0.0,0.0,0.0,0.9731208086013794
"TISTUD-5393",False,"train",0.0,0.0,0.9800428152084351,0.0,0.0
"TISTUD-6898",False,"train",0.5882161259651184,0.0,0.0708475187420845,0.3338891863822937,0.0
"TISTUD-6772",False,"train",0.055911120027303696,0.0,0.9329463243484497,0.0,0.0
"TISTUD-5693",False,"train",0.0,0.7154932618141174,0.2694355547428131,0.0,0.0
"TISTUD-5325",False,"train",0.0,0.0,0.9833450317382812,0.0,0.0
"TISTUD-6455",False,"train",0.30427512526512146,0.0,0.0,0.6765299439430237,0.0
"TISTUD-6407",False,"train",0.14270555973052979,0.845226526260376,0.0,0.0,0.0
"TISTUD-6219",False,"train",0.0,0.0,0.9687668085098267,0.0,0.0
"TISTUD-7212",False,"train",0.0,0.0,0.0,0.0,0.975339412689209
"TISTUD-6272",False,"train",0.010969534516334534,0.010678417049348354,0.010727773420512676,0.010691327974200249,0.9569329619407654
"TISTUD-4191",False,"train",0.0,0.0,0.0,0.0,0.9744252562522888
"TISTUD-9140",False,"train",0.9575578570365906,0.03715202957391739,0.0,0.0,0.0
"TISTUD-8880",True,"train",0.013706304132938385,0.013560979627072811,0.013679543510079384,0.9454908967018127,0.013562225736677647
"TISTUD-5040",False,"train",0.986682116985321,0.0,0.0,0.0,0.0
"TISTUD-7624",False,"train",0.0,0.0,0.9895581603050232,0.0,0.0
"TISTUD-5251",False,"train",0.0,0.0,0.5646618604660034,0.0,0.4191575348377228
"TISTUD-4035",False,"train",0.015715163201093674,0.015783295035362244,0.5259931683540344,0.4268471598625183,0.01566120982170105
"TISTUD-8983",False,"train",0.5007270574569702,0.0,0.0,0.48645997047424316,0.0
"TISTUD-9159",True,"train",0.10516184568405151,0.0,0.8829002380371094,0.0,0.0
"TISTUD-5503",False,"train",0.9737502932548523,0.0,0.0,0.0,0.0
"TISTUD-8928",False,"train",0.0,0.0,0.6454176902770996,0.0,0.33003678917884827
"TISTUD-5770",False,"train",0.0,0.725947380065918,0.2512960731983185,0.0,0.0
"TISTUD-9159",True,"train",0.10516184568405151,0.0,0.8829002380371094,0.0,0.0
"TISTUD-5040",False,"train",0.986682116985321,0.0,0.0,0.0,0.0
"TISTUD-7450",False,"train",0.9647550582885742,0.0,0.0,0.0,0.0
"TISTUD-4217",False,"train",0.0,0.0,0.9746708273887634,0.0,0.0
"TISTUD-7678",True,"train",0.0,0.0,0.16266709566116333,0.8094339370727539,0.0
"TISTUD-5279",False,"train",0.4337792694568634,0.0,0.0,0.0,0.5435999631881714
"TISTUD-6309",False,"train",0.0,0.0,0.9822310209274292,0.0,0.0
"TISTUD-6037",False,"train",0.0,0.0,0.11038181185722351,0.0,0.8865718841552734
"TISTUD-5767",False,"train",0.0871661826968193,0.0,0.0,0.0,0.9025670289993286
"TISTUD-7621",False,"train",0.0,0.8114883899688721,0.0,0.0498538538813591,0.13711358606815338
"TISTUD-5292",False,"train",0.3560699224472046,0.0,0.0,0.0,0.6305172443389893
"TISTUD-6446",False,"train",0.011959602124989033,0.9522863030433655,0.011902328580617905,0.011886905878782272,0.011964837089180946
