"issue_key","sp_change","type","t0","t1","t2","t3","t4"
"MESOS-9292",False,"train",0.0,0.9813212156295776,0.0,0.0,0.0
"MESOS-1676",False,"train",0.9996910691261292,0.0,0.0,0.0,0.0
"MESOS-8742",False,"train",0.9889343976974487,0.0,0.0,0.0,0.0
"MESOS-2972",False,"train",0.0,0.9765924215316772,0.0,0.0,0.0
"MESOS-2746",False,"train",0.0,0.0,0.9779306054115295,0.0,0.0
"MESOS-8241",False,"train",0.034279197454452515,0.03421440348029137,0.03389681503176689,0.8637622594833374,0.03384733200073242
"MESOS-4684",False,"train",0.0,0.0,0.0,0.9726859331130981,0.0
"MESOS-1972",False,"train",0.0,0.9726145267486572,0.0,0.0,0.0
"MESOS-3273",False,"train",0.0,0.0,0.0,0.9997997879981995,0.0
"MESOS-6104",False,"train",0.0,0.4941396713256836,0.10415858030319214,0.3976810574531555,0.0
"MESOS-8312",False,"train",0.0,0.0,0.0,0.984856128692627,0.0
"MESOS-5013",False,"train",0.010758561082184315,0.95691978931427,0.010756493546068668,0.010744234547019005,0.010820919647812843
"MESOS-3819",False,"train",0.9489513039588928,0.012771740555763245,0.012735762633383274,0.012775889597833157,0.012765337713062763
"MESOS-4358",False,"train",0.0,0.0,0.0,0.0,0.9861016869544983
"MESOS-2904",False,"train",0.9752572774887085,0.0,0.0,0.0,0.0
"MESOS-3759",False,"train",0.016980208456516266,0.01707456447184086,0.017002156004309654,0.016975734382867813,0.9319673180580139
"MESOS-6894",False,"train",0.015622458420693874,0.01567474938929081,0.015679867938160896,0.9373716711997986,0.01565120927989483
"MESOS-7980",True,"train",0.010705534368753433,0.01074609812349081,0.9571517109870911,0.010663253255188465,0.01073335949331522
"MESOS-3012",False,"train",0.437948077917099,0.4138053059577942,0.14579878747463226,0.0,0.0
"MESOS-8734",False,"train",0.0,0.0,0.0,0.3945828974246979,0.5895875692367554
"MESOS-2730",False,"train",0.0,0.0,0.0,0.9684942364692688,0.0
"MESOS-2889",False,"train",0.012847141362726688,0.012956703081727028,0.0127990348264575,0.9485469460487366,0.012850132770836353
"MESOS-9055",False,"train",0.657846212387085,0.0,0.31425586342811584,0.0,0.0
"MESOS-9295",False,"train",0.9708114862442017,0.0,0.0,0.0,0.0
"MESOS-3492",False,"train",0.0,0.0,0.13375447690486908,0.0,0.8394804000854492
"MESOS-2650",False,"train",0.01451305765658617,0.014662123285233974,0.014573570340871811,0.9417200684547424,0.01453117560595274
"MESOS-4296",False,"train",0.0,0.0,0.4993725121021271,0.49103620648384094,0.0
"MESOS-9557",False,"train",0.012047343887388706,0.9517881274223328,0.012105206027626991,0.012051786296069622,0.01200752891600132
"MESOS-5556",False,"train",0.9821876287460327,0.0,0.0,0.0,0.0
"MESOS-3345",False,"train",0.07118954509496689,0.0,0.05034215748310089,0.0,0.873673141002655
"MESOS-2958",False,"train",0.0,0.9717925190925598,0.0,0.0,0.0
"MESOS-5181",False,"train",0.0,0.0,0.989575982093811,0.0,0.0
"MESOS-8087",False,"train",0.0,0.9685522317886353,0.0,0.0,0.0
"MESOS-3265",False,"train",0.0,0.8812322020530701,0.10735731571912766,0.0,0.0
"MESOS-8847",False,"train",0.0121350958943367,0.012039431370794773,0.01201456505805254,0.9517938494682312,0.012017056345939636
"MESOS-6602",False,"train",0.0,0.0,0.0,0.0,0.9765673279762268
"MESOS-6936",False,"train",0.0,0.4891456961631775,0.0,0.10048466175794601,0.4056476950645447
"MESOS-5124",False,"train",0.013607818633317947,0.013637968339025974,0.013756725937128067,0.945370614528656,0.013626867905259132
"MESOS-2464",False,"train",0.0,0.46796074509620667,0.0,0.0,0.5268000960350037
"MESOS-2305",False,"train",0.0,0.0,0.0,0.2689148485660553,0.7170562148094177
"MESOS-7978",False,"train",0.010707821696996689,0.010643656365573406,0.9573965668678284,0.010629886761307716,0.010622136294841766
"MESOS-4066",False,"train",0.0,0.0,0.0,0.9887633323669434,0.0
"MESOS-3189",False,"train",0.9765893816947937,0.0,0.0,0.0,0.0
"MESOS-2808",False,"train",0.8152962923049927,0.0,0.0,0.16934441030025482,0.0
"MESOS-7807",False,"train",0.0,0.0,0.9751799702644348,0.0,0.0
"MESOS-6504",False,"train",0.0,0.0,0.9799856543540955,0.0,0.0
"MESOS-6822",False,"train",0.9766137599945068,0.0,0.0,0.0,0.0
"MESOS-2967",False,"train",0.017114529386162758,0.017329853028059006,0.9314010739326477,0.017092691734433174,0.017061814665794373
"MESOS-5304",False,"train",0.010763052850961685,0.01071536261588335,0.01075579971075058,0.9570715427398682,0.010694206692278385
"MESOS-4529",False,"train",0.0,0.0,0.6963933110237122,0.28440243005752563,0.0
"MESOS-4961",False,"train",0.0,0.0,0.0,0.0,0.9998272061347961
"MESOS-5855",False,"train",0.0,0.1552237719297409,0.177061527967453,0.0,0.6569474339485168
"MESOS-9325",False,"train",0.44918304681777954,0.0,0.5411357879638672,0.0,0.0
"MESOS-4910",False,"train",0.014659280888736248,0.014681586995720863,0.9414602518081665,0.01462041586637497,0.014578503556549549
"MESOS-4848",False,"train",0.010150197893381119,0.010212164372205734,0.010365833528339863,0.959101676940918,0.010170094668865204
"MESOS-3929",False,"train",0.0,0.0,0.0,0.9657291173934937,0.0
"MESOS-5609",False,"train",0.0,0.4091252088546753,0.0,0.5751268863677979,0.0
"MESOS-9143",True,"train",0.0,0.0,0.0,0.0,0.9626351594924927
