"var","rank","project"
"firststorypoints",1,""
"reporter_bugnum",2,""
"reporter_recent_bugnum",3,""
"reporter_stable_sp_rate",4,""
"text_gaussian",5,""
"collab_closeness",5,""
"text_complement",6,""
"count_summ_before",6,""
"text_bernoulli",6,""
"count_comment_before",7,""
"TASK",7,""
"has_CODE",7,""
"assignee_recent_bugnum",7,""
"collab_in_degree",7,""
"wordsDiff",7,""
"lix",7,""
"collab_betweenness",7,""
"assignee_stable_sp_rate",8,""
"has_STACK",9,""
"LINK",9,""
"sp_diff",10,""
