"var","rank","project"
"reporter_stable_sp_rate",1,"AS"
"sp_sprint",2,"AS"
"lix",3,"AS"
"text_complement",4,"AS"
"has_CODE",4,"AS"
"has_ATTACHMENT",4,"AS"
"reporter_recent_bugnum",5,"AS"
"count_summ_before",6,"AS"
"has_STACK",6,"AS"
"assignee_bugnum",6,"AS"
"STEP",6,"AS"
"colemanlieu",7,"AS"
"EB",8,"AS"
"assignee_recent_bugnum",8,"AS"
"LINK",8,"AS"
"text_bernoulli",9,"AS"
"TASK",10,"AS"
"has_TESTCASE",11,"AS"
