"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10"
"USERGRID-1052",False,"train",0.5351557731628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43337199091911316,0.0,0.0
"USERGRID-539",False,"train",0.0,0.0,0.0,0.0,0.9636344909667969,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-1075",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8151273727416992,0.15214020013809204,0.0,0.0
"USERGRID-1073",False,"train",0.02273041196167469,0.02273041196167469,0.02273041196167469,0.02273041196167469,0.02273041196167469,0.02273041196167469,0.02273041196167469,0.02273041196167469,0.7726943492889404,0.022731963545084,0.02273041196167469
"USERGRID-777",False,"train",0.012988300062716007,0.41558775305747986,0.01298794336616993,0.012989234179258347,0.01298811100423336,0.012987937778234482,0.012988729402422905,0.012988236732780933,0.012988625094294548,0.012988187372684479,0.4675169289112091
"USERGRID-388",False,"train",0.9621193408966064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-548",False,"train",0.13577260076999664,0.5717353820800781,0.01298817154020071,0.012988745234906673,0.01298802811652422,0.012988266535103321,0.1885869801044464,0.012987950816750526,0.012987950816750526,0.012987961061298847,0.012987950816750526
"USERGRID-1029",False,"train",0.0,0.0,0.0,0.9494917988777161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-575",False,"train",0.9696956872940063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-448",True,"train",0.7869917750358582,0.0,0.0,0.11949557811021805,0.0,0.0,0.0,0.0,0.08004146069288254,0.0,0.0
"USERGRID-941",False,"train",0.886345386505127,0.011365230195224285,0.011365173384547234,0.011365192010998726,0.011365283280611038,0.011365178041160107,0.01136572565883398,0.011365498416125774,0.01136530376970768,0.011365294456481934,0.011366786435246468
"USERGRID-1048",False,"train",0.97542804479599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-992",False,"train",0.02272801473736763,0.02272801473736763,0.772717297077179,0.022728048264980316,0.02272801473736763,0.02272801846265793,0.022728051990270615,0.02272924967110157,0.022729311138391495,0.02272801473736763,0.02272801473736763
"USERGRID-779",False,"train",0.015155485831201077,0.015153637155890465,0.015153087675571442,0.015153232030570507,0.8484625220298767,0.015153102576732635,0.015154238790273666,0.015153697691857815,0.015153231099247932,0.015153096988797188,0.01515465322881937
"USERGRID-752",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875453114509583,0.0,0.0,0.0
"USERGRID-860",False,"train",0.0,0.9242351651191711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-869",False,"train",0.8613472580909729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12228207290172577
