"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10"
"DM-17301",False,"train",0.0,0.0,0.0,0.0,0.7183672189712524,0.0,0.0,0.0,0.24060586094856262,0.0,0.0
"DM-12877",False,"train",0.0,0.8815531134605408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09203628450632095,0.0
"DM-1785",False,"train",0.8291869163513184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09646155685186386,0.0
"DM-16404",False,"train",0.0,0.060114555060863495,0.0,0.0,0.3916988670825958,0.0,0.15032462775707245,0.0,0.0,0.366075336933136,0.0
"DM-10426",True,"train",0.0,0.0,0.0,0.44115570187568665,0.515778660774231,0.0,0.0,0.0,0.0,0.0,0.0
"DM-8283",True,"train",0.0,0.0,0.0,0.0,0.7504522800445557,0.0,0.0,0.0,0.0,0.2273809313774109,0.0
"DM-9552",False,"train",0.1843472123146057,0.01138295978307724,0.011383965611457825,0.011383524164557457,0.011383108794689178,0.011383065953850746,0.0113837206736207,0.01138363778591156,0.011383148841559887,0.7132025361061096,0.01138311717659235
"DM-13996",False,"train",0.018185162916779518,0.01818578690290451,0.36038169264793396,0.01818505860865116,0.0181860513985157,0.018185991793870926,0.018186422064900398,0.47594815492630005,0.018185121938586235,0.01818533055484295,0.018185213208198547
"DM-12090",False,"train",0.0,0.7307998538017273,0.0,0.0,0.21070146560668945,0.0,0.0,0.0,0.0,0.0,0.0
"DM-1286",False,"train",0.4186241924762726,0.0,0.0,0.0,0.0,0.0,0.31841057538986206,0.0,0.0,0.2434237003326416,0.0
"DM-9050",False,"train",0.0,0.0,0.0,0.0,0.2705308496952057,0.0,0.0,0.0,0.0,0.11979178339242935,0.5977630615234375
"DM-18033",False,"train",0.0,0.0,0.2798166275024414,0.0,0.12093701958656311,0.0,0.455781489610672,0.0,0.0,0.13632304966449738,0.0
"DM-2537",False,"train",0.9706961512565613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DM-12797",False,"train",0.0,0.19893985986709595,0.0,0.14671196043491364,0.33043888211250305,0.0,0.0,0.13055884838104248,0.17387723922729492,0.0,0.0
"DM-1710",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.949222207069397,0.03554302826523781,0.0
"DM-602",True,"train",0.0,0.0,0.0,0.0,0.4836905002593994,0.0,0.4684619605541229,0.0,0.0,0.0,0.0
