"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8"
"TISTUD-2978",False,"train",0.0,0.0,0.0,0.14622117578983307,0.8343163132667542,0.0,0.0,0.0,0.0
"TISTUD-6125",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9745835661888123,0.0,0.0
"TISTUD-8945",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9982799291610718,0.0,0.0
"TISTUD-7518",False,"train",0.0,0.0,0.0,0.031229514628648758,0.0,0.9600250720977783,0.0,0.0,0.0
"TISTUD-7593",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991595447063446,0.0
"TISTUD-7682",False,"train",0.16820454597473145,0.0,0.0,0.0,0.0,0.8268612623214722,0.0,0.0,0.0
"TISTUD-5078",False,"train",0.0,0.0,0.0,0.9907385110855103,0.0,0.0,0.0,0.0,0.0
"TISTUD-4022",False,"train",0.0,0.0,0.0,0.0,0.9752963185310364,0.0,0.0,0.0,0.0
"TISTUD-8509",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9576501846313477,0.0,0.0
"TISTUD-6888",False,"train",0.9793223738670349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5292",False,"train",0.0,0.484899640083313,0.0,0.0,0.0,0.49817904829978943,0.0,0.0,0.0
"TISTUD-6446",False,"train",0.0,0.0,0.0,0.7287179231643677,0.0,0.0,0.0,0.22549641132354736,0.0
"TISTUD-8458",False,"train",0.08067751675844193,0.0,0.9164627194404602,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7331",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.965776801109314,0.0
"TISTUD-7706",False,"train",0.0,0.0,0.0,0.0,0.0,0.9884467720985413,0.0,0.0,0.0
"TISTUD-5823",False,"train",0.0,0.0,0.0,0.0,0.9858830571174622,0.0,0.0,0.0,0.0
"TISTUD-7916",False,"train",0.0,0.9806643724441528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5823",False,"train",0.0,0.0,0.0,0.0,0.9858830571174622,0.0,0.0,0.0,0.0
"TISTUD-5355",False,"train",0.0,0.0,0.7906225919723511,0.18889424204826355,0.0,0.0,0.0,0.0,0.0
"TISTUD-8916",False,"train",0.0,0.0,0.0,0.0,0.0,0.3030514419078827,0.0,0.674058198928833,0.0
"TISTUD-6094",False,"train",0.0,0.0,0.0,0.9771756529808044,0.0,0.0,0.0,0.0,0.0
"TISTUD-7678",True,"train",0.0,0.0,0.0,0.9595407843589783,0.0,0.0,0.0,0.0,0.0
"TISTUD-6594",False,"train",0.0,0.0,0.0,0.0,0.0,0.7226957082748413,0.0,0.2628929615020752,0.0
"TISTUD-7965",False,"train",0.0,0.7645504474639893,0.0,0.0,0.0,0.21182753145694733,0.0,0.0,0.0
"TISTUD-7779",False,"train",0.0,0.0,0.0,0.0,0.0,0.9832183718681335,0.0,0.0,0.0
