"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8"
"XD-2980",False,"train",0.18136604130268097,0.0,0.0,0.0,0.0,0.5566738247871399,0.0,0.0,0.23519740998744965
"XD-889",False,"train",0.0,0.0,0.0,0.0,0.7238556146621704,0.0,0.2346290946006775,0.0,0.0
"XD-1874",False,"train",0.0,0.9628511667251587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-1651",False,"train",0.0,0.0,0.09520313888788223,0.2424633651971817,0.25919175148010254,0.2405049055814743,0.0,0.0,0.14856700599193573
"XD-352",False,"train",0.02224257029592991,0.022231781855225563,0.022232776507735252,0.02223232015967369,0.02223297953605652,0.022228552028536797,0.02222929708659649,0.8221347332000732,0.022234991192817688
"XD-1846",False,"train",0.0,0.0,0.0,0.0,0.44577574729919434,0.0,0.0,0.0,0.5390815138816833
"XD-3249",False,"train",0.695756733417511,0.0,0.0,0.16956651210784912,0.0,0.0,0.0,0.0,0.11241590231657028
"XD-2190",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9846632480621338,0.0
"XD-1294",False,"train",0.0,0.0,0.0,0.0,0.19560499489307404,0.0,0.0,0.0,0.789624810218811
"XD-1986",False,"train",0.012368491850793362,0.012370317243039608,0.012365350499749184,0.01236864272505045,0.012372746132314205,0.012366881594061852,0.01237489189952612,0.9010385274887085,0.012374186888337135
"XD-3249",False,"train",0.695756733417511,0.0,0.0,0.16956651210784912,0.0,0.0,0.0,0.0,0.11241590231657028
"XD-1900",False,"train",0.9926976561546326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-1756",False,"train",0.0,0.6139703392982483,0.0,0.0,0.20003452897071838,0.0,0.14148864150047302,0.0,0.0
"XD-3123",False,"train",0.015957895666360855,0.015953300520777702,0.01595430076122284,0.015954945236444473,0.8723483085632324,0.015956798568367958,0.015956856310367584,0.01595412567257881,0.01596350036561489
"XD-1835",False,"train",0.0,0.0,0.0,0.0,0.084434874355793,0.0,0.0,0.0,0.8840845227241516
"XD-1994",False,"train",0.2342802882194519,0.0,0.0,0.04310930147767067,0.0,0.0,0.07345002144575119,0.0,0.6436789631843567
"XD-1443",False,"train",0.2111944705247879,0.015891550108790398,0.015890071168541908,0.01589404046535492,0.015909841284155846,0.01589563675224781,0.015889640897512436,0.6775420904159546,0.015892621129751205
"XD-2854",True,"train",0.0,0.0,0.0,0.0,0.9933854937553406,0.0,0.0,0.0,0.0
