"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8"
"TIMOB-18599",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9703395962715149
"TIMOB-20547",False,"train",0.9681320190429688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-25963",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9721975922584534,0.0,0.0
"TIMOB-1682",False,"train",0.0,0.0,0.9315710067749023,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24814",False,"train",0.0,0.0,0.0,0.0,0.0,0.9867179989814758,0.0,0.0,0.0
"TIMOB-23525",False,"train",0.0,0.0,0.3599052131175995,0.0,0.6141451597213745,0.0,0.0,0.0,0.0
"TIMOB-18607",False,"train",0.0,0.7493200302124023,0.0,0.0,0.21352887153625488,0.0,0.0,0.0,0.0
"TIMOB-19186",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9531548619270325,0.0,0.0
"TIMOB-23523",False,"train",0.37471070885658264,0.0,0.0,0.0,0.0,0.0,0.6162242889404297,0.0,0.0
"TIMOB-25792",False,"train",0.023531021550297737,0.0,0.3423471748828888,0.0,0.0,0.30439698696136475,0.3275075852870941,0.0,0.0
"TIMOB-23764",False,"train",0.0,0.0,0.0,0.0,0.290785014629364,0.0,0.699485719203949,0.0,0.0
"TIMOB-17525",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745805263519287,0.0
"TIMOB-24766",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9476222991943359
"TIMOB-23702",False,"train",0.013903447426855564,0.013908939436078072,0.013904256746172905,0.013903479091823101,0.01390560157597065,0.013908354565501213,0.8887531161308289,0.013906195759773254,0.013906617648899555
"TIMOB-26539",False,"train",0.1994936615228653,0.0,0.0,0.0,0.0,0.0,0.794559121131897,0.0,0.0
"TIMOB-24836",False,"train",0.9686678051948547,0.0,0.0,0.0,0.0,0.0,0.024736663326621056,0.0,0.0
"TIMOB-26664",False,"train",0.0,0.0,0.9629116058349609,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-20110",False,"train",0.0,0.17830659449100494,0.7783991694450378,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-23666",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.4352335035800934,0.0,0.5574229955673218
"TIMOB-25656",False,"train",0.0,0.0,0.9713010191917419,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19716",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9504649043083191
"TIMOB-23514",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9576217532157898
"TIMOB-25409",False,"train",0.0,0.0,0.018830088898539543,0.9792040586471558,0.0,0.0,0.0,0.0,0.0
"TIMOB-19175",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9797560572624207,0.0,0.0
"TIMOB-17525",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745805263519287,0.0
"TIMOB-25799",False,"train",0.0,0.0,0.0,0.0,0.9919078946113586,0.0,0.0,0.0,0.0
"TIMOB-20566",True,"train",0.0,0.0,0.0,0.0,0.9861006736755371,0.0,0.0,0.0,0.0
"TIMOB-24165",False,"train",0.0,0.3479631841182709,0.0,0.0,0.0,0.6309986710548401,0.0,0.0,0.0
"TIMOB-17987",False,"train",0.010114921256899834,0.9190834164619446,0.010115097276866436,0.010113945230841637,0.010114953853189945,0.010113948956131935,0.010113174095749855,0.010116100311279297,0.01011445838958025
"TIMOB-24127",False,"train",0.0,0.0,0.0,0.9978913068771362,0.0,0.0,0.0,0.0,0.0
"TIMOB-18053",False,"train",0.7661429643630981,0.0,0.0,0.0,0.0,0.0,0.0,0.2267153561115265,0.0
"TIMOB-24023",False,"train",0.84246826171875,0.0,0.0,0.0,0.1465650498867035,0.0,0.0,0.0,0.0
"TIMOB-23662",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9835231304168701,0.0,0.0
"TIMOB-17891",True,"train",0.0,0.0,0.0,0.0,0.0,0.9745768308639526,0.0,0.0,0.0
"TIMOB-24402",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9849222898483276
"TIMOB-25233",False,"train",0.0,0.9777583479881287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24934",False,"train",0.0,0.0,0.0,0.0,0.46005648374557495,0.0,0.5358213186264038,0.0,0.0
"TIMOB-24815",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9788064956665039
"TIMOB-20478",False,"train",0.0,0.9407140612602234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24793",False,"train",0.0,0.0,0.0,0.0,0.0,0.28468024730682373,0.7025503516197205,0.0,0.0
"TIMOB-24290",False,"train",0.0,0.0,0.0,0.0,0.9897738099098206,0.0,0.0,0.0,0.0
"TIMOB-26402",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9682300090789795
"TIMOB-23187",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.980234682559967
"TIMOB-26766",False,"train",0.37125909328460693,0.0,0.0,0.10542073845863342,0.512691080570221,0.0,0.0,0.0,0.0
"TIMOB-19426",False,"train",0.5949642658233643,0.0,0.0,0.3946501910686493,0.0,0.0,0.0,0.0,0.0
"TIMOB-19054",False,"train",0.0,0.0,0.9315383434295654,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-18980",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.3165675699710846,0.0,0.6764187216758728
"TIMOB-20095",False,"train",0.0,0.0,0.28850552439689636,0.0,0.0,0.0,0.7021294832229614,0.0,0.0
"TIMOB-24110",False,"train",0.0,0.0,0.0,0.0,0.0,0.9759462475776672,0.0,0.0,0.0
"TIMOB-19655",False,"train",0.967025101184845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-23511",False,"train",0.0,0.0,0.30278852581977844,0.0,0.0,0.6837697625160217,0.0,0.0,0.0
"TIMOB-18834",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9703394770622253,0.0,0.0
"TIMOB-7564",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9777622818946838,0.0,0.0
"TIMOB-23653",False,"train",0.0,0.0,0.0,0.0,0.0,0.1894989162683487,0.8032882809638977,0.0,0.0
"TIMOB-25399",False,"train",0.0,0.5889924168586731,0.0,0.0,0.38589930534362793,0.0,0.0,0.0,0.0
"TIMOB-20189",False,"train",0.0,0.375294953584671,0.0,0.0,0.0,0.0,0.0,0.6127260327339172,0.0
"TIMOB-25843",False,"train",0.992825448513031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19160",False,"train",0.10356864333152771,0.0,0.0,0.8554562330245972,0.0,0.0,0.0,0.0,0.0
"TIMOB-24634",False,"train",0.0,0.0,0.0,0.05563554912805557,0.06515449285507202,0.0,0.8765296936035156,0.0,0.0
"TIMOB-19347",False,"train",0.0,0.0,0.0,0.0,0.0,0.9872909784317017,0.0,0.0,0.0
"TIMOB-26025",False,"train",0.0,0.9444116353988647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-18855",False,"train",0.0,0.0,0.9948873519897461,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24277",False,"train",0.01092977449297905,0.0,0.0,0.0,0.0,0.0,0.4563746750354767,0.0,0.5271345376968384
"TIMOB-24019",False,"train",0.0,0.980225682258606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19010",False,"train",0.6978118419647217,0.0,0.0,0.0,0.17173486948013306,0.11852440983057022,0.0,0.0,0.0
"TIMOB-23510",False,"train",0.9576095342636108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-17141",False,"train",0.0,0.0,0.0,0.9983463287353516,0.0,0.0,0.0,0.0,0.0
"TIMOB-25274",False,"train",0.914319634437561,0.0,0.0,0.0,0.0,0.0,0.08023762702941895,0.0,0.0
"TIMOB-20158",False,"train",0.0,0.9814691543579102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
