"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8"
"MESOS-4291",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821959733963013
"MESOS-2581",False,"train",0.0,0.0,0.0,0.9858565926551819,0.0,0.0,0.0,0.0,0.0
"MESOS-4982",False,"train",0.0,0.0,0.0,0.0,0.0,0.6250056028366089,0.0,0.34986770153045654,0.0
"MESOS-6719",False,"train",0.0,0.0,0.0,0.9703335165977478,0.0,0.0,0.0,0.0,0.0
"MESOS-4951",False,"train",0.0,0.8820033669471741,0.0,0.0,0.0,0.0,0.0,0.09800777584314346,0.0
"MESOS-8836",False,"train",0.01389981433749199,0.013899805024266243,0.013901159167289734,0.013902202248573303,0.8887905478477478,0.013897501863539219,0.013902178965508938,0.013904728926718235,0.013902099803090096
"MESOS-2404",False,"train",0.0,0.0,0.0,0.9531625509262085,0.0,0.0,0.0,0.0,0.0
"MESOS-4886",False,"train",0.2800552546977997,0.0,0.0,0.0,0.0,0.0,0.0,0.6947412490844727,0.0
"MESOS-1081",False,"train",0.0,0.0,0.0,0.9856426119804382,0.0,0.0,0.0,0.0,0.0
"MESOS-9228",True,"train",0.018552232533693314,0.01855713315308094,0.018551360815763474,0.01855590008199215,0.8515709042549133,0.01855151541531086,0.01855197735130787,0.01855473406612873,0.01855420134961605
"MESOS-5173",False,"train",0.0,0.0,0.0,0.5068334341049194,0.0,0.0,0.0,0.48512721061706543,0.0
"MESOS-2805",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975917398929596,0.0
"MESOS-3619",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9505196213722229
"MESOS-9505",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9984835386276245,0.0,0.0
"MESOS-3857",False,"train",0.0,0.0,0.03235869109630585,0.0,0.0,0.5734956860542297,0.0,0.2661331593990326,0.12027857452630997
"MESOS-3345",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.7717685103416443,0.21916717290878296,0.0
"MESOS-2965",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2756577432155609,0.7062422037124634
"MESOS-5552",False,"train",0.0,0.0,0.0,0.0,0.9843820929527283,0.0,0.0,0.0,0.0
"MESOS-3483",True,"train",0.0,0.0,0.0,0.6872692108154297,0.0,0.0,0.0,0.0,0.3042164146900177
"MESOS-6621",False,"train",0.0,0.0,0.0,0.9514467716217041,0.0,0.0,0.0,0.04377201944589615,0.0
"MESOS-8741",False,"train",0.0,0.0,0.8385536670684814,0.0,0.0,0.0,0.0,0.15158481895923615,0.0
"MESOS-9317",False,"train",0.0,0.0,0.0,0.0,0.7504407167434692,0.0,0.2492758184671402,0.0,0.0
"MESOS-7511",False,"train",0.027871377766132355,0.027872735634446144,0.7769941091537476,0.027871547266840935,0.027872666716575623,0.027876200154423714,0.027876123785972595,0.027876660227775574,0.027888592332601547
