"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8"
"DM-7986",False,"train",0.02223373018205166,0.3021220564842224,0.022239062935113907,0.022228805348277092,0.022231409326195717,0.022240471094846725,0.022253984585404396,0.0222488883882761,0.5422016382217407
"DM-8533",False,"train",0.3945131003856659,0.39762237668037415,0.0,0.0,0.0,0.19036048650741577,0.0,0.0,0.0
"DM-5833",False,"train",0.010347366333007812,0.010343946516513824,0.01034464966505766,0.010342643596231937,0.010342513211071491,0.010346295312047005,0.010347675532102585,0.010346208699047565,0.917238712310791
"DM-417",False,"train",0.1368514448404312,0.0,0.0,0.0,0.49083203077316284,0.0,0.249403715133667,0.0,0.1084672138094902
"DM-3037",False,"train",0.0,0.0,0.30114611983299255,0.0,0.20939041674137115,0.3472934067249298,0.10509037971496582,0.0,0.0
"DM-7014",False,"train",0.010060010477900505,0.01005923468619585,0.010059693828225136,0.01005734782665968,0.010059544816613197,0.010059651918709278,0.01006427314132452,0.479152649641037,0.4504276216030121
"DM-1295",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9641743302345276
"DM-9616",False,"train",0.0,0.28928011655807495,0.0,0.0,0.0,0.6551252007484436,0.0,0.0,0.0
"DM-4493",False,"train",0.018537862226366997,0.01853393204510212,0.018527839332818985,0.018524788320064545,0.018523335456848145,0.018525132909417152,0.018524378538131714,0.8517796397209167,0.018523141741752625
"DM-8012",False,"train",0.0,0.7244014143943787,0.0,0.0,0.0,0.22041089832782745,0.0,0.0,0.0
"DM-17641",False,"train",0.0,0.0,0.0,0.0,0.0,0.9333513379096985,0.0,0.0,0.0
"DM-13144",False,"train",0.010108481161296368,0.010107516311109066,0.010109338909387589,0.01010685320943594,0.010106693021953106,0.010107721202075481,0.010117240250110626,0.010107027366757393,0.9191290736198425
"DM-359",False,"train",0.0,0.647031307220459,0.0,0.0,0.03684505075216293,0.3027087450027466,0.0,0.0,0.0
"DM-17",False,"train",0.0,0.0,0.0,0.0,0.0,0.9332006573677063,0.0,0.0,0.0
"DM-7492",False,"train",0.0,0.0,0.3980497121810913,0.0,0.11721232533454895,0.0,0.0,0.4529135227203369,0.0
"DM-10871",False,"train",0.0,0.19656190276145935,0.0,0.0,0.0,0.0,0.0,0.0,0.7559892535209656
"DM-11126",False,"train",0.0,0.0,0.9657999873161316,0.0,0.0,0.0,0.0,0.0,0.0
"DM-4677",False,"train",0.0,0.0,0.0,0.0,0.0,0.10365580767393112,0.0,0.0,0.8704044818878174
"DM-18282",False,"train",0.0,0.0,0.19899509847164154,0.0,0.0,0.2214350551366806,0.23502425849437714,0.0,0.29849597811698914
"DM-7979",False,"train",0.0,0.0,0.0,0.0,0.0,0.6296488046646118,0.0,0.0,0.34985047578811646
"DM-3958",False,"train",0.0,0.0,0.16300560534000397,0.0,0.0,0.0,0.6696786880493164,0.1325918436050415,0.0
"DM-15232",False,"train",0.4311436712741852,0.0,0.0,0.29881957173347473,0.0,0.0,0.23479537665843964,0.0,0.0
"DM-15190",False,"train",0.0,0.22059665620326996,0.0,0.0,0.04588165506720543,0.0,0.0,0.0,0.7204639911651611
"DM-17264",True,"train",0.0,0.0,0.0,0.0,0.0,0.5508545637130737,0.0,0.407794713973999,0.0
"DM-10117",False,"train",0.018609240651130676,0.018604274839162827,0.01860031858086586,0.018600819632411003,0.01860121451318264,0.01860315538942814,0.8511697053909302,0.018604038283228874,0.01860724575817585
"DM-11519",False,"train",0.061337172985076904,0.1668873280286789,0.0,0.0,0.0,0.3869817852973938,0.3764630854129791,0.0,0.0
"DM-11555",False,"train",0.0,0.41137897968292236,0.0,0.0,0.0,0.0,0.0,0.5299672484397888,0.0
"DM-14236",False,"train",0.0,0.9576308131217957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DM-8612",False,"train",0.0,0.0,0.0,0.0,0.0,0.28437352180480957,0.0,0.0,0.6974859237670898
"DM-4544",False,"train",0.0,0.0,0.12995468080043793,0.0,0.0,0.5689210891723633,0.0,0.0,0.2511768639087677
"DM-6784",False,"train",0.0,0.17019124329090118,0.0,0.0,0.5498452186584473,0.2582530677318573,0.0,0.0,0.0
"DM-7587",True,"train",0.0,0.9851621985435486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DM-9988",True,"train",0.0,0.2919490933418274,0.0,0.0,0.0,0.30643582344055176,0.0,0.0,0.3645837604999542
"DM-4849",False,"train",0.0,0.7206079363822937,0.0,0.0,0.0,0.0,0.24017733335494995,0.0,0.0
"DM-10381",False,"train",0.0,0.14750736951828003,0.0,0.0,0.0,0.0,0.3285598158836365,0.0,0.5037855505943298
"DM-16731",False,"train",0.881615161895752,0.0,0.07700163871049881,0.0,0.0,0.0,0.0,0.0,0.0
"DM-4184",False,"train",0.0,0.0,0.45169371366500854,0.0,0.0,0.0,0.0,0.0,0.500565767288208
"DM-12972",True,"train",0.0,0.0,0.0,0.4760194420814514,0.0,0.48505011200904846,0.0,0.0,0.0
"DM-14110",False,"train",0.012464485131204128,0.9003577828407288,0.012451584450900555,0.0124506251886487,0.012453432194888592,0.012451288290321827,0.012452198192477226,0.01245212834328413,0.012466437183320522
"DM-13601",False,"train",0.052901096642017365,0.0,0.09756659716367722,0.6872052550315857,0.0,0.1561441272497177,0.0,0.0,0.0
"DM-3112",False,"train",0.0,0.08073559403419495,0.0,0.0,0.9151199460029602,0.0,0.0,0.0,0.0
"DM-6941",False,"train",0.0,0.0,0.0,0.0,0.1378433108329773,0.23110361397266388,0.0,0.586533784866333,0.0
"DM-9320",False,"train",0.0,0.0,0.4093787670135498,0.0,0.0,0.0,0.3419940173625946,0.0,0.22108301520347595
"DM-8107",True,"train",0.0,0.0,0.0,0.0,0.0,0.9373863935470581,0.0,0.0,0.0
"DM-4367",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9803869128227234
"DM-16734",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9307238459587097
"DM-12157",False,"train",0.0,0.0,0.9443750977516174,0.0,0.0,0.0,0.0,0.0,0.0
"DM-16839",False,"train",0.0,0.5111953616142273,0.08603845536708832,0.22920295596122742,0.0,0.15839475393295288,0.0,0.0,0.0
"DM-10846",False,"train",0.0,0.32492685317993164,0.060944706201553345,0.0,0.13486000895500183,0.2146092802286148,0.0,0.0,0.2536952793598175
"DM-916",False,"train",0.01855386793613434,0.018541580066084862,0.018548989668488503,0.4236147701740265,0.01854880154132843,0.018567364662885666,0.44652485847473145,0.01854354701936245,0.018556268885731697
"DM-1017",False,"train",0.0,0.0,0.0,0.0,0.0,0.7811263203620911,0.0,0.0,0.1990971714258194
"DM-13163",False,"train",0.0,0.0,0.0,0.0,0.0,0.8689472079277039,0.0,0.0,0.10671444237232208
