"issue_key","storypoints","issuetype","time_in_status"
"DM-19236",0.5,"Bug",0.47917
"DM-19233",2.0,"Story",0.00167
"DM-19232",0.041,"Bug",6.755
"DM-19231",0.187,"Bug",7.16639
"DM-19205",0.5,"Story",0.18528
"DM-19166",1.0,"Improvement",5.82444
"DM-19162",2.0,"Story",21.5825
"DM-19127",2.0,"Story",17.81
"DM-19075",1.0,"Bug",0.565
"DM-18899",2.8,"Improvement",0.21972
"DM-18897",4.0,"Story",119.50861
"DM-18893",0.5,"Improvement",0.00111
"DM-18891",0.25,"Improvement",0.32889
"DM-18890",0.25,"Improvement",0.53278
"DM-18887",0.5,"Story",0.93417
"DM-18885",0.5,"Story",111.93778
"DM-18884",0.5,"Bug",0.01028
"DM-18880",2.0,"Story",35.92778
"DM-18879",2.0,"Story",35.93
"DM-18863",2.0,"Story",0.06222
"DM-18861",1.0,"Improvement",2.04194
"DM-18848",0.7,"Bug",2.25083
"DM-18843",1.0,"Story",0.89833
"DM-18839",8.0,"Story",0.43694
"DM-18838",1.0,"Story",0.54556
"DM-18836",1.0,"Improvement",0.00306
"DM-18781",1.0,"Story",21.11222
"DM-18779",2.0,"Story",0.70278
"DM-18758",4.0,"Story",0.01
"DM-18754",1.0,"Story",19.79556
"DM-18752",6.0,"Story",0.00278
"DM-18750",1.0,"Improvement",2.49278
"DM-18748",3.0,"Bug",5.75528
"DM-18743",2.0,"Improvement",0.50444
"DM-18740",0.5,"Bug",0.00111
"DM-18733",0.042,"Story",0.08111
"DM-18730",3.0,"Story",149.68472
"DM-18729",1.0,"Story",100.16
"DM-18728",4.0,"Story",72.20611
"DM-18727",0.5,"Story",1.71472
"DM-18726",0.5,"Story",1.26167
"DM-18712",0.5,"Story",0.00361
"DM-18705",6.0,"Bug",123.80278
"DM-18704",2.0,"Story",100.52028
"DM-18696",3.5,"Story",126.085
"DM-18690",8.0,"Story",211.08639
"DM-18689",0.5,"Story",2.17
"DM-18686",1.0,"Bug",0.01194
"DM-18678",2.0,"Story",3.64167
"DM-18668",4.0,"Story",361.40444
"DM-18647",18.0,"Bug",312.58472
"DM-18645",0.5,"Story",0.00139
"DM-18643",2.0,"Bug",124.4425
"DM-18638",1.0,"Story",14.17722
"DM-18635",3.0,"Story",19.57722
"DM-18628",0.5,"Story",0.00139
"DM-18627",0.7,"Improvement",7.09333
"DM-18622",0.25,"Story",1.06778
"DM-18621",5.0,"Story",0.01333
"DM-18619",0.125,"Story",31.86417
"DM-18618",1.0,"Story",29.085
"DM-18616",1.0,"Bug",1.74111
"DM-18605",2.0,"Bug",44.64722
"DM-18603",1.4,"Bug",110.54361
"DM-18596",2.0,"Story",93.60028
"DM-18595",4.0,"Story",166.97306
"DM-18591",6.0,"Bug",153.28556
"DM-18589",2.0,"Improvement",22.30139
"DM-18573",0.25,"Bug",0.35528
"DM-18570",4.0,"Story",169.61694
"DM-18569",10.0,"Story",122.2
"DM-18568",8.0,"Story",188.99806
"DM-18556",3.0,"Story",3.48028
"DM-18552",1.0,"Improvement",21.18472
"DM-18548",3.0,"Story",0.015
"DM-18547",8.0,"Story",170.40389
"DM-18544",4.0,"Story",5.25889
"DM-18542",1.0,"Story",0.28417
"DM-18537",1.0,"Story",0.00389
"DM-18536",0.5,"Story",0.00167
"DM-18532",4.0,"Story",41.20083
"DM-18526",1.0,"Story",384.04333
"DM-18525",4.2,"Improvement",75.04722
"DM-18521",1.0,"Story",31.18306
"DM-18520",1.0,"Story",28.40694
"DM-18519",1.4,"Improvement",7.61556
"DM-18516",0.125,"Bug",0.26639
"DM-18514",2.0,"Story",286.18333
"DM-18513",2.0,"Story",102.00306
"DM-18512",2.0,"Story",113.62583
"DM-18511",3.0,"Story",50.84528
"DM-18509",8.0,"Story",96.94583
"DM-18508",2.0,"Story",70.4375
"DM-18503",0.4,"Story",0.70306
"DM-18502",4.0,"Bug",20.44111
"DM-18501",2.0,"Story",4.48611
"DM-18500",2.0,"Story",151.54722
"DM-18497",0.5,"Bug",0.00806
"DM-18484",1.0,"Story",0.2575
"DM-18483",2.0,"Story",23.94778
"DM-18463",2.0,"Story",0.00111
"DM-18456",2.0,"Story",185.97806
"DM-18455",4.0,"Story",247.25278
"DM-18454",2.0,"Story",53.16694
"DM-18453",2.0,"Story",101.23722
"DM-18452",8.0,"Story",263.07444
"DM-18451",1.0,"Story",0.53667
"DM-18440",2.0,"Story",170.34389
"DM-18439",2.0,"Story",45.40222
"DM-18437",2.0,"Story",0.0025
"DM-18430",2.0,"Story",32.26583
"DM-18425",4.0,"Story",412.24889
"DM-18421",1.0,"Story",29.61639
"DM-18418",1.0,"Story",72.74333
"DM-18409",2.0,"Bug",16.32278
"DM-18405",4.8,"Story",150.63417
"DM-18401",3.0,"Improvement",62.10111
"DM-18400",4.0,"Story",67.78778
"DM-18399",4.2,"Story",137.96611
"DM-18397",2.0,"Story",47.33972
"DM-18395",1.4,"Story",1.20611
"DM-18389",2.0,"Story",47.52417
"DM-18388",2.0,"Story",265.13361
"DM-18382",3.0,"Story",151.6275
"DM-18380",0.5,"Story",3.32722
"DM-18377",3.0,"Story",0.01528
"DM-18374",1.0,"Story",173.15833
"DM-18373",0.25,"Bug",0.60222
"DM-18367",14.0,"Story",0.25667
"DM-18366",6.0,"Story",122.1375
"DM-18363",1.0,"Story",11.06972
"DM-18362",4.0,"Story",36.075
"DM-18361",0.25,"Story",0.27583
"DM-18359",0.7,"Story",7.77833
"DM-18358",1.0,"Improvement",21.09806
"DM-18355",1.0,"Story",0.00722
"DM-18354",1.0,"Story",0.24972
"DM-18349",0.25,"Bug",5.45083
"DM-18348",0.5,"Story",198.07861
"DM-18344",4.0,"Improvement",331.71139
"DM-18343",2.8,"Story",23.47667
"DM-18339",1.0,"Improvement",17.40167
"DM-18330",4.0,"Story",74.07917
"DM-18329",1.0,"Story",24.35889
"DM-18327",1.0,"Story",15.80667
"DM-18323",10.0,"Story",160.95917
"DM-18320",2.0,"Story",0.05778
"DM-18318",8.0,"Story",194.68528
"DM-18313",1.0,"Story",260.35167
"DM-18311",1.0,"Story",1.04389
"DM-18310",2.0,"Story",4.48194
"DM-18292",5.0,"Story",169.01611
"DM-18283",3.0,"Story",73.30778
"DM-18282",2.0,"Story",335.07917
"DM-18195",0.5,"Story",0.00139
"DM-18189",6.0,"Story",447.76917
"DM-18187",19.0,"Story",665.43111
"DM-18183",8.0,"Story",0.295
"DM-18173",2.0,"Story",264.39556
"DM-18172",2.0,"Story",28.27139
"DM-18171",14.0,"Story",163.60361
"DM-18167",2.0,"Bug",1.12278
"DM-18159",3.0,"Story",236.08333
"DM-18154",2.0,"Improvement",75.24278
"DM-18148",2.0,"Story",1.57389
"DM-18130",4.0,"Story",0.03611
"DM-18129",1.0,"Story",31.09194
"DM-18128",3.0,"Story",125.32306
"DM-18127",2.0,"Story",268.97528
"DM-18125",6.0,"Story",0.43222
"DM-18124",2.0,"Story",19.40639
"DM-18123",8.0,"Story",88.10722
"DM-18122",10.0,"Story",24.18472
"DM-18121",10.0,"Story",52.0575
"DM-18114",0.375,"Improvement",22.28944
"DM-18113",0.125,"Bug",0.18
"DM-18110",3.2,"Story",313.0375
"DM-18108",2.0,"Story",27.66667
"DM-18107",5.25,"Story",385.47806
"DM-18102",1.0,"Bug",6.93528
"DM-18063",2.0,"Story",147.87917
"DM-18051",8.0,"Story",0.00194
"DM-18042",6.0,"Story",0.00167
"DM-18041",8.0,"Story",173.44083
"DM-18039",8.0,"Story",1033.61194
"DM-18033",1.0,"Bug",0.97306
"DM-18023",0.7,"Story",0.28778
"DM-18021",11.0,"Story",58.24944
"DM-18019",2.0,"Story",47.09528
"DM-18014",2.0,"Story",0.03667
"DM-18009",1.0,"Story",7.36583
"DM-18007",2.0,"Story",22.23389
"DM-18002",0.5,"Story",0.0025
"DM-18001",1.0,"Story",0.17917
"DM-17999",8.0,"Story",333.30222
"DM-17988",2.0,"Story",0.00556
"DM-17986",1.0,"Story",93.08833
"DM-17985",2.0,"Story",50.23444
"DM-17984",2.0,"Story",82.75083
"DM-17983",1.0,"Story",1.23389
"DM-17979",1.4,"Story",22.74806
"DM-17977",1.0,"Improvement",4.53
"DM-17976",1.0,"Story",146.15278
"DM-17975",2.0,"Story",861.48556
"DM-17974",2.0,"Story",526.08639
"DM-17970",1.0,"Story",3.57
"DM-17969",2.0,"Story",166.85889
"DM-17968",0.1,"Story",0.17056
"DM-17967",1.0,"Improvement",23.54111
"DM-17965",4.0,"Story",3.77583
"DM-17963",1.4,"Story",0.21694
"DM-17960",12.0,"Story",51.15167
"DM-17952",5.0,"Story",216.72833
"DM-17951",2.0,"Story",7.62694
"DM-17950",4.0,"Story",44.90472
"DM-17946",0.25,"Bug",284.34639
"DM-17945",2.5,"Bug",647.16694
"DM-17943",4.0,"Story",116.28056
"DM-17942",2.0,"Story",504.475
"DM-17941",3.1,"Story",26.33111
"DM-17940",3.0,"Story",121.47528
"DM-17939",1.0,"Story",71.73528
"DM-17937",6.0,"Story",1131.64639
"DM-17936",3.0,"Story",96.79
"DM-17932",1.0,"Story",9.10222
"DM-17930",1.0,"Story",164.75861
"DM-17928",4.0,"Story",268.89472
"DM-17919",14.0,"Story",647.22611
"DM-17917",0.25,"Story",2.54472
"DM-17914",1.0,"Story",21.36778
"DM-17913",1.0,"Improvement",0.00306
"DM-17912",1.0,"Bug",24.87722
"DM-17909",3.0,"Story",319.19583
"DM-17903",1.0,"Story",0.30667
"DM-17884",2.0,"Bug",143.01194
"DM-17876",1.0,"Improvement",0.31694
"DM-17869",2.8,"Story",259.31861
"DM-17866",3.0,"Story",27.14639
"DM-17865",6.2,"Story",80.67833
"DM-17860",1.0,"Story",0.00222
"DM-17859",2.0,"Bug",2.88972
"DM-17858",1.0,"Story",47.13889
"DM-17857",0.5,"Story",1.62556
"DM-17856",1.0,"Story",0.01861
"DM-17847",1.0,"Story",1.72583
"DM-17843",4.0,"Story",42.7475
"DM-17840",1.0,"Story",5.45139
"DM-17839",8.0,"Story",0.04056
"DM-17838",7.0,"Story",0.00111
"DM-17837",0.5,"Bug",24.33722
"DM-17835",8.0,"Story",596.16694
"DM-17833",10.0,"Story",193.59472
"DM-17832",1.0,"Story",239.4975
"DM-17827",1.0,"Story",288.26722
"DM-17826",2.0,"Story",3.98667
"DM-17820",1.0,"Improvement",5.07389
"DM-17814",10.0,"Story",0.01167
"DM-17813",2.0,"Story",387.95028
"DM-17812",8.0,"Improvement",208.34222
"DM-17810",1.0,"Story",0.07833
"DM-17794",1.0,"Story",1.98833
"DM-17793",4.0,"Story",599.99778
"DM-17788",1.0,"Story",7.92083
"DM-17786",36.0,"Story",121.385
"DM-17785",18.0,"Story",716.16306
"DM-17784",18.0,"Story",601.11417
"DM-17783",4.0,"Story",191.0325
"DM-17771",0.25,"Story",1.24194
"DM-17767",1.4,"Story",147.73
"DM-17766",1.0,"Story",18.46167
"DM-17758",3.0,"Story",57.08611
"DM-17757",8.0,"Bug",19.64833
"DM-17754",5.6,"Story",150.54528
"DM-17753",2.0,"Story",437.31917
"DM-17752",3.0,"Bug",4.53361
"DM-17750",1.75,"Story",192.72111
"DM-17747",1.0,"Story",24.45611
"DM-17740",6.0,"Bug",48.57694
"DM-17739",0.5,"Bug",0.02361
"DM-17730",12.0,"Story",121.92028
"DM-17726",3.0,"Story",47.16556
"DM-17722",8.0,"Story",64.56028
"DM-17720",2.0,"Story",10.31028
"DM-17717",8.0,"Story",1366.33806
"DM-17694",4.0,"Story",76.59306
"DM-17688",1.0,"Story",19.085
"DM-17687",1.0,"Story",27.71306
"DM-17685",4.0,"Story",331.73417
"DM-17681",0.75,"Bug",20.99917
"DM-17680",8.0,"Story",1455.975
"DM-17679",2.0,"Bug",0.93556
"DM-17675",1.0,"Story",4.17667
"DM-17672",1.0,"Story",23.71528
"DM-17670",2.0,"Story",29.47389
"DM-17666",2.0,"Story",80.72139
"DM-17664",2.0,"Story",12.09528
"DM-17662",2.0,"Bug",0.37944
"DM-17661",1.4,"Bug",22.51583
"DM-17660",3.0,"Story",248.35444
"DM-17659",0.5,"Story",0.25028
"DM-17658",10.0,"Story",650.50306
"DM-17655",6.0,"Story",343.74694
"DM-17654",8.0,"Story",732.57667
"DM-17650",0.5,"Bug",1.53917
"DM-17643",0.375,"Story",2.1875
"DM-17642",2.0,"Story",29.62583
"DM-17641",1.0,"Story",7.97167
"DM-17640",2.0,"Story",76.42028
"DM-17639",1.0,"Story",118.06861
"DM-17638",2.0,"Story",47.25389
"DM-17636",2.0,"Story",1.28389
"DM-17610",2.0,"Story",91.91472
"DM-17609",1.0,"Story",20.24528
"DM-17608",0.5,"Story",1.06278
"DM-17607",8.0,"Story",2.09917
"DM-17606",1.0,"Story",94.69111
"DM-17605",1.0,"Story",72.85778
"DM-17604",1.0,"Story",196.57611
"DM-17603",3.0,"Story",260.86
"DM-17593",8.0,"Story",22.68806
"DM-17591",1.0,"Story",21.21889
"DM-17580",5.0,"Story",620.05917
"DM-17579",5.0,"Story",620.06611
"DM-17575",1.0,"Story",23.37806
"DM-17570",2.5,"Story",619.84667
"DM-17569",2.5,"Story",619.84278
"DM-17568",5.0,"Story",623.97972
"DM-17565",5.0,"Story",141.62694
"DM-17561",1.0,"Story",46.16472
"DM-17560",1.0,"Improvement",16.385
"DM-17558",1.0,"Story",1.98139
"DM-17557",1.0,"Improvement",0.00222
"DM-17555",9.0,"Story",1365.50611
"DM-17553",7.0,"Story",365.09
"DM-17552",4.0,"Story",118.82694
"DM-17546",1.0,"Improvement",27.70972
"DM-17545",1.0,"Story",0.01861
"DM-17543",1.0,"Improvement",20.09722
"DM-17540",7.5,"Bug",452.73778
"DM-17537",1.0,"Story",0.00333
"DM-17536",4.0,"Story",1129.89
"DM-17533",1.0,"Improvement",0.00278
"DM-17531",2.8,"Story",27.28083
"DM-17530",6.0,"Story",307.26861
"DM-17529",1.0,"Story",0.1825
"DM-17528",10.0,"Story",891.1525
"DM-17527",2.0,"Story",218.42
"DM-17525",2.0,"Story",319.06194
"DM-17521",1.0,"Improvement",382.26056
"DM-17513",4.2,"Story",3.58083
"DM-17512",2.0,"Story",0.00139
"DM-17511",2.0,"Story",32.2725
"DM-17510",1.0,"Story",1014.09944
"DM-17509",1.0,"Story",191.60139
"DM-17508",2.0,"Story",164.30667
"DM-17506",6.0,"Story",719.38611
"DM-17505",0.5,"Bug",0.46694
"DM-17504",2.0,"Story",211.36222
"DM-17503",2.0,"Story",719.35389
"DM-17501",1.0,"Story",719.31667
"DM-17500",0.5,"Story",1.81889
"DM-17499",4.0,"Bug",44.76139
"DM-17497",0.5,"Bug",0.00139
"DM-17496",6.0,"Story",0.07028
"DM-17495",4.0,"Story",10.10389
"DM-17493",1.0,"Story",2.35361
"DM-17492",6.0,"Story",1.20139
"DM-17491",2.0,"Story",258.69278
"DM-17489",2.0,"Story",17.49361
"DM-17484",1.0,"Story",18.78556
"DM-17483",1.0,"Story",0.0025
"DM-17482",1.0,"Story",24.76639
"DM-17480",1.0,"Bug",0.00139
"DM-17479",6.0,"Story",140.76083
"DM-17475",2.0,"Story",45.135
"DM-17474",6.0,"Improvement",98.16028
"DM-17470",3.7,"Story",100.55917
"DM-17467",1.0,"Story",0.39222
"DM-17466",7.0,"Story",501.21167
"DM-17465",5.0,"Story",78.66
"DM-17461",2.8,"Story",344.11056
"DM-17460",6.0,"Story",400.69083
"DM-17456",2.0,"Story",22.3275
"DM-17455",2.0,"Story",48.71389
"DM-17451",1.0,"Bug",1.96917
"DM-17449",1.0,"Story",0.07444
"DM-17446",1.0,"Bug",24.72111
"DM-17445",4.0,"Story",28.53222
"DM-17442",2.0,"Story",96.19806
"DM-17441",2.0,"Story",89.13889
"DM-17435",14.0,"Story",74.23083
"DM-17433",1.0,"Story",5.89972
"DM-17432",1.0,"Story",0.19611
"DM-17422",2.0,"Story",0.00139
"DM-17420",1.0,"Story",0.00111
"DM-17412",2.0,"Improvement",18.38111
"DM-17401",1.0,"Story",93.09639
"DM-17400",3.0,"Story",143.50806
"DM-17398",0.5,"Story",1.86667
"DM-17397",1.0,"Improvement",0.0425
"DM-17395",1.0,"Story",0.00389
"DM-17394",0.5,"Bug",0.12333
"DM-17393",4.0,"Story",215.87472
"DM-17390",8.0,"Story",0.005
"DM-17384",1.0,"Story",7.12833
"DM-17382",2.0,"Improvement",27.22194
"DM-17380",6.0,"Story",0.00139
"DM-17379",2.0,"Story",144.27778
"DM-17373",1.0,"Story",0.00917
"DM-17372",2.0,"Story",3.10972
"DM-17371",2.0,"Story",0.08417
"DM-17370",2.0,"Story",67.25667
"DM-17369",2.0,"Story",2.79167
"DM-17368",3.0,"Story",0.00722
"DM-17366",2.0,"Story",30.21944
"DM-17364",2.0,"Story",65.085
"DM-17349",4.0,"Story",194.09778
"DM-17348",2.0,"Story",46.85389
"DM-17347",1.0,"Story",6.04
"DM-17346",3.0,"Story",248.01806
"DM-17344",3.0,"Story",381.39222
"DM-17343",4.0,"Story",122.04444
"DM-17341",2.0,"Story",0.02056
"DM-17340",4.0,"Improvement",289.71167
"DM-17338",1.0,"Story",0.01972
"DM-17337",2.0,"Story",0.01611
"DM-17333",1.0,"Story",698.17056
"DM-17332",3.0,"Story",528.02444
"DM-17331",3.0,"Story",0.02111
"DM-17330",3.0,"Story",48.49194
"DM-17328",2.0,"Story",31.52167
"DM-17327",3.0,"Story",0.00333
"DM-17325",2.0,"Story",0.00222
"DM-17324",1.0,"Story",0.00278
"DM-17323",1.0,"Improvement",0.01667
"DM-17319",2.0,"Story",55.18833
"DM-17317",1.0,"Story",20.08528
"DM-17316",2.0,"Story",0.00139
"DM-17315",2.0,"Story",24.83806
"DM-17314",4.0,"Story",337.47861
"DM-17313",4.0,"Story",0.03444
"DM-17310",5.0,"Story",845.00417
"DM-17307",1.0,"Story",0.4125
"DM-17305",0.5,"Story",20.95444
"DM-17304",6.0,"Story",0.59889
"DM-17303",1.0,"Story",1.75889
"DM-17301",2.0,"Story",1.51222
"DM-17300",1.0,"Story",99.68833
"DM-17299",3.0,"Improvement",0.0025
"DM-17298",8.0,"Story",359.27806
"DM-17297",2.0,"Story",1.00306
"DM-17296",2.0,"Story",19.85444
"DM-17292",6.0,"Improvement",7.85222
"DM-17289",1.0,"Story",288.75306
"DM-17285",1.0,"Story",0.90667
"DM-17284",0.5,"Story",0.63556
"DM-17282",6.9,"Story",193.72278
"DM-17281",2.0,"Story",25.3825
"DM-17279",3.0,"Story",264.92167
"DM-17277",2.0,"Story",0.00472
"DM-17269",2.0,"Story",645.93389
"DM-17264",4.0,"Story",165.07389
"DM-17263",0.4,"Story",3.77
"DM-17259",8.0,"Story",670.24306
"DM-17258",1.0,"Story",166.63444
"DM-17255",1.0,"Story",192.93111
"DM-17254",2.0,"Story",505.24083
"DM-17253",3.0,"Story",505.23972
"DM-17252",6.0,"Story",365.19139
"DM-17250",5.0,"Story",72.81889
"DM-17248",2.0,"Improvement",4.975
"DM-17247",1.0,"Story",22.14972
"DM-17246",5.0,"Story",384.55
"DM-17245",1.0,"Story",0.04028
"DM-17235",0.75,"Improvement",4.33
"DM-17234",6.0,"Story",1154.42778
"DM-17233",6.0,"Story",723.83833
"DM-17230",10.0,"Bug",388.32056
"DM-17229",1.0,"Story",29.825
"DM-17228",4.0,"Story",148.80389
"DM-17227",2.0,"Story",218.37222
"DM-17219",1.0,"Story",937.96583
"DM-17217",14.0,"Story",553.43833
"DM-17214",8.0,"Story",287.44944
"DM-17213",8.0,"Story",121.2175
"DM-17212",8.0,"Story",194.095
"DM-17211",8.0,"Story",172.97472
"DM-17206",4.0,"Story",671.11806
"DM-17202",3.0,"Story",66.68222
"DM-17197",2.0,"Story",2.41083
"DM-17195",2.0,"Bug",0.36889
"DM-17194",0.375,"Bug",1.25139
"DM-17191",0.9,"Story",0.92583
"DM-17189",2.0,"Story",89.61139
"DM-17188",5.0,"Story",159.4125
"DM-17187",20.0,"Story",1433.97861
"DM-17186",1.0,"Bug",63.81111
"DM-17175",3.0,"Story",120.13417
"DM-17174",12.0,"Story",190.69111
"DM-17172",2.0,"Story",193.01222
"DM-17171",3.0,"Story",311.97139
"DM-17170",1.0,"Story",295.94778
"DM-17162",3.0,"Story",54.92417
"DM-17161",3.0,"Story",0.05472
"DM-17160",2.0,"Story",0.08611
"DM-17149",0.5,"Story",0.44583
"DM-17148",1.0,"Story",2.97333
"DM-17146",0.5,"Story",0.0025
"DM-17144",1.0,"Story",70.97556
"DM-17113",16.0,"Improvement",524.74083
"DM-17110",8.0,"Story",1455.98611
"DM-17092",3.0,"Story",19.65139
"DM-17091",6.0,"Story",78.42722
"DM-17089",5.0,"Story",1200.10222
"DM-17086",27.0,"Story",675.20472
"DM-17085",27.0,"Story",169.91667
"DM-17084",26.0,"Story",434.82417
"DM-17079",6.0,"Story",909.81056
"DM-17078",5.0,"Story",909.81667
"DM-17077",1.0,"Story",790.11444
"DM-17076",4.0,"Story",90.78889
"DM-17074",1.0,"Improvement",503.74
"DM-17073",1.0,"Story",0.17361
"DM-17072",4.0,"Story",8.15
"DM-17068",0.5,"Story",0.00778
"DM-17067",0.5,"Story",0.14583
"DM-17066",5.0,"Improvement",22.78167
"DM-17065",2.7,"Story",23.85333
"DM-17061",10.0,"Story",987.35056
"DM-17060",1.0,"Story",0.36194
"DM-17059",2.0,"Story",4.32667
"DM-17058",9.5,"Story",555.68306
"DM-17055",1.0,"Story",0.865
"DM-17054",3.7,"Story",1005.87028
"DM-17052",14.0,"Story",319.52833
"DM-17048",0.5,"Story",0.03056
"DM-17046",1.0,"Story",0.005
"DM-17045",8.0,"Story",14.78972
"DM-17044",0.5,"Story",1.37167
"DM-17043",8.0,"Story",27.51444
"DM-17042",1.0,"Story",2.47333
"DM-17039",2.0,"Story",556.54611
"DM-17038",4.0,"Story",140.19194
"DM-17037",1.0,"Story",17.96722
"DM-17036",3.0,"Story",113.81806
"DM-17031",1.0,"Story",0.49917
"DM-17030",4.0,"Story",6.25417
"DM-17029",8.0,"Story",548.70861
"DM-17028",8.0,"Story",677.09833
"DM-17026",10.0,"Story",99.5375
"DM-17024",5.9,"Story",266.80139
"DM-17022",3.0,"Story",23.51056
"DM-17021",10.0,"Story",360.41278
"DM-17020",2.0,"Story",426.73833
"DM-17009",4.0,"Story",2424.79639
"DM-17008",12.0,"Story",1894.79083
"DM-17007",6.0,"Story",793.31444
"DM-17006",6.0,"Story",575.50111
