"issue_key","storypoints","issuetype","time_in_status"
"XD-3344",8.0,"Story",6.95778
"XD-3341",1.0,"Story",0.53056
"XD-3338",2.0,"Bug",627.06056
"XD-3335",3.0,"Bug",0.0025
"XD-3334",5.0,"Story",433.11
"XD-3331",2.0,"Story",26.38889
"XD-3330",2.0,"Story",26.38389
"XD-3329",1.0,"Story",26.11833
"XD-3328",1.0,"Story",26.13611
"XD-3326",1.0,"Story",26.39
"XD-3325",2.0,"Story",26.38667
"XD-3322",3.0,"Story",0.00722
"XD-3321",3.0,"Bug",3.31667
"XD-3320",5.0,"Story",54.35222
"XD-3319",5.0,"Story",82.20833
"XD-3318",5.0,"Story",21.17167
"XD-3317",8.0,"Story",553.33083
"XD-3316",5.0,"Story",29.84806
"XD-3315",3.0,"Story",24.75972
"XD-3314",8.0,"Story",3.86667
"XD-3313",5.0,"Story",30.89444
"XD-3312",3.0,"Story",0.24167
"XD-3311",3.0,"Story",3.16083
"XD-3310",5.0,"Story",2.93167
"XD-3309",5.0,"Story",614.89556
"XD-3308",2.0,"Bug",10.34861
"XD-3303",3.0,"Improvement",269.62639
"XD-3300",5.0,"Story",243.80389
"XD-3298",5.0,"Story",668.85472
"XD-3296",8.0,"Story",319.35917
"XD-3288",5.0,"Story",5.34833
"XD-3287",5.0,"Bug",0.005
"XD-3283",1.0,"Story",344.77167
"XD-3282",3.0,"Story",19.84583
"XD-3271",3.0,"Story",3.17361
"XD-3270",5.0,"Story",141.2625
"XD-3267",5.0,"Story",0.00528
"XD-3266",2.0,"Bug",33.66222
"XD-3265",8.0,"Story",170.08278
"XD-3263",2.0,"Bug",0.13694
"XD-3261",1.0,"Story",0.00167
"XD-3259",3.0,"Story",0.00694
"XD-3258",3.0,"Story",15.9425
"XD-3249",3.0,"Story",0.00278
"XD-3241",1.0,"Story",16.20167
"XD-3240",2.0,"Story",16.20806
"XD-3238",1.0,"Story",27.38
"XD-3235",3.0,"Bug",1.64694
"XD-3234",3.0,"Story",0.00306
"XD-3233",8.0,"Story",171.72833
"XD-3232",1.0,"Story",20.43806
"XD-3231",5.0,"Story",0.01306
"XD-3230",1.0,"Story",124.27472
"XD-3229",8.0,"Story",239.61417
"XD-3228",8.0,"Story",290.79139
"XD-3227",8.0,"Story",189.74056
"XD-3226",8.0,"Story",152.67111
"XD-3225",8.0,"Story",214.89806
"XD-3224",8.0,"Story",149.57778
"XD-3222",3.0,"Story",0.00194
"XD-3220",2.0,"Bug",5.69417
"XD-3219",1.0,"Bug",0.01806
"XD-3218",1.0,"Improvement",49.69556
"XD-3217",5.0,"Bug",0.00556
"XD-3216",2.0,"Bug",622.51389
