"issue_key","storypoints","issuetype","time_in_status"
"TISTUD-8753",5.0,"Bug",0.0075
"TISTUD-8750",13.0,"Story",4242.43222
"TISTUD-8749",5.0,"Bug",49.46444
"TISTUD-8746",5.0,"Improvement",33.55944
"TISTUD-8741",5.0,"Bug",6.62583
"TISTUD-8740",8.0,"Bug",0.0075
"TISTUD-8736",3.0,"Bug",11138.37806
"TISTUD-8729",8.0,"Improvement",144.55417
"TISTUD-8727",5.0,"Bug",0.00278
"TISTUD-8724",5.0,"Bug",0.0625
"TISTUD-8721",3.0,"Bug",16.08667
"TISTUD-8720",5.0,"Bug",25.48417
"TISTUD-8718",8.0,"Improvement",0.67056
"TISTUD-8714",5.0,"Improvement",0.00278
"TISTUD-8713",3.0,"Improvement",0.00389
"TISTUD-8711",5.0,"Bug",0.0075
"TISTUD-8710",3.0,"Bug",0.12556
"TISTUD-8707",5.0,"Bug",0.11222
"TISTUD-8705",21.0,"Bug",340.30722
"TISTUD-8703",5.0,"Bug",8.62639
"TISTUD-8701",3.0,"Bug",0.0025
"TISTUD-8698",3.0,"Bug",0.00694
"TISTUD-8696",2.0,"Bug",2.38944
"TISTUD-8693",5.0,"Bug",363.90556
"TISTUD-8688",5.0,"Bug",196.53056
"TISTUD-8685",13.0,"Improvement",35.99889
"TISTUD-8684",8.0,"Bug",328.35139
"TISTUD-8683",5.0,"Bug",92.61333
"TISTUD-8682",5.0,"Bug",17.57861
"TISTUD-8676",5.0,"Bug",350.39139
"TISTUD-8675",3.0,"Bug",0.13056
"TISTUD-8668",5.0,"Improvement",57.48806
"TISTUD-8665",2.0,"Bug",0.26472
"TISTUD-8662",2.0,"Bug",0.05333
"TISTUD-8659",5.0,"Improvement",17.53528
"TISTUD-8658",5.0,"Bug",43.74778
"TISTUD-8656",8.0,"Bug",122.66028
"TISTUD-8652",5.0,"Bug",574.68
"TISTUD-8643",8.0,"Bug",0.09806
"TISTUD-8642",8.0,"Bug",0.07694
"TISTUD-8638",8.0,"Bug",366.59778
"TISTUD-8610",13.0,"Bug",307.29556
"TISTUD-8605",3.0,"Improvement",698.4
"TISTUD-8603",5.0,"Bug",104.94722
"TISTUD-8600",3.0,"Bug",49.23194
"TISTUD-8598",5.0,"Improvement",190.2925
"TISTUD-8597",5.0,"Bug",31.18556
"TISTUD-8596",3.0,"Bug",983.15083
"TISTUD-8594",5.0,"Bug",226.31139
"TISTUD-8591",3.0,"Improvement",146.59278
"TISTUD-8588",5.0,"Bug",5.37278
"TISTUD-8584",3.0,"Bug",140.05111
"TISTUD-8580",5.0,"Bug",60.69611
"TISTUD-8579",8.0,"Improvement",187.49056
"TISTUD-8577",3.0,"Bug",0.22194
"TISTUD-8573",3.0,"Bug",0.04778
"TISTUD-8572",3.0,"Bug",0.55833
"TISTUD-8571",3.0,"Bug",575.545
"TISTUD-8570",3.0,"Improvement",27.64833
"TISTUD-8569",3.0,"Bug",6.77778
"TISTUD-8566",5.0,"Bug",27.15028
"TISTUD-8563",8.0,"Improvement",26.6875
"TISTUD-8561",5.0,"Bug",23.73861
"TISTUD-8557",3.0,"Improvement",138.9975
"TISTUD-8556",3.0,"Bug",46.95806
"TISTUD-8554",5.0,"Bug",299.69556
"TISTUD-8553",5.0,"Bug",94.30833
"TISTUD-8551",5.0,"Bug",486.02167
"TISTUD-8547",8.0,"Improvement",116.9875
"TISTUD-8541",3.0,"Bug",0.34333
"TISTUD-8540",3.0,"Bug",0.58472
"TISTUD-8538",3.0,"Improvement",705.46417
"TISTUD-8536",5.0,"Improvement",0.02944
"TISTUD-8531",3.0,"Story",15.93111
"TISTUD-8530",3.0,"Improvement",47.19667
"TISTUD-8529",2.0,"Bug",0.01139
"TISTUD-8527",5.0,"Bug",24.48778
"TISTUD-8526",3.0,"Bug",119.91556
"TISTUD-8524",5.0,"Improvement",45.90556
"TISTUD-8519",8.0,"New Feature",120.39639
"TISTUD-8516",2.0,"Bug",0.06083
"TISTUD-8509",5.0,"Improvement",144.92972
"TISTUD-8506",3.0,"Bug",0.04639
"TISTUD-8502",5.0,"Bug",0.00639
"TISTUD-8495",1.0,"Bug",0.03444
"TISTUD-8492",8.0,"New Feature",265.14944
"TISTUD-8490",5.0,"Bug",7.90889
"TISTUD-8477",3.0,"Bug",22.5475
"TISTUD-8476",3.0,"Bug",0.01694
"TISTUD-8475",5.0,"Bug",1.75472
"TISTUD-8474",5.0,"Bug",12.215
"TISTUD-8473",5.0,"Bug",26.40944
"TISTUD-8472",5.0,"Bug",742.13306
"TISTUD-8471",3.0,"Bug",67.61861
"TISTUD-8467",5.0,"Improvement",235.31167
"TISTUD-8466",5.0,"Improvement",140.29583
"TISTUD-8465",3.0,"Bug",1.07389
"TISTUD-8464",5.0,"Bug",3.89167
"TISTUD-8462",5.0,"Bug",142.73667
"TISTUD-8461",5.0,"Story",0.70917
"TISTUD-8460",3.0,"Bug",24.29139
"TISTUD-8459",3.0,"Improvement",70.96778
"TISTUD-8458",3.0,"Bug",0.10889
"TISTUD-8454",5.0,"Story",0.01306
"TISTUD-8453",3.0,"Bug",1.68417
"TISTUD-8451",3.0,"Bug",2.00639
"TISTUD-8447",5.0,"Improvement",27.46
"TISTUD-8026",5.0,"Bug",23.63361
"TISTUD-8023",3.0,"Bug",0.02
"TISTUD-8019",5.0,"Bug",147.78722
"TISTUD-8018",8.0,"Bug",28.11361
"TISTUD-8015",5.0,"Bug",21.30861
"TISTUD-8012",5.0,"Improvement",54.89472
"TISTUD-8010",8.0,"New Feature",145.28722
"TISTUD-8009",8.0,"New Feature",2.5425
"TISTUD-8003",5.0,"Improvement",24.37972
"TISTUD-7997",5.0,"Bug",0.04111
"TISTUD-7991",3.0,"Bug",0.04722
"TISTUD-7984",5.0,"Bug",917.59722
"TISTUD-7982",5.0,"Bug",4.68083
"TISTUD-7981",13.0,"New Feature",844.84278
"TISTUD-7979",3.0,"Improvement",0.03278
"TISTUD-7974",3.0,"Bug",0.07
"TISTUD-7972",5.0,"Bug",5.20611
"TISTUD-7971",3.0,"Bug",4.20194
"TISTUD-7965",3.0,"Bug",120.41611
"TISTUD-7961",3.0,"Bug",0.025
"TISTUD-7960",5.0,"Improvement",0.00361
"TISTUD-7956",5.0,"Bug",0.20667
"TISTUD-7952",5.0,"Bug",85.59028
"TISTUD-7946",8.0,"Improvement",143.82333
"TISTUD-7942",3.0,"Bug",0.36861
"TISTUD-7916",3.0,"Bug",0.04861
"TISTUD-7911",5.0,"Bug",17.77083
"TISTUD-7910",1.0,"Story",0.01306
"TISTUD-7905",5.0,"Bug",23.11056
"TISTUD-7900",5.0,"Bug",0.0025
"TISTUD-7899",2.0,"Bug",0.0025
"TISTUD-7883",5.0,"Bug",0.18194
"TISTUD-7879",3.0,"Bug",0.00333
"TISTUD-7871",5.0,"Bug",1.24889
"TISTUD-7855",5.0,"Bug",43.77389
"TISTUD-7852",1.0,"Improvement",0.28056
"TISTUD-7826",5.0,"Bug",1.61361
"TISTUD-7822",5.0,"Bug",0.145
"TISTUD-7804",8.0,"Bug",0.00222
"TISTUD-7800",5.0,"Bug",19.82417
"TISTUD-7799",5.0,"Bug",1.79139
"TISTUD-7796",5.0,"Bug",0.00111
"TISTUD-7791",5.0,"Bug",0.00167
"TISTUD-7784",5.0,"Bug",1.21417
"TISTUD-7783",5.0,"Bug",0.01278
"TISTUD-7782",5.0,"Improvement",114.88306
"TISTUD-7781",5.0,"Bug",18.40778
"TISTUD-7780",8.0,"Bug",197.36833
"TISTUD-7779",5.0,"Bug",0.55944
"TISTUD-7769",5.0,"Bug",1.4125
"TISTUD-7766",5.0,"Improvement",3.04806
"TISTUD-7763",8.0,"New Feature",2089.24556
"TISTUD-7762",8.0,"Bug",1.27639
"TISTUD-7756",3.0,"Improvement",70.52167
"TISTUD-7754",3.0,"Improvement",0.04306
"TISTUD-7747",8.0,"Bug",0.00194
"TISTUD-7743",5.0,"Bug",48.70972
"TISTUD-7741",8.0,"Bug",206.56222
"TISTUD-7740",3.0,"Bug",21.40111
"TISTUD-7732",3.0,"Bug",1.23944
"TISTUD-7730",3.0,"Improvement",0.7225
"TISTUD-7726",3.0,"Bug",1.21
"TISTUD-7725",5.0,"Bug",1.20944
"TISTUD-7723",5.0,"Improvement",16.55306
"TISTUD-7721",5.0,"Improvement",0.00444
"TISTUD-7719",3.0,"Bug",0.0325
"TISTUD-7717",8.0,"Improvement",342.43444
"TISTUD-7715",5.0,"Bug",2.81361
"TISTUD-7712",5.0,"Bug",194.12444
"TISTUD-7710",5.0,"Bug",0.0025
"TISTUD-7708",5.0,"Bug",0.00972
"TISTUD-7706",3.0,"Bug",4.76806
"TISTUD-7705",8.0,"Improvement",77.19444
"TISTUD-7704",13.0,"Story",24.1825
"TISTUD-7703",3.0,"New Feature",2.89639
"TISTUD-7691",3.0,"Bug",0.00389
"TISTUD-7684",3.0,"Bug",18.77917
"TISTUD-7683",3.0,"Bug",18.7575
"TISTUD-7682",3.0,"Improvement",0.77417
"TISTUD-7678",8.0,"New Feature",32.14194
"TISTUD-7673",3.0,"Bug",23.00667
"TISTUD-7663",5.0,"Improvement",94.60917
"TISTUD-7661",5.0,"Improvement",0.22972
"TISTUD-7659",5.0,"Bug",33.04139
"TISTUD-7653",3.0,"Bug",201.66611
"TISTUD-7652",5.0,"Bug",11.98861
"TISTUD-7642",3.0,"Bug",11.11278
"TISTUD-7641",5.0,"Bug",26.81111
"TISTUD-7639",3.0,"Bug",0.24167
"TISTUD-7637",2.0,"Bug",0.43694
"TISTUD-7632",5.0,"Bug",0.00722
"TISTUD-7624",5.0,"Bug",209.13556
"TISTUD-7622",13.0,"Bug",60.41028
"TISTUD-7617",5.0,"Improvement",21.68583
"TISTUD-7616",5.0,"Bug",20.82722
"TISTUD-7612",2.0,"Bug",0.06889
"TISTUD-7611",8.0,"Bug",0.00056
"TISTUD-7608",5.0,"Bug",54.31
"TISTUD-7607",5.0,"Bug",29.62972
"TISTUD-7606",3.0,"Bug",0.00583
"TISTUD-7605",5.0,"Bug",0.07361
"TISTUD-7604",5.0,"Bug",44.5875
"TISTUD-7597",3.0,"Bug",1.25917
"TISTUD-7591",5.0,"Bug",150.32417
"TISTUD-7584",5.0,"New Feature",63.87167
"TISTUD-7583",5.0,"New Feature",63.87028
"TISTUD-7581",8.0,"New Feature",63.86222
"TISTUD-7580",8.0,"New Feature",63.86111
"TISTUD-7579",8.0,"New Feature",63.86
"TISTUD-7578",5.0,"New Feature",63.85889
"TISTUD-7570",8.0,"Bug",2.1
"TISTUD-7569",8.0,"Bug",1687.84611
"TISTUD-7562",5.0,"Bug",22.04556
"TISTUD-7557",5.0,"New Feature",44.67944
