"issue_key","storypoints","issuetype","time_in_status"
"MESOS-9729",1.0,"Bug",0.0025
"MESOS-9727",1.0,"Bug",0.01111
"MESOS-9719",2.0,"Bug",5.42806
"MESOS-9715",3.0,"Task",0.06722
"MESOS-9711",1.0,"Bug",0.01194
"MESOS-9699",3.0,"Task",0.00722
"MESOS-9696",1.0,"Bug",0.84639
"MESOS-9694",3.0,"Task",0.00306
"MESOS-9692",2.0,"Bug",0.0025
"MESOS-9691",3.0,"Bug",0.49333
"MESOS-9688",3.0,"Bug",0.49944
"MESOS-9676",2.0,"Task",0.01111
"MESOS-9667",3.0,"Bug",22.02028
"MESOS-9661",1.0,"Bug",0.11917
"MESOS-9655",2.0,"Improvement",0.06694
"MESOS-9651",8.0,"Task",61.51833
"MESOS-9648",8.0,"Task",0.00333
"MESOS-9643",3.0,"Improvement",0.00639
"MESOS-9639",1.0,"Task",0.00528
"MESOS-9637",1.0,"Bug",0.02
"MESOS-9635",3.0,"Bug",113.885
"MESOS-9632",5.0,"Task",91.90111
"MESOS-9626",3.0,"Task",0.01361
"MESOS-9625",3.0,"Task",0.00889
"MESOS-9624",3.0,"Task",0.03694
"MESOS-9623",3.0,"Task",159.145
"MESOS-9622",5.0,"Task",246.02028
"MESOS-9621",1.0,"Bug",0.01361
"MESOS-9620",3.0,"Task",0.02889
"MESOS-9615",5.0,"Task",0.005
"MESOS-9613",3.0,"Improvement",1.55917
"MESOS-9612",5.0,"Bug",99.295
"MESOS-9610",3.0,"Bug",0.00639
"MESOS-9608",5.0,"Improvement",360.78806
"MESOS-9607",2.0,"Bug",0.00694
"MESOS-9605",2.0,"Bug",0.04028
"MESOS-9604",2.0,"Task",0.03167
"MESOS-9597",2.0,"Bug",0.0025
"MESOS-9596",5.0,"Task",436.50278
"MESOS-9582",2.0,"Bug",49.45806
"MESOS-9581",1.0,"Bug",0.13389
"MESOS-9578",1.0,"Task",0.00222
"MESOS-9574",2.0,"Bug",0.00306
"MESOS-9573",2.0,"Bug",0.00667
"MESOS-9571",3.0,"Task",119.28167
"MESOS-9570",5.0,"Task",145.83139
"MESOS-9568",2.0,"Bug",0.00861
