"issue_key","storypoints","issuetype","time_in_status"
"TIMOB-26360",5.0,"Bug",0.00194
"TIMOB-26357",13.0,"Improvement",291.68028
"TIMOB-26356",13.0,"Improvement",139.14028
"TIMOB-26355",13.0,"Improvement",0.00694
"TIMOB-26354",8.0,"New Feature",1014.845
"TIMOB-26344",5.0,"Bug",0.07306
"TIMOB-26341",3.0,"Bug",0.00361
"TIMOB-26340",13.0,"Improvement",3218.83944
"TIMOB-26333",5.0,"Bug",0.53389
"TIMOB-26331",13.0,"Improvement",289.51083
"TIMOB-26329",7.0,"Bug",0.00194
"TIMOB-26325",5.0,"Bug",0.1425
"TIMOB-26318",2.0,"Bug",63.58056
"TIMOB-26314",3.0,"Improvement",0.00222
"TIMOB-26313",2.0,"Bug",0.1175
"TIMOB-26311",8.0,"Improvement",0.2975
"TIMOB-26306",13.0,"Improvement",1.25972
"TIMOB-26295",1.0,"Bug",16.65056
"TIMOB-26285",1.0,"Bug",0.07833
"TIMOB-26278",2.0,"Improvement",0.01139
"TIMOB-26274",3.0,"Bug",40.16333
"TIMOB-26253",3.0,"Bug",0.37417
"TIMOB-26250",1.0,"Improvement",0.00222
"TIMOB-26249",7.0,"Bug",5.68139
"TIMOB-26242",5.0,"Bug",0.00972
"TIMOB-26240",1.0,"Improvement",1.47
"TIMOB-26227",8.0,"Story",27.1525
"TIMOB-26225",8.0,"Bug",27.48361
"TIMOB-26222",3.0,"Bug",147.55333
"TIMOB-26218",1.0,"Improvement",1.19944
"TIMOB-26217",1.0,"Bug",2.34889
"TIMOB-26211",5.0,"Bug",0.05833
"TIMOB-26210",8.0,"Improvement",69.83972
"TIMOB-26209",5.0,"Bug",3.16722
"TIMOB-26207",1.0,"Bug",0.06722
"TIMOB-26206",1.0,"Bug",0.0025
"TIMOB-26205",1.0,"Bug",0.00278
"TIMOB-26184",1.0,"Bug",0.34833
"TIMOB-26182",3.0,"Bug",0.18694
"TIMOB-26181",3.0,"Bug",0.05472
"TIMOB-26179",3.0,"Bug",0.00361
"TIMOB-26177",8.0,"Bug",4.33472
"TIMOB-26173",3.0,"Improvement",0.36111
"TIMOB-26172",3.0,"Bug",0.645
"TIMOB-26167",3.0,"Bug",1.00083
"TIMOB-26161",5.0,"Bug",0.00528
"TIMOB-26159",8.0,"Bug",29.44583
"TIMOB-26158",8.0,"Bug",0.18222
"TIMOB-26152",8.0,"Bug",0.92278
"TIMOB-26151",2.0,"Bug",119.25889
"TIMOB-26150",13.0,"Bug",72.20778
"TIMOB-26149",3.0,"Bug",0.05722
"TIMOB-26144",5.0,"Improvement",0.89528
"TIMOB-26141",3.0,"Bug",6.73778
"TIMOB-26140",13.0,"Story",0.01472
"TIMOB-26139",13.0,"Bug",34.74056
"TIMOB-26137",8.0,"Story",0.72944
"TIMOB-26131",3.0,"Bug",0.00389
"TIMOB-26130",3.0,"Bug",0.05056
"TIMOB-26128",3.0,"Improvement",54.81056
"TIMOB-26127",5.0,"Bug",2.08417
"TIMOB-26126",2.0,"Bug",0.07333
"TIMOB-26124",1.0,"Bug",81.48528
"TIMOB-26123",21.0,"Improvement",26.95083
"TIMOB-26121",5.0,"Bug",0.00306
"TIMOB-26120",13.0,"Improvement",46.68778
"TIMOB-26117",5.0,"Bug",18.50889
"TIMOB-26115",5.0,"New Feature",26.34167
"TIMOB-26113",3.0,"Bug",0.03139
"TIMOB-26109",3.0,"Bug",0.06056
"TIMOB-26108",1.0,"Bug",0.00083
"TIMOB-26106",3.0,"Story",0.21667
"TIMOB-26102",5.0,"Improvement",0.01417
"TIMOB-26097",3.0,"Bug",50.27583
"TIMOB-26090",1.0,"Improvement",18.21056
"TIMOB-26089",8.0,"Improvement",184.03278
"TIMOB-26086",13.0,"Bug",96.72139
"TIMOB-26085",5.0,"Bug",0.0025
"TIMOB-26081",5.0,"Bug",0.34306
"TIMOB-26080",5.0,"Bug",0.34444
"TIMOB-26078",3.0,"New Feature",0.00306
"TIMOB-26077",5.0,"Bug",0.00528
"TIMOB-26075",13.0,"Improvement",390.11556
"TIMOB-26067",8.0,"New Feature",0.0025
"TIMOB-26066",8.0,"Improvement",141.56889
"TIMOB-26063",3.0,"Story",0.24444
"TIMOB-26055",3.0,"Bug",1.70722
