"collab_betweenness","collab_closeness","collab_clustering_coeff","collab_eigen_vector","collab_in_degree","collab_kcore","collab_out_degree","collab_total_degree","issue_key","reporter"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DM-18758","gdaues"
0.1737891737891738,0.18518518518518517,0.0,0.3273297238852743,5.0,2.0,25.0,30.0,"DM-18754","tjenness"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DM-18752","gdaues"
0.2625,0.8125,0.0,0.5345250342326386,13.0,2.0,5.0,18.0,"DM-18750","rowen"
0.25,0.75,0.0,0.0,3.0,1.0,1.0,4.0,"DM-18748","mgower"
0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,"DM-18743","gapon"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18740","athornton"
0.3076923076923077,0.38461538461538464,0.0,0.4082496832688457,5.0,2.0,10.0,15.0,"DM-18733","fritzm"
0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,"DM-18730","ttsai"
0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,"DM-18729","ttsai"
0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,"DM-18728","ttsai"
0.3,0.3333333333333333,0.0,0.40825002085140305,2.0,2.0,5.0,7.0,"DM-18727","ebellm"
0.3076923076923077,0.38461538461538464,0.0,0.4082496832688457,5.0,2.0,10.0,15.0,"DM-18726","fritzm"
0.16666666666666666,0.8333333333333334,0.0,0.0,5.0,1.0,1.0,6.0,"DM-18716","hchiang2"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18712","athornton"
0.1737891737891738,0.18518518518518517,0.0,0.3273297238852743,5.0,2.0,25.0,30.0,"DM-18708","tjenness"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"DM-18705","spietrowicz"
0.0,1.0,0.0,0.0,8.0,1.0,0.0,8.0,"DM-18704","jammes"
0.25,0.75,0.0,0.0,3.0,1.0,1.0,4.0,"DM-18696","jhoblitt"
0.49242424242424243,0.5833333333333334,0.0,0.5773497225278882,7.0,2.0,10.0,17.0,"DM-18690","gpdf"
0.3076923076923077,0.38461538461538464,0.0,0.4082496832688457,5.0,2.0,10.0,15.0,"DM-18689","fritzm"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"DM-18686","spietrowicz"
0.1737891737891738,0.18518518518518517,0.0,0.3273297238852743,5.0,2.0,25.0,30.0,"DM-18679","tjenness"
0.1737891737891738,0.18518518518518517,0.0,0.3273297238852743,5.0,2.0,25.0,30.0,"DM-18678","tjenness"
0.35000000000000003,0.4,0.0,0.4472154152220585,2.0,2.0,4.0,6.0,"DM-18672","gcomoretto"
0.2625,0.8125,0.0,0.5345250342326386,13.0,2.0,5.0,18.0,"DM-18671","rowen"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18668","ccontaxis"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18663","cpond"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18662","cpond"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18660","cpond"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18659","cpond"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18658","cpond"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"DM-18656","spietrowicz"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18651","cpond"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18650","cpond"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18649","cpond"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18648","cpond"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"DM-18647","spietrowicz"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18646","cpond"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18645","athornton"
0.5,1.0,0.0,0.7071072307527888,2.0,2.0,1.0,3.0,"DM-18643","erykoff"
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,"DM-18641","aguyonnet"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18640","hwin16"
0.40909090909090906,0.5454545454545454,0.0,0.5222336070829979,6.0,2.0,8.0,14.0,"DM-18638","yusra"
0.5,1.0,0.0,0.7071072307527888,2.0,2.0,1.0,3.0,"DM-18635","erykoff"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18628","athornton"
0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,2.0,3.0,"DM-18627","afausti"
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,"DM-18626","aguyonnet"
0.2571428571428572,0.7333333333333333,0.0,0.4082526164591168,11.0,2.0,5.0,16.0,"DM-18622","krughoff"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18621","plazas"
0.25,0.75,0.0,0.0,3.0,1.0,1.0,4.0,"DM-18619","jhoblitt"
0.25,0.75,0.0,0.0,3.0,1.0,1.0,4.0,"DM-18618","jhoblitt"
0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,"DM-18616","spietrowicz"
0.43333333333333335,0.8333333333333334,0.0,0.6324561755430423,5.0,2.0,3.0,8.0,"DM-18605","ecoughlin"
0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1.0,2.0,3.0,"DM-18603","afausti"
0.43333333333333335,0.8333333333333334,0.0,0.6324561755430423,5.0,2.0,3.0,8.0,"DM-18596","ecoughlin"
0.43333333333333335,0.8333333333333334,0.0,0.6324561755430423,5.0,2.0,3.0,8.0,"DM-18595","ecoughlin"
0.41666666666666663,0.75,0.0,0.5773510033289818,3.0,2.0,2.0,5.0,"DM-18591","tatianag"
0.42857142857142855,0.7142857142857143,0.0,0.5773509219020128,5.0,2.0,4.0,9.0,"DM-18589","tribeiro"
0.24583333333333332,0.75,0.0,0.40825268301357737,12.0,2.0,5.0,17.0,"DM-18588","krughoff"
0.1737891737891738,0.18518518518518517,0.0,0.3273297238852743,5.0,2.0,25.0,30.0,"DM-18577","tjenness"
0.1737891737891738,0.18518518518518517,0.0,0.3273297238852743,5.0,2.0,25.0,30.0,"DM-18576","tjenness"
0.19444444444444442,0.2222222222222222,0.0,0.0,2.0,1.0,7.0,9.0,"DM-18573","lauren"
0.26190476190476186,0.2857142857142857,0.0,0.3779661208094473,2.0,2.0,6.0,8.0,"DM-18570","npease"
0.26190476190476186,0.2857142857142857,0.0,0.3779661208094473,2.0,2.0,6.0,8.0,"DM-18569","npease"
0.26190476190476186,0.2857142857142857,0.0,0.3779661208094473,2.0,2.0,6.0,8.0,"DM-18568","npease"
0.19444444444444442,0.2222222222222222,0.0,0.0,2.0,1.0,7.0,9.0,"DM-18556","lauren"
0.24583333333333332,0.75,0.0,0.40825268301357737,12.0,2.0,5.0,17.0,"DM-18553","krughoff"
0.19444444444444442,0.7777777777777778,0.0,0.0,7.0,1.0,2.0,9.0,"DM-18552","mfisherlevine"
0.36666666666666664,0.5,0.0,0.44721496029086083,3.0,2.0,4.0,7.0,"DM-18548","dmills"
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,"DM-18547","ccontaxis"
0.475,0.625,0.0,0.5773513211141927,10.0,2.0,12.0,22.0,"DM-18544","parejkoj"
0.38888888888888884,0.5555555555555556,0.0,0.5000015352466183,5.0,2.0,6.0,11.0,"DM-18542","womullan"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18540","hwin16"
0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,"DM-18537","athornton"
