"issue_key","reporter","collab_total_degree","collab_in_degree","collab_out_degree","collab_kcore","collab_clustering_coeff","collab_closeness","collab_betweenness","collab_eigen_vector"
"USERGRID-1268","djohnson",9.0,5.0,4.0,2.0,0.0,0.625,0.33928571428571425,0.4472154152229263
"USERGRID-1267","djohnson",9.0,5.0,4.0,2.0,0.0,0.625,0.33928571428571425,0.4472154152229263
"USERGRID-1256","mrusso",12.0,2.0,10.0,2.0,0.0,0.18181818181818182,0.17272727272727273,0.30151413290266416
"USERGRID-1239","greyes",5.0,3.0,2.0,1.0,0.0,0.6,0.30000000000000004,0.0
"USERGRID-1211","mrusso",13.0,3.0,10.0,2.0,0.0,0.2727272727272727,0.2545454545454545,0.4082499191758572
"USERGRID-1210","greyes",7.0,3.0,4.0,2.0,0.0,0.5,0.36666666666666664,0.44721496029086083
"USERGRID-1203","mrusso",13.0,3.0,10.0,2.0,0.0,0.2727272727272727,0.2545454545454545,0.4082499191758572
"USERGRID-1191","jeffreyawest",9.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1187","greyes",7.0,3.0,4.0,2.0,0.0,0.5,0.36666666666666664,0.44721496029086083
"USERGRID-1182","mrusso",14.0,3.0,11.0,2.0,0.0,0.25,0.23484848484848486,0.3922338591666111
"USERGRID-1124","mrusso",14.0,3.0,11.0,2.0,0.0,0.25,0.23484848484848486,0.3922338591666111
"USERGRID-1119","djohnson",13.0,8.0,5.0,2.0,0.0,0.7272727272727273,0.34545454545454546,0.5345233660942814
"USERGRID-1118","djohnson",13.0,8.0,5.0,2.0,0.0,0.7272727272727273,0.34545454545454546,0.5345233660942814
"USERGRID-1115","djohnson",13.0,8.0,5.0,2.0,0.0,0.7272727272727273,0.34545454545454546,0.5345233660942814
"USERGRID-1113","djohnson",13.0,8.0,5.0,2.0,0.0,0.7272727272727273,0.34545454545454546,0.5345233660942814
"USERGRID-1106","djohnson",13.0,8.0,5.0,2.0,0.0,0.7272727272727273,0.34545454545454546,0.5345233660942814
"USERGRID-1101","jeffreyawest",12.0,9.0,3.0,2.0,0.0,0.9,0.2777777777777778,0.6324564568355433
"USERGRID-1100","jeffreyawest",12.0,9.0,3.0,2.0,0.0,0.9,0.2777777777777778,0.6324564568355433
"USERGRID-1099","djohnson",13.0,8.0,5.0,2.0,0.0,0.7272727272727273,0.34545454545454546,0.5345233660942814
"USERGRID-1091","mrusso",14.0,3.0,11.0,2.0,0.0,0.25,0.23484848484848486,0.3922338591666111
"USERGRID-1079","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1077","greyes",10.0,4.0,6.0,2.0,0.0,0.5,0.39285714285714285,0.5000012125355154
"USERGRID-1076","greyes",10.0,4.0,6.0,2.0,0.0,0.5,0.39285714285714285,0.5000012125355154
"USERGRID-1075","greyes",10.0,4.0,6.0,2.0,0.0,0.5,0.39285714285714285,0.5000012125355154
"USERGRID-1074","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1073","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1072","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1071","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1069","safeldm",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-1068","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1067","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1058","djohnson",13.0,8.0,5.0,2.0,0.0,0.7272727272727273,0.34545454545454546,0.5345233660942814
"USERGRID-1052","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1051","jeffreyawest",12.0,9.0,3.0,2.0,0.0,0.9,0.2777777777777778,0.6324564568355433
"USERGRID-1048","tnine",3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
"USERGRID-1038","safeldm",3.0,1.0,2.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0
"USERGRID-1035","greyes",12.0,6.0,6.0,2.0,0.0,0.6666666666666666,0.4583333333333333,0.5773509169792526
