"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14"
"XD-928",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8371714353561401,0.0,0.12669000029563904,0.0
"XD-3178",False,"train",0.0,0.15708713233470917,0.0,0.0,0.0,0.0,0.0,0.16519992053508759,0.0,0.0,0.21151478588581085,0.0,0.0,0.1611662060022354,0.2913477420806885
"XD-110",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08712151646614075,0.0,0.0,0.0,0.0,0.8817275166511536,0.0
"XD-921",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9267382621765137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-2794",False,"train",0.0,0.0,0.0,0.6383911371231079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32030820846557617,0.0
"XD-713",False,"train",0.01113430317491293,0.011134279891848564,0.011134279891848564,0.011134282685816288,0.011134282685816288,0.011134269647300243,0.011134271509945393,0.011134272441267967,0.011134288273751736,0.011134310625493526,0.011134291999042034,0.01113429106771946,0.011134273372590542,0.8441200256347656,0.011134288273751736
"XD-1135",False,"train",0.0,0.0,0.0,0.2572533190250397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995446503162384,0.0,0.0,0.21556545794010162
"XD-2147",False,"train",0.0,0.6830512881278992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26878589391708374,0.0,0.0
"XD-3282",False,"train",0.013339821249246597,0.013339834287762642,0.013339831493794918,0.013339838944375515,0.19390267133712769,0.013339831493794918,0.013339821249246597,0.013339821249246597,0.013339883647859097,0.013339822180569172,0.013339824043214321,0.013339822180569172,0.013339824043214321,0.6326794624328613,0.013339853845536709
"XD-420",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.5316414833068848,0.0,0.0,0.0,0.0,0.0,0.0,0.4141588509082794,0.0
"XD-3461",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13325320184230804,0.0,0.0,0.0,0.0,0.0,0.8329960703849792,0.0
"XD-2723",False,"train",0.665235698223114,0.0,0.2727506756782532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"XD-1303",False,"train",0.0,0.0,0.0,0.21431155502796173,0.0,0.0,0.0,0.4534558653831482,0.0,0.0,0.0,0.0,0.0,0.24332283437252045,0.0
"XD-1199",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060120560228824615,0.0,0.051924124360084534,0.18215696513652802,0.6910937428474426
"XD-1695",False,"train",0.0,0.21717365086078644,0.0,0.0,0.058587223291397095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7023411393165588,0.0
"XD-1823",False,"train",0.0,0.0,0.0,0.6299487352371216,0.0,0.0,0.0,0.13810166716575623,0.0,0.0,0.0,0.0,0.0,0.21374379098415375,0.0
"XD-1995",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2866135835647583,0.0,0.0,0.6834834814071655,0.0,0.0,0.0,0.0
"XD-3202",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3980039954185486,0.0,0.18641500174999237,0.0,0.3834758996963501
"XD-1350",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9725301861763
"XD-215",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947870671749115,0.0
