"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14"
"USERGRID-542",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9575741291046143,0.0,0.0,0.0
"USERGRID-759",False,"train",0.0,0.9416646361351013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-539",False,"train",0.9626650810241699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-647",False,"train",0.0,0.37267279624938965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6242424845695496,0.0,0.0
"USERGRID-687",False,"train",0.011111941188573837,0.011111942119896412,0.011111943982541561,0.011111940257251263,0.011111940257251263,0.8444327712059021,0.011111942119896412,0.011111941188573837,0.011111949570477009,0.011111944913864136,0.01111199613660574,0.011111940257251263,0.011111940257251263,0.011111940257251263,0.011111940257251263
"USERGRID-778",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9450949430465698,0.0,0.0
"USERGRID-882",False,"train",0.011112523265182972,0.011112505570054054,0.011112500913441181,0.011112496256828308,0.011112482286989689,0.011112522333860397,0.011112512089312077,0.011112498119473457,0.011112571693956852,0.8444249033927917,0.011112488806247711,0.011112482286989689,0.011112486012279987,0.011112500913441181,0.011112482286989689
"USERGRID-1022",False,"train",0.013334047049283981,0.01333403680473566,0.013334025628864765,0.013334007933735847,0.013334200717508793,0.013334042392671108,0.013334015384316444,0.013334030285477638,0.013334032148122787,0.013334007933735847,0.013334017246961594,0.013334029354155064,0.013334009796380997,0.813323438167572,0.013334029354155064
"USERGRID-1091",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555543661117554,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-707",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973331868648529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-532",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666572570800781
"USERGRID-686",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963107705116272,0.0,0.0,0.0,0.0,0.0
"USERGRID-678",False,"train",0.0,0.0,0.0,0.0,0.9066575169563293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-1077",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914363026618958,0.0,0.0
"USERGRID-448",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827152490615845,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-612",False,"train",0.02222319506108761,0.02222319506108761,0.02222319506108761,0.02222319506108761,0.02222319506108761,0.02222326397895813,0.02222319506108761,0.0222232174128294,0.6888751983642578,0.022223223000764847,0.02222319506108761,0.02222319506108761,0.02222319506108761,0.02222319506108761,0.02222319506108761
"USERGRID-941",False,"train",0.0,0.0,0.0,0.0,0.8833215832710266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-419",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9754369854927063,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-687",False,"train",0.011111941188573837,0.011111942119896412,0.011111943982541561,0.011111940257251263,0.011111940257251263,0.8444327712059021,0.011111942119896412,0.011111941188573837,0.011111949570477009,0.011111944913864136,0.01111199613660574,0.011111940257251263,0.011111940257251263,0.011111940257251263,0.011111940257251263
"USERGRID-1005",False,"train",0.011111927218735218,0.011111942119896412,0.011111918836832047,0.011111913248896599,0.011111927218735218,0.844433069229126,0.011111916042864323,0.011111944913864136,0.01111195981502533,0.011111915111541748,0.011111924424767494,0.011111922562122345,0.011111916974186897,0.011111916974186897,0.011111918836832047
"USERGRID-861",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9575737714767456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-405",True,"train",0.9851834177970886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-1091",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555543661117554,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-720",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9533320069313049
"USERGRID-709",False,"train",0.0,0.0,0.0,0.0,0.0,0.8833202123641968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-669",False,"train",0.011111701838672161,0.011111677624285221,0.011111668311059475,0.011111663654446602,0.011111696250736713,0.011111685074865818,0.011111677624285221,0.011111682280898094,0.011111668311059475,0.0111116673797369,0.011111675761640072,0.011111671105027199,0.01111169345676899,0.8444364666938782,0.011111682280898094
"USERGRID-697",False,"train",0.011112627573311329,0.01111262384802103,0.011112631298601627,0.011112627573311329,0.011112647131085396,0.011112624779343605,0.8444231748580933,0.01111262384802103,0.01111262384802103,0.01111262571066618,0.01111262384802103,0.011112624779343605,0.011112633161246777,0.011112627573311329,0.011112627573311329
"USERGRID-618",False,"train",0.013333955779671669,0.013333956710994244,0.013333961367607117,0.013333956710994244,0.013333948329091072,0.013333955779671669,0.013333943672478199,0.013333944603800774,0.013333996757864952,0.013333951123058796,0.013333943672478199,0.013333944603800774,0.013333946466445923,0.013333944603800774,0.8133246302604675
"USERGRID-511",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967814564704895,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-641",False,"train",0.0,0.0,0.0,0.0,0.0,0.9281991124153137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-1048",False,"train",0.0,0.0,0.9747738838195801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-216",False,"train",0.9797047972679138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-578",False,"train",0.013334303162992,0.013334316201508045,0.013334303162992,0.013334304094314575,0.013334304094314575,0.013334307819604874,0.013334303162992,0.013334308750927448,0.8133196830749512,0.013334303162992,0.013334310613572598,0.013334303162992,0.013334303162992,0.0133343655616045,0.013334303162992
