"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"USERGRID-900","Bug","2015-08-04T00:04:50.000+0000",52,-19.503,19.0,58.40909090909091,22.8114,25.63254545454545,24.7675,15.84523257866513
"USERGRID-898","Story","2015-07-28T23:50:27.000+0000",13,60.705,4.8,28.666666666666668,7.7733,8.120000000000001,11.15,3.0
"USERGRID-895","Story","2015-07-28T20:20:17.000+0000",12,80.3064,4.4,38.27272727272727,4.7909,6.7636363636363654,9.8518,3.0
"USERGRID-894","Story","2015-07-28T20:20:11.000+0000",11,86.705,4.0,40.0,3.65,7.5909999999999975,11.239,3.0
"USERGRID-893","Story","2015-07-28T20:19:54.000+0000",14,83.0092,5.2,36.07692307692308,4.9108,8.25769230769231,10.8892,3.0
"USERGRID-892","Story","2015-07-28T20:19:38.000+0000",14,83.0092,5.2,36.07692307692308,4.9108,6.808461538461536,9.0769,3.0
"USERGRID-891","Story","2015-07-28T20:19:16.000+0000",10,56.7,3.6,42.333333333333336,7.5867,9.760000000000002,14.2433,3.0
"USERGRID-890","Story","2015-07-28T20:19:00.000+0000",13,60.705,4.8,53.666666666666664,7.7733,10.475000000000001,14.095,3.0
"USERGRID-889","Story","2015-07-28T20:18:45.000+0000",12,64.9245,4.4,56.45454545454545,6.9364,11.045454545454547,15.2064,3.0
"USERGRID-882","Story","2015-07-28T17:22:50.000+0000",7,73.845,2.4,22.666666666666668,4.45,3.5500000000000007,6.6867,3.0
"USERGRID-880","Story","2015-07-27T16:20:33.000+0000",17,20.38,13.8588,40.529411764705884,14.64,12.559411764705885,14.3106,12.486832980505138
"USERGRID-878","Story","2015-07-23T16:24:55.000+0000",6,-102.8,10.0,65.0,28.84,23.46,31.21,8.477225575051662
"USERGRID-877","Story","2015-07-23T15:04:39.000+0000",25,60.3633,15.2444,52.925925925925924,11.5474,14.398888888888884,11.0119,12.486832980505138
"USERGRID-876","Story","2015-07-22T21:00:59.000+0000",10,60.705,8.1333,45.333333333333336,7.7733,8.5125,11.6408,8.477225575051662
"USERGRID-869","Story","2015-07-20T18:01:35.000+0000",40,-11.5575,13.9667,47.416666666666664,17.8525,31.866249999999994,40.8454,12.082951062292475
"USERGRID-861","Story","2015-07-15T20:49:04.000+0000",44,56.1575,17.0,46.94444444444444,11.0161,11.800000000000004,10.3533,14.61895003862225
"USERGRID-860","Story","2015-07-15T20:00:24.000+0000",24,45.4721,14.0571,42.285714285714285,13.8729,20.83,18.4686,10.745966692414834
"USERGRID-851","Story","2015-07-14T21:03:01.000+0000",73,31.1565,21.9333,66.83333333333333,18.2297,21.435200000000002,13.5568,16.96424004376894
"USERGRID-840","Story","2015-07-13T16:15:58.000+0000",70,29.1613,19.5963,54.470319634703195,15.237,14.673789954337899,12.9012,16.41640786499874
"USERGRID-788","Story","2015-07-08T15:51:57.000+0000",314,76.5213,10.5277,33.80423767848917,5.7775,7.725172731460159,10.2919,10.205766921228921
"USERGRID-780","Story","2015-07-02T16:58:39.000+0000",14,-12.8321,22.7429,64.0,18.5271,19.212857142857146,24.1286,16.41640786499874
"USERGRID-779","Story","2015-07-02T16:56:46.000+0000",8,103.0443,2.8,35.57142857142857,0.6257,7.6385714285714315,11.8886,3.0
"USERGRID-778","Bug","2015-07-01T20:42:02.000+0000",25,42.716,14.8,61.0,13.512,14.0548,11.7432,12.486832980505138
"USERGRID-777","Bug","2015-07-01T20:39:36.000+0000",9,40.09,13.2,45.5,9.655,7.297499999999999,11.3725,10.745966692414834
"USERGRID-766","Story","2015-06-23T22:31:19.000+0000",27,50.2855,16.8364,60.27272727272727,14.4436,18.619999999999997,12.7409,12.486832980505138
"USERGRID-760","Story","2015-06-19T15:36:11.000+0000",28,9.215,16.9143,56.57142857142857,18.93,24.19428571428572,22.6757,13.954451150103322
"USERGRID-759","Bug","2015-06-17T23:09:24.000+0000",25,52.868,10.0,41.0,12.096,16.503999999999998,14.806,3.0
"USERGRID-757","Bug","2015-06-17T15:18:52.000+0000",10,-65.575,28.0,60.0,24.89,25.018,33.032,16.41640786499874
"USERGRID-752","Story","2015-06-15T17:21:26.000+0000",107,73.0524,12.1283,39.092731829573935,7.1158,9.14733082706767,10.4129,11.28078671210825
"USERGRID-751","Story","2015-06-15T16:44:41.000+0000",101,36.8633,18.9481,50.14814814814815,14.8252,16.710277777777783,13.9023,15.84523257866513
"USERGRID-748","Bug","2015-06-11T22:46:08.000+0000",32,64.4693,13.8727,40.74242424242424,8.3662,10.798181818181817,12.3673,12.486832980505138
"USERGRID-746","Story","2015-06-11T17:33:05.000+0000",7,-24.855,15.7333,72.66666666666667,18.2167,20.82,28.2833,10.745966692414834
"USERGRID-745","Bug","2015-06-11T17:28:12.000+0000",4,-21.81,14.5333,69.66666666666667,17.0467,17.75,21.32,8.477225575051662
"USERGRID-744","Bug","2015-06-11T17:25:20.000+0000",3,-133.595,0.8,52.0,32.39,36.089999999999996,39.88,3.0
"USERGRID-739","Story","2015-06-09T22:31:26.000+0000",83,28.2407,23.9429,68.19047619047619,19.7543,21.774285714285718,11.2529,18.0
"USERGRID-729","Bug","2015-06-08T03:29:36.000+0000",32,36.88,14.05,44.5,16.065,19.591875,14.5531,8.477225575051662
