"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"MDL-52741","Improvement","2016-01-13T13:02:52.000+0000",49,48.2466,19.6118,54.91176470588235,12.8648,14.408235294117652,11.8961,16.41640786499874
"MDL-52714","Task","2016-01-11T15:08:42.000+0000",34,60.1918,13.8588,46.41176470588235,9.0871,12.005294117647061,13.6176,12.486832980505138
"MDL-52713","Task","2016-01-11T15:07:23.000+0000",29,52.0899,15.4552,38.63793103448276,9.596,10.83172413793104,13.409,13.246950765959598
"MDL-52712","Task","2016-01-11T14:05:39.000+0000",75,80.3702,9.3169,36.11282051282051,5.9248,10.040769230769232,11.8779,9.0
"MDL-52711","Task","2016-01-11T14:03:45.000+0000",68,50.599,14.4239,44.510563380281695,10.6114,15.04161971830986,17.0203,12.874208829065749
"MDL-52710","Task","2016-01-11T14:01:51.000+0000",75,80.3702,10.8554,36.11282051282051,5.9248,9.799230769230771,11.5759,10.348469228349535
"MDL-52709","Task","2016-01-11T13:57:55.000+0000",70,42.0481,14.5686,43.17837837837838,11.0712,16.839594594594594,20.7764,12.797958971132712
"MDL-52676","Task","2016-01-07T15:45:49.000+0000",15,-5.79,16.6667,61.666666666666664,17.7933,19.354,23.8227,13.954451150103322
"MDL-52675","Task","2016-01-07T15:44:44.000+0000",54,30.6486,28.1143,81.0,22.8964,29.86767857142857,12.7987,18.491933384829668
"MDL-52561","Improvement","2015-12-18T22:32:44.000+0000",61,60.766,17.4459,50.17213114754098,12.3607,14.358688524590164,8.9007,13.954451150103322
"MDL-52432","Task","2015-12-07T19:10:18.000+0000",44,76.8323,11.5273,37.90909090909091,8.0082,9.05227272727273,7.1995,9.70820393249937
"MDL-52426","Task","2015-12-07T14:44:58.000+0000",33,57.9764,18.0485,54.21212121212121,13.3709,18.619999999999997,12.7409,13.954451150103322
"MDL-52424","Bug","2015-12-07T12:22:02.000+0000",51,97.4719,10.4,35.61538461538461,6.1231,9.957115384615385,6.0398,3.0
"MDL-52418","Bug","2015-12-05T03:34:59.000+0000",32,16.1075,21.4,66.0,14.9875,17.0378125,20.4259,16.41640786499874
"MDL-52282","Task","2015-11-24T14:51:10.000+0000",54,75.765,10.9037,38.37037037037037,7.1633,9.11388888888889,9.4746,10.071067811865476
"MDL-52272","Bug","2015-11-23T18:32:27.000+0000",40,85.7825,11.9532,44.77659574468085,7.1324,10.863617021276596,8.6138,9.70820393249937
"MDL-52242","Bug","2015-11-20T12:08:51.000+0000",476,48.5271,17.0437,57.71556550951848,12.6361,25.94274020156775,26.7612,14.516578439248716
"MDL-52235","Bug","2015-11-20T01:03:36.000+0000",46,58.8582,22.7529,68.64705882352942,17.7196,26.881176470588237,12.1378,12.486832980505138
"MDL-52233","Improvement","2015-11-20T00:00:09.000+0000",115,53.9006,20.8986,60.94202898550725,15.2643,19.730318840579713,10.9211,15.649110640673518
"MDL-52229","Bug","2015-11-19T19:52:42.000+0000",280,59.5697,14.4718,44.541811846689896,10.0433,11.943310104529623,11.653,12.819805060619657
"MDL-52122","Task","2015-11-13T18:19:20.000+0000",125,52.9942,16.3458,45.55208333333333,11.1675,12.013932291666663,11.2774,14.180339887498949
"MDL-52106","Bug","2015-11-12T15:57:14.000+0000",108,58.0974,15.6706,43.76376146788991,11.9256,12.720229357798168,8.7665,12.874208829065749
"MDL-52104","Improvement","2015-11-12T08:05:36.000+0000",118,60.7506,16.5935,49.54838709677419,12.4871,16.214596774193545,10.9248,12.874208829065749
"MDL-52062","Bug","2015-11-09T13:50:07.000+0000",32,60.6738,14.05,47.625,12.7462,15.323437500000004,9.2153,8.477225575051662
"MDL-52051","Task","2015-11-06T19:17:01.000+0000",58,63.32,12.8444,40.04761904761905,9.6444,14.563809523809525,14.6522,11.366600265340756
"MDL-51968","Task","2015-10-29T14:40:29.000+0000",39,69.904,12.9282,37.44871794871795,8.3535,8.850769230769227,8.3359,11.660254037844387
"MDL-51963","Improvement","2015-10-29T13:17:15.000+0000",73,58.1339,16.3087,46.25114155251141,11.1959,12.609132420091328,10.3193,13.954451150103322
"MDL-51962","Bug","2015-10-29T13:14:22.000+0000",20,46.945,16.0,45.0,11.68,13.2975,13.6225,13.954451150103322
"MDL-51953","Bug","2015-10-29T04:56:10.000+0000",43,-17.8147,28.3628,82.53488372093022,26.4265,36.216511627906975,28.7047,21.973665961010276
"MDL-51942","Bug","2015-10-28T10:59:53.000+0000",36,32.99,23.0,65.0,18.595,23.17975,14.2252,17.491376746189438
"MDL-51870","Task","2015-10-22T18:47:31.000+0000",50,50.6983,15.3481,55.03703703703704,10.6596,16.96388888888889,19.2913,13.488088481701515
"MDL-51869","Task","2015-10-22T18:31:55.000+0000",93,34.4825,19.6128,55.41489361702128,14.2878,16.37531914893617,15.5064,16.41640786499874
"MDL-51866","Task","2015-10-22T17:27:44.000+0000",44,44.1459,16.0727,51.54545454545455,12.5673,14.083409090909093,13.4911,13.954451150103322
"MDL-51862","Improvement","2015-10-22T14:55:56.000+0000",45,57.0151,12.2203,39.2463768115942,9.1161,11.322536231884058,13.6141,11.366600265340756
"MDL-51805","Bug","2015-10-16T17:45:22.000+0000",60,50.895,18.0,53.33333333333333,13.6133,15.471499999999999,10.5885,14.61895003862225
"MDL-51791","Bug","2015-10-15T15:25:56.000+0000",50,35.953,27.2,74.0,20.666,27.214199999999998,13.1678,19.431676725154983
"MDL-51758","Task","2015-10-14T12:15:28.000+0000",22,65.2959,17.8909,49.27272727272727,9.6173,12.049545454545452,10.9477,15.24744871391589
"MDL-51682","Improvement","2015-10-07T12:59:29.000+0000",89,65.465,17.7778,54.44444444444444,11.5811,14.71266666666667,9.6396,14.40175425099138
"MDL-51647","Task","2015-10-02T18:50:21.000+0000",47,64.2199,11.4313,34.70068027210884,8.3596,9.613809523809522,10.9718,10.745966692414834
"MDL-51646","Bug","2015-10-02T18:48:03.000+0000",173,83.5524,11.4386,37.292270531400966,6.6844,9.603254830917873,8.7574,10.071067811865476
"MDL-51644","Task","2015-10-02T18:29:55.000+0000",173,50.0169,18.4755,51.161141804788215,13.7772,16.39664825046041,11.6467,15.041594578792296
"MDL-51638","Bug","2015-10-02T17:18:52.000+0000",31,34.2363,21.55,63.25,16.4338,17.972812499999996,12.5284,17.491376746189438
"MDL-51602","New Feature","2015-09-30T03:21:16.000+0000",92,45.1333,17.756,46.5177304964539,10.8562,11.757163120567377,13.9909,14.61895003862225
