"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"TESB-24596","New Feature","2019-01-10T09:18:52.000-0600",67,62.4669,11.7202,47.61032863849765,10.4259,12.626572769953057,10.7232,9.32455532033676
"TESB-24409","New Feature","2018-12-12T07:38:32.000-0600",61,42.3921,14.8462,52.5,15.4204,18.15261538461538,12.4551,9.70820393249937
"TESB-22887","New Feature","2018-07-26T15:03:40.000-0500",11,103.005,4.8,45.333333333333336,1.8733,4.587499999999999,6.7325,3.0
"TESB-22886","New Feature","2018-07-26T15:02:16.000-0500",11,88.905,8.1333,37.0,3.84,4.587499999999999,6.7325,8.477225575051662
"TESB-22880","New Feature","2018-07-26T14:53:00.000-0500",8,92.965,3.2,33.0,2.28,3.7650000000000006,6.955,3.0
"TESB-22860","New Feature","2018-07-24T11:06:19.000-0500",20,54.7509,9.2,57.78260869565217,11.3365,15.463043478260865,14.6504,3.0
"TESB-22826","Bug","2018-07-23T23:30:26.000-0500",85,-144.5087,14.0132,52.92763157894737,36.3655,52.133184210526316,66.2417,12.082951062292475
"TESB-22594","Bug","2018-06-29T06:29:14.000-0500",11,61.325,12.0,40.0,7.19,7.5909999999999975,11.239,10.745966692414834
"TESB-22210","New Feature","2018-05-21T03:10:29.000-0500",96,1.2874,42.3686,127.49019607843137,38.4194,51.45764705882353,11.2771,13.954451150103322
"TESB-22156","New Feature","2018-05-11T09:34:23.000-0500",11,117.105,8.1333,37.0,-0.0933,3.0174999999999983,4.7692,8.477225575051662
"TESB-20982","New Feature","2017-12-21T02:40:20.000-0600",10,118.7609,4.4,29.181818181818183,-0.5727,2.0536363636363646,3.9618,3.0
"TESB-20972","Work Item","2017-12-19T04:22:56.000-0600",74,89.6678,9.1,36.08333333333333,5.4105,7.538600000000002,7.1024,7.743416490252569
"TESB-20963","Work Item","2017-12-18T16:13:39.000-0600",223,-399.1282,16.0851,56.69224184055645,70.8248,93.76608346709469,119.5538,11.635475005547093
"TESB-20954","New Feature","2017-12-18T05:53:19.000-0600",17,89.245,8.0,40.0,5.78,10.942500000000003,10.6775,3.0
"TESB-20841","New Feature","2017-11-28T02:17:13.000-0600",41,69.5336,18.7048,49.142857142857146,13.9948,18.85857142857143,7.6067,10.745966692414834
"TESB-20835","Work Item","2017-11-28T02:00:09.000-0600",15,90.1325,6.4,28.5,4.6625,5.998750000000001,6.6212,3.0
"TESB-20826","Bug","2017-11-25T03:38:12.000-0600",25,19.63,15.2444,67.74074074074073,17.2289,23.64444444444444,22.5737,12.486832980505138
"TESB-20618","New Feature","2017-10-26T02:12:58.000-0500",75,46.6608,18.1753,65.19135802469135,16.8124,21.84666666666667,12.2548,10.745966692414834
"TESB-20617","New Feature","2017-10-26T02:06:14.000-0500",20,67.2632,4.2,48.595238095238095,6.486,10.510000000000002,14.7195,3.0
"TESB-20615","New Feature","2017-10-26T02:01:57.000-0500",17,116.3079,7.6,50.578947368421055,1.7568,6.91,6.1811,3.0
"TESB-20614","New Feature","2017-10-26T02:00:13.000-0500",16,113.365,7.2,51.333333333333336,1.9189,7.456666666666667,7.4022,3.0
"TESB-20613","New Feature","2017-10-26T01:59:02.000-0500",13,95.73,8.6667,35.0,3.6333,4.596,5.3673,8.477225575051662
