"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"XD-3669","Story","2015-10-30T23:17:51.000+0000",33,78.4855,14.4121,48.151515151515156,10.5103,14.195454545454545,7.2079,8.477225575051662
"XD-3654","Story","2015-10-29T14:47:35.000+0000",27,54.8759,15.7379,49.689655172413794,12.8097,14.346206896551728,9.7721,12.486832980505138
"XD-3652","Bug","2015-10-28T18:46:20.000+0000",59,56.445,17.2237,61.70338983050848,12.715,17.98762711864407,14.0307,13.954451150103322
"XD-3651","Improvement","2015-10-28T17:47:22.000+0000",39,21.9115,19.7026,67.2051282051282,19.8918,25.605384615384615,17.8646,13.954451150103322
"XD-3645","Bug","2015-10-27T02:57:41.000+0000",344,-310.9539,76.2202,203.99253224711472,97.2905,140.14718262050235,83.7388,39.3318042491699
"XD-3644","Story","2015-10-26T18:54:06.000+0000",26,47.0373,21.1692,60.61538461538461,13.1577,14.395384615384614,11.59,17.491376746189438
"XD-3641","Story","2015-10-23T14:14:04.000+0000",19,8.875,20.0,60.0,16.99,18.478499999999997,20.1015,16.41640786499874
"XD-3637","Story","2015-10-21T21:54:37.000+0000",24,66.15,14.6,49.0,9.995,9.802499999999998,7.0008,12.486832980505138
"XD-3636","Story","2015-10-21T21:53:01.000+0000",33,66.895,17.7333,55.44444444444444,12.8722,15.93333333333333,7.5811,12.486832980505138
"XD-3633","Story","2015-10-19T22:31:37.000+0000",49,43.2701,14.1216,39.22549019607843,13.5589,17.640588235294118,15.9382,11.660254037844387
"XD-3629","Story","2015-10-19T16:50:50.000+0000",27,13.95,14.0,38.33333333333333,15.04,17.156,21.074,12.486832980505138
"XD-3627","Story","2015-10-19T16:02:05.000+0000",16,60.1918,9.1529,34.64705882352941,9.0871,10.619999999999997,11.8853,8.477225575051662
"XD-3622","Story","2015-10-18T14:48:21.000+0000",31,73.3582,15.6242,45.121212121212125,11.2255,13.910000000000004,6.8509,10.745966692414834
"XD-3621","Bug","2015-10-16T16:44:02.000+0000",40,33.2764,22.5143,75.33333333333334,19.0519,23.119999999999997,12.9357,16.41640786499874
