"issue_key","issuetype","created","wordcount","flesch","fog","lix","kinkaid","ari","colemanlieu","smog"
"DURACLOUD-667","Improvement","2012-04-19T01:22:53.000-0500",13,63.4862,8.2769,36.07692307692308,7.6338,10.793846153846154,14.0608,8.477225575051662
"DURACLOUD-634","Bug","2012-03-23T20:49:32.000-0500",110,69.0059,15.6304,44.861157024793386,9.6463,13.480413223140495,11.4855,13.392304845413264
"DURACLOUD-629","Code Task","2012-03-01T02:06:32.000-0600",25,52.868,13.2,53.0,12.096,13.678000000000004,11.272,10.745966692414834
"DURACLOUD-628","Improvement","2012-02-28T17:16:50.000-0600",47,64.2199,13.8803,51.027210884353735,8.3596,9.51768707482993,10.8516,12.486832980505138
"DURACLOUD-626","Improvement","2012-02-16T17:43:47.000-0600",103,44.0071,20.4762,59.76190476190476,15.8162,18.319142857142857,11.1661,16.038404810405297
"DURACLOUD-622","Improvement","2012-02-11T00:25:41.000-0600",67,17.5774,14.4762,51.904761904761905,16.6043,19.43866666666667,19.4323,12.486832980505138
"DURACLOUD-621","New Feature","2012-02-09T15:12:46.000-0600",154,47.3708,20.7955,60.26910828025478,16.4029,19.225,9.7343,15.24744871391589
"DURACLOUD-620","Improvement","2012-02-09T00:08:14.000-0600",66,50.7077,15.5373,46.196078431372555,11.8176,12.206568627450984,10.7674,13.488088481701515
"DURACLOUD-619","Bug","2012-02-07T21:18:37.000-0600",76,68.095,13.5,37.5,8.73,8.764125,7.9534,12.082951062292475
"DURACLOUD-617","Improvement","2012-02-03T15:30:39.000-0600",69,12.9367,16.8566,58.57990867579909,17.5,20.158036529680366,19.7595,14.40175425099138
"DURACLOUD-594","Improvement","2012-01-13T21:14:27.000-0600",85,65.1682,11.9765,40.529411764705884,8.3929,11.839058823529413,13.4098,11.12403840463596
"DURACLOUD-593","Improvement","2012-01-13T21:05:17.000-0600",23,36.3596,14.4174,49.086956521739125,13.9017,13.82478260869565,12.6017,12.486832980505138
"DURACLOUD-590","Task","2012-01-13T20:15:35.000-0600",43,86.33,8.6667,32.77777777777778,4.9444,5.956666666666667,7.0689,8.477225575051662
"DURACLOUD-588","Task","2012-01-12T20:20:21.000-0600",47,56.9825,17.0596,49.03191489361702,11.1495,14.170638297872337,12.7494,14.61895003862225
"DURACLOUD-585","Improvement","2012-01-11T19:13:57.000-0600",20,-37.655,20.0,65.0,23.48,29.546999999999997,33.943,16.41640786499874
"DURACLOUD-569","Improvement","2011-12-14T16:20:25.000-0600",35,9.4447,14.9684,47.94736842105263,16.6621,20.420263157894738,23.0761,13.246950765959598
"DURACLOUD-566","Improvement","2011-12-13T20:26:00.000-0600",89,46.4964,17.2599,55.50936329588015,14.144,16.265355805243445,11.7784,13.954451150103322
"DURACLOUD-561","Improvement","2011-12-05T09:27:47.000-0600",26,4.7373,22.7077,72.15384615384616,19.0577,22.184999999999995,21.3312,18.491933384829668
"DURACLOUD-558","Improvement","2011-11-27T05:11:33.000-0600",77,35.2249,23.2293,65.39024390243902,18.5317,22.160487804878052,12.3437,17.491376746189438
"DURACLOUD-557","New Feature","2011-11-22T02:25:59.000-0600",36,48.0439,17.3053,59.05263157894737,15.9984,18.393157894736845,9.4505,10.745966692414834
"DURACLOUD-554","New Feature","2011-11-08T19:22:01.000-0600",99,27.1055,17.7381,60.535714285714285,15.9999,19.955,18.3971,14.937336386313323
"DURACLOUD-553","New Feature","2011-11-08T19:13:25.000-0600",31,-0.9873,22.897,72.39393939393939,21.5952,24.471818181818186,20.0588,18.491933384829668
"DURACLOUD-550","New Feature","2011-11-08T14:26:04.000-0600",23,-21.975,19.6,57.333333333333336,22.2867,27.464999999999996,29.0883,16.41640786499874
"DURACLOUD-549","New Feature","2011-11-08T14:23:41.000-0600",44,41.4224,24.498,69.40816326530611,19.6547,26.04326530612245,12.3165,16.41640786499874
"DURACLOUD-547","Bug","2011-10-31T16:23:32.000-0500",62,26.0614,28.3746,75.6984126984127,25.2752,29.807142857142857,8.4057,15.24744871391589
"DURACLOUD-542","New Feature","2011-10-17T18:57:28.000-0500",24,34.425,14.6,57.333333333333336,14.42,14.512499999999996,12.8908,12.486832980505138
"DURACLOUD-541","Task","2011-10-17T13:20:41.000-0500",35,45.6186,17.4286,66.42857142857143,15.5914,18.678000000000004,11.6149,12.486832980505138
"DURACLOUD-533","New Feature","2011-10-11T19:05:21.000-0500",24,6.225,19.6,69.83333333333334,18.3533,19.418749999999996,19.0262,16.41640786499874
"DURACLOUD-527","New Feature","2011-10-11T00:36:54.000-0500",54,52.4868,17.4246,57.59649122807018,10.6586,12.19842105263158,12.7944,14.832159566199232
"DURACLOUD-526","New Feature","2011-10-11T00:23:07.000-0500",43,24.29,15.7778,50.55555555555556,13.5978,14.434666666666665,17.6709,13.488088481701515
"DURACLOUD-525","New Feature","2011-10-10T17:02:22.000-0500",39,53.29,12.0,52.5,10.795,10.942500000000003,10.6775,10.745966692414834
"DURACLOUD-523","New Feature","2011-10-10T11:58:47.000-0500",16,26.6825,16.4,66.0,13.5125,16.0075,19.1375,13.954451150103322
"DURACLOUD-520","Improvement","2011-09-29T14:32:14.000-0500",94,17.3821,18.3598,59.30154639175258,16.8593,20.99438144329897,20.8532,15.549900398011133
"DURACLOUD-516","Bug","2011-09-27T01:20:32.000-0500",29,36.1894,17.5613,50.35483870967742,15.9129,19.59516129032258,15.1523,13.954451150103322
"DURACLOUD-513","Improvement","2011-09-22T15:24:20.000-0500",54,53.0257,16.2,51.214285714285715,12.8193,15.278928571428573,11.5268,13.246950765959598
"DURACLOUD-512","Improvement","2011-09-22T15:17:38.000-0500",57,-3.815,23.3333,68.33333333333334,18.76,19.342,21.1813,18.1657508881031
"DURACLOUD-511","Bug","2011-09-21T13:44:01.000-0500",81,43.938,14.8358,48.0650406504065,13.9212,16.590813008130084,13.558,11.94427190999916
"DURACLOUD-509","Improvement","2011-09-15T01:07:50.000-0500",67,38.9577,16.6945,50.691542288557216,13.3737,13.84905472636816,13.01,14.40175425099138
"DURACLOUD-508","Improvement","2011-09-14T13:46:20.000-0500",52,17.3608,29.5019,85.0754716981132,24.0045,29.419811320754718,14.0842,21.16590212458495
"DURACLOUD-506","New Feature","2011-09-13T19:11:55.000-0500",60,48.2841,18.1016,53.450819672131146,14.1017,16.057377049180324,11.0249,14.61895003862225
"DURACLOUD-505","Bug","2011-09-13T18:30:39.000-0500",24,52.05,16.2667,65.66666666666666,11.9617,15.493749999999999,14.1179,13.954451150103322
"DURACLOUD-503","New Feature","2011-09-12T15:09:49.000-0500",19,72.325,12.0,45.0,8.14,8.823,8.027,10.745966692414834
"DURACLOUD-501","Improvement","2011-09-09T20:11:20.000-0500",97,67.3894,11.6444,40.0019801980198,8.8781,11.753663366336632,11.5817,10.348469228349535
"DURACLOUD-498","Bug","2011-09-09T13:00:40.000-0500",84,62.2346,16.0563,50.485632183908045,9.9822,10.667068965517238,9.3595,13.954451150103322
"DURACLOUD-497","Task","2011-09-06T14:49:19.000-0500",52,37.4098,19.0,54.77272727272727,14.8732,16.983272727272727,13.9513,15.84523257866513
"DURACLOUD-493","Bug","2011-09-01T16:49:37.000-0500",72,12.27,35.3333,100.33333333333333,30.18,38.3012,11.6008,20.320508075688775
"DURACLOUD-492","New Feature","2011-08-30T12:44:46.000-0500",24,24.9475,17.8,48.5,12.885,14.587200000000003,19.0248,13.954451150103322
"DURACLOUD-487","New Feature","2011-08-19T16:24:19.000-0500",54,71.2498,14.6364,42.04545454545455,10.1532,11.074363636363636,6.562,11.660254037844387
"DURACLOUD-486","Bug","2011-08-19T13:44:57.000-0500",160,69.7867,12.1818,40.15151515151515,8.08,9.48830303030303,9.7647,11.16496580927726
"DURACLOUD-485","New Feature","2011-08-13T21:38:54.000-0500",46,19.6325,14.7333,53.5,14.4958,19.441875000000003,23.4323,13.0
"DURACLOUD-484","New Feature","2011-08-13T21:33:56.000-0500",17,25.3565,16.2118,64.05882352941177,13.9459,14.498823529411759,16.7359,13.954451150103322
"DURACLOUD-481","New Feature","2011-08-05T19:58:54.000-0500",37,55.8267,11.3333,50.833333333333336,8.785,9.022166666666667,11.6945,10.745966692414834
"DURACLOUD-475","Improvement","2011-08-05T12:09:02.000-0500",29,43.2069,19.8759,70.37931034482759,14.4372,18.56896551724138,15.0528,16.41640786499874
"DURACLOUD-469","Improvement","2011-07-28T16:07:02.000-0500",44,65.5575,14.3333,53.611111111111114,9.705,13.265333333333338,12.1858,12.486832980505138
"DURACLOUD-468","Bug","2011-07-28T16:02:49.000-0500",34,28.0074,20.6588,66.35294117647058,17.7994,18.427352941176473,11.9015,16.41640786499874
"DURACLOUD-467","Bug","2011-07-28T15:45:32.000-0500",78,70.8763,12.0523,42.78902953586498,9.9154,12.901856540084388,9.5285,8.477225575051662
"DURACLOUD-465","Bug","2011-07-25T13:54:19.000-0500",56,58.4237,12.5123,50.578947368421055,9.8305,11.124210526315785,11.4511,11.366600265340756
"DURACLOUD-462","Bug","2011-07-22T16:30:34.000-0500",83,41.0364,15.047,43.64156626506024,12.6905,14.367650602409633,14.546,13.246950765959598
"DURACLOUD-458","Improvement","2011-07-18T13:55:05.000-0500",100,75.5648,13.7951,41.28398058252427,9.1166,10.376456310679611,6.7093,11.215838362577491
"DURACLOUD-457","Improvement","2011-07-12T12:23:05.000-0500",84,40.8415,16.5161,56.23275862068966,12.9661,13.103275862068962,12.4061,14.291589790636214
"DURACLOUD-456","Bug","2011-07-08T22:51:00.000-0500",31,40.0309,18.0485,57.24242424242424,15.8739,17.763636363636365,11.67,13.954451150103322
"DURACLOUD-452","Bug","2011-07-08T22:39:35.000-0500",26,47.0373,18.0923,56.769230769230774,13.1577,14.75769230769231,12.0431,15.24744871391589
"DURACLOUD-451","Bug","2011-07-08T22:38:11.000-0500",32,44.8113,19.05,66.375,14.9588,17.3840625,11.7922,15.24744871391589
"DURACLOUD-450","Improvement","2011-07-08T20:34:19.000-0500",32,62.68,13.8588,58.1764705882353,8.74,9.23470588235294,10.1529,12.486832980505138
"DURACLOUD-447","Improvement","2011-07-06T14:56:52.000-0500",64,50.0988,17.8,55.4375,14.2213,16.42734375,10.5958,13.954451150103322
"DURACLOUD-446","Bug","2011-07-05T14:56:57.000-0500",35,21.715,16.0889,68.0,14.7022,15.960833333333333,18.0369,13.954451150103322
"DURACLOUD-445","Improvement","2011-07-01T16:49:27.000-0500",72,-5.5614,24.1012,71.3641975308642,24.0964,30.91777777777778,23.5985,18.491933384829668
"DURACLOUD-443","Improvement","2011-06-29T14:52:37.000-0500",36,-27.08,17.0,52.5,22.005,28.840500000000006,33.0595,14.61895003862225
"DURACLOUD-442","Code Task","2011-06-28T18:48:02.000-0500",52,68.5419,14.6095,45.45238095238095,8.3364,10.864583333333336,11.3066,13.0
"DURACLOUD-441","Improvement","2011-06-18T04:36:41.000-0500",22,-67.8,22.9333,65.66666666666666,28.6783,31.19375,33.7512,18.491933384829668
"DURACLOUD-440","Bug","2011-06-16T19:40:23.000-0500",99,58.6956,17.5216,59.49019607843137,13.519,17.50382352941177,10.7466,13.0
"DURACLOUD-439","Bug","2011-06-15T18:13:38.000-0500",23,47.3943,12.6783,49.086956521739125,12.3626,12.391304347826086,10.8091,10.745966692414834
"DURACLOUD-438","Improvement","2011-06-15T15:24:31.000-0500",42,44.1459,18.8,58.36363636363637,12.5673,14.19045454545455,13.625,15.84523257866513
"DURACLOUD-436","Improvement","2011-06-14T22:22:15.000-0500",59,57.5938,21.1699,57.763440860215056,10.3603,12.605268817204305,12.3884,17.14213562373095
"DURACLOUD-429","New Feature","2011-05-29T13:08:04.000-0500",31,47.8325,12.65,50.375,10.5625,10.5615625,12.3272,11.660254037844387
"DURACLOUD-425","Improvement","2011-05-26T20:41:18.000-0500",54,58.2817,17.9083,61.95833333333333,10.43,13.669791666666669,13.3481,15.24744871391589
"DURACLOUD-424","Improvement","2011-05-26T20:40:17.000-0500",53,52.1358,17.9441,67.44086021505376,11.1216,14.504462365591401,14.7634,15.24744871391589
"DURACLOUD-409","Bug","2011-05-09T20:56:25.000-0500",77,56.7701,13.0383,41.23765432098766,10.3717,10.965740740740735,10.5688,11.660254037844387
"DURACLOUD-407","New Feature","2011-05-06T18:58:35.000-0500",34,8.1015,27.7176,81.05882352941177,20.5759,24.661176470588238,19.6971,21.973665961010276
"DURACLOUD-406","Improvement","2011-05-06T18:56:01.000-0500",26,48.4936,18.3429,60.142857142857146,13.4514,17.465714285714284,14.2614,15.24744871391589
"DURACLOUD-404","Improvement","2011-05-05T15:08:51.000-0500",43,7.6141,20.6182,58.36363636363637,17.6627,17.72295454545455,18.0425,16.96424004376894
"DURACLOUD-403","Improvement","2011-05-05T13:17:37.000-0500",239,59.0794,14.1039,52.54358398802843,10.5069,13.494960718294053,12.704,12.341987329938275
"DURACLOUD-394","Bug","2011-04-20T13:31:18.000-0500",64,73.2028,10.1923,37.78846153846154,7.086,8.360999999999997,9.4478,9.70820393249937
"DURACLOUD-389","Improvement","2011-03-30T17:13:03.000-0500",34,30.2899,16.0486,53.63513513513514,13.6304,16.97108108108108,19.0327,13.954451150103322
"DURACLOUD-387","Bug","2011-03-25T18:55:16.000-0500",239,30.7877,25.6621,73.807722007722,21.8336,27.528996138996142,12.4568,16.856406460551018
"DURACLOUD-385","Task","2011-03-24T16:24:15.000-0500",50,43.9631,12.1231,45.69230769230769,10.3569,9.344615384615388,12.2485,11.215838362577491
"DURACLOUD-382","Code Task","2011-03-20T02:01:59.000-0500",16,47.8325,8.9,47.25,10.5625,14.535625000000003,17.2969,8.477225575051662
"DURACLOUD-377","Improvement","2011-03-09T16:14:31.000-0600",27,6.1936,18.3429,56.57142857142857,19.3514,22.34392857142857,20.3618,15.24744871391589
"DURACLOUD-376","Bug","2011-03-08T21:52:27.000-0600",83,70.71,13.4763,43.329317269076306,10.2699,12.775502008032127,8.5917,10.071067811865476
"DURACLOUD-374","New Feature","2011-03-08T20:39:41.000-0600",45,29.53,26.4596,89.5531914893617,20.8166,27.323617021276597,15.1421,19.431676725154983
"DURACLOUD-371","Improvement","2011-03-08T13:20:00.000-0600",34,7.4251,18.2108,56.33783783783784,16.8196,20.662702702702703,23.6492,15.24744871391589
"DURACLOUD-370","New Feature","2011-03-07T17:32:35.000-0600",26,17.6658,15.7704,57.94444444444444,14.1491,12.184444444444445,15.5726,13.246950765959598
"DURACLOUD-357","New Feature","2011-02-17T19:29:57.000-0600",38,41.365,20.4632,53.78947368421053,16.93,18.021315789473682,8.9855,15.24744871391589
"DURACLOUD-355","New Feature","2011-02-17T19:27:38.000-0600",25,49.484,13.2,49.0,12.568,14.619999999999997,12.45,10.745966692414834
"DURACLOUD-354","Bug","2011-02-17T15:07:29.000-0600",50,42.1565,14.2462,58.69230769230769,13.8385,16.025769230769235,13.6288,11.660254037844387
"DURACLOUD-353","Bug","2011-02-12T18:32:47.000-0600",102,53.5392,14.9585,50.24036697247706,11.2074,13.020000000000003,12.2739,13.099504938362077
"DURACLOUD-352","Improvement","2011-02-09T22:30:47.000-0600",35,6.9443,22.0,75.0,20.9857,21.907714285714285,15.6537,17.491376746189438
"DURACLOUD-348","Improvement","2011-02-07T16:36:34.000-0600",89,56.6295,17.1227,55.177835051546396,11.385,14.39067010309278,12.5951,14.61895003862225
"DURACLOUD-339","Bug","2011-01-25T22:00:34.000-0600",119,66.8283,15.38,47.25,11.7015,14.05236,8.0722,11.215838362577491
"DURACLOUD-315","New Feature","2010-12-14T22:27:57.000-0600",186,51.3242,19.4148,61.73502538071066,15.8887,19.596497461928934,10.108,13.392304845413264
"DURACLOUD-313","Improvement","2010-12-11T04:15:51.000-0600",17,0.4741,23.2706,58.1764705882353,17.4165,15.607058823529407,18.1218,17.491376746189438
"DURACLOUD-310","New Feature","2010-12-01T20:35:29.000-0600",78,54.9833,14.6667,55.41666666666667,12.215,14.511333333333333,11.347,11.94427190999916
"DURACLOUD-303","Improvement","2010-11-19T23:06:39.000-0600",126,74.2541,11.1792,41.58441558441558,7.587,9.7287987012987,9.7834,10.171371656006361
