"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9"
"TISTUD-7522",False,"train",0.0,0.9852439165115356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8928",False,"train",0.0,0.8285847306251526,0.13939398527145386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8531",False,"train",0.0,0.31101396679878235,0.4824879467487335,0.0,0.0,0.0,0.0,0.18315540254116058,0.0,0.0
"TISTUD-7708",False,"train",0.0,0.9892832040786743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5492",True,"train",0.0,0.9549849629402161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-3474",False,"train",0.0,0.0,0.0,0.0,0.962490975856781,0.0,0.0,0.0,0.0,0.0
"TISTUD-8984",False,"train",0.0,0.0,0.9790554046630859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-3421",False,"train",0.986761748790741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7708",False,"train",0.0,0.9892832040786743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6124",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9718675017356873,0.0
"TISTUD-7946",True,"train",0.0,0.0,0.0,0.9898840188980103,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-4014",False,"train",0.0,0.0,0.0,0.0,0.7162082195281982,0.2647385597229004,0.0,0.0,0.0,0.0
"TISTUD-7791",False,"train",0.0,0.8824929594993591,0.10590876638889313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7758",False,"train",0.0,0.30034932494163513,0.6662953495979309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5661",False,"train",0.0,0.0,0.0,0.0,0.0,0.48325833678245544,0.0,0.4746183454990387,0.0,0.0
"TISTUD-9031",False,"train",0.0,0.0,0.23501037061214447,0.7449764609336853,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-3814",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9735239744186401,0.0,0.0
"TISTUD-5071",False,"train",0.0,0.0,0.0,0.0,0.0,0.9906238913536072,0.0,0.0,0.0,0.0
"TISTUD-5046",False,"train",0.0,0.0,0.9749889969825745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9043",False,"train",0.0,0.0,0.0,0.9795392155647278,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7691",False,"train",0.0,0.9842048287391663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7515",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9399909377098083,0.0,0.0,0.0
"TISTUD-1594",False,"train",0.0,0.0,0.9499748945236206,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5424",False,"train",0.32402607798576355,0.0,0.0,0.0,0.0,0.6605833768844604,0.0,0.0,0.0,0.0
"TISTUD-6456",False,"train",0.0,0.9470466375350952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8864",False,"train",0.0,0.0,0.0,0.9499910473823547,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9047",False,"train",0.0,0.0,0.0,0.10700412094593048,0.0,0.0,0.0,0.8776048421859741,0.0,0.0
"TISTUD-7719",False,"train",0.0,0.0,0.9973748326301575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7683",False,"train",0.0,0.9867621064186096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5151",False,"train",0.0,0.0,0.0,0.22621263563632965,0.0,0.0,0.0,0.0,0.7688475847244263,0.0
"TISTUD-6689",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9795295596122742,0.0,0.0
"TISTUD-5710",False,"train",0.0,0.0,0.0,0.9307476878166199,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9060",False,"train",0.0,0.0,0.11322014033794403,0.0,0.877020537853241,0.0,0.0,0.0,0.0,0.0
"TISTUD-5158",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9950785040855408,0.0,0.0,0.0
"TISTUD-2905",False,"train",0.0,0.9812443852424622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7495",False,"train",0.8398158550262451,0.0,0.0,0.15098503232002258,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-4365",False,"train",0.0,0.0,0.0,0.0,0.0,0.22444450855255127,0.0,0.7310901284217834,0.0,0.0
"TISTUD-9113",False,"train",0.0,0.0,0.08836354315280914,0.8735187649726868,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6824",False,"train",0.0,0.0,0.0,0.9571186304092407,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5779",False,"train",0.0,0.37670865654945374,0.0,0.0,0.609001874923706,0.0,0.0,0.0,0.0,0.0
"TISTUD-9029",False,"train",0.0,0.0,0.0,0.9795393943786621,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9085",False,"train",0.0,0.0,0.9742787480354309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-3669",False,"train",0.0,0.0,0.0,0.9898828268051147,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7642",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9921659827232361,0.0,0.0,0.0
"TISTUD-5468",False,"train",0.0,0.0,0.0,0.0,0.9470405578613281,0.0,0.0,0.0,0.0,0.0
"TISTUD-3971",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9727216362953186,0.0,0.0
"TISTUD-6009",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9867597222328186,0.0,0.0
"TISTUD-6273",False,"train",0.0,0.0,0.0,0.9571186304092407,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8641",False,"train",0.0,0.0,0.26763030886650085,0.0,0.0,0.0,0.0,0.7145853638648987,0.0,0.0
