"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9"
"USERGRID-892",False,"train",0.010002417489886284,0.010001148097217083,0.01000163797289133,0.010001406073570251,0.01000128872692585,0.010004605166614056,0.9099822640419006,0.010001016780734062,0.0100016538053751,0.010002577677369118
"USERGRID-729",False,"train",0.0,0.0,0.0,0.0,0.0,0.9470504522323608,0.0,0.0,0.0,0.0
"USERGRID-713",False,"train",0.012501836754381657,0.012501398101449013,0.887484610080719,0.012502304278314114,0.012501249089837074,0.012501372955739498,0.012502895668148994,0.01250198669731617,0.012501083314418793,0.01250126026570797
"USERGRID-660",True,"train",0.03334527835249901,0.03334393352270126,0.03334657475352287,0.03333917260169983,0.033346954733133316,0.03333917260169983,0.03333917632699013,0.6999145746231079,0.03333926200866699,0.03334585949778557
"USERGRID-697",False,"train",0.01666821725666523,0.0166687723249197,0.016668278723955154,0.8499782085418701,0.016669131815433502,0.016669735312461853,0.01666821353137493,0.016668779775500298,0.016672395169734955,0.016668302938342094
"USERGRID-1211",False,"train",0.0,0.0,0.0,0.0,0.0,0.9181724786758423,0.0,0.0,0.0,0.0
"USERGRID-543",False,"train",0.0,0.0,0.0,0.0,0.9356927275657654,0.0,0.0,0.0,0.0,0.0
"USERGRID-1016",False,"train",0.0,0.0,0.9867607951164246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-465",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399925470352173,0.0
"USERGRID-491",False,"train",0.0,0.9526249170303345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-388",False,"train",0.0,0.0,0.9624863862991333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"USERGRID-678",False,"train",0.010001720860600471,0.010001643560826778,0.010002166032791138,0.010003750212490559,0.010000916197896004,0.010001379065215588,0.010002362541854382,0.010001814924180508,0.9099820256233215,0.01000223308801651
"USERGRID-1022",False,"train",0.020006483420729637,0.02000752091407776,0.3955356776714325,0.44441357254981995,0.02000482939183712,0.020004872232675552,0.020007671788334846,0.020009642466902733,0.020004257559776306,0.020005445927381516
"USERGRID-527",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774969220161438,0.0
"USERGRID-418",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9608654379844666,0.0
"USERGRID-1005",False,"train",0.01667025126516819,0.016670435667037964,0.01667027547955513,0.01667086035013199,0.016670236364006996,0.016668938100337982,0.8499690890312195,0.016672102734446526,0.016668684780597687,0.01666911132633686
"USERGRID-639",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.2778329849243164,0.680055558681488,0.0,0.0
"USERGRID-592",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1757793128490448,0.7984061241149902
"USERGRID-695",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9742792248725891,0.0
"USERGRID-890",False,"train",0.010004268027842045,0.010002819821238518,0.010003256611526012,0.13263081014156342,0.010003801435232162,0.3339504897594452,0.24707691371440887,0.010001418180763721,0.010003108531236649,0.22632315754890442
"USERGRID-652",False,"train",0.0,0.0,0.0,0.9930227398872375,0.0,0.0,0.0,0.0,0.0,0.0
