"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9"
"MULE-9897",False,"train",0.0,0.551044225692749,0.0,0.0,0.0,0.41415056586265564,0.0,0.0,0.0,0.0
"MULE-11866",False,"train",0.0,0.0,0.0,0.0,0.0,0.9590754508972168,0.0,0.0,0.0,0.0
"MULE-12614",False,"train",0.0,0.0,0.0,0.0,0.16282114386558533,0.0,0.0,0.0,0.0,0.8038068413734436
"MULE-12640",False,"train",0.9307111501693726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-13258",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749964475631714,0.0
"MULE-7631",False,"train",0.0,0.0,0.9735161662101746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-11401",False,"train",0.0,0.0,0.0,0.7956264019012451,0.0,0.14282381534576416,0.0,0.0,0.0,0.0
"MULE-7874",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9707755446434021,0.0,0.0
"MULE-8157",False,"train",0.0,0.0,0.0,0.15629951655864716,0.0,0.0,0.825506329536438,0.0,0.0,0.0
"MULE-14076",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20597785711288452,0.4031776487827301,0.37989985942840576
"MULE-13303",False,"train",0.0,0.9356787800788879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-14667",False,"train",0.014302282594144344,0.014298944734036922,0.42584070563316345,0.014299624599516392,0.014300037175416946,0.014300004579126835,0.014299324713647366,0.01429908536374569,0.01430024579167366,0.45975974202156067
"MULE-13831",True,"train",0.22826454043388367,0.0,0.7272801995277405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-16575",False,"train",0.0,0.0,0.8955759406089783,0.0,0.0,0.0,0.06630545109510422,0.0,0.0,0.0
"MULE-13965",False,"train",0.014307196252048016,0.0143071124330163,0.014308293350040913,0.014308204874396324,0.014306701719760895,0.0143064484000206,0.8712337613105774,0.014306735247373581,0.014306689612567425,0.014308879151940346
"MULE-9464",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379106760025024,0.0
"MULE-7759",False,"train",0.0,0.38437190651893616,0.0,0.0,0.5655242204666138,0.0,0.0,0.0,0.0,0.0
"MULE-14856",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9327596426010132,0.0
"MULE-10683",False,"train",0.07416549324989319,0.0,0.0,0.46548008918762207,0.2751849293708801,0.03725611791014671,0.0,0.14167308807373047,0.0,0.0
"MULE-14078",False,"train",0.36603301763534546,0.36028534173965454,0.0,0.22239673137664795,0.0,0.0,0.04468690976500511,0.0,0.0,0.0
"MULE-13633",False,"train",0.9499804377555847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-14342",False,"train",0.0,0.0,0.9526037573814392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-15909",False,"train",0.2662551701068878,0.27382174134254456,0.0,0.0,0.43855512142181396,0.0,0.01375530008226633,0.0,0.0,0.0
"MULE-16577",False,"train",0.0,0.0,0.0,0.6087242364883423,0.0,0.0,0.0,0.36367669701576233,0.0,0.0
