"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9"
"TIMOB-18856",False,"train",0.9854763150215149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-26789",False,"train",0.0,0.0,0.9709479808807373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19271",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749850034713745,0.0,0.0
"TIMOB-19753",False,"train",0.0,0.0,0.0,0.0,0.1406102180480957,0.0,0.851211667060852,0.0,0.0,0.0
"TIMOB-24139",False,"train",0.0,0.0,0.0,0.0,0.0,0.9785515069961548,0.0,0.0,0.0,0.0
"TIMOB-23134",False,"train",0.0,0.5353074073791504,0.0,0.0,0.0,0.0,0.0,0.0,0.46266981959342957,0.0
"TIMOB-25757",False,"train",0.11939451843500137,0.0,0.0,0.0,0.0,0.0843966081738472,0.0,0.0,0.0,0.7611854672431946
"TIMOB-18162",False,"train",0.0,0.0,0.7506511807441711,0.0,0.0,0.0,0.0,0.0,0.22577118873596191,0.0
"TIMOB-25206",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987794756889343,0.0
"TIMOB-24527",False,"train",0.0,0.0,0.0,0.0,0.9590616226196289,0.0,0.0,0.0,0.0,0.0
"TIMOB-24204",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780352115631104,0.0
"TIMOB-17861",False,"train",0.42244812846183777,0.5615413784980774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-18899",False,"train",0.0,0.0,0.0,0.0,0.0,0.9871354699134827,0.0,0.0,0.0,0.0
"TIMOB-26159",False,"train",0.0,0.3761966824531555,0.6153687834739685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-25963",False,"train",0.0,0.0,0.0,0.4064539670944214,0.0,0.5685251951217651,0.0,0.0,0.0,0.0
