"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12"
"TISTUD-8926",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9160786867141724,0.0,0.0
"TISTUD-5886",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9728435277938843,0.0,0.0,0.0,0.0,0.0
"TISTUD-5629",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9750495553016663,0.0
"TISTUD-3022",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807655215263367,0.0
"TISTUD-6012",False,"train",0.0,0.0,0.0,0.0,0.0,0.3397352397441864,0.0,0.0,0.0,0.0,0.0,0.23008233308792114,0.41094690561294556
"TISTUD-8516",False,"train",0.0,0.6927068829536438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30389103293418884,0.0
"TISTUD-5462",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736223220825195,0.0
"TISTUD-7708",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9890101552009583,0.0,0.0,0.0
"TISTUD-6116",False,"train",0.0,0.0,0.0,0.0,0.19875068962574005,0.0,0.0,0.0,0.0,0.0,0.5852228403091431,0.0,0.19198426604270935
"TISTUD-8938",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9514139890670776,0.0,0.0,0.0,0.0,0.0
"TISTUD-5665",False,"train",0.0,0.0,0.0,0.9692246317863464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9118",False,"train",0.0,0.9567543268203735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03892768919467926,0.0,0.0,0.0
"TISTUD-7426",False,"train",0.0,0.5732890963554382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38991257548332214,0.0
"TISTUD-7960",False,"train",0.0,0.0,0.0,0.7277781963348389,0.25105223059654236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8023",False,"train",0.0,0.0,0.0,0.0,0.0,0.9860129952430725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5594",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9878531098365784,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7511",False,"train",0.0,0.0,0.0,0.0,0.0,0.041989926248788834,0.0,0.0,0.0,0.0,0.0,0.0,0.9486075639724731
"TISTUD-7606",False,"train",0.0,0.0,0.0,0.0,0.0,0.9855743646621704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5770",False,"train",0.0,0.0,0.0,0.0,0.0,0.5186358690261841,0.0,0.4500221312046051,0.0,0.0,0.0,0.0,0.0
"TISTUD-5020",False,"train",0.0,0.0,0.0,0.9799299240112305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6129",False,"train",0.0,0.0,0.0,0.0,0.9736241698265076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5769",False,"train",0.0,0.0,0.0,0.0,0.0,0.9881649613380432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6273",False,"train",0.0,0.0,0.9560346603393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7946",True,"train",0.0,0.0,0.0,0.0,0.0,0.2428591549396515,0.0,0.0,0.0,0.6299153566360474,0.0,0.11857881397008896,0.0
"TISTUD-5833",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964490532875061,0.0,0.0,0.0,0.0,0.0
"TISTUD-5471",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9658063650131226,0.0
"TISTUD-7796",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9961212873458862,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6250",False,"train",0.0,0.0,0.0,0.0,0.0,0.16706372797489166,0.0,0.0,0.0,0.0,0.8188303709030151,0.0,0.0
"TISTUD-8495",False,"train",0.0,0.0,0.0,0.9396303296089172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437750443816185,0.0
"TISTUD-8928",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9630724787712097,0.0,0.0
"TISTUD-8577",False,"train",0.0,0.9971230030059814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-4357",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644925594329834,0.0,0.0,0.0,0.0,0.0
"TISTUD-7475",False,"train",0.0,0.0,0.0,0.18530020117759705,0.0,0.5173351168632507,0.0,0.0,0.0,0.0,0.0,0.0,0.28621435165405273
"TISTUD-5302",False,"train",0.0,0.0,0.0,0.0,0.0,0.959862232208252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8932",False,"train",0.0,0.0,0.0,0.0,0.0,0.0940767452120781,0.0,0.0,0.0,0.0,0.7342404723167419,0.0,0.14836613833904266
"TISTUD-5339",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869980812072754,0.0,0.0,0.0
"TISTUD-6236",False,"train",0.0,0.0,0.0,0.11234577000141144,0.0,0.0,0.0,0.8757269382476807,0.0,0.0,0.0,0.0,0.0
"TISTUD-5663",False,"train",0.0,0.0,0.0,0.0,0.0,0.19730791449546814,0.7857551574707031,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9027",False,"train",0.9780203104019165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5151",False,"train",0.0,0.0,0.0,0.1753377914428711,0.0,0.0,0.0,0.0,0.0,0.8194376230239868,0.0,0.0,0.0
"TISTUD-5761",False,"train",0.0,0.9974064826965332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8984",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9390919208526611,0.0,0.041222263127565384,0.0
"TISTUD-5431",False,"train",0.0,0.0,0.0,0.0,0.0,0.049633610993623734,0.6627148985862732,0.0,0.0,0.0,0.0,0.0,0.2798785865306854
"TISTUD-6198",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987524151802063,0.0,0.0,0.0,0.0,0.0
"TISTUD-5075",False,"train",0.0,0.0,0.0,0.0,0.9903842210769653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7522",False,"train",0.0,0.0,0.0,0.0,0.0,0.9848654270172119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7251",False,"train",0.0,0.0,0.0,0.994783341884613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9093",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757055044174194
"TISTUD-6350",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848648309707642,0.0,0.0,0.0
"TISTUD-5070",False,"train",0.0,0.0,0.0,0.0,0.9903842210769653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6116",False,"train",0.0,0.0,0.0,0.0,0.19875068962574005,0.0,0.0,0.0,0.0,0.0,0.5852228403091431,0.0,0.19198426604270935
"TISTUD-6909",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998766183853149,0.0,0.0,0.0,0.0
"TISTUD-8997",False,"train",0.0,0.0,0.0,0.0,0.9340507388114929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7129",False,"train",0.0,0.0,0.9615311026573181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-9117",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9891279935836792,0.0,0.0,0.0
"TISTUD-8458",False,"train",0.0,0.0,0.9324500560760498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669168159365654,0.0,0.0
"TISTUD-6709",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9598627686500549,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8933",False,"train",0.0,0.894126296043396,0.0,0.0,0.0,0.07452603429555893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8926",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9160786867141724,0.0,0.0
"TISTUD-7956",False,"train",0.0,0.0,0.0,0.0,0.0,0.988010823726654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6580",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807655215263367,0.0,0.0
"TISTUD-5408",False,"train",0.0,0.0,0.956038773059845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5393",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774832725524902,0.0
"TISTUD-8541",False,"train",0.0,0.0,0.0,0.0,0.0,0.07463732361793518,0.0,0.0,0.0,0.0,0.6694495677947998,0.0,0.2384280562400818
"TISTUD-9118",False,"train",0.0,0.9567543268203735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03892768919467926,0.0,0.0,0.0
"TISTUD-6455",False,"train",0.0,0.0,0.0,0.32894060015678406,0.0,0.6445992588996887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-4251",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9514130353927612,0.0
"TISTUD-5199",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9790189266204834,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5425",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9720249176025391,0.0
"TISTUD-6443",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6031937599182129,0.3403863310813904
"TISTUD-8495",False,"train",0.0,0.0,0.0,0.9396303296089172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437750443816185,0.0
"TISTUD-9047",False,"train",0.0,0.0,0.9822468161582947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8454",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23854951560497284,0.0,0.7246447205543518,0.0,0.0,0.0
"TISTUD-7110",False,"train",0.0,0.0,0.0,0.9644932746887207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6148",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985344648361206,0.0,0.0,0.0
"TISTUD-6603",False,"train",0.0,0.0,0.0,0.0,0.0,0.046440575271844864,0.9338778853416443,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8652",False,"train",0.0,0.0,0.0,0.0,0.318927526473999,0.0,0.0,0.0,0.0,0.0,0.0,0.6545909643173218,0.0
"TISTUD-6709",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9598627686500549,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5060",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802180826663971,0.0,0.0,0.0,0.18242107331752777
"TISTUD-6951",False,"train",0.0,0.0,0.9959147572517395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-8925",False,"train",0.0,0.0,0.0,0.0,0.0,0.9883140921592712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-5071",False,"train",0.0,0.0,0.0,0.0,0.9903842210769653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-6951",False,"train",0.0,0.0,0.9959147572517395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TISTUD-7642",False,"train",0.0,0.0,0.0,0.0,0.0,0.12686198949813843,0.0,0.0,0.0,0.0,0.0,0.8657678365707397,0.0
