"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12"
"MESOS-3346",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702073931694031,0.0,0.0,0.0,0.0,0.0
"MESOS-8569",False,"train",0.0,0.0,0.46512651443481445,0.0,0.519744336605072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4949",True,"train",0.0,0.0,0.0,0.24519850313663483,0.0,0.05642805993556976,0.0,0.675674319267273,0.0,0.0,0.0,0.0,0.0
"MESOS-4495",False,"train",0.012837426736950874,0.012837394140660763,0.01283741183578968,0.8459509015083313,0.012837626971304417,0.012837427668273449,0.012837394140660763,0.012837409041821957,0.012837450951337814,0.012837410904467106,0.01283740159124136,0.012837392278015614,0.012837378308176994
"MESOS-8102",False,"train",0.0,0.0,0.0,0.0,0.9720069766044617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3960",False,"train",0.9422786235809326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-6051",False,"train",0.0,0.0,0.7688490748405457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20826883614063263,0.0,0.0
"MESOS-6151",False,"train",0.0,0.0,0.0,0.9851061701774597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4911",False,"train",0.0,0.0,0.0,0.22829662263393402,0.0,0.0,0.0,0.7424927949905396,0.0,0.0,0.0,0.0,0.0
"MESOS-2729",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807611703872681,0.0,0.0,0.0,0.0,0.0
"MESOS-8179",False,"train",0.0,0.0,0.0,0.996779203414917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-2902",False,"train",0.0,0.0,0.0,0.2922975718975067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6980800628662109
"MESOS-8427",False,"train",0.4586109220981598,0.0,0.49157848954200745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-3289",False,"train",0.5724784731864929,0.0,0.0,0.3906547725200653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4261",False,"train",0.0,0.0,0.0,0.061149097979068756,0.0,0.0,0.0,0.9182060360908508,0.0,0.0,0.0,0.0,0.0
"MESOS-6493",False,"train",0.010990342125296593,0.8681158423423767,0.010990332812070847,0.010990522801876068,0.010990360751748085,0.010990272276103497,0.010990317910909653,0.010990319773554802,0.010990339331328869,0.010990350507199764,0.010990281589329243,0.01099032536149025,0.010990398935973644
"MESOS-4584",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9422037601470947,0.0,0.0,0.0,0.0
"MESOS-2061",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5529603362083435,0.0,0.43830427527427673,0.0,0.0,0.0
"MESOS-5168",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644474983215332,0.0,0.0,0.0,0.0
"MESOS-2058",False,"train",0.0,0.0,0.0,0.0,0.9670080542564392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-7014",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799296259880066,0.0,0.0,0.0
"MESOS-8402",False,"train",0.0,0.0,0.0,0.9880090355873108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-2968",False,"train",0.0,0.0,0.0,0.4274976849555969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5399408936500549,0.0
"MESOS-4720",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9229646921157837,0.0,0.0,0.0,0.0,0.0,0.0
"MESOS-4466",False,"train",0.019281284883618355,0.01928125135600567,0.01928132213652134,0.01928139291703701,0.46571481227874756,0.01928134821355343,0.01928129605948925,0.01928129978477955,0.32219064235687256,0.019281603395938873,0.01928129978477955,0.01928122341632843,0.019281238317489624
"MESOS-2392",False,"train",0.0,0.0,0.0,0.32016971707344055,0.0,0.0,0.6376850605010986,0.027620242908596992,0.0,0.0,0.0,0.0,0.0
