"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12"
"MULE-10963",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.3424082398414612,0.0,0.0,0.4004095792770386,0.0,0.20224033296108246,0.0
"MULE-11682",True,"train",0.0,0.0,0.5499767065048218,0.0,0.0,0.0,0.0,0.0,0.0,0.3652128577232361,0.0,0.0,0.0
"MULE-11615",False,"train",0.0,0.0,0.4363788664340973,0.0,0.0,0.0,0.0,0.0,0.5297779440879822,0.0,0.0,0.0,0.0
"MULE-11911",False,"train",0.1390848457813263,0.5256997346878052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31442421674728394
"MULE-13118",False,"train",0.0,0.0,0.0,0.0,0.0,0.4799336791038513,0.0,0.4875205159187317,0.0,0.0,0.0,0.0,0.0
"MULE-11891",False,"train",0.0,0.22038380801677704,0.0,0.0,0.0,0.0,0.7482879757881165,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-14721",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8846771121025085,0.0
"MULE-12768",False,"train",0.04021192342042923,0.0,0.0,0.0,0.0,0.0,0.36800527572631836,0.0,0.0,0.2640198767185211,0.0,0.0,0.3225533664226532
"MULE-7459",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9231963753700256
"MULE-8215",False,"train",0.49602454900741577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42707210779190063,0.0,0.0,0.0
"MULE-7440",False,"train",0.0,0.6815190315246582,0.0,0.30413833260536194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-13340",True,"train",0.0,0.0,0.2409968227148056,0.0,0.0,0.0,0.4658791124820709,0.27480244636535645,0.0,0.0,0.0,0.0,0.0
"MULE-11630",False,"train",0.3565681576728821,0.0,0.5783394575119019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-14201",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9074345231056213,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-7718",False,"train",0.0,0.37338465452194214,0.0,0.0,0.0,0.0,0.0,0.0,0.5897805094718933,0.0,0.0,0.0,0.0
"MULE-14659",False,"train",0.0,0.0,0.0,0.0,0.08018814027309418,0.0,0.0,0.0,0.3390323519706726,0.0,0.0,0.0,0.5657007694244385
"MULE-10042",False,"train",0.15388447046279907,0.6172319650650024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20482100546360016,0.0
"MULE-14561",True,"train",0.0,0.04792603850364685,0.9372262358665466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-14131",False,"train",0.0,0.25258004665374756,0.42104965448379517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31505829095840454,0.0,0.0
"MULE-14814",True,"train",0.0,0.08276387304067612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3334657847881317,0.0,0.5516988039016724
"MULE-11979",True,"train",0.0,0.0,0.9049466848373413,0.0,0.0,0.0,0.0,0.0,0.0,0.06861111521720886,0.0,0.0,0.0
"MULE-16567",False,"train",0.0,0.0,0.0,0.0,0.31382760405540466,0.0,0.0,0.0,0.0,0.6364250779151917,0.0,0.0,0.0
"MULE-14355",False,"train",0.0,0.0,0.0,0.0,0.0,0.24393907189369202,0.0,0.0,0.6855456233024597,0.0,0.0,0.0,0.0
"MULE-14285",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857898354530334,0.0,0.0,0.0,0.0
"MULE-15615",False,"train",0.463114470243454,0.011000166647136211,0.011000511236488819,0.41588294506073,0.011000135913491249,0.01100022904574871,0.011000247672200203,0.011000181548297405,0.011000148020684719,0.011000283993780613,0.011000271886587143,0.011000278405845165,0.011000125668942928
"MULE-14271",False,"train",0.0,0.7316503524780273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19776096940040588,0.0
"MULE-14960",True,"train",0.0,0.43793150782585144,0.17298536002635956,0.0,0.0,0.0,0.0,0.0,0.0,0.22749969363212585,0.13994136452674866,0.0,0.0
"MULE-11243",False,"train",0.0,0.5754297375679016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36817315220832825,0.0,0.0,0.0
"MULE-10942",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.3867892920970917,0.0,0.5426720380783081,0.0,0.0,0.0,0.0
"MULE-13005",False,"train",0.012829040177166462,0.01282976008951664,0.8460504412651062,0.012829069048166275,0.012829083949327469,0.012829077430069447,0.012829135172069073,0.012829032726585865,0.01282905787229538,0.01282908022403717,0.012829050421714783,0.012829135172069073,0.01282903179526329
"MULE-14581",False,"train",0.0,0.0,0.9422888159751892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MULE-13310",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15328994393348694,0.0,0.0,0.7901944518089294
"MULE-15297",False,"train",0.0,0.0,0.13846056163311005,0.0,0.0,0.0,0.6835384368896484,0.14718079566955566,0.0,0.0,0.0,0.0,0.0
"MULE-7992",False,"train",0.33843299746513367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6247457265853882,0.0,0.0,0.0
"MULE-13767",False,"train",0.010998599231243134,0.010998609475791454,0.010998549871146679,0.010998501442372799,0.010998578742146492,0.010998629033565521,0.010998522862792015,0.010998673737049103,0.17430685460567474,0.010998516343533993,0.010998538695275784,0.7047088742256165,0.010998586192727089
"MULE-9350",False,"train",0.0,0.33884871006011963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6431100368499756,0.0
"MULE-8564",False,"train",0.0,0.0,0.5136093497276306,0.0,0.0,0.0,0.0,0.0,0.0,0.36527642607688904,0.0,0.09455936402082443,0.0
"MULE-14603",True,"train",0.0,0.0,0.9553210139274597,0.0,0.0,0.0,0.0,0.03080505132675171,0.0,0.0,0.0,0.0,0.0
"MULE-14124",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.38761231303215027,0.0,0.0,0.5354698896408081,0.0,0.0,0.0
"MULE-15863",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7885826230049133,0.17111298441886902,0.0,0.0,0.0,0.0
