"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11"
"TIMOB-16172",False,"train",0.0,0.9952730536460876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24399",False,"train",0.0,0.0,0.9764809608459473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19701",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9426974654197693,0.0,0.0,0.0
"TIMOB-19193",False,"train",0.261290580034256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722669243812561,0.0
"TIMOB-26173",False,"train",0.0,0.9863065481185913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19151",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3848549425601959,0.0,0.5853675603866577,0.0,0.0
"TIMOB-25914",False,"train",0.9908291101455688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-26067",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9601112008094788
"TIMOB-19648",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944081902503967,0.0,0.0,0.0,0.0
"TIMOB-26521",False,"train",0.0,0.0,0.21374227106571198,0.0,0.0,0.0,0.7736251354217529,0.0,0.0,0.0,0.0,0.0
"TIMOB-25685",True,"train",0.0,0.0,0.9781706929206848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-19967",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951360821723938,0.0,0.0,0.0
"TIMOB-12410",False,"train",0.0,0.0,0.0,0.0,0.0,0.9166103005409241,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-23940",False,"train",0.0,0.97649085521698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-18965",False,"train",0.0,0.0,0.0,0.0,0.9235542416572571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-25955",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.25202980637550354,0.0,0.7271301746368408,0.0,0.0,0.0
"TIMOB-26645",False,"train",0.0,0.0,0.1714068502187729,0.0,0.0,0.0,0.0,0.5257291197776794,0.29604414105415344,0.0,0.0,0.0
"TIMOB-26217",False,"train",0.0,0.0,0.9907379746437073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-24831",False,"train",0.0,0.0,0.24187032878398895,0.0,0.0,0.7515131235122681,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-26886",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9563323259353638,0.0
"TIMOB-19529",False,"train",0.0,0.0,0.0,0.0,0.9758654832839966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TIMOB-23468",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.9903420805931091,0.0,0.0,0.0,0.0,0.0
