"issue_key","sp_change","type","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11"
"DM-11862",False,"train",0.0,0.4431065618991852,0.07896833121776581,0.17370304465293884,0.0,0.0,0.0,0.24695520102977753,0.0,0.0,0.054160505533218384,0.0
"DM-6288",False,"train",0.0,0.0,0.0,0.0,0.0,0.9583219885826111,0.0,0.0,0.0,0.0,0.0,0.0
"DM-6576",False,"train",0.0,0.0,0.8996196985244751,0.0,0.0,0.061709221452474594,0.0,0.0,0.0,0.0,0.0,0.0
"DM-18292",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389251708984375,0.0,0.0,0.0,0.5274723172187805
"DM-7938",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939013659954071,0.0,0.0,0.0,0.0
"DM-14019",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12412320822477341,0.0,0.8342074751853943,0.0,0.0
"DM-7553",False,"train",0.0,0.0,0.0,0.0,0.0467674545943737,0.0,0.681731641292572,0.0,0.24649451673030853,0.0,0.0,0.0
"DM-7417",False,"train",0.0,0.3836079239845276,0.0,0.0,0.3618317246437073,0.0,0.0,0.0,0.0,0.0,0.0,0.17120520770549774
"DM-12700",False,"train",0.0,0.3796149790287018,0.0,0.3096146285533905,0.2425893098115921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DM-514",True,"train",0.014126732014119625,0.014126632362604141,0.014126534573733807,0.01412650290876627,0.014126504771411419,0.014126583002507687,0.014126661233603954,0.014127140864729881,0.8446070551872253,0.014126515947282314,0.014126626774668694,0.014126509428024292
"DM-10463",False,"train",0.0,0.0,0.0,0.0,0.0,0.858201801776886,0.0,0.0,0.12663909792900085,0.0,0.0,0.0
"DM-12457",False,"train",0.0,0.15775392949581146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31733667850494385,0.0,0.4936826527118683
"DM-3518",False,"train",0.0,0.0,0.0,0.05970299616456032,0.0,0.0,0.0,0.0,0.1912751942873001,0.5222354531288147,0.20773768424987793,0.0
"DM-2664",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.021535782143473625,0.0,0.0,0.0,0.6124646663665771,0.35528549551963806
"DM-14673",False,"train",0.04579925164580345,0.0,0.0,0.0,0.0,0.7289354801177979,0.20181836187839508,0.0,0.0,0.0,0.0,0.0
"DM-17289",False,"train",0.0166743416339159,0.016674432903528214,0.016674835234880447,0.0166742242872715,0.016673974692821503,0.5426009893417358,0.016674194484949112,0.01667417772114277,0.01667415350675583,0.01667466200888157,0.0166744627058506,0.29065558314323425
"DM-1693",True,"train",0.0,0.0,0.0,0.0,0.0,0.0756646990776062,0.25769978761672974,0.0,0.0,0.0,0.0,0.6377924680709839
"DM-778",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.5471044182777405,0.0,0.0,0.4038669168949127,0.0,0.0
"DM-16218",False,"train",0.14683860540390015,0.0,0.34582439064979553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49020153284072876
"DM-10114",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278839111328125,0.0,0.0,0.6287745833396912,0.0
"DM-11090",False,"train",0.02682766132056713,0.0,0.0,0.0,0.0,0.0,0.27105608582496643,0.24877390265464783,0.050298724323511124,0.0,0.3968731164932251,0.0
"DM-3173",False,"train",0.618334174156189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08864391595125198,0.27096471190452576,0.0
"DM-12135",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19169881939888,0.0,0.0966351106762886,0.6908381581306458
"DM-5400",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2516244053840637,0.6789981722831726
"DM-3163",True,"train",0.8086956739425659,0.0,0.0,0.0,0.0,0.0,0.07055754959583282,0.0,0.0,0.0918782651424408,0.0,0.0
"DM-4845",False,"train",0.0,0.0,0.0,0.2326432317495346,0.0,0.45994874835014343,0.0,0.0,0.0,0.0,0.2839905023574829,0.0
"DM-8097",False,"train",0.0,0.0,0.08725094050168991,0.0,0.0,0.0,0.0,0.6179506778717041,0.08691085129976273,0.04944145679473877,0.022233963012695312,0.13327093422412872
"DM-1659",False,"train",0.0,0.2550897002220154,0.0,0.0,0.0,0.0,0.0,0.0,0.46669280529022217,0.0,0.2567051649093628,0.0
"DM-1632",False,"train",0.5082600116729736,0.14165470004081726,0.0,0.15757670998573303,0.0,0.0,0.1827097237110138,0.0,0.0,0.0,0.0,0.0
"DM-7736",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.3527609407901764,0.0,0.26923322677612305,0.0,0.35121163725852966,0.0
"DM-6142",False,"train",0.0,0.0,0.0,0.0,0.0,0.2216978222131729,0.0,0.0,0.0,0.0,0.7225596904754639,0.0
"DM-10410",True,"train",0.0,0.0,0.0,0.0,0.1562848836183548,0.0,0.1598081737756729,0.6157302260398865,0.0,0.0,0.0,0.0
"DM-13905",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4549434185028076,0.0,0.0,0.5054000616073608
"DM-6590",False,"train",0.12681926786899567,0.0,0.0,0.2592937648296356,0.0,0.0,0.0,0.2389901727437973,0.0,0.0,0.0,0.3582386076450348
"DM-7776",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20619629323482513,0.0,0.0,0.7243734002113342
"DM-10890",False,"train",0.0,0.0,0.0,0.0,0.0,0.27298855781555176,0.0,0.0,0.0,0.47678858041763306,0.0,0.20035438239574432
"DM-3817",False,"train",0.0,0.35046887397766113,0.0,0.0,0.0,0.1887860894203186,0.0,0.0,0.41664719581604004,0.0,0.0,0.0
"DM-13700",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23411624133586884,0.0,0.0,0.4534722566604614,0.2442072033882141
"DM-2923",True,"train",0.0,0.0,0.0,0.15260377526283264,0.0,0.0,0.0,0.0,0.0,0.8034554719924927,0.0,0.0
"DM-4939",False,"train",0.0,0.0,0.0,0.0,0.0,0.9388806223869324,0.0,0.0,0.0,0.0,0.0,0.0
"DM-3971",False,"train",0.027744371443986893,0.02774396724998951,0.6948133707046509,0.027744287624955177,0.02774370089173317,0.027744118124246597,0.02774461917579174,0.027743924409151077,0.027744462713599205,0.027744580060243607,0.027744291350245476,0.02774428203701973
"DM-17149",False,"train",0.0,0.0,0.1588633805513382,0.08723614364862442,0.0,0.0,0.0,0.0,0.0,0.0,0.7163798213005066,0.0
"DM-13669",False,"train",0.0,0.0,0.42998284101486206,0.0,0.0,0.0,0.15630283951759338,0.0,0.0,0.0,0.3974035978317261,0.0
"DM-16554",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9672616720199585
"DM-9574",False,"train",0.0,0.0,0.0,0.03621190786361694,0.0,0.04032476618885994,0.0,0.0,0.19003704190254211,0.0,0.7175517678260803,0.0
"DM-6439",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.949029803276062,0.0,0.0,0.0,0.0,0.0
"DM-15098",True,"train",0.5407527089118958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3835345506668091,0.0,0.0
"DM-7409",False,"train",0.0,0.0,0.0,0.0,0.0,0.8981103897094727,0.0,0.0,0.0,0.0,0.0,0.0
"DM-7843",False,"train",0.01665438897907734,0.016654521226882935,0.016654517501592636,0.01665445789694786,0.01665472611784935,0.016654398292303085,0.016654757782816887,0.01665501482784748,0.016654223203659058,0.01665443554520607,0.8168003559112549,0.01665419340133667
"DM-13080",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14894932508468628,0.0,0.35641470551490784,0.47190696001052856,0.0
"DM-8543",False,"train",0.0,0.0,0.0,0.0,0.0,0.9586449861526489,0.026478590443730354,0.0,0.0,0.0,0.0,0.0
"DM-7594",True,"train",0.0,0.0,0.0,0.0,0.0,0.7337057590484619,0.0,0.0,0.0,0.24490585923194885,0.0,0.0
"DM-8872",True,"train",0.9490097165107727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DM-11873",True,"train",0.0,0.0,0.0,0.0,0.0,0.14574161171913147,0.0,0.0,0.13470670580863953,0.34215325117111206,0.0,0.3611385226249695
"DM-15613",False,"train",0.0,0.0,0.0,0.0,0.0,0.1311192810535431,0.8556045293807983,0.0,0.0,0.0,0.0,0.0
"DM-14819",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10855306684970856,0.044571079313755035,0.22525465488433838,0.6106899380683899
"DM-13297",True,"train",0.37492090463638306,0.0,0.0,0.0,0.0,0.0,0.0,0.5656150579452515,0.0,0.0,0.0,0.0
"DM-991",False,"train",0.46319490671157837,0.0,0.0,0.10714226961135864,0.0,0.0,0.0,0.0,0.0,0.3983922302722931,0.0,0.0
"DM-14827",False,"train",0.11950644105672836,0.0,0.0,0.0,0.13158085942268372,0.4646599590778351,0.0,0.0,0.24721549451351166,0.0,0.0,0.0
"DM-11170",False,"train",0.2274332046508789,0.01390156988054514,0.013901575468480587,0.013901562429964542,0.01390153355896473,0.013901629485189915,0.01390161830931902,0.01390174962580204,0.01390162669122219,0.2916845679283142,0.013901789672672749,0.35576754808425903
"DM-18863",False,"train",0.0,0.0,0.0,0.08661289513111115,0.46691688895225525,0.0,0.22834068536758423,0.18778347969055176,0.0,0.0,0.0,0.0
"DM-12089",False,"train",0.0,0.0,0.0,0.0,0.0,0.8010135889053345,0.0,0.0,0.0,0.0,0.0,0.18655367195606232
"DM-7300",False,"train",0.02083713188767433,0.020838921889662743,0.020841285586357117,0.02083738148212433,0.7707843780517578,0.020837023854255676,0.020837746560573578,0.020837154239416122,0.020837323740124702,0.020837144926190376,0.02083735540509224,0.020837124437093735
"DM-15364",False,"train",0.0,0.0,0.0,0.05148639157414436,0.0,0.9216063618659973,0.0,0.0,0.0,0.0,0.0,0.0
"DM-17564",True,"train",0.0,0.0,0.0,0.3673836588859558,0.0,0.0,0.0,0.0,0.0,0.0,0.6165736317634583,0.0
"DM-2157",True,"train",0.0,0.05249200016260147,0.22341901063919067,0.0636291652917862,0.0,0.0,0.0,0.06790800392627716,0.0,0.5880331993103027,0.0,0.0
"DM-6124",False,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.6278528571128845,0.0,0.0,0.0,0.33043351769447327,0.0
"DM-5321",True,"train",0.7827459573745728,0.1784156858921051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DM-12879",False,"train",0.0,0.0,0.0,0.0,0.0,0.18686340749263763,0.0,0.0,0.0,0.0,0.5703394412994385,0.2037668228149414
"DM-17999",False,"train",0.0,0.0,0.0,0.0,0.0,0.4050917625427246,0.0,0.0,0.0,0.0,0.5393819808959961,0.0
"DM-14554",True,"train",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256390780210495,0.7218911647796631
"DM-1525",False,"train",0.11322034895420074,0.1441086381673813,0.0,0.3294031322002411,0.0,0.033238429576158524,0.046678103506565094,0.10092537850141525,0.0,0.07664856314659119,0.154445618391037,0.0
"DM-17739",False,"train",0.0,0.557817280292511,0.10988254100084305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649363875389099,0.058359477669000626
